Time frequency,Transport coverage,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,International transport,Million tonne-kilometre (TKM),Finland,971 i,1033 i,1038 i,1062 i,936 i,1246 i,819 i,998 i,871 i,1102 i,1237 i,1063 i,1041 i,1189 i,959 i,987 i,1313 i,1209 i
Annual,International transport,Million tonne-kilometre (TKM),France,112558 i,116681 i,119140 i,114468 i,99581 i,104448 i,99005 i,96287 i,100575 i,101048 i,101557 i,104604 i,110589 i,111036 i,114530 i,109658 i,119382 i,119072 i
Annual,International transport,Million tonne-kilometre (TKM),Croatia,4149 i,4578 i,4707 i,4061 i,3446 i,3377 i,3357 i,3267 i,3410 i,3634 i,4163 i,4257 i,5261 i,5270 i,4710 i,4773 i,4487 i,4677 i
Annual,International transport,Million tonne-kilometre (TKM),Hungary,10749 i,11771 i,12930 i,14083 i,10103 i,9954 i,10468 i,10528 i,10756 i,11054 i,11698 i,12542 i,13814 i,13937 i,14196 i,13282 i,14876 i,15759 i
Annual,International transport,Million tonne-kilometre (TKM),Ireland,1477 i,1503 i,1623 i,1421 i,1240 i,1256 i,1389 i,1231 i,1104 i,1155 i,1254 i,1139 i,1063 i,1237 i,1410 i,569 bi,592 i,569 i
Annual,International transport,Million tonne-kilometre (TKM),Italy,31596 i,33741 i,33465 i,34690 i,29630 i,32895 i,28172 i,26374 i,28020 i,28907 i,27949 i,29498 i,33071 i,32754 i,33520 i,32391 i,36325 i,37360 i
Annual,International transport,Million tonne-kilometre (TKM),Lithuania,2325 i,3013 i,3185 i,2886 i,2356 i,2722 i,3065 i,3539 i,4077 i,3918 i,4343 i,4432 i,4464 i,4203 i,4168 i,4634 i,4718 i,5242 i
Annual,International transport,Million tonne-kilometre (TKM),Luxembourg,1357 i,1336 i,1445 i,1606 i,1420 i,1515 i,1488 i,1681 i,1671 i,1771 i,1495 i,1589 i,1681 i,1652 i,1688 i,1548 i,1680 i,1706 i
Annual,International transport,Million tonne-kilometre (TKM),Latvia,995 i,1220 i,1401 i,1342 i,1060 i,1161 i,1354 i,1502 i,1728 i,1739 i,2031 i,2028 i,2029 i,2192 i,2008 i,2424 i,2329 i,2511 i
Annual,International transport,Million tonne-kilometre (TKM),Netherlands,17632 i,18681 i,18910 i,18977 i,17224 i,18553 i,18320 i,17819 i,18131 i,18522 i,18811 i,19703 i,20195 i,20036 i,20569 i,20783 i,21038 i,20084 i
Annual,International transport,Million tonne-kilometre (TKM),Norway,1721 i,2364 i,2332 i,2725 i,2454 i,2637 i,2778 i,2780 i,3133 i,2752 i,2826 i,3274 i,3252 i,2948 i,2707 i,3008 i,3050 i,2281 i
Annual,International transport,Million tonne-kilometre (TKM),Poland,25651 i,31245 i,29379 i,29668 i,28103 i,33818 i,35798 i,38760 i,41152 i,41822 i,42621 i,47396 i,53836 i,47103 i,53559 i,51175 i,54921 i,56503 i
Annual,International transport,Million tonne-kilometre (TKM),Portugal,6360 i,6871 i,7515 i,6556 i,6442 i,6013 i,6353 i,5203 i,5941 i,6142 i,5485 i,5928 i,5837 i,6013 i,6080 i,5104 i,6100 i,6497 i
Annual,International transport,Million tonne-kilometre (TKM),Romania,9716 i,9797 i,9956 i,7751 i,4145 i,3488 i,3558 i,4072 i,4457 i,4353 i,4319 i,4816 i,5737 i,5526 i,5561 i,4362 i,6252 i,6217 i
Annual,International transport,Million tonne-kilometre (TKM),Sweden,9897 i,10807 i,10735 i,9988 i,7955 i,8669 i,8479 i,8427 i,9265 i,8673 i,9904 i,10255 i,10244 i,10602 i,9570 i,9872 i,11121 i,10031 i
Annual,International transport,Million tonne-kilometre (TKM),Slovenia,4829 i,5677 i,5799 i,5679 i,4947 i,5032 i,5104 i,5249 i,5227 i,5246 i,5676 i,6347 i,6982 i,7171 i,7258 i,6669 i,7294 i,7564 i
Annual,International transport,Million tonne-kilometre (TKM),Slovakia,4870 i,5221 i,6500 i,6290 i,6066 i,6538 i,6977 i,7027 i,7642 i,7782 i,8492 i,9121 i,9939 i,9943 i,10322 i,9938 i,10159 i,10967 i
Annual,International transport,Million tonne-kilometre (TKM),United Kingdom,14213 i,14976 i,15885 i,14820 i,12168 i,12481 i,11810 i,12308 i,12246 i,12608 i,12884 i,13433 i,12790 i,12254 i,12172 i,:,:,:
Annual,International transport - cabotage,Million tonne-kilometre (TKM),Austria,255.0,284.0,382.0,422.0,296.0,330.0,544.0,718.0,761.0,774.0,785.0,923.0,956.0,1048.0,1018.0,1140.0,1102.0,1237.0
Annual,International transport - cabotage,Million tonne-kilometre (TKM),Belgium,588.0,704.0,662.0,874.0,996.0,1214.0,1141.0,1097.0,1369.0,1244.0,1457.0,1740.0,1873.0,1602.0,1691.0,1636.0,1729.0,1669.0
Annual,International transport - cabotage,Million tonne-kilometre (TKM),Bulgaria,: u,15.0,16.0,: u,3.0,: u,13.0,5.0,19.0,9.0,23.0,12.0,8.0,9.0,14.0,16.0,21.0,25.0
Annual,International transport - cabotage,Million tonne-kilometre (TKM),Switzerland,67.0,107.0,74.0,70.0,71.0,121.0,62.0,111.0,80.0,106.0,78.0,107.0,89.0,81.0,141.0,101.0,134.0,125.0
Annual,International transport - cabotage,Million tonne-kilometre (TKM),Cyprus,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,:,3.0,:
Annual,International transport - cabotage,Million tonne-kilometre (TKM),Czechia,34.0,68.0,87.0,75.0,71.0,171.0,84.0,85.0,63.0,96.0,310.0,193.0,181.0,199.0,286.0,275.0,186.0,318.0
Annual,International transport - cabotage,Million tonne-kilometre (TKM),Germany,3675.0,3479.0,3600.0,4049.0,4572.0,6046.0,6717.0,8338.0,9976.0,12158.0,12449.0,16185.0,20378.0,19147.0,22944.0,25646.0,27210.0,24929.0
Annual,International transport - cabotage,Million tonne-kilometre (TKM),Denmark,214.0,203.0,268.0,371.0,306.0,413.0,323.0,349.0,357.0,331.0,355.0,325.0,428.0,416.0,341.0,467.0,370.0,370.0
Annual,International transport - cabotage,Million tonne-kilometre (TKM),Estonia,: u,: u,: u,: u,6.0,3.0,3.0,14.0,: u,: u,13.0,24.0,15.0,43.0,32.0,61.0,34.0,71.0
Annual,International transport - cabotage,Million tonne-kilometre (TKM),Greece,72.0,145.0,149.0,168.0,164.0,212.0,196.0,72.0,132.0,221.0,59.0,162.0,162.0,98.0,100.0,118.0,186.0,138.0
Annual,International transport - cabotage,Million tonne-kilometre (TKM),Spain,1156.0,1403.0,1408.0,1185.0,855.0,665.0,703.0,639.0,976.0,1149.0,1269.0,1311.0,1736.0,1593.0,2110.0,1784.0,1988.0,1664.0
Annual,International transport - cabotage,Million tonne-kilometre (TKM),European Union - 27 countries (from 2020),12743.0,13172.0,14003.0,15298.0,16312.0,19116.0,19366.0,20923.0,25387.0,28211.0,29914.0,36138.0,42837.0,40291.0,47145.0,49289.0,52309.0,48206.0
Annual,International transport - cabotage,Million tonne-kilometre (TKM),European Union - 28 countries (2013-2020),14618.0,14932.0,15543.0,17010.0,17543.0,20391.0,20408.0,21975.0,26439.0,29611.0,31375.0,37963.0,44423.0,41485.0,48662.0,:,:,:
Annual,International transport - cabotage,Million tonne-kilometre (TKM),Finland,22.0,26.0,48.0,34.0,67.0,86.0,44.0,68.0,55.0,86.0,106.0,65.0,93.0,97.0,112.0,94.0,60.0,127.0
Annual,International transport - cabotage,Million tonne-kilometre (TKM),France,4642.0,4520.0,4789.0,5339.0,6162.0,6357.0,6130.0,6314.0,7451.0,7700.0,8383.0,9755.0,11369.0,10973.0,12294.0,12283.0,12937.0,11544.0
Annual,International transport - cabotage,Million tonne-kilometre (TKM),Croatia,5.0,2.0,: u,4.0,: u,2.0,: u,: u,: u,: u,1.0,7.0,10.0,17.0,12.0,21.0,26.0,16.0
Annual,International transport - cabotage,Million tonne-kilometre (TKM),Hungary,28.0,37.0,7.0,20.0,42.0,21.0,72.0,50.0,47.0,61.0,56.0,65.0,61.0,79.0,118.0,74.0,85.0,80.0
Annual,International transport - cabotage,Million tonne-kilometre (TKM),Ireland,152.0,181.0,196.0,170.0,105.0,179.0,165.0,147.0,234.0,152.0,206.0,169.0,221.0,191.0,214.0,17.0,15.0,12.0
Annual,International transport - cabotage,Million tonne-kilometre (TKM),Italy,879.0,1037.0,1055.0,1062.0,1271.0,1464.0,1468.0,1301.0,1798.0,1769.0,1917.0,1915.0,2295.0,1770.0,2296.0,2322.0,3018.0,2794.0
Annual,International transport - cabotage,Million tonne-kilometre (TKM),Lithuania,: u,4.0,: u,5.0,14.0,9.0,7.0,7.0,74.0,28.0,21.0,29.0,53.0,133.0,94.0,38.0,145.0,99.0
Annual,International transport - cabotage,Million tonne-kilometre (TKM),Luxembourg,27.0,18.0,7.0,7.0,11.0,15.0,20.0,7.0,12.0,10.0,18.0,21.0,30.0,14.0,19.0,26.0,26.0,22.0
Annual,International transport - cabotage,Million tonne-kilometre (TKM),Latvia,: u,2.0,1.0,9.0,2.0,20.0,8.0,5.0,5.0,17.0,14.0,19.0,8.0,37.0,24.0,10.0,23.0,23.0
Annual,International transport - cabotage,Million tonne-kilometre (TKM),Malta,:,:,:,: u,:,:,:,:,:,:,:,:,:,:,: u,:,:,:
Annual,International transport - cabotage,Million tonne-kilometre (TKM),Netherlands,278.0,387.0,382.0,450.0,419.0,554.0,496.0,501.0,567.0,767.0,727.0,1055.0,895.0,803.0,1096.0,1162.0,955.0,1028.0
Annual,International transport - cabotage,Million tonne-kilometre (TKM),Norway,71.0,152.0,153.0,203.0,137.0,160.0,201.0,273.0,554.0,441.0,417.0,419.0,599.0,623.0,643.0,547.0,813.0,428.0
Annual,International transport - cabotage,Million tonne-kilometre (TKM),Poland,36.0,22.0,17.0,43.0,42.0,181.0,70.0,104.0,68.0,89.0,99.0,175.0,122.0,130.0,144.0,148.0,130.0,176.0
Annual,International transport - cabotage,Million tonne-kilometre (TKM),Portugal,56.0,23.0,43.0,5.0,55.0,56.0,30.0,76.0,45.0,39.0,48.0,72.0,53.0,115.0,119.0,103.0,128.0,113.0
Annual,International transport - cabotage,Million tonne-kilometre (TKM),Romania,53.0,44.0,35.0,15.0,122.0,31.0,31.0,124.0,49.0,57.0,74.0,64.0,108.0,64.0,79.0,33.0,82.0,64.0
Annual,International transport - cabotage,Million tonne-kilometre (TKM),Sweden,522.0,547.0,800.0,933.0,709.0,1048.0,1022.0,795.0,1236.0,1337.0,1397.0,1732.0,1644.0,1578.0,1822.0,1735.0,1766.0,1588.0
Annual,International transport - cabotage,Million tonne-kilometre (TKM),Slovenia,9.0,: u,2.0,6.0,4.0,: u,12.0,9.0,8.0,11.0,10.0,10.0,43.0,33.0,30.0,18.0,26.0,16.0
Annual,International transport - cabotage,Million tonne-kilometre (TKM),Slovakia,39.0,22.0,49.0,52.0,17.0,40.0,68.0,98.0,84.0,105.0,120.0,111.0,96.0,99.0,136.0,63.0,58.0,83.0
Annual,International transport - cabotage,Million tonne-kilometre (TKM),United Kingdom,1875.0,1760.0,1539.0,1712.0,1231.0,1276.0,1043.0,1052.0,1053.0,1400.0,1461.0,1824.0,1586.0,1194.0,1517.0,:,:,:
Annual,National transport,Million tonne-kilometre (TKM),Austria,12514.0,14437.0,14744.0,14581.0,13491.0,13914.0,14475.0,14118.0,13853.0,14721.0,15482.0,16505.0,16803.0,16914.0,17249.0,17097.0,18011.0,17565.0
Annual,National transport,Million tonne-kilometre (TKM),Belgium,19283.0,19615.0,19650.0,18207.0,17603.0,17755.0,17750.0,18186.0,18980.0,19167.0,21277.0,21428.0,20632.0,20593.0,21727.0,21537.0,23257.0,22052.0
Annual,National transport,Million tonne-kilometre (TKM),Bulgaria,5806 i,5806.0,5890.0,7122.0,6306.0,6120.0,6518.0,6286.0,7192.0,6826.0,7172.0,7324.0,8328.0,7734.0,5719.0,7410.0,9029.0,8817.0
Annual,National transport,Million tonne-kilometre (TKM),Switzerland,9813 i,9813 i,9813 i,9813.0,9697.0,9550.0,9912.0,9991.0,10158.0,10585.0,10362.0,10138.0,10238.0,10716.0,10582.0,10648.0,10849.0,10868.0
Annual,National transport,Million tonne-kilometre (TKM),Cyprus,1374.0,1145.0,1184.0,1296.0,944.0,1066.0,923.0,880.0,618.0,526.0,548.0,684.0,802.0,865.0,831.0,672.0,703.0,923.0
Annual,National transport,Million tonne-kilometre (TKM),Czechia,15518.0,16082.0,15831.0,15748.0,13480.0,14762.0,14985.0,14403.0,15392.0,16813.0,21184.0,22304.0,21899.0,23543.0,25012.0,28271.0,29764.0,30762.0
Annual,National transport,Million tonne-kilometre (TKM),Germany,237617.0,251379.0,261440.0,264545.0,245568.0,252462.0,265025.0,254499.0,256721.0,263032.0,269650.0,271679.0,271666.0,276151.0,274037.0,269928.0,272000.0,268557.0
Annual,National transport,Million tonne-kilometre (TKM),Denmark,11058.0,11495.0,11800.0,10718.0,10002.0,10573.0,12025.0,12292.0,12217.0,12943.0,12532.0,13037.0,12577.0,12075.0,12165.0,12407.0,12863.0,12755.0
Annual,National transport,Million tonne-kilometre (TKM),Estonia,1847.0,1979.0,1942.0,1832.0,1326.0,1388.0,1561.0,1599.0,1593.0,1541.0,1524.0,1792.0,1631.0,1686.0,1710.0,1273.0,1800.0,1797.0
Annual,National transport,Million tonne-kilometre (TKM),Greece,19610.0,26137.0,21729.0,24346.0,24228.0,25256.0,16809.0,16486.0,12719.0,15119.0,15023.0,16652.0,15471.0,15392.0,15285.0,12934.0,16482.0,16182.0
Annual,National transport,Million tonne-kilometre (TKM),Spain,166386.0,174588.0,190611.0,175184.0,151060.0,146194.0,142323.0,133368.0,126997.0,128157.0,137236.0,144984.0,154666.0,158476.0,165910.0,163682.0,182466.0,178005.0
Annual,National transport,Million tonne-kilometre (TKM),European Union - 27 countries (from 2020),1080551 i,1098150 i,1138187 i,1124437.0,1026875.0,1035220.0,1025119.0,967975.0,973870.0,977964.0,1002351.0,1028593.0,1071090.0,1088396.0,1117620.0,1108296.0,1178071.0,1177455.0
Annual,National transport,Million tonne-kilometre (TKM),European Union - 28 countries (2013-2020),1231769 i,1252920 i,1298895 i,1275582.0,1158491.0,1172973.0,1165035.0,1110527.0,1105204.0,1105636.0,1145219.0,1177314.0,1218439.0,1240312.0,1272039.0,:,:,:
Annual,National transport,Million tonne-kilometre (TKM),Finland,27815.0,25465.0,25964.0,27615.0,24394.0,25156.0,23732.0,21928.0,20968.0,20298.0,21434.0,24586.0,26330.0,25970.0,26711.0,27862.0,27652.0,29005.0
Annual,National transport,Million tonne-kilometre (TKM),France,177331.0,182753.0,191388.0,181879.0,156021.0,164325.0,168242.0,156449.0,155712.0,151112.0,141242.0,144205.0,155876.0,159623.0,162504.0,158158.0,162574.0,160535.0
Annual,National transport,Million tonne-kilometre (TKM),Croatia,6445 i,6445 i,6445 i,6445.0,5125.0,4547.0,4375.0,4145.0,4284.0,3931.0,4055.0,3986.0,4199.0,4235.0,4312.0,4487.0,4802.0,4854.0
Annual,National transport,Million tonne-kilometre (TKM),Hungary,11394.0,12425.0,13186.0,13043.0,12171.0,11329.0,10534.0,9181.0,9246.0,9630.0,10356.0,11720.0,11940.0,12979.0,13382.0,12860.0,14778.0,13926.0
Annual,National transport,Million tonne-kilometre (TKM),Ireland,13983.0,13832.0,14428.0,13265.0,8469.0,8221.0,7470.0,7419.0,7216.0,7704.0,7760.0,9281.0,9326.0,9401.0,10002.0,9059.0,10238.0,10182.0
Annual,National transport,Million tonne-kilometre (TKM),Italy,171587.0,155425.0,152406.0,151823.0,145610.0,149248.0,127681.0,111785.0,111975.0,102351.0,104104.0,100282.0,106711.0,111741.0,122491.0,118151.0,128547.0,132267.0
Annual,National transport,Million tonne-kilometre (TKM),Lithuania,2137.0,2232.0,2704.0,2560.0,2633.0,2292.0,2320.0,2438.0,2540.0,2768.0,2913.0,2970.0,3184.0,3642.0,3555.0,3995.0,3862.0,3182.0
Annual,National transport,Million tonne-kilometre (TKM),Luxembourg,494.0,544.0,548.0,555.0,530.0,574.0,650.0,1044.0,777.0,1128.0,978.0,1067.0,1017.0,647.0,661.0,511.0,621.0,588.0
Annual,National transport,Million tonne-kilometre (TKM),Latvia,2734.0,2718.0,3006.0,2536.0,2149.0,2561.0,2646.0,2616.0,2803.0,2740.0,2753.0,2807.0,3240.0,3459.0,3350.0,3716.0,4064.0,3989.0
Annual,National transport,Million tonne-kilometre (TKM),Netherlands,31827.0,31009.0,30686.0,32009.0,31337.0,30064.0,30325.0,28695.0,32299.0,32253.0,32170.0,34053.0,33162.0,34295.0,35406.0,34998.0,36446.0,35902.0
Annual,National transport,Million tonne-kilometre (TKM),Norway,15352.0,15310.0,15427.0,16658.0,15277.0,16344.0,16131.0,16983.0,18334.0,19034.0,20462.0,18514.0,18741.0,18924.0,19400.0,19235.0,20415.0,22325.0
Annual,National transport,Million tonne-kilometre (TKM),Poland,60940.0,59420.0,65769.0,71917.0,79207.0,82218.0,89734.0,89013.0,100320.0,96627.0,104679.0,106634.0,120036.0,114692.0,119365.0,123819.0,134730.0,140032.0
Annual,National transport,Million tonne-kilometre (TKM),Portugal,17445.0,17540.0,18319.0,17114.0,14424.0,12881.0,12673.0,11180.0,9773.0,10469.0,10791.0,10382.0,10854.0,10530.0,10413.0,8722.0,9389.0,9055.0
Annual,National transport,Million tonne-kilometre (TKM),Romania,22723 i,22723.0,23932.0,23190.0,20879.0,12096.0,11858.0,12673.0,12505.0,12136.0,12068.0,13140.0,13548.0,14358.0,16675.0,17281.0,20458.0,21994.0
Annual,National transport,Million tonne-kilometre (TKM),Sweden,34701.0,35474.0,36395.0,37952.0,32123.0,32732.0,33402.0,30370.0,30715.0,38816.0,38106.0,39260.0,38556.0,40662.0,40112.0,40714.0,44776.0,45759.0
Annual,National transport,Million tonne-kilometre (TKM),Slovenia,2361.0,2279.0,2573.0,2636.0,2276.0,2288.0,2177.0,1849.0,1889.0,2062.0,2069.0,2134.0,2310.0,2256.0,2306.0,2275.0,2464.0,2567.0
Annual,National transport,Million tonne-kilometre (TKM),Slovakia,5621.0,5203.0,5617.0,6319.0,5519.0,5198.0,4906.0,5073.0,4566.0,5094.0,5245.0,5697.0,6326.0,6477.0,6730.0,6477.0,6295.0,6203.0
Annual,National transport,Million tonne-kilometre (TKM),United Kingdom,151218.0,154770.0,160708.0,151145.0,131616.0,137753.0,139916.0,142552.0,131334.0,127672.0,142868.0,148721.0,147349.0,151916.0,154419.0,:,:,:
Annual,Total transport,Million tonne-kilometre (TKM),Austria,32380 i,35456 i,38569 i,41028 i,35678 i,37861 i,39078 i,38020 i,38564 i,39681 i,41449 i,43106 i,45803 i,46262 i,47057 i,46987 i,49810 i,49959 i
Annual,Total transport,Million tonne-kilometre (TKM),Belgium,46746 i,47950 i,49041 i,47274 i,44420 i,45631 i,45568 i,45849 i,47597 i,47951 i,50475 i,52335 i,52142 i,50919 i,52437 i,51947 i,54701 i,51816 i
Annual,Total transport,Million tonne-kilometre (TKM),Bulgaria,11006 i,10973 i,10438 i,9764 i,8746 i,8892 i,9729 i,9267 i,10955 i,10343 i,11179 i,11174 i,12036 i,11143 i,8706 i,11005 i,13275 i,13825 i
Annual,Total transport,Million tonne-kilometre (TKM),Switzerland,23014 i,23263 i,22052 i,22275 i,20889 i,21602 i,21171 i,20849 i,20832 i,21693 i,20806 i,20746 i,21860 i,22102 i,22336 i,22966 i,23742 i,23979 i
Annual,Total transport,Million tonne-kilometre (TKM),Cyprus,1374 i,1145 i,1184 i,1296 i,944 i,1066 i,923 i,880 i,618 i,526 i,548 i,684 i,802 i,865 i,831 i,672 i,703 i,923 i
Annual,Total transport,Million tonne-kilometre (TKM),Czechia,32408 i,33853 i,34377 i,32540 i,29157 i,31980 i,33162 i,32462 i,35409 i,37006 i,42674 i,43313 i,43074 i,43449 i,45649 i,51710 i,55115 i,57568 i
Annual,Total transport,Million tonne-kilometre (TKM),Germany,370872 i,394619 i,413386 i,419924 i,385290 i,404918 i,417567 i,408244 i,416580 i,426909 i,433097 i,447193 i,463020 i,458571 i,469293 i,466414 i,480095 i,476441 i
Annual,Total transport,Million tonne-kilometre (TKM),Denmark,16714 i,17644 i,18303 i,18910 i,16916 i,17244 i,18438 i,18571 i,19297 i,19517 i,19129 i,20599 i,20352 i,19306 i,19461 i,20209 i,20804 i,20856 i
Annual,Total transport,Million tonne-kilometre (TKM),Estonia,2665 i,2862 i,2927 i,2772 i,2076 i,2171 i,2481 i,2533 i,2655 i,2639 i,2836 i,3115 i,2913 i,3014 i,2978 i,2751 i,3171 i,3426 i
Annual,Total transport,Million tonne-kilometre (TKM),Greece,21921 i,28974 i,24150 i,26451 i,26083 i,27646 i,18735 i,18630 i,15188 i,17530 i,17653 i,19342 i,19717 i,19379 i,18977 i,16783 i,19715 i,19556 i
Annual,Total transport,Million tonne-kilometre (TKM),Spain,210719 i,220163 i,237267 i,217328 i,189435 i,184401 i,179869 i,169768 i,166116 i,167111 i,177995 i,186701 i,197958 i,203622 i,212705 i,207453 i,231068 i,228131 i
Annual,Total transport,Million tonne-kilometre (TKM),European Union - 27 countries (from 2020),1588226 i,1639171 i,1698168 i,1676827 i,1515309 i,1558289 i,1541623 i,1481651 i,1516328 i,1527431 i,1561988 i,1619748 i,1707314 i,1707496 i,1764787 i,1745331 i,1862223 i,1866295 i
Annual,Total transport,Million tonne-kilometre (TKM),European Union - 28 countries (2013-2020),1755531 i,1810677 i,1876300 i,1844503 i,1660325 i,1709798 i,1694392 i,1637564 i,1660960 i,1669110 i,1719201 i,1783726 i,1869039 i,1872860 i,1932896 i,:,:,:
Annual,Total transport,Million tonne-kilometre (TKM),Finland,28809 i,26524 i,27050 i,28711 i,25397 i,26489 i,24595 i,22994 i,21893 i,21486 i,22777 i,25713 i,27464 i,27256 i,27782 i,28942 i,29025 i,30341 i
Annual,Total transport,Million tonne-kilometre (TKM),France,294532 i,303954 i,315317 i,301686 i,261764 i,275130 i,273377 i,259050 i,263738 i,259861 i,251182 i,258563 i,277834 i,281631 i,289329 i,280099 i,294893 i,291150 i
Annual,Total transport,Million tonne-kilometre (TKM),Croatia,10598 i,11025 i,11152 i,10510 i,8571 i,7926 i,7732 i,7412 i,7694 i,7565 i,8219 i,8250 i,9470 i,9521 i,9034 i,9281 i,9315 i,9548 i
Annual,Total transport,Million tonne-kilometre (TKM),Hungary,22171 i,24233 i,26122 i,27146 i,22316 i,21304 i,21073 i,19759 i,20049 i,20745 i,22110 i,24326 i,25814 i,26996 i,27696 i,26217 i,29739 i,29765 i
Annual,Total transport,Million tonne-kilometre (TKM),Ireland,15612 i,15516 i,16247 i,14856 i,9814 i,9656 i,9023 i,8796 i,8554 i,9012 i,9219 i,10590 i,10611 i,10829 i,11626 i,9645 bi,10845 i,10763 i
Annual,Total transport,Million tonne-kilometre (TKM),Italy,204062 i,190203 i,186927 i,187575 i,176511 i,183607 i,157321 i,139460 i,141793 i,133027 i,133970 i,131695 i,142077 i,146265 i,158307 i,152864 i,167890 i,172421 i
Annual,Total transport,Million tonne-kilometre (TKM),Lithuania,4462 i,5249 i,5889 i,5451 i,5003 i,5023 i,5392 i,5984 i,6691 i,6714 i,7277 i,7431 i,7701 i,7978 i,7816 i,8667 i,8725 i,8523 i
Annual,Total transport,Million tonne-kilometre (TKM),Luxembourg,1879 i,1898 i,2001 i,2167 i,1961 i,2105 i,2157 i,2731 i,2459 i,2909 i,2492 i,2677 i,2728 i,2313 i,2368 i,2085 i,2328 i,2316 i
Annual,Total transport,Million tonne-kilometre (TKM),Latvia,3729 i,3940 i,4408 i,3887 i,3211 i,3742 i,4008 i,4122 i,4535 i,4496 i,4797 i,4855 i,5277 i,5687 i,5382 i,6149 i,6417 i,6523 i
Annual,Total transport,Million tonne-kilometre (TKM),Netherlands,49738 i,50078 i,49978 i,51436 i,48980 i,49171 i,49141 i,47015 i,50997 i,51543 i,51709 i,54811 i,54252 i,55135 i,57072 i,56943 i,58439 i,57014 i
Annual,Total transport,Million tonne-kilometre (TKM),Norway,17144 i,17826 i,17912 i,19586 i,17869 i,19141 i,19111 i,20037 i,22021 i,22226 i,23705 i,22207 i,22593 i,22496 i,22751 i,22790 i,24278 i,25034 i
Annual,Total transport,Million tonne-kilometre (TKM),Poland,86626 i,90687 i,95165 i,101628 i,107352 i,116217 i,125602 i,127877 i,141540 i,138538 i,147399 i,154205 i,173994 i,161925 i,173068 i,175141 i,189782 i,196711 i
Annual,Total transport,Million tonne-kilometre (TKM),Portugal,23861 i,24435 i,25877 i,23676 i,20921 i,18949 i,19056 i,16460 i,15760 i,16650 i,16323 i,16382 i,16745 i,16658 i,16612 i,13929 i,15617 i,15665 i
