Time frequency,Income situation in relation to the risk of poverty threshold,Unit of measure,Age class,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2023.0
Annual,Total,Percentage,From 12 to 17 years,Italy,:,0.4,0.5,0.1,0.2,0.2,0.2,0.1,0.4,0.8,0.3,0.4,0.2,0.3,0.5,0.1,0.4,0.3,0.8
Annual,Total,Percentage,From 12 to 17 years,Lithuania,:,:,23.7,24.9,13.8,14.9,14.4,13.2,16.4,16.2,13.6,13.6,14.8,11.8,11.6,10.6,11.0,6.1,3.6
Annual,Total,Percentage,From 12 to 17 years,Luxembourg,0.0,0.0 n,0.0,0.0 n,0.4,0.0,0.0,0.0,0.0,0.1,0.4,0.4,0.3,1.3 b,0.2,0.0 n,0.1,0.0 n,:
Annual,Total,Percentage,From 12 to 17 years,Latvia,:,:,21.8,19.7,22.7,21.0,21.5,23.0,22.6,24.4,21.7,22.6,18.4,16.8,12.6,10.5,8.3,7.2,5.1
Annual,Total,Percentage,From 12 to 17 years,Montenegro,:,:,:,:,:,:,:,:,:,:,2.9,2.7,3.3,3.0,2.3,1.1,0.8,0.6,:
Annual,Total,Percentage,From 12 to 17 years,North Macedonia,:,:,:,:,:,:,:,14.3,11.1,9.0,6.5,9.0,5.6,3.8,3.4,2.0,3.1,3.3,:
Annual,Total,Percentage,From 12 to 17 years,Malta,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Total,Percentage,From 12 to 17 years,Netherlands,:,:,:,:,0.2,0.0,0.0,0.1,0.0 n,0.1,0.0,0.0,0.1,0.3 b,0.1,0.0,0.0,0.1,:
Annual,Total,Percentage,From 12 to 17 years,Norway,0.0 n,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.2,0.3,0.4,0.4,0.4,0.1,0.6,0.5,:
Annual,Total,Percentage,From 12 to 17 years,Poland,:,:,6.6,6.7,6.4,5.9,5.5,4.0,3.7,3.4,2.7,3.2,2.4,2.8,2.5,1.4,1.1,1.0,0.2
Annual,Total,Percentage,From 12 to 17 years,Portugal,:,3.0,2.5,2.2,1.8,2.0,1.6,0.9,0.8,0.4,0.6,0.2,0.6,1.1,1.1,0.5,0.3,0.3,0.0 n
Annual,Total,Percentage,From 12 to 17 years,Romania,:,:,:,:,44.9,47.2,46.0,43.2,41.6,42.4,40.9,39.2,38.4,37.5,33.3,31.1,27.5,27.3,17.7
Annual,Total,Percentage,From 12 to 17 years,Serbia,:,:,:,:,:,:,:,:,:,:,3.7,3.0,2.6,3.0,3.1,3.0,2.9,1.2,:
Annual,Total,Percentage,From 12 to 17 years,Sweden,:,0.4,0.1,0.1,0.5,0.3 b,1.0,1.1,0.7,0.4,0.4,0.1,0.3,0.0,0.0,0.0,0.2,0.0,:
Annual,Total,Percentage,From 12 to 17 years,Slovenia,:,:,0.7,0.6,0.3,0.4,0.4,0.5,0.5,0.3,0.7,0.5,0.3,0.0 n,0.1,0.1,0.1,0.1,0.0
Annual,Total,Percentage,From 12 to 17 years,Slovakia,:,:,1.0,0.6,0.9,0.0,0.0,0.0,0.2,0.1,0.2,1.2,2.1,2.6,2.4,2.0,2.4,1.2,:
Annual,Total,Percentage,From 12 to 17 years,Türkiye,:,:,:,8.2,6.9,6.8,6.5,:,4.2,3.8,3.6,2.6,2.2,2.2,1.7,1.7,1.4,1.1,0.7
Annual,Total,Percentage,From 12 to 17 years,United Kingdom,:,:,0.3,0.8,0.3,0.3,0.2,0.0,0.0,0.5 b,0.4,0.6,0.4,0.8,0.6 bu,0.4 u,:,:,:
Annual,Total,Percentage,From 12 to 17 years,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.3,:,:,:
Annual,Total,Percentage,From 6 to 11 years,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,6.4,6.5,5.4,5.2,:
Annual,Total,Percentage,From 6 to 11 years,Austria,0.9,0.5,0.0,0.0,0.4,0.9 b,0.1,0.1,0.2,0.2,0.0,0.2,0.6,0.0,0.1,0.1,0.0,1.0,0.2
Annual,Total,Percentage,From 6 to 11 years,Belgium,0.3,0.5,0.4,0.0,0.2,0.0,0.0 n,0.1,0.4,0.5,0.7,0.6,0.4,0.2,0.1,0.1,0.1 b,0.1,0.2
Annual,Total,Percentage,From 6 to 11 years,Bulgaria,:,:,27.8,27.8,24.7,25.7,21.1,21.8,22.7,21.5,20.9,18.1 b,16.7,17.4 b,16.4,14.2,11.4,12.8,4.7
Annual,Total,Percentage,From 6 to 11 years,Switzerland,:,:,:,:,1.2,0.0,0.2,0.1,0.0,0.0,0.0,0.0 b,0.0,0.0,0.1,0.0,0.1,0.1,:
Annual,Total,Percentage,From 6 to 11 years,Cyprus,:,:,0.9,0.2,0.1,0.3,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.1,0.0,0.1,0.2,0.2,:
Annual,Total,Percentage,From 6 to 11 years,Czechia,:,:,0.4,0.2,0.4,0.4,0.1,0.2,0.4,1.1,0.5,0.2,0.0,0.1,0.1,0.3,0.2,0.2,:
Annual,Total,Percentage,From 6 to 11 years,Germany,:,:,0.2,0.2,0.3,0.7,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0 b,:
Annual,Total,Percentage,From 6 to 11 years,Denmark,0.6,0.4,0.1,0.1,0.6,0.2,0.0,0.0,1.3,2.5,0.2,2.3,0.8,0.4,0.3,0.2,0.3,0.7,:
Annual,Total,Percentage,From 6 to 11 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,:,:,:,0.2 e,0.3 e,0.3 e,0.5 e,0.6 e,0.6 e,0.5 e,0.4 e,0.5,0.5,:
Annual,Total,Percentage,From 6 to 11 years,Euro area - 18 countries (2014),:,:,0.6 e,0.5 e,0.5,0.5,0.4,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.4,0.3,0.4,0.4,:
Annual,Total,Percentage,From 6 to 11 years,Euro area - 19 countries  (2015-2022),:,:,0.8 e,0.8 e,0.7,0.7,0.5,0.5,0.4,0.5,0.5,0.6,0.6,0.6,0.5,0.4,0.5,0.5,:
Annual,Total,Percentage,From 6 to 11 years,Estonia,:,20.7,18.7,19.1,15.1,14.9,12.8,10.1,9.8,7.6,6.6,4.9 b,3.4,3.7,2.7,2.0,2.1,1.5,:
Annual,Total,Percentage,From 6 to 11 years,Greece,1.1,1.5,1.0,1.1,1.0,1.3,0.4,0.8,0.3,0.2,0.8,0.5,0.4,0.8,0.9,0.7,0.4,0.3,0.3
Annual,Total,Percentage,From 6 to 11 years,Spain,:,0.5,0.1,0.2,0.3,0.0,0.0,0.0,0.0,0.0 n,0.0 n,0.2,0.0 n,0.4,0.1,0.2,0.2,0.1,:
Annual,Total,Percentage,From 6 to 11 years,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,:,:,:,2.9,2.9,2.8,2.7,2.5,2.6,2.4 e,2.3 e,1.9 e,:,:
Annual,Total,Percentage,From 6 to 11 years,European Union - 27 countries (2007-2013),:,:,:,:,3.9,3.7,3.4,3.2,3.0,2.9,2.8,2.7,2.5,2.7,2.4 e,2.3 e,1.9 e,:,:
Annual,Total,Percentage,From 6 to 11 years,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,3.7 e,3.4 e,3.3 e,3.1 e,3.0 e,2.8 e,3.0 e,2.5 e,2.6 e,2.1 e,2.1,:
Annual,Total,Percentage,From 6 to 11 years,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,3.2,2.9,2.9,2.8,2.7,2.5,2.6,2.4 e,2.3 e,1.9 e,:,:
Annual,Total,Percentage,From 6 to 11 years,Finland,:,0.3,1.1,0.4,0.8,1.0,0.2,0.1,0.2,0.3,0.2,0.4,0.5,0.1,0.1,0.1,0.1,0.1,:
Annual,Total,Percentage,From 6 to 11 years,France,:,0.2,0.1,0.0 n,0.1,0.0 n,0.1,0.1,0.0 n,0.2,0.3,0.7,1.0,0.6,0.7,0.3,0.3,0.6 b,0.4
Annual,Total,Percentage,From 6 to 11 years,Croatia,:,:,:,:,:,:,:,0.0,0.8,1.5 b,1.3,0.9,0.7,0.6,0.7,0.8,0.6,0.3,:
Annual,Total,Percentage,From 6 to 11 years,Hungary,:,:,11.6,5.1,5.7,4.7,5.6,6.6,6.9,7.3,6.3,6.5,5.9,7.0,5.3,6.2,4.7,2.6,:
Annual,Total,Percentage,From 6 to 11 years,Ireland,0.1,0.4,0.2,0.1,0.4,0.1,0.3,0.3,4.2,2.6,1.3,0.0,0.0,0.4,0.1,0.0,0.0 b,0 u,:
Annual,Total,Percentage,From 6 to 11 years,Iceland,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.3,:,:
Annual,Total,Percentage,From 6 to 11 years,Italy,:,0.5,0.3,0.4,0.0 n,0.1,0.3,0.1,0.1,0.5,0.5,0.4,0.4,0.4,0.7,0.7,0.9,0.9,0.9
Annual,Total,Percentage,From 6 to 11 years,Lithuania,:,:,19.4,20.1,15.7,15.8,17.6,13.8,13.6,11.8,12.6,12.2,13.4,17.2,11.7,8.0,14.0,5.9,3.1
Annual,Total,Percentage,From 6 to 11 years,Luxembourg,0.0 n,0.0 n,0.0,0.0,0.0,0.0 n,0.0,0.0,0.0,0.2,0.2,0.2,0.0,1.3 b,0.6,0.0 n,1.3,0.0 n,:
Annual,Total,Percentage,From 6 to 11 years,Latvia,:,:,27.0,20.0,25.6,21.2,20.9,22.5,17.1,17.9,16.9,15.5,14.2,10.9,9.0,8.4,8.8,6.2,4.4
Annual,Total,Percentage,From 6 to 11 years,Montenegro,:,:,:,:,:,:,:,:,:,:,3.2,3.1,2.4,1.8,1.4,0.7,0.7,1.6,:
Annual,Total,Percentage,From 6 to 11 years,North Macedonia,:,:,:,:,:,:,:,10.7,9.3,6.6,6.7,8.8,4.3,4.3,4.3,1.6,2.4,2.8,:
Annual,Total,Percentage,From 6 to 11 years,Malta,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Total,Percentage,From 6 to 11 years,Netherlands,:,:,:,:,0.1,0.0,0.0,0.0,0.0 n,0.0 n,0.0,0.0,0.2,0.1 b,0.1,0.0,0.0,0.1,:
Annual,Total,Percentage,From 6 to 11 years,Norway,0.1,0.2,0.0,0.3,0.0 n,0.0 n,0.1,0.0,0.2,0.2,0.1,0.0 n,0.0,0.3,0.5,0.0,0.1,0.2,:
Annual,Total,Percentage,From 6 to 11 years,Poland,:,:,7.4,6.5,7.1,6.5,5.4,3.8,3.3,3.1,2.9,2.9,2.7,1.7,1.4,1.6,1.2,1.1,0.2
Annual,Total,Percentage,From 6 to 11 years,Portugal,:,3.1,1.9,2.4,2.2,1.8,1.5,0.9,0.7,0.5,0.9,1.3,1.3,0.8,0.4,0.3,0.3,0.1,0.0 n
Annual,Total,Percentage,From 6 to 11 years,Romania,:,:,:,:,49.9,47.2,48.6,45.3,40.9,38.5,37.5,35.1,31.6,36.5,30.0,32.2,25.0,26.5,12.9
Annual,Total,Percentage,From 6 to 11 years,Serbia,:,:,:,:,:,:,:,:,:,:,3.3,2.4,3.0,3.2,4.2,3.8,3.5,2.5,:
Annual,Total,Percentage,From 6 to 11 years,Sweden,:,0.1,0.3,0.1,0.3,0.1 b,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.2,0.0,:
Annual,Total,Percentage,From 6 to 11 years,Slovenia,:,:,0.8,0.8,1.0,0.6,0.4,0.2,0.3,0.2,0.1,0.6,0.4,0.1,0.1,0.1,0.0,0.1,0.0
Annual,Total,Percentage,From 6 to 11 years,Slovakia,:,:,1.4,1.7,1.4,0.0,0.1,0.3,0.4,0.4,0.6,2.1,2.3,2.0,1.9,1.5,1.6,0.7,:
Annual,Total,Percentage,From 6 to 11 years,Türkiye,:,:,:,9.4,7.7,7.9,7.3,:,4.1,3.6,3.4,2.8,2.7,2.0,1.8,1.5,1.0,1.1,0.9
Annual,Total,Percentage,From 6 to 11 years,United Kingdom,:,:,0.3,0.3,0.2,0.2,0.1,0.1,0.3,0.3 b,0.5,0.5,0.4,0.7,0.4 bu,0.4 u,:,:,:
Annual,Total,Percentage,From 6 to 11 years,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.8,:,:,:
Annual,Total,Percentage,Less than 18 years,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,6.9,7.0,6.6,5.6,:
Annual,Total,Percentage,Less than 18 years,Austria,0.6,1.0,0.1,0.2,0.5,0.4 b,0.4,0.2,0.1,0.2,0.0,0.1,0.4,0.0,0.1,0.3,0.0,0.8,0.3
Annual,Total,Percentage,Less than 18 years,Belgium,0.4,0.5,0.5,0.3,0.4,0.3,0.3,0.1,0.5,0.3,0.4,0.4,0.4,0.2,0.2,0.2,0.2 b,0.1,0.3
Annual,Total,Percentage,Less than 18 years,Bulgaria,:,:,27.1,27.1,26.9,23.6,19.7,19.8,20.2,20.0,21.3,18.8 b,17.2,16.7 b,15.3,13.2,10.7,10.2,6.0
Annual,Total,Percentage,Less than 18 years,Switzerland,:,:,:,:,2.1,0.0,0.1,0.0 n,0.0,0.1,0.0,0.4 b,0.0,0.0,0.1,0.0,0.1,0.0 n,:
Annual,Total,Percentage,Less than 18 years,Cyprus,:,:,0.8,0.6,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0.2,0.0 n,0.0 n,0.1,0.0 n,0.1,0.1,:
Annual,Total,Percentage,Less than 18 years,Czechia,:,:,0.9,0.5,0.5,0.4,0.2,0.3,0.4,0.7,0.4,0.2,0.1,0.2,0.2,0.3,0.2,0.2,:
Annual,Total,Percentage,Less than 18 years,Germany,:,:,0.2,0.2,0.4,0.6,0.1,0.3,0.0 n,0.0 n,0.0,0.0,0.0,0.1,0.0,0.0,0.0 n,0.0 b,:
Annual,Total,Percentage,Less than 18 years,Denmark,0.7,0.5,0.2,0.5,0.5,0.2,0.3,0.4,1.6,1.9,0.4,1.5,1.0,1.0,1.2,0.5,0.7,1.8,:
Annual,Total,Percentage,Less than 18 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,:,:,:,0.3 e,0.3 e,0.3 e,0.4 e,0.5 e,0.5 e,0.5 e,0.4 e,0.5,0.4,:
Annual,Total,Percentage,Less than 18 years,Euro area - 18 countries (2014),:,:,0.6 e,0.5 e,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,:
Annual,Total,Percentage,Less than 18 years,Euro area - 19 countries  (2015-2022),:,:,0.9 e,0.8 e,0.8,0.7,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.4,0.5,0.4,:
Annual,Total,Percentage,Less than 18 years,Estonia,:,19.2,16.6,16.4,15.3,12.1,10.4,9.6,8.6,6.2,5.7,4.9 b,3.9,4.0,2.6,2.5,2.2,1.9,:
Annual,Total,Percentage,Less than 18 years,Greece,0.8,0.9,0.9,1.0,1.0,1.4,0.8,0.4,0.6,0.2,0.9,0.4,0.4,0.5,0.6,0.7,0.7,0.3,0.3
Annual,Total,Percentage,Less than 18 years,Spain,:,0.4,0.1,0.1,0.2,0.0 n,0.0,0.0,0.0,0.0 n,0.0 n,0.2,0.0 n,0.4,0.0 n,0.2,0.3,0.2,:
Annual,Total,Percentage,Less than 18 years,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,:,:,:,2.7,2.7,2.5,2.4,2.3,2.4,2.2 e,1.9 e,1.7 e,:,:
Annual,Total,Percentage,Less than 18 years,European Union - 27 countries (2007-2013),:,:,:,:,3.8,3.5,3.1,2.9,2.7,2.7,2.5,2.4,2.3,2.4,2.2 e,2.0 e,1.8 e,:,:
Annual,Total,Percentage,Less than 18 years,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,3.3 e,3.1 e,3.0 e,2.8 e,2.7 e,2.6 e,2.7 e,2.3 e,2.1 e,1.9 e,1.8,:
Annual,Total,Percentage,Less than 18 years,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,2.8,2.7,2.7,2.5,2.4,2.3,2.4,2.2 e,1.9 e,1.7 e,:,:
Annual,Total,Percentage,Less than 18 years,Finland,:,0.6,1.3,0.5,0.6,0.8,0.4,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.1,0.1,0.0 n,0.1,:
Annual,Total,Percentage,Less than 18 years,France,:,0.4,0.2,0.2,0.4,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.4,0.6,0.5 b,0.5
Annual,Total,Percentage,Less than 18 years,Croatia,:,:,:,:,:,:,:,0.2,1.1,1.8 b,1.1,1.1,0.9,0.8,0.8,0.8,0.6,0.3,:
Annual,Total,Percentage,Less than 18 years,Hungary,:,:,9.6,4.4,5.4,4.4,5.4,6.0,6.5,7.3,6.8,6.6,5.3,6.7,5.6,6.4,4.7,2.9,:
Annual,Total,Percentage,Less than 18 years,Ireland,0.1,0.5,0.1,0.1,0.2,0.3,0.3,1.2,5.2,2.3,1.5,0.0 n,0.2,0.4,0.1,0.0 n,0.0 n,0.0 bu,:
Annual,Total,Percentage,Less than 18 years,Iceland,:,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.3,0.3,:,:
Annual,Total,Percentage,Less than 18 years,Italy,:,0.4,0.4,0.2,0.2,0.1,0.2,0.1,0.2,0.5,0.3,0.3,0.3,0.3,0.6,0.4,0.6,0.7,1.1
Annual,Total,Percentage,Less than 18 years,Lithuania,:,:,21.9,22.8,15.2,16.9,14.4,13.1,14.3,12.6,10.8,10.9,12.4,13.7,10.5,8.2,10.4,5.0,2.5
Annual,Total,Percentage,Less than 18 years,Luxembourg,0.0 n,0.0 n,0.0,0.0 n,0.1,0.1,0.0 n,0.0 n,0.0,0.1,0.2,0.3,0.1,1.2 b,0.6,0.0 n,0.5,0.0 n,:
Annual,Total,Percentage,Less than 18 years,Latvia,:,:,23.7,19.6,23.8,20.1,19.3,20.1,17.9,18.8,16.1,16.0,14.4,11.9,9.0,8.9,7.2,6.0,3.9
Annual,Total,Percentage,Less than 18 years,Montenegro,:,:,:,:,:,:,:,:,:,:,2.8,2.7,2.7,2.7,1.8,0.9,1.0,1.6,:
Annual,Total,Percentage,Less than 18 years,North Macedonia,:,:,:,:,:,:,:,12.3,9.5,7.6,6.6,7.8,4.5,4.0,3.2,1.7,2.6,2.7,:
Annual,Total,Percentage,Less than 18 years,Malta,:,:,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Total,Percentage,Less than 18 years,Netherlands,:,:,:,:,0.2,0.0,0.0,0.0 n,0.0 n,0.0 n,0.0,0.0,0.2,0.2 b,0.1,0.0,0.0,0.1,:
Annual,Total,Percentage,Less than 18 years,Norway,0.2,0.1,0.0,0.2,0.0 n,0.0 n,0.1,0.0,0.1,0.2,0.2,0.2,0.2,0.4,0.4,0.1,0.3,0.3,:
Annual,Total,Percentage,Less than 18 years,Poland,:,:,7.2,6.7,6.5,5.9,5.2,3.8,3.3,3.0,2.5,2.5,2.2,1.8,1.9,1.4,1.3,1.1,0.2
Annual,Total,Percentage,Less than 18 years,Portugal,:,3.1,2.1,2.3,2.5,2.3,1.7,0.8,0.5,0.5,0.7,0.8,1.0,0.7,0.6,0.3,0.3,0.2,0.1
Annual,Total,Percentage,Less than 18 years,Romania,:,:,:,:,47.3,46.8,46.2,43.7,40.6,39.4,38.2,35.9,35.1,36.3,30.6,30.1,25.2,25.6,14.6
Annual,Total,Percentage,Less than 18 years,Serbia,:,:,:,:,:,:,:,:,:,:,3.7,2.5,2.6,3.0,3.6,3.3,3.1,2.0,:
Annual,Total,Percentage,Less than 18 years,Sweden,:,0.2,0.2,0.0 n,0.3,0.2 b,0.4,0.5,0.3,0.2,0.4,0.1,0.2,0.0,0.0,0.0,0.1,0.0,:
Annual,Total,Percentage,Less than 18 years,Slovenia,:,:,0.7,0.8,0.6,0.5,0.3,0.2,0.4,0.2,0.3,0.5,0.3,0.1,0.1,0.1,0.0 n,0.1,0.0
Annual,Total,Percentage,Less than 18 years,Slovakia,:,:,1.3,1.0,1.3,0.1,0.2,0.4,0.4,0.3,0.4,1.3,1.8,2.0,2.0,1.9,2.2,0.9,:
Annual,Total,Percentage,Less than 18 years,Türkiye,:,:,:,9.2,7.5,7.3,6.7,:,3.9,3.6,3.2,2.6,2.4,1.9,1.6,1.4,1.1,1.0,0.9
Annual,Total,Percentage,Less than 18 years,United Kingdom,:,:,0.4,0.5,0.2,0.2,0.1,0.1,0.1,0.4 b,0.4,0.5,0.4,0.7,0.5 bu,0.4 u,:,:,:
Annual,Total,Percentage,Less than 18 years,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.9,:,:,:
Annual,Total,Percentage,Less than 6 years,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,6.0,6.2,7.4,5.5,:
Annual,Total,Percentage,Less than 6 years,Austria,0.3,0.7,0.1,0.4,0.7,0.3 b,0.4,0.3,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,0.0,1.0,0.2
Annual,Total,Percentage,Less than 6 years,Belgium,0.3,0.5,0.6,0.4,0.4,0.6,0.5,0.0,0.9,0.3,0.4,0.4,0.2,0.1,0.1,0.1,0.2 b,0.2,0.5
