Time frequency,itm_newa,unit,geo\TIME_PERIOD,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0
Annual,19040.0,MEUR_KP00,MA,38.0,64.8,65.7,63.6,81.0,80.4,65.9 p,:,:,:,:,:,:,:
Annual,19040.0,MEUR_KP00,TN,19.7,12.3,14.9,18.1,19.3,9.0,12.3,39.6 p,33.7,20.0,18.5,19.2,19.6,17.4
Annual,19040.0,MIO_EUR,IL,102.7,101.8,104.5,95.1,90.8,97.4,108.3,114.6,116.1,110.6,141.1,148.1,150.1,158.1
Annual,19040.0,MIO_EUR,MA,76.0,65.8,65.7,63.5,80.8,66.3,64.8 p,:,:,:,:,:,:,:
Annual,19040.0,MIO_EUR,TN,19.7,19.2,22.5,31.8,35.8,17.6,23.8,25.0 p,18.3,16.3,15.5,16.9,19.1,18.6
Annual,19060.0,MEUR_KP00,IL,791.9,694.2,666.6,648.3,546.6,477.9,483.9,620.5,677.1,512.5,676.5,725.2,730.9,766.0
Annual,19060.0,MEUR_KP00,MA,953.2,1004.3,974.2,846.0,854.9,834.6,923.9 p,:,:,:,:,:,:,:
Annual,19060.0,MEUR_KP00,TN,304.9,338.8,297.0,258.1,257.7,261.5,253.1,240.7 p,192.4,233.2,215.3,223.6,228.5,203.3
Annual,19060.0,MIO_EUR,IL,679.3,693.5,613.0,651.2,688.6,617.0,640.4,864.3,1061.8,743.8,988.4,1192.6,1298.4,1358.8
Annual,19060.0,MIO_EUR,MA,1092.1,1048.6,905.6,843.6,925.6,944.1,1016.6 p,:,:,:,:,:,:,:
Annual,19060.0,MIO_EUR,TN,304.9,360.7,335.1,288.8,325.3,328.5,336.8,386.6 p,349.0,397.3,382.5,415.7 e,470.3 e,457.3 e
