Time frequency,Unit of measure,Train category,Geopolitical entity (reporting)\Time,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Thousand train-kilometres,Goods trains,Spain,38675.0,37971.0,37137.0,35931.0,33139.0,23985.0,24943.0,25947.0,23779.0,23569.0,25830.0,25499.0,24934.0,24617.0,25089.0,25507.0,22067.0,23640.0,25945.0,22910.0
Annual,Thousand train-kilometres,Goods trains,European Union - 27 countries (2007-2013),:,:,: @C,852760.0,833266.0,687555.0,754445.0,:,:,: @C,: @C,: @C,: @C,: @C,: @C,: @C,:,:,:,:
Annual,Thousand train-kilometres,Goods trains,European Union - 27 countries (from 2020),:,:,: @C,819368.0,800808.0,657545.0,726905.0,:,:,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Thousand train-kilometres,Goods trains,European Union - 28 countries (2013-2020),:,:,: @C,861080.0,841347.0,694387.0,761227.0,:,:,: @C,: @C,: @C,: @C,: @C,: @C,: @C,:,:,:,:
Annual,Thousand train-kilometres,Goods trains,Finland,17324.0,16819.0,18343.0,17976.0,18180.0,14899.0,15952.0,15492.0,14810.0,14363.0,13994.0,12666.0,13297.0,13417.0,15511.0,14711.0,13921.0,14689.0,13950.0,12534.0
Annual,Thousand train-kilometres,Goods trains,France,125511.0,108420.0,103014.0,99639.0,94435.0,74209.0,66185.0,67952.0,62727.0,66896.0,63137.0,62900.0,60455.0,64359.0,59764.0,58702.0,53764.0,59779.0,59052.0,52507.0
Annual,Thousand train-kilometres,Goods trains,Croatia,6880.0,7693.0,8294.0,8320.0,8081.0,6832.0,6782.0,6221.0,5525.0,5208.0,4979.0,4833.0,6996.0,5819.0,4994.0,5318.0,5786.0,5590.0,5939.0,5299.0
Annual,Thousand train-kilometres,Goods trains,Hungary,17711.0,18272.0,20087.0,20047.0,21524.0,14759.0,16385.0,15740.0,15012.0,16701.0,17007.0,16617.0,16724.0,15859.0,15845.0,15503.0,15612.0,18612.0,21194.0,17329.0
Annual,Thousand train-kilometres,Goods trains,Ireland,2710.0,2060.0,1126.0,772.0,217.0,146.0,183.0,211.0,178.0,193.0,204.0,392.0,413.0,402.0,179.0,299.0,150.0,141.0,327.0,179.0
Annual,Thousand train-kilometres,Goods trains,Italy,63303.0,60710.0,63893.0,62514.0,58294.0,42713.0,40868.0,41602.0,41878.0,40722.0,41327.0,43012.0,44485.0,44995.0,45567.0,48429.0,47239.0,51932.0,53129.0,51507.0
Annual,Thousand train-kilometres,Goods trains,Liechtenstein,52.0,40.0,42.0,47.0,46.0,38.0,34.0,26.0,25.0,22.0,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,36.0,36.0
Annual,Thousand train-kilometres,Goods trains,Lithuania,8489.0,8959.0,9121.0,10048.0,10179.0,8095.0,8881.0,9862.0,9288.0,8625.0,8813.0,8537.0,8256.0,8977.0,9814.0,9736.0,9535.0,9095.0,5370.0,4713.0
Annual,Thousand train-kilometres,Goods trains,Luxembourg,1914.0,1765.0,1124.0,971.0,975.0,1118.0,589.0,569.0,545.0,533.0,496.0,510.0,492.0,520.0,525.0,496.0,399.0,424.0,402.0,408.0
Annual,Thousand train-kilometres,Goods trains,Latvia,10866.0,11281.0,10580.0,11136.0,11920.0,11326.0,10390.0,12130.0,12619.0,11426.0,11540.0,11094.0,9291.0,8495.0,9592.0,8308.0,4795.0,4424.0,4144.0,2896.0
Annual,Thousand train-kilometres,Goods trains,Montenegro,:,:,:,:,:,:,:,:,:,284.0,333.0,350.0,349.0,365.0,491.0,547.0,288.0,:,189.0,:
Annual,Thousand train-kilometres,Goods trains,North Macedonia,:,:,:,:,:,1097.0,1080.0,969.0,784.0,740.0,724.0,533.0,450.0,344.0,589.0,572.0,561.0,624.0,489.0,272.0
Annual,Thousand train-kilometres,Goods trains,Netherlands,8638.0,10397.0,10463.0,10777.0,11945.0,8900.0,8722.0,8082.0,7818.0,7827.0,7710.0,8206.0,8242.0,7724.0,8525.0,8940.0,8433.0,8974.0,8979.0,8322.0
Annual,Thousand train-kilometres,Goods trains,Norway,7409.0,7899.0,8275.0,8524.0,9593.0,9058.0,8270.0,7984.0,7738.0,7851.0,8161.0,7817.0,6676.0,7994.0,8104.0,7488.0,7633.0,9210.0,9072.0,7863.0
Annual,Thousand train-kilometres,Goods trains,Poland,80698.0,77176.0,84167.0,83407.0,80445.0,64176.0,73036.0,78860.0,69882.0,69452.0,67639.0,66831.0,67614.0,70796.0,77258.0,73637.0,65351.0,71035.0,73358.0,74090.0
Annual,Thousand train-kilometres,Goods trains,Portugal,9730.0,7674.0,7078.0,8030.0,8311.0,6840.0,7508.0,6674.0,8155.0,4766.0,5360.0,6516.0,5763.0,6163.0,5979.0,6081.0,5874.0,6226.0,5821.0,5508.0
Annual,Thousand train-kilometres,Goods trains,Romania,30364.0,29085.0,25610.0,25873.0,23061.0,17201.0,19088.0,21464.0,20845.0,18922.0,17749.0,18692.0,17140.0,15966.0,14389.0,21002.0,20269.0,20410.0,20709.0,18419.0
Annual,Thousand train-kilometres,Goods trains,Sweden,41896.0,43865.0,45457.0,45462.0,47673.0,40418.0,42447.0,43364.0,39719.0,38149.0,37098.0,35458.0,35752.0,36469.0,36201.0,35601.0,35051.0,36316.0,37177.0,36684.0
Annual,Thousand train-kilometres,Goods trains,Slovenia,8003.0,7877.0,7708.0,8162.0,8425.0,6805.0,7871.0,8378.0,7934.0,8336.0,8522.0,8171.0,8530.0,9641.0,9292.0,9067.0,8340.0,8321.0,8383.0,7803.0
Annual,Thousand train-kilometres,Goods trains,Slovakia,15766.0,15999.0,16763.0,16156.0,15638.0,10969.0,12438.0,11990.0,12497.0,11822.0,11281.0,11838.0,13287.0,12193.0,12242.0,11785.0,12075.0,11880.0,12930.0,12200.0
Annual,Thousand train-kilometres,Goods trains,Türkiye,19050.0,18390.0,17995.0,17506.0,18794.0,17589.0,17194.0,17539.0,17507.0,14064.0,20889.0,18550.0,19023.0,21435.0,22050.0,24221.0,25263.0,27031.0,25839.0,23857.0
Annual,Thousand train-kilometres,Goods trains,United Kingdom,39383.0,45956.0,46245.0,41712.0,40539.0,36842.0,34322.0,37506.0,37688.0,38982.0,38269.0,37578.0,33674.0,33206.0,33484.0,33941.0,:,:,:,:
Annual,Thousand train-kilometres,Passenger trains,Austria,93903.0,94757.0,100627.0,101881.0,104993.0,108457.0,106513.0,106858.0,105114.0,105036.0,110121.0,111517.0,112153.0,114784.0,113202.0,120260.0,113388.0,122624.0,127832.0,132066.0
Annual,Thousand train-kilometres,Passenger trains,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,1805.0,1675.0,1507.0,1528.0,2008.0,1212.0,1023.0,1266.0,1344.0,1232.0
Annual,Thousand train-kilometres,Passenger trains,Belgium,78168.0,77496.0,78306.0,79617.0,79672.0,80769.0,82213.0,82213.0,:,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Thousand train-kilometres,Passenger trains,Bulgaria,:,:,22900.0,23510.0,23410.0,23519.0,23069.0,22755.0,20011.0,20043.0,20453.0,20905.0,21354.0,20089.0,19884.0,20113.0,19702.0,19076.0,20093.0,20001.0
Annual,Thousand train-kilometres,Passenger trains,Switzerland,:,:,:,:,171759.0,180889.0,183423.0,182788.0,185184.0,187786.0,191844.0,194130.0,199284.0,197567.0,197786.0,200905.0,194769.0,205440.0,208566.0,212693.0
Annual,Thousand train-kilometres,Passenger trains,Czechia,110557.0,114496.0,116952.0,119257.0,122729.0,126863.0,123675.0,123338.0,126061.0,127109.0,125790.0,125736.0,128865.0,132871.0,136121.0,136681.0,137515.0,135118.0,136466.0,141477.0
Annual,Thousand train-kilometres,Passenger trains,Germany,702100.0,796481.0,773400.0,784446.0,780297.0,784048.0,789200.0,:,:,776065.0,776000.0,787915.0,829295.0,809300.0,808000.0,810000.0,790000.0,848493.0,847633.0,873203.0
Annual,Thousand train-kilometres,Passenger trains,Denmark,67353.0,70842.0,72359.0,71142.0,73661.0,73824.0,74631.0,75679.0,75049.0,76308.0,76293.0,75253.0,74541.0,73042.0,72929.0,74515.0,72768.0,74711.0,76685.0,76156.0
Annual,Thousand train-kilometres,Passenger trains,Estonia,3221.0,3037.0,3036.0,3424.0,3522.0,3233.0,3353.0,3209.0,3161.0,3281.0,4925.0,5214.0,5392.0,5475.0,5512.0,5641.0,5329.0,5773.0,5778.0,6026.0
Annual,Thousand train-kilometres,Passenger trains,Greece,16553.0,15893.0,16905.0,18585.0,18318.0,18005.0,15981.0,11662.0,10925.0,10570.0,10583.0,9999.0,9240.0,9547.0,9599.0,9531.0,7403.0,7054.0,9050.0,6090.0
Annual,Thousand train-kilometres,Passenger trains,Spain,161354.0,161413.0,163671.0,166963.0,178538.0,183024.0,181080.0,176055.0,184884.0,184283.0,187140.0,183579.0,180075.0,187837.0,185954.0,185698.0,136103.0,148643.0,169692.0,188843.0
Annual,Thousand train-kilometres,Passenger trains,European Union - 27 countries (2007-2013),:,:,3125306.0,3186505.0,: @C,: @C,: @C,:,:,3294848.0,3294324.0,3338808.0,3394812.0,3409744.0,3402218.0,3465394.0,:,:,:,:
Annual,Thousand train-kilometres,Passenger trains,European Union - 27 countries (from 2020),:,:,2693329.0,2751465.0,: @C,: @C,: @C,:,:,2789744.0,2783704.0,2821505.0,2878218.0,2891640.0,2882921.0,2920100.0,:,2719538.0,2921793.0,2975158.0
Annual,Thousand train-kilometres,Passenger trains,European Union - 28 countries (2013-2020),:,:,3144625.0,3205473.0,: @C,: @C,: @C,:,:,3311499.0,3309453.0,3353691.0,3410112.0,3424939.0,3417327.0,3480619.0,:,:,:,:
Annual,Thousand train-kilometres,Passenger trains,Finland,31365.0,31408.0,32537.0,34601.0,35079.0,35120.0,35048.0,35578.0,36080.0,36098.0,35676.0,35888.0,33527.0,33883.0,35003.0,36759.0,33804.0,32748.0,34532.0,34864.0
Annual,Thousand train-kilometres,Passenger trains,France,401258.0,397380.0,381634.0,381995.0,420284.0,406177.0,: @C,: @C,411178.0,: @C,: @C,: @C,: @C,391109.0,363628.0,364735.0,283607.0,345893.0,377607.0,366029.0
Annual,Thousand train-kilometres,Passenger trains,Croatia,17100.0,18371.0,19319.0,18968.0,19167.0,19253.0,18992.0,18555.0,18185.0,16651.0,15129.0,14883.0,15300.0,15195.0,15109.0,15225.0,12781.0,13604.0,13478.0,13457.0
Annual,Thousand train-kilometres,Passenger trains,Hungary,80237.0,75397.0,78955.0,84528.0,85217.0,87250.0,84047.0,86442.0,82297.0,80999.0,83620.0,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Thousand train-kilometres,Passenger trains,Ireland,12417.0,13900.0,14505.0,16060.0,14254.0,17459.0,18145.0,17008.0,16536.0,18270.0,18271.0,17811.0,17006.0,17206.0,17359.0,18090.0,14860.0,17101.0,17834.0,18445.0
Annual,Thousand train-kilometres,Passenger trains,Italy,298467.0,312624.0,305996.0,315204.0,313965.0,314091.0,315188.0,: @C,303259.0,317906.0,317362.0,323422.0,330690.0,332642.0,342560.0,347364.0,272268.0,315800.0,341498.0,348189.0
Annual,Thousand train-kilometres,Passenger trains,Liechtenstein,105.0,99.0,103.0,106.0,102.0,106.0,100.0,100.0,100.0,100.0,100.0,75.0,75.0,75.0,80.0,80.0,78.0,90.0,102.0,106.0
Annual,Thousand train-kilometres,Passenger trains,Lithuania,8489.0,5367.0,4697.0,4814.0,5432.0,5762.0,5487.0,5460.0,5377.0,5301.0,5262.0,5458.0,6042.0,6254.0,6317.0,4632.0,6067.0,5874.0,6152.0,6291.0
Annual,Thousand train-kilometres,Passenger trains,Luxembourg,5715.0,5874.0,5919.0,5933.0,6134.0,6139.0,7390.0,8019.0,7955.0,7710.0,8223.0,8419.0,7719.0,7677.0,7490.0,7530.0,:,7373.0,7129.0,7333.0
Annual,Thousand train-kilometres,Passenger trains,Latvia,7512.0,7609.0,7411.0,7442.0,7605.0,6968.0,6236.0,6341.0,6232.0,6150.0,6114.0,6071.0,6003.0,6028.0,6059.0,6068.0,5921.0,5995.0,6237.0,6467.0
Annual,Thousand train-kilometres,Passenger trains,Montenegro,:,:,:,:,:,:,:,:,:,968.0,984.0,1051.0,1157.0,1204.0,1186.0,1200.0,806.0,:,861.0,:
Annual,Thousand train-kilometres,Passenger trains,North Macedonia,:,:,:,:,:,1675.0,1710.0,1548.0,1508.0,1467.0,1498.0,1639.0,1512.0,798.0,1288.0,1136.0,885.0,892.0,857.0,597.0
Annual,Thousand train-kilometres,Passenger trains,Netherlands,124021.0,123376.0,124029.0,138773.0,: @C,: @C,130380.0,130572.0,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Thousand train-kilometres,Passenger trains,Norway,32572.0,33242.0,33541.0,33840.0,34171.0,34682.0,35518.0,35310.0,35951.0,38073.0,38004.0,40745.0,40772.0,41106.0,41090.0,41343.0,37113.0,37612.0,40724.0,41742.0
Annual,Thousand train-kilometres,Passenger trains,Poland,139340.0,129997.0,137885.0,136171.0,137101.0,135313.0,138681.0,133691.0,139972.0,133171.0,129508.0,137754.0,153685.0,156834.0,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Thousand train-kilometres,Passenger trains,Portugal,25312.0,30001.0,34904.0,32566.0,34905.0,33364.0,32493.0,30535.0,29340.0,30352.0,29976.0,30626.0,30912.0,30909.0,30311.0,30874.0,27474.0,29313.0,29851.0,27982.0
Annual,Thousand train-kilometres,Passenger trains,Romania,70932.0,65456.0,68631.0,69262.0,69804.0,71794.0,67184.0,71092.0,69280.0,63509.0,60053.0,61249.0,63688.0,65134.0,62903.0,63310.0,57377.0,60525.0,62655.0,64490.0
Annual,Thousand train-kilometres,Passenger trains,Sweden,85806.0,83818.0,85996.0,90442.0,94795.0,95394.0,98135.0,103826.0,106011.0,113036.0,115886.0,117280.0,121971.0,123914.0,128894.0,132454.0,116302.0,122865.0,: @C,127743.0
Annual,Thousand train-kilometres,Passenger trains,Slovenia,11939.0,10758.0,10769.0,10613.0,10590.0,10677.0,10717.0,10764.0,10590.0,10130.0,10402.0,9562.0,10290.0,10283.0,9985.0,9942.0,7611.0,10439.0,11207.0,11434.0
Annual,Thousand train-kilometres,Passenger trains,Slovakia,31228.0,31296.0,31986.0,35268.0,31319.0,31176.0,31591.0,30721.0,31371.0,31428.0,31847.0,34151.0,33519.0,33060.0,35058.0,36930.0,34099.0,34645.0,36028.0,39432.0
Annual,Thousand train-kilometres,Passenger trains,Türkiye,26506.0,26545.0,25826.0,25357.0,23678.0,23990.0,21567.0,22497.0,17582.0,14731.0,21489.0,22501.0,22675.0,20819.0,22674.0,26276.0,13327.0,18502.0,36666.0,:
Annual,Thousand train-kilometres,Passenger trains,United Kingdom,440734.0,445455.0,451296.0,454008.0,469116.0,501626.0,509698.0,515289.0,522730.0,521755.0,525749.0,532186.0,531894.0,533299.0,534406.0,560519.0,:,:,:,:
