Time frequency,Unit of measure,Size classes in number of employees,Type of employment contract,Geopolitical entity (reporting)\Time,2006.0,2010.0,2014.0,2018.0,2022.0
Annual,Percentage,10 employees or more,Limited duration except apprentice and trainee,Luxembourg,30.9,34.63,35.34,34.93,46.32
Annual,Percentage,10 employees or more,Limited duration except apprentice and trainee,Latvia,33.91,34.38,24.18,30.18,34.86
Annual,Percentage,10 employees or more,Limited duration except apprentice and trainee,Montenegro,:,:,39.84,:,:
Annual,Percentage,10 employees or more,Limited duration except apprentice and trainee,North Macedonia,:,40.83,34.73,17.29,:
Annual,Percentage,10 employees or more,Limited duration except apprentice and trainee,Malta,21.58,27.06,24.21,23.44,21.48
Annual,Percentage,10 employees or more,Limited duration except apprentice and trainee,Netherlands,38.57,45.68,37.54,37.12,38.58
Annual,Percentage,10 employees or more,Limited duration except apprentice and trainee,Norway,12.84,15.5,18.38,:,:
Annual,Percentage,10 employees or more,Limited duration except apprentice and trainee,Poland,43.99,42.54,41.36,35.59,30.98
Annual,Percentage,10 employees or more,Limited duration except apprentice and trainee,Portugal,30.22,22.98,18.96,7.24,3.21
Annual,Percentage,10 employees or more,Limited duration except apprentice and trainee,Romania,32.19,35.46,28.51,14.85,19.32
Annual,Percentage,10 employees or more,Limited duration except apprentice and trainee,Serbia,:,:,36.92,28.47,32.34
Annual,Percentage,10 employees or more,Limited duration except apprentice and trainee,Sweden,:,:,:,10.63,12.87
Annual,Percentage,10 employees or more,Limited duration except apprentice and trainee,Slovenia,31.21,29.96,32.89,31.43,22.07
Annual,Percentage,10 employees or more,Limited duration except apprentice and trainee,Slovakia,26.37,28.98,28.23,22.03,18.27
Annual,Percentage,10 employees or more,Limited duration except apprentice and trainee,Türkiye,0.92,2.5,3.43,2.04,:
Annual,Percentage,10 employees or more,Limited duration except apprentice and trainee,United Kingdom,34.51,36.37,34.77,25.16,:
Annual,Percentage,10 employees or more,Unlimited duration,Albania,:,:,:,20.88,15.73
Annual,Percentage,10 employees or more,Unlimited duration,Austria,13.37,14.42,14.0,14.01,13.31
Annual,Percentage,10 employees or more,Unlimited duration,Bosnia and Herzegovina,:,:,:,:,15.65
Annual,Percentage,10 employees or more,Unlimited duration,Belgium,6.05,5.07,2.81,13.16,11.7
Annual,Percentage,10 employees or more,Unlimited duration,Bulgaria,17.22,20.37,17.14,20.8,26.12
Annual,Percentage,10 employees or more,Unlimited duration,Switzerland,:,8.43,8.91,9.03,8.97
Annual,Percentage,10 employees or more,Unlimited duration,Cyprus,22.22,22.84,17.33,16.55,19.21
Annual,Percentage,10 employees or more,Unlimited duration,Czechia,14.23,15.24,15.66,12.27,11.51
Annual,Percentage,10 employees or more,Unlimited duration,Germany,18.98,20.9,20.04,17.83,16.22
Annual,Percentage,10 employees or more,Unlimited duration,Denmark,7.94,8.12,8.3,8.3,9.43
Annual,Percentage,10 employees or more,Unlimited duration,Euro area - 17 countries (2011-2013),12.65,13.29,13.26,12.28,:
Annual,Percentage,10 employees or more,Unlimited duration,Euro area - 18 countries (2014),:,:,:,12.37,:
Annual,Percentage,10 employees or more,Unlimited duration,Euro area - 19 countries  (2015-2022),:,:,13.5,12.5,:
Annual,Percentage,10 employees or more,Unlimited duration,Estonia,23.14,23.81,22.7,21.6,21.01
Annual,Percentage,10 employees or more,Unlimited duration,Greece,18.68,11.46,19.38,18.7,19.59
Annual,Percentage,10 employees or more,Unlimited duration,Spain,11.21,13.05,12.41,12.7,13.29
Annual,Percentage,10 employees or more,Unlimited duration,European Union - 27 countries (2007-2013),15.57,15.53,15.36,13.38,:
Annual,Percentage,10 employees or more,Unlimited duration,European Union - 27 countries (from 2020),14.32,14.34,14.31,12.77,:
Annual,Percentage,10 employees or more,Unlimited duration,European Union - 28 countries (2013-2020),:,15.6,15.35,:,:
Annual,Percentage,10 employees or more,Unlimited duration,Finland,3.24,4.34,3.65,3.92,5.1
Annual,Percentage,10 employees or more,Unlimited duration,France,6.5,5.15,7.14,7.0,8.27
Annual,Percentage,10 employees or more,Unlimited duration,Croatia,:,18.05,19.04,15.32,14.5
Annual,Percentage,10 employees or more,Unlimited duration,Hungary,20.92,18.39,17.2,10.67,12.5
Annual,Percentage,10 employees or more,Unlimited duration,Ireland,21.17,19.86,21.48,17.23,17.7
Annual,Percentage,10 employees or more,Unlimited duration,Iceland,11.24,8.99,6.45,9.24,3.56
Annual,Percentage,10 employees or more,Unlimited duration,Italy,9.75,11.1,8.06,6.52,6.73
Annual,Percentage,10 employees or more,Unlimited duration,Lithuania,29.21,26.96,23.6,22.42,17.76
Annual,Percentage,10 employees or more,Unlimited duration,Luxembourg,11.99,11.06,9.8,8.73,12.01
Annual,Percentage,10 employees or more,Unlimited duration,Latvia,30.76,27.43,25.53,23.08,22.63
Annual,Percentage,10 employees or more,Unlimited duration,Montenegro,:,:,24.77,:,:
Annual,Percentage,10 employees or more,Unlimited duration,North Macedonia,:,26.58,22.28,15.63,:
Annual,Percentage,10 employees or more,Unlimited duration,Malta,13.84,16.75,13.95,13.65,14.78
Annual,Percentage,10 employees or more,Unlimited duration,Netherlands,11.1,13.88,9.86,8.63,7.01
Annual,Percentage,10 employees or more,Unlimited duration,Norway,6.13,6.92,7.93,8.71,:
Annual,Percentage,10 employees or more,Unlimited duration,Poland,16.53,16.44,16.37,16.88,15.86
Annual,Percentage,10 employees or more,Unlimited duration,Portugal,17.67,13.95,9.62,2.57,1.21
Annual,Percentage,10 employees or more,Unlimited duration,Romania,26.75,25.57,24.27,20.15,23.98
Annual,Percentage,10 employees or more,Unlimited duration,Serbia,:,:,20.17,14.92,19.48
Annual,Percentage,10 employees or more,Unlimited duration,Sweden,:,:,:,2.17,2.0
Annual,Percentage,10 employees or more,Unlimited duration,Slovenia,14.8,12.42,14.52,12.36,6.3
Annual,Percentage,10 employees or more,Unlimited duration,Slovakia,17.19,17.06,17.35,14.65,12.26
Annual,Percentage,10 employees or more,Unlimited duration,Türkiye,0.21,0.3,0.19,0.7,:
Annual,Percentage,10 employees or more,Unlimited duration,United Kingdom,20.91,20.82,20.03,16.26,:
Annual,Percentage,10 employees or more,Total,Albania,:,:,:,23.04,16.35
Annual,Percentage,10 employees or more,Total,Austria,14.19,15.02,14.76,14.75,14.04
Annual,Percentage,10 employees or more,Total,Bosnia and Herzegovina,:,:,:,:,17.51
Annual,Percentage,10 employees or more,Total,Belgium,6.82,6.37,3.79,13.68,15.86
Annual,Percentage,10 employees or more,Total,Bulgaria,18.9,22.01,18.19,21.41,26.84
Annual,Percentage,10 employees or more,Total,Switzerland,:,11.03,9.37,9.53,9.6
Annual,Percentage,10 employees or more,Total,Cyprus,22.65,22.62,19.33,18.73,19.99
Annual,Percentage,10 employees or more,Total,Czechia,17.05,18.19,18.69,15.09,13.78
Annual,Percentage,10 employees or more,Total,Germany,20.3,22.24,22.48,20.68,18.98
Annual,Percentage,10 employees or more,Total,Denmark,8.31,8.17,8.61,8.69,9.7
Annual,Percentage,10 employees or more,Total,Euro area - 17 countries (2011-2013),14.27,14.78,15.7,14.89,:
Annual,Percentage,10 employees or more,Total,Euro area - 18 countries (2014),:,:,:,14.95,:
Annual,Percentage,10 employees or more,Total,Euro area - 19 countries  (2015-2022),:,:,15.88,15.03,:
Annual,Percentage,10 employees or more,Total,Estonia,23.19,23.76,22.76,21.95,21.23
