Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Percentage,Less than 18 years,Total,Spain,32.0,33.3,32.2,32.4,32.6,35.8,34.4,32.9,31.3,29.5,30.3,31.1
Annual,Percentage,Less than 18 years,Total,European Union - 27 countries (2007-2013),26.5,27.6,27.3,28.0,27.9,27.8,27.0,26.4,24.9,24.2,23.2 e,:
Annual,Percentage,Less than 18 years,Total,European Union - 27 countries (from 2020),:,27.3 e,27.4 e,27.6 e,27.1 e,27.3 e,26.5 e,26.3 e,24.5 e,23.4 e,22.2 e,23.4 b
Annual,Percentage,Less than 18 years,Total,European Union - 28 countries (2013-2020),:,27.6,27.3,28.1,27.9,27.8,27.1,26.4,24.9,24.2,23.2 e,:
Annual,Percentage,Less than 18 years,Total,Finland,14.0,14.2,16.1,14.9,13.0,15.6,14.9,14.7,15.1,16.0,14.3,15.0
Annual,Percentage,Less than 18 years,Total,France,21.2,22.9,23.0,23.2,20.8,21.6,21.2,22.6,22.1,22.9,22.5,23.0 b
Annual,Percentage,Less than 18 years,Total,Croatia,:,29.4,31.1,34.8,29.3,29.0,28.2,26.6,25.8,23.7,20.7,20.2
Annual,Percentage,Less than 18 years,Total,Hungary,37.2,38.7,40.4,41.9,43.9,41.8,36.1,33.6,31.6,23.8,22.4,17.7
Annual,Percentage,Less than 18 years,Total,Ireland,31.4,34.1,35.6,33.2,34.4,31.1,29.0,27.3,25.2,24.1,24.5 b,22.1 b
Annual,Percentage,Less than 18 years,Total,Iceland,11.2,16.9,16.6,16.0,16.6,13.7,15.0,14.4,14.3,12.7,13.8,:
Annual,Percentage,Less than 18 years,Total,Italy,28.7,29.5,31.5,34.1,32.0,32.1,33.5,33.2,32.1,30.6,27.8,28.2
Annual,Percentage,Less than 18 years,Total,Lithuania,30.8,35.8,34.6,31.9,35.4,28.9,32.7,32.4,31.6,28.0,26.5,23.7
Annual,Percentage,Less than 18 years,Total,Luxembourg,23.7,22.3,21.7,24.6,26.0,26.4,23.0,22.0 b,21.1,23.7,25.4,24.2 b
Annual,Percentage,Less than 18 years,Total,Latvia,38.4,42.2,44.1,40.0,38.4,35.3,31.3,24.7,23.9,22.5,18.9,20.1
Annual,Percentage,Less than 18 years,Total,Montenegro,:,:,:,:,43.0,44.9,42.2,40.1,40.3,39.4,38.4,38.6
Annual,Percentage,Less than 18 years,Total,North Macedonia,:,49.9,53.6,53.5,50.5,46.9,46.1,46.1,47.2,45.9,44.0,46.3
Annual,Percentage,Less than 18 years,Total,Malta,26.5,26.7,27.8,31.0,33.0,31.8,28.4,24.0,23.0,22.8,23.6,21.8
Annual,Percentage,Less than 18 years,Total,Netherlands,17.5,16.9,18.0,16.9,17.0,17.1,16.8,17.6 b,16.6,15.2,15.5,15.8
Annual,Percentage,Less than 18 years,Total,Norway,14.3,14.6,12.9,12.0,13.4,11.9,13.7,14.9,16.4,15.6,16.0,16.3
Annual,Percentage,Less than 18 years,Total,Poland,31.0,30.8,29.8,29.3,29.8,28.2,26.6,24.2,17.9,17.2,16.0,15.8
Annual,Percentage,Less than 18 years,Total,Portugal,28.7,28.7,28.6,27.8,31.7,31.4,29.6,27.0,24.2,21.9,22.3,21.6
Annual,Percentage,Less than 18 years,Total,Romania,50.6,48.1,49.2,52.5,51.4,50.7,46.8,49.2,41.7,38.1,35.8,36.3
Annual,Percentage,Less than 18 years,Total,Serbia,:,:,:,:,43.4,42.8,42.0,39.5,38.7,35.9,35.3,29.9
Annual,Percentage,Less than 18 years,Total,Sweden,18.8,19.2,20.3,19.4,20.2,20.5,19.8,19.9,19.4,20.6,23.1,20.0
Annual,Percentage,Less than 18 years,Total,Slovenia,15.1,15.2,17.3,16.4,17.5,17.7,16.6,14.9,15.1,13.1,11.7,12.2
Annual,Percentage,Less than 18 years,Total,Slovakia,23.7,25.3,26.0,26.6,25.5,23.6,24.9,24.4,22.5,23.8,22.0,19.2
Annual,Percentage,Less than 18 years,Total,Türkiye,69.6,71.0,69.1,67.4,57.8 b,48.7,48.2,51.9,48.7,48.0,48.0,48.9
Annual,Percentage,Less than 18 years,Total,United Kingdom,27.4,29.7,26.9,31.2 b,32.6,31.2,30.3,27.2,27.4 b,28.9,:,:
