Time frequency,Age class,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,65 years or over,Ratio,Males,European Union - 27 countries (from 2020),4.14,4.02,4.12 e,4.23 e,4.10 e,4.10 e,4.15 e,4.25 e,4.17 b,4.17,4.1,4.17
Annual,65 years or over,Ratio,Males,European Union - 28 countries (2013-2020),4.15,3.99,4.15,4.23,4.16,4.13,4.24,4.32 e,:,:,:,:
Annual,65 years or over,Ratio,Males,Finland,3.43,3.4,3.39,3.23,3.15,3.1,3.08,3.23,3.37,3.25,3.48,3.28
Annual,65 years or over,Ratio,Males,France,4.75,4.32,4.56,4.41,4.18,4.19,3.89,3.9,3.62 b,3.44,3.53 b,3.7
Annual,65 years or over,Ratio,Males,Croatia,4.57,4.67,4.48,4.5,4.49,4.75,4.5,4.29,4.32,4.27,4.31,4.76 b
Annual,65 years or over,Ratio,Males,Hungary,2.76,2.95,2.9,3.22,3.33,3.72,3.33,3.12,5.3,3.12,3.83,3.42
Annual,65 years or over,Ratio,Males,Ireland,4.58,4.55,4.05,4.09,4.14,4.06,3.95,4.02 b,4.12 b,3.82,3.89,4.21
Annual,65 years or over,Ratio,Males,Iceland,3.48,3.27,3.09,3.32,3.09,4.02,3.81,2.99,:,:,:,:
Annual,65 years or over,Ratio,Males,Italy,4.42,4.49,4.49,4.68,4.79,4.78,4.96,5.07,5.07,5.37,5.37,5.28
Annual,65 years or over,Ratio,Males,Lithuania,3.66,3.84,3.98,4.04,4.29,5.14,5.04,4.81,4.9,4.66,5.2,4.04
Annual,65 years or over,Ratio,Males,Luxembourg,3.73,4.46,3.64,3.6,4.22 b,4.44,4.25,3.96,3.86 b,4.29 b,4.55 b,4.95
Annual,65 years or over,Ratio,Males,Latvia,3.81,3.86,4.66,4.31,4.88,5.24,5.54,5.64,5.25,6.04,5.27,5.26
Annual,65 years or over,Ratio,Males,Montenegro,:,5.61,4.53,5.18,5.34,5.33,5.54,5.07,4.9,4.21,4.62,:
Annual,65 years or over,Ratio,Males,North Macedonia,6.35,5.61,5.44,4.79,5.05,5.18,4.95,4.88,4.53,:,:,:
Annual,65 years or over,Ratio,Males,Malta,3.63,3.48,3.43,3.66,3.58,3.46,3.29,3.24,3.79,3.5,3.6,4.31
Annual,65 years or over,Ratio,Males,Netherlands,3.24,3.2,3.39,3.01,3.16 b,3.16,3.23,3.17,3.19,2.97,3.04,3.09
Annual,65 years or over,Ratio,Males,Norway,2.54,2.56,2.79,2.76,3.14,3.27,2.88,3.3,4.0,3.10 b,3.14,2.87 b
Annual,65 years or over,Ratio,Males,Poland,3.45,3.34,3.38,3.46,3.32,3.32,3.34,3.4,3.23,3.18,3.11,3.38
Annual,65 years or over,Ratio,Males,Portugal,5.53,5.12,4.9,5.05,5.57,5.65,5.33,5.36,5.14,5.67,5.6,5.45
Annual,65 years or over,Ratio,Males,Romania,4.05,4.09,4.57,7.62,3.89,3.82,3.96,4.0,4.18,4.16,4.17,3.51
Annual,65 years or over,Ratio,Males,Serbia,:,6.15,6.16,6.38,6.9,5.56,5.25,5.21,4.66,4.59,4.59,:
Annual,65 years or over,Ratio,Males,Sweden,3.38,3.3,3.68,3.39,3.98,4.08,3.48,3.91,3.58,3.27,3.99,4.95
Annual,65 years or over,Ratio,Males,Slovenia,3.36,3.35,3.4,3.36,3.32,3.23,3.33,3.22,3.12,3.19,3.35,3.43
Annual,65 years or over,Ratio,Males,Slovakia,2.39,2.31,2.28,2.33,2.38,2.42,2.27,2.34,2.34,2.45,2.29,2.45
Annual,65 years or over,Ratio,Males,Türkiye,8.04,7.58,7.72,7.44,6.89,6.63,7.85,6.71,10.04,7.01,8.8,6.45
Annual,65 years or over,Ratio,Males,United Kingdom,4.22 b,3.8,4.38,4.28,4.59,4.36 b,4.81,:,:,:,:,:
Annual,65 years or over,Ratio,Total,Albania,:,:,:,:,:,4.45,4.37,4.14,3.97,3.91,:,:
Annual,65 years or over,Ratio,Total,Austria,4.08,4.06,3.97,3.75,3.71,3.74,3.76,3.94,3.98,4.0,4.22,4.45
Annual,65 years or over,Ratio,Total,Belgium,3.24,3.06,3.0,3.2,3.22,2.94,3.06,3.34 b,3.41,2.92,3.48,3.19
Annual,65 years or over,Ratio,Total,Bulgaria,4.33,4.6,4.25,4.49,4.29 b,5.06,4.82,4.92,5.03,5.19,4.98,4.14
Annual,65 years or over,Ratio,Total,Switzerland,4.72,4.49,4.65 b,4.77,4.58,4.84,4.7,4.83,5.22,4.98,4.96,4.82
Annual,65 years or over,Ratio,Total,Cyprus,4.62,4.82,4.81,4.74,4.78,4.67,4.55,4.47,4.24,4.58,4.43,4.72
Annual,65 years or over,Ratio,Total,Czechia,2.42,2.44,2.4,2.41,2.37,2.36,2.51,2.57,2.56,2.53,2.7,2.66
Annual,65 years or over,Ratio,Total,Germany,3.91,3.82,4.19,3.96,4.09,3.85,4.29,4.64,4.16 b,4.34,3.91,3.92
Annual,65 years or over,Ratio,Total,Denmark,2.97,3.02,3.77,3.22,3.23,2.88,3.2,3.46,3.06 b,2.84,3.07,4.49
Annual,65 years or over,Ratio,Total,Euro area - 19 countries  (2015-2022),4.17,4.07,4.2,4.14,4.22,4.15,4.25,4.4,4.25 b,4.31,:,:
Annual,65 years or over,Ratio,Total,Euro area – 20 countries (from 2023),:,:,4.2,4.15,4.22,4.16,4.26,4.4,4.26,4.33,4.22,4.26
Annual,65 years or over,Ratio,Total,Estonia,2.93,3.1,3.35 b,3.45,3.53,3.68,3.64,3.67,3.83,3.53,3.93,3.88
Annual,65 years or over,Ratio,Total,Greece,4.47,3.92,4.13,4.08,3.94,4.16,3.86,3.76,3.96,4.23,4.17,4.15
Annual,65 years or over,Ratio,Total,Spain,4.48,4.45,4.3,4.31,4.29,4.57,4.5,4.5,4.95,5.21,4.92,4.98
Annual,65 years or over,Ratio,Total,European Union - 27 countries (2007-2013),4.05,3.95,4.11,4.11,4.13,4.1,4.19,4.30 e,:,:,:,:
Annual,65 years or over,Ratio,Total,European Union - 27 countries (from 2020),4.04,3.97,4.08 e,4.10 e,4.09 e,4.05 e,4.12 e,4.24 e,4.15 b,4.17,4.09,4.11
Annual,65 years or over,Ratio,Total,European Union - 28 countries (2013-2020),4.06,3.96,4.11,4.11,4.14,4.1,4.2,4.30 e,:,:,:,:
Annual,65 years or over,Ratio,Total,Finland,3.33,3.25,3.22,3.13,3.09,3.03,3.02,3.09,3.18,3.07,3.2,3.18
Annual,65 years or over,Ratio,Total,France,4.6,4.27,4.49,4.46,4.4,4.12,4.1,4.11,3.61 b,3.4,3.46 b,3.74
Annual,65 years or over,Ratio,Total,Croatia,4.89,5.11,4.33,4.52,4.45,4.35,4.74,4.48,4.57,4.57,4.36,4.89 b
Annual,65 years or over,Ratio,Total,Hungary,2.69,2.84,2.79,2.99,3.11,3.55,3.39,3.1,4.88,3.17,3.67,3.35
Annual,65 years or over,Ratio,Total,Ireland,4.4,4.73,4.26,4.09,3.91,3.8,3.73,3.77 b,3.97 b,3.74,3.88,4.01
Annual,65 years or over,Ratio,Total,Iceland,3.3,3.03,2.89,3.49,3.4,3.82,3.39,3.16,:,:,:,:
Annual,65 years or over,Ratio,Total,Italy,4.34,4.38,4.39,4.51,4.72,4.75,4.86,5.07,5.14,5.3,5.39,5.22
Annual,65 years or over,Ratio,Total,Lithuania,3.42,3.93,4.01,4.2,4.37,4.95,4.87,4.65,4.59,4.26,4.64,4.15
Annual,65 years or over,Ratio,Total,Luxembourg,3.64,4.1,3.71,3.48,4.45 b,4.41,4.65,4.39,3.90 b,4.15 b,4.70 b,4.63
Annual,65 years or over,Ratio,Total,Latvia,3.7,3.92,4.32,4.2,4.65,4.84,5.07,5.42,5.08,5.65,5.26,4.93
Annual,65 years or over,Ratio,Total,Montenegro,:,5.51,4.39,5.24,5.13,4.78,5.31,4.99,4.67,4.27,4.44,:
Annual,65 years or over,Ratio,Total,North Macedonia,5.9,5.13,5.09,4.73,5.02,4.88,4.72,4.66,4.36,:,:,:
Annual,65 years or over,Ratio,Total,Malta,3.46,3.27,3.17,3.41,3.38,3.3,3.1,3.11,3.5,3.44,3.62,4.29
Annual,65 years or over,Ratio,Total,Netherlands,3.07,3.22,3.4,3.05,3.05 b,3.0,3.02,3.03,2.99,2.83,2.94,2.88
Annual,65 years or over,Ratio,Total,Norway,2.67,2.72,2.89,2.91,3.07,3.22,2.87,3.11,3.47,3.00 b,3.06,2.74 b
Annual,65 years or over,Ratio,Total,Poland,3.54,3.43,3.43,3.48,3.45,3.46,3.42,3.56,3.38,3.38,3.2,3.44
Annual,65 years or over,Ratio,Total,Portugal,5.31,4.93,4.86,4.97,5.42,5.41,5.23,5.21,5.02,5.68,5.49,5.49
Annual,65 years or over,Ratio,Total,Romania,4.34,4.5,4.79,6.19,4.39,4.35,4.46,4.39,4.5,4.62,4.4,3.48
Annual,65 years or over,Ratio,Total,Serbia,:,6.36,6.18,6.32,6.98,6.16,5.78,5.36,4.91,5.29,4.65,:
Annual,65 years or over,Ratio,Total,Sweden,3.34,3.35,3.61,3.3,3.85,3.74,3.43,3.6,3.41,3.27,3.83,4.45
Annual,65 years or over,Ratio,Total,Slovenia,3.59,3.55,3.54,3.55,3.56,3.41,3.44,3.35,3.25,3.17,3.27,3.4
Annual,65 years or over,Ratio,Total,Slovakia,2.39,2.32,2.33,2.33,2.37,2.41,2.31,2.48,2.46,2.67,2.38,2.53
Annual,65 years or over,Ratio,Total,Türkiye,7.83,7.47,7.45,7.21,6.78,6.78,7.48,6.86,9.58,6.52,7.54,6.29
Annual,65 years or over,Ratio,Total,United Kingdom,4.17 b,3.82,4.31,4.19,4.48,4.48 b,4.7,:,:,:,:,:
