Time frequency,Item of milk,Dairy and other animal products (except meat),Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Hungary,: @C,: @C,0.00 n,0.0,: @C,: @C,: @C,: @C,: @C,: @C,: @C,0.00 n
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Ireland,25.5,35.0,24.85,25.9,37.0,40.0,43.0,50.8,52.80 e,52.10 e,61.20 e,57.00 e
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Italy,: @C,: @C,: @C,: @C,: @C,: @C,: @C,4.5,: @C,: @C,6.0,5.82
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Lithuania,: @C,: @C,: @C,0.0,: @C,0.0,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Luxembourg,: @C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Latvia,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Montenegro,:,0.0,0.00 n,0.0,0.0,0.0,0.0,0.0,:,:,:,:
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",North Macedonia,:,:,:,:,:,:,:,0.0,:,:,:,:
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Malta,: @C,: @C,: @C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Netherlands,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Norway,:,:,5.4,5.5,5.8,5.5,5.6,5.5,6.0,6.9,6.2,6.50 p
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Poland,31.38,34.31,38.24,33.56,32.59,: @C,25.64,: @C,: @C,: @C,: @C,: @C
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Portugal,: @C,: @C,8.01,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Romania,: @C,: @C,: @C,: @C,: @C,: @C,0.94,0.77,0.76,0.95,0.92,: @C
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Serbia,:,:,2.33,1.2,1.77,0.83,0.95,:,: @C,: @C,: @C,: @C
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Sweden,36.1,42.51,50.71,45.62,31.65,23.93,34.47,34.57,29.43,29.43,29.43,29.43
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Slovenia,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Slovakia,2.58,3.71,4.37,: @C,1.19,0.77,0.87,0.85,0.75,0.94,0.66,1.0
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",Türkiye,35.1,3.92,51.1,46.2,46.0,44.48,46.1,32.4,35.5,40.8,44.63,45.29
Annual,Products obtained (1 000 t),"Milk and cream powders, excluding skimmed milk powders",United Kingdom,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,:,:,:,:
