Time frequency,Income situation in relation to the risk of poverty threshold,Unit of measure,Age class,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2023.0
Annual,Total,Percentage,From 12 to 17 years,Montenegro,:,:,:,:,:,:,:,:,:,:,3.6,3.4,3.9,3.7,2.4,1.4,0.7,0.5,:
Annual,Total,Percentage,From 12 to 17 years,North Macedonia,:,:,:,:,:,:,:,14.9,12.6,15.8,12.2,11.4,7.1,6.5,6.4,5.8,5.3,4.9,:
Annual,Total,Percentage,From 12 to 17 years,Malta,:,:,0.0,0.1,0.0,0.0,0.0,0.0 n,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0
Annual,Total,Percentage,From 12 to 17 years,Netherlands,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0 n,0.0,0.0,0.0,0.0,:
Annual,Total,Percentage,From 12 to 17 years,Norway,0.7,0.4,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Total,Percentage,From 12 to 17 years,Poland,:,:,6.4,6.1,5.2,4.6,4.5,3.9,3.4,2.7,2.3,2.5,2.0,2.2,1.9,1.2,0.9,0.8,0.2
Annual,Total,Percentage,From 12 to 17 years,Portugal,:,3.0,2.6,2.2,1.7,1.8,1.5,0.7,0.9,0.4,0.5,0.2,0.3,0.7,0.8,0.6,0.4,0.5,0.2
Annual,Total,Percentage,From 12 to 17 years,Romania,:,:,:,:,46.9,46.8,46.9,45.6,43.7,44.1,43.3,43.2,42.2,41.1,35.8,33.1,27.7,27.8,18.9
Annual,Total,Percentage,From 12 to 17 years,Serbia,:,:,:,:,:,:,:,:,:,:,4.9,4.0,2.8,4.9,4.5,4.0,3.5,1.3,:
Annual,Total,Percentage,From 12 to 17 years,Sweden,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Total,Percentage,From 12 to 17 years,Slovenia,:,:,1.0,0.7,0.6,0.2,0.3,0.3,0.5,0.2,0.7,0.5,0.3,0.1,0.1,0.1,0.1,0.1,0.1
Annual,Total,Percentage,From 12 to 17 years,Slovakia,:,:,2.2,1.9,1.5,0.2,1.0,0.5,0.9,0.7,0.7,1.1,2.1,2.9,2.6,2.3,2.7,1.3,:
Annual,Total,Percentage,From 12 to 17 years,Türkiye,:,:,:,16.2,15.5,15.7,14.5,:,10.9,11.1,10.6,9.2,7.3,6.4,5.8,5.7,4.9,4.0,2.5
Annual,Total,Percentage,From 12 to 17 years,United Kingdom,:,:,1.0,0.7,0.9,0.8,0.7,0.6,0.2,0.1 b,0.3,0.3,0.5,0.5,1.0 bu,0.8 u,:,:,:
Annual,Total,Percentage,From 12 to 17 years,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.0,:,:,:
Annual,Total,Percentage,From 6 to 11 years,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.6,5.5,3.4,3.3,:
Annual,Total,Percentage,From 6 to 11 years,Austria,2.0,2.5,0.2,0.3,1.2,1.4 b,0.4,0.2,0.5,0.8,0.9,0.6,0.7,0.2,0.1,0.1,0.3,0.9,0.2
Annual,Total,Percentage,From 6 to 11 years,Belgium,0.5,0.7,0.9,0.4,0.2,0.3,0.1,0.0,1.1,1.2,1.0,1.1,1.3,1.3,1.0,0.7,0.5 b,0.6,0.5
Annual,Total,Percentage,From 6 to 11 years,Bulgaria,:,:,39.3,39.3,37.4,35.1,31.0,31.1,33.2,31.3,30.2,27.0 b,24.0,23.4 b,20.2,17.8,15.8,17.5,10.4
Annual,Total,Percentage,From 6 to 11 years,Switzerland,:,:,:,:,1.4,0.0,0.0,0.1,0.0,0.0,0.0,0.0 b,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Total,Percentage,From 6 to 11 years,Cyprus,:,:,0.9,0.2,0.1,0.3,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.1,0.0,0.1,0.1,0.1,:
Annual,Total,Percentage,From 6 to 11 years,Czechia,:,:,1.2,0.8,0.5,0.5,0.3,0.2,0.3,1.2,0.7,0.5,0.0,0.2,0.0,0.5,0.2,0.1,:
Annual,Total,Percentage,From 6 to 11 years,Germany,:,:,0.6,1.7,1.3,1.2,1.5,1.5,0.6,1.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0 b,:
Annual,Total,Percentage,From 6 to 11 years,Denmark,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,:
Annual,Total,Percentage,From 6 to 11 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,:,:,:,0.4 e,0.5 e,0.6 e,0.6 e,0.6 e,0.6 e,0.6 e,0.4 e,0.6,0.6,:
Annual,Total,Percentage,From 6 to 11 years,Euro area - 18 countries (2014),:,:,0.9 e,1.1 e,0.8,0.6,0.6,0.7,0.5,0.6,0.7,0.6,0.5,0.5,0.5,0.3,0.5,0.5,:
Annual,Total,Percentage,From 6 to 11 years,Euro area - 19 countries  (2015-2022),:,:,1.2 e,1.3 e,1.0,0.8,0.8,0.8,0.6,0.7,0.8,0.7,0.6,0.6,0.6,0.4,0.6,0.6,:
Annual,Total,Percentage,From 6 to 11 years,Estonia,:,18.3,18.1,16.3,11.5,10.3,9.6,9.7,8.3,6.9,6.5,4.4 b,4.0,3.3,2.8,1.9,1.2,1.2,:
Annual,Total,Percentage,From 6 to 11 years,Greece,2.9,2.7,2.0,2.1,2.3,2.1,0.8,1.9,0.3,0.3,0.5,0.3,0.5,0.8,0.6,0.3,0.2,0.6,0.3
Annual,Total,Percentage,From 6 to 11 years,Spain,:,0.3,0.3,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0 n,0.2,0.0 n,0.4,0.1,0.1,0.3,0.2,:
Annual,Total,Percentage,From 6 to 11 years,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,:,:,:,3.3,3.2,3.1,2.9,2.6,2.8,2.6 e,2.5 e,2.1 e,:,:
Annual,Total,Percentage,From 6 to 11 years,European Union - 27 countries (2007-2013),:,:,:,:,4.5,3.9,3.8,3.8,3.3,3.2,3.1,2.9,2.6,2.8,2.6 e,2.5 e,2.1 e,:,:
Annual,Total,Percentage,From 6 to 11 years,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,4.3 e,3.7 e,3.7 e,3.6 e,3.4 e,3.0 e,3.2 e,2.7 e,2.8 e,2.3 e,2.3,:
Annual,Total,Percentage,From 6 to 11 years,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,3.8,3.3,3.2,3.1,2.9,2.6,2.8,2.6 e,2.5 e,2.1 e,:,:
Annual,Total,Percentage,From 6 to 11 years,Finland,:,0.2,0.3,0.2,0.4,0.6,0.3,0.0 n,0.1,0.1,0.1,0.2,0.1,0.0 n,0.0 n,0.1,0.1,0.1,:
Annual,Total,Percentage,From 6 to 11 years,France,:,0.6,0.8,0.4,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.7,0.7,0.4,0.6,0.9 b,0.4
Annual,Total,Percentage,From 6 to 11 years,Croatia,:,:,:,:,:,:,:,0.7,1.6,2.2 b,1.7,1.5,1.0,0.7,0.8,0.7,0.8,1.0,:
Annual,Total,Percentage,From 6 to 11 years,Hungary,:,:,11.4,7.1,6.8,6.7,8.2,9.3,7.8,8.7,8.2,8.7,5.8,7.1,5.1,6.1,4.9,2.8,:
Annual,Total,Percentage,From 6 to 11 years,Ireland,0.1,0.7,0.2,0.2,0.4,0.1,0.0,0.1,3.5,1.5,2.3,0.0,0.0 n,0.4,0.1,0.0 n,0.2 b,0 u,:
Annual,Total,Percentage,From 6 to 11 years,Iceland,:,0.2,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Total,Percentage,From 6 to 11 years,Italy,:,0.4,0.2,0.1,0.2,0.1,0.1,0.4,0.3,0.4,1.8,1.3,0.4,0.0 n,0.7,0.6,1.1,0.9,1.0
Annual,Total,Percentage,From 6 to 11 years,Lithuania,:,:,23.7,24.1,19.3,16.8,17.5,14.0,13.5,11.8,12.6,12.4,14.1,17.6,11.9,8.1,14.3,6.5,2.6
Annual,Total,Percentage,From 6 to 11 years,Luxembourg,0.0 n,0.0 n,0.0 n,0.3,0.2,0.2,0.5,0.1,0.1,1.4,0.0,0.1,0.0,0.4 b,0.1,0.0,0.0,0.0 b,:
Annual,Total,Percentage,From 6 to 11 years,Latvia,:,:,24.5,20.4,22.5,18.1,19.0,19.1,15.0,15.3,14.6,14.2,13.1,9.2,6.7,7.6,6.9,6.5,3.6
Annual,Total,Percentage,From 6 to 11 years,Montenegro,:,:,:,:,:,:,:,:,:,:,4.0,3.5,4.2,3.8,1.3,0.7,0.6,1.4,:
Annual,Total,Percentage,From 6 to 11 years,North Macedonia,:,:,:,:,:,:,:,16.2,13.7,12.9,11.5,10.2,6.4,7.3,6.1,5.9,4.9,4.4,:
Annual,Total,Percentage,From 6 to 11 years,Malta,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.4,0.5,0.6,0.0
Annual,Total,Percentage,From 6 to 11 years,Netherlands,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0 n,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,:
Annual,Total,Percentage,From 6 to 11 years,Norway,0.3,0.3,0.1,0.3,0.2,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Total,Percentage,From 6 to 11 years,Poland,:,:,6.3,5.8,5.9,5.6,4.6,3.3,2.6,2.2,1.9,2.5,2.4,1.5,1.4,1.6,0.9,0.9,0.2
Annual,Total,Percentage,From 6 to 11 years,Portugal,:,3.1,2.0,3.0,2.4,1.5,1.1,0.7,0.4,0.5,0.9,1.0,0.7,0.6,0.3,0.4,0.4,0.2,0.1
Annual,Total,Percentage,From 6 to 11 years,Romania,:,:,:,:,53.4,46.9,49.8,47.3,43.3,41.0,41.2,37.4,34.5,39.7,31.5,34.6,27.2,27.5,13.4
Annual,Total,Percentage,From 6 to 11 years,Serbia,:,:,:,:,:,:,:,:,:,:,4.0,3.0,2.9,4.3,4.9,4.1,3.7,2.5,:
Annual,Total,Percentage,From 6 to 11 years,Sweden,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Total,Percentage,From 6 to 11 years,Slovenia,:,:,1.3,0.9,1.4,0.5,0.3,0.2,0.3,0.1,0.1,0.6,0.4,0.1,0.1,0.1,0.0,0.2,0.1
Annual,Total,Percentage,From 6 to 11 years,Slovakia,:,:,3.2,4.2,3.3,0.1,1.2,1.1,2.2,1.7,0.9,2.9,2.8,2.6,2.2,1.9,1.9,0.8,:
Annual,Total,Percentage,From 6 to 11 years,Türkiye,:,:,:,17.5,16.2,16.4,15.6,:,10.8,10.6,10.4,8.9,7.8,6.7,5.7,5.1,4.1,4.1,2.3
Annual,Total,Percentage,From 6 to 11 years,United Kingdom,:,:,1.0,1.1,1.0,0.5,0.6,0.5,0.2,0.3 b,0.0 n,0.2,0.2,0.4,0.6 bu,0.4 u,:,:,:
Annual,Total,Percentage,From 6 to 11 years,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.2,:,:,:
Annual,Total,Percentage,Less than 18 years,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.8,5.6,3.6,3.5,:
Annual,Total,Percentage,Less than 18 years,Austria,1.7,2.0,0.7,0.5,1.2,0.9 b,0.8,0.3,0.5,0.6,0.9,0.6,0.7,0.7,0.5,0.2,0.2,0.7,0.2
Annual,Total,Percentage,Less than 18 years,Belgium,0.7,0.6,0.6,0.5,0.5,0.5,0.2,0.0 n,1.0,1.9,1.1,1.1,1.5,1.3,0.9,0.5,0.3 b,0.4,0.6
Annual,Total,Percentage,Less than 18 years,Bulgaria,:,:,38.5,38.5,39.4,33.0,29.6,28.4,29.4,28.3,28.9,27.6 b,23.7,23.4 b,20.6,18.2,16.2,16.4,11.6
Annual,Total,Percentage,Less than 18 years,Switzerland,:,:,:,:,1.9,0.0,0.0,0.1,0.1,0.0,0.0,0.4 b,0.0,0.0,0.0 n,0.0,0.0,0.0,:
Annual,Total,Percentage,Less than 18 years,Cyprus,:,:,0.8,0.6,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0.2,0.0 n,0.0 n,0.1,0.0 n,0.1,0.1,:
Annual,Total,Percentage,Less than 18 years,Czechia,:,:,1.6,1.0,0.9,0.8,0.3,0.3,0.3,0.8,0.7,0.6,0.3,0.3,0.2,0.4,0.3,0.3,:
Annual,Total,Percentage,Less than 18 years,Germany,:,:,0.9,1.9,1.2,1.2,1.0,1.3,0.9,1.0,0.1,0.0 n,0.1,0.1,0.0 n,0.0,0.1,0.0 b,:
Annual,Total,Percentage,Less than 18 years,Denmark,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.1,0.2,0.1,0.1,0.2,0.0 n,0.0 n,0.2,:
Annual,Total,Percentage,Less than 18 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,:,:,:,0.6 e,0.6 e,0.5 e,0.5 e,0.5 e,0.6 e,0.5 e,0.4 e,0.5,0.5,:
Annual,Total,Percentage,Less than 18 years,Euro area - 18 countries (2014),:,:,0.9 e,1.1 e,0.8,0.7,0.7,0.6,0.7,0.7,0.6,0.5,0.4,0.5,0.4,0.3,0.4,0.4,:
Annual,Total,Percentage,Less than 18 years,Euro area - 19 countries  (2015-2022),:,:,1.2 e,1.3 e,1.0,0.9,0.8,0.8,0.8,0.8,0.7,0.6,0.5,0.6,0.5,0.4,0.5,0.5,:
Annual,Total,Percentage,Less than 18 years,Estonia,:,17.2,15.0,14.1,12.7,10.6,9.8,9.2,7.9,5.9,5.4,4.4 b,3.7,3.9,2.6,2.3,1.6,1.3,:
Annual,Total,Percentage,Less than 18 years,Greece,2.0,1.7,1.8,1.9,2.1,2.1,1.1,1.0,0.5,0.1,0.5,0.2,0.4,0.4,0.3,0.4,0.4,0.5,0.3
Annual,Total,Percentage,Less than 18 years,Spain,:,0.3,0.4,0.1,0.2,0.0 n,0.0,0.0,0.0,0.0 n,0.0 n,0.2,0.0 n,0.4,0.0 n,0.3,0.4,0.5,:
Annual,Total,Percentage,Less than 18 years,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,:,:,:,3.0,3.0,2.8,2.6,2.5,2.6,2.4 e,2.1 e,1.9 e,:,:
Annual,Total,Percentage,Less than 18 years,European Union - 27 countries (2007-2013),:,:,:,:,4.3,3.7,3.5,3.3,3.1,3.0,2.8,2.6,2.5,2.6,2.4 e,2.1 e,1.9 e,:,:
Annual,Total,Percentage,Less than 18 years,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,3.7 e,3.5 e,3.4 e,3.2 e,3.0 e,2.8 e,2.9 e,2.5 e,2.3 e,2.0 e,2.0,:
Annual,Total,Percentage,Less than 18 years,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,3.3,3.1,3.0,2.8,2.6,2.5,2.6,2.4 e,2.1 e,1.9 e,:,:
Annual,Total,Percentage,Less than 18 years,Finland,:,0.3,0.4,0.2,0.3,0.5,0.4,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.0 n,0.1,0.1,0.0 n,:
Annual,Total,Percentage,Less than 18 years,France,:,0.6,0.5,0.4,0.4,0.2,0.5,0.3,0.4,0.4,0.3,0.4,0.3,0.4,0.6,0.4,0.4,0.6 b,0.6
Annual,Total,Percentage,Less than 18 years,Croatia,:,:,:,:,:,:,:,0.6,1.7,2.5 b,1.3,1.7,1.5,1.1,0.9,0.8,0.7,0.8,:
Annual,Total,Percentage,Less than 18 years,Hungary,:,:,9.9,6.3,6.7,6.8,8.8,8.5,7.6,8.5,8.7,8.9,5.4,7.0,6.0,6.5,4.8,2.9,:
Annual,Total,Percentage,Less than 18 years,Ireland,0.0 n,0.4,0.2,0.1,0.3,0.2,0.0 n,0.1,4.0,1.5,2.4,0.0 n,0.1,0.3,0.1,0.2,0.1 b,0.2 bu,:
Annual,Total,Percentage,Less than 18 years,Iceland,:,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Total,Percentage,Less than 18 years,Italy,:,0.3,0.2,0.1,0.1,0.1,0.1,0.2,0.3,0.6,1.4,0.9,0.7,0.4,0.5,0.4,0.7,0.7,1.4
Annual,Total,Percentage,Less than 18 years,Lithuania,:,:,24.3,24.6,18.7,18.0,15.8,13.5,14.7,13.0,10.5,10.6,12.9,14.4,11.1,8.9,10.5,5.2,1.8
Annual,Total,Percentage,Less than 18 years,Luxembourg,0.0 n,0.0 n,0.0 n,0.4,0.6,0.6,0.9,0.3,0.1,0.9,0.0,0.1,0.0,0.5 b,0.1,0.0,0.0,0.0 b,:
Annual,Total,Percentage,Less than 18 years,Latvia,:,:,22.3,19.4,21.3,17.4,17.7,17.2,15.5,16.1,14.1,14.3,13.2,10.5,7.5,7.7,6.1,5.3,3.2
Annual,Total,Percentage,Less than 18 years,Montenegro,:,:,:,:,:,:,:,:,:,:,3.9,3.3,3.9,4.1,1.8,1.0,0.8,1.4,:
Annual,Total,Percentage,Less than 18 years,North Macedonia,:,:,:,:,:,:,:,14.9,12.8,14.3,12.5,10.9,6.5,7.1,5.5,5.7,4.9,4.1,:
Annual,Total,Percentage,Less than 18 years,Malta,:,:,0.0,0.0 n,0.0,0.0,0.0,0.0 n,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.3,0.2,0.2,0.0
Annual,Total,Percentage,Less than 18 years,Netherlands,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0 n,0.0,0.0,0.0 n,0.0 n,0.0 n,0.0,0.0,0.0,:
Annual,Total,Percentage,Less than 18 years,Norway,0.5,0.3,0.1,0.1,0.1,0.0 n,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Total,Percentage,Less than 18 years,Poland,:,:,6.7,6.0,5.4,4.9,4.3,3.4,2.8,2.3,1.9,2.1,1.9,1.5,1.7,1.4,1.1,1.1,0.2
Annual,Total,Percentage,Less than 18 years,Portugal,:,2.9,2.1,2.6,2.5,1.6,1.5,0.6,0.4,0.5,0.7,0.5,0.5,0.6,0.5,0.5,0.4,0.3,0.2
Annual,Total,Percentage,Less than 18 years,Romania,:,:,:,:,50.0,46.6,47.3,45.9,42.6,41.2,41.0,38.7,38.0,39.4,32.6,32.1,26.5,26.2,15.5
Annual,Total,Percentage,Less than 18 years,Serbia,:,:,:,:,:,:,:,:,:,:,4.3,3.1,2.7,4.3,4.5,3.8,3.5,2.0,:
Annual,Total,Percentage,Less than 18 years,Sweden,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Total,Percentage,Less than 18 years,Slovenia,:,:,1.1,0.9,0.9,0.3,0.3,0.2,0.4,0.1,0.3,0.5,0.3,0.1,0.1,0.1,0.0 n,0.1,0.1
Annual,Total,Percentage,Less than 18 years,Slovakia,:,:,2.8,2.7,2.2,0.3,1.2,1.2,1.9,1.5,0.8,1.8,2.3,2.4,2.2,2.2,2.4,1.1,:
Annual,Total,Percentage,Less than 18 years,Türkiye,:,:,:,17.0,16.0,16.0,14.8,:,10.8,10.7,10.2,9.0,7.7,6.3,5.5,5.1,4.2,3.8,2.4
Annual,Total,Percentage,Less than 18 years,United Kingdom,:,:,1.1,0.9,0.8,0.5,0.6,0.5,0.2,0.1 b,0.1,0.2,0.4,0.4,0.6 bu,0.5 u,:,:,:
Annual,Total,Percentage,Less than 18 years,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.0,:,:,:
Annual,Total,Percentage,Less than 6 years,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.3,4.8,3.4,3.2,:
Annual,Total,Percentage,Less than 6 years,Austria,1.8,1.5,1.1,0.7,1.3,1.1 b,0.8,0.3,0.8,0.6,1.1,0.6,1.0,1.2,0.3,0.2,0.3,0.7,0.1
Annual,Total,Percentage,Less than 6 years,Belgium,0.6,0.4,0.3,0.6,0.3,0.1,0.4,0.1,0.7,1.0,1.1,0.9,1.7,1.3,0.6,0.3,0.2 b,0.3,0.9
