Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2010.0,2015.0
Annual,Percentage,From 15 to 64 years,Females,Slovenia,5.8,8.2
Annual,Percentage,From 15 to 64 years,Females,Slovakia,2.4,3.5
Annual,Percentage,From 15 to 64 years,Females,United Kingdom,9.5,9.9
Annual,Percentage,From 15 to 64 years,Males,Austria,9.2,5.9
Annual,Percentage,From 15 to 64 years,Males,Belgium,10.1,8.2
Annual,Percentage,From 15 to 64 years,Males,Bulgaria,1.2,0.3
Annual,Percentage,From 15 to 64 years,Males,Cyprus,2.3,3.3
Annual,Percentage,From 15 to 64 years,Males,Czechia,4.2,3.8
Annual,Percentage,From 15 to 64 years,Males,Germany,6.4,5.9
Annual,Percentage,From 15 to 64 years,Males,Denmark,4.0,4.7
Annual,Percentage,From 15 to 64 years,Males,Estonia,1.1,4.2
Annual,Percentage,From 15 to 64 years,Males,Greece,4.9,3.2
Annual,Percentage,From 15 to 64 years,Males,Spain,3.1,3.7
Annual,Percentage,From 15 to 64 years,Males,European Union - 27 countries (from 2020),5.2,5.6
Annual,Percentage,From 15 to 64 years,Males,European Union - 28 countries (2013-2020),5.3,5.8
Annual,Percentage,From 15 to 64 years,Males,Finland,5.1,3.8
Annual,Percentage,From 15 to 64 years,Males,France,12.2,12.2
Annual,Percentage,From 15 to 64 years,Males,Croatia,2.5,3.8
Annual,Percentage,From 15 to 64 years,Males,Hungary,2.1,0.5
Annual,Percentage,From 15 to 64 years,Males,Ireland,7.3,9.6
Annual,Percentage,From 15 to 64 years,Males,Italy,1.1,3.2
Annual,Percentage,From 15 to 64 years,Males,Lithuania,4.9,4.5
Annual,Percentage,From 15 to 64 years,Males,Luxembourg,6.2,10.1
Annual,Percentage,From 15 to 64 years,Males,Latvia,4.9,5.6
Annual,Percentage,From 15 to 64 years,Males,Malta,4.0,6.7
Annual,Percentage,From 15 to 64 years,Males,Netherlands,7.4,10.3
Annual,Percentage,From 15 to 64 years,Males,Poland,2.8,1.7
Annual,Percentage,From 15 to 64 years,Males,Portugal,3.4,1.3
Annual,Percentage,From 15 to 64 years,Males,Romania,2.2,3.2
Annual,Percentage,From 15 to 64 years,Males,Sweden,4.1,6.8
Annual,Percentage,From 15 to 64 years,Males,Slovenia,5.5,5.5
Annual,Percentage,From 15 to 64 years,Males,Slovakia,2.1,2.2
Annual,Percentage,From 15 to 64 years,Males,United Kingdom,5.8,6.8
Annual,Percentage,From 15 to 64 years,Total,Austria,9.5,6.9
Annual,Percentage,From 15 to 64 years,Total,Belgium,10.5,9.8
Annual,Percentage,From 15 to 64 years,Total,Bulgaria,1.1,0.1
Annual,Percentage,From 15 to 64 years,Total,Cyprus,2.0,2.9
Annual,Percentage,From 15 to 64 years,Total,Czechia,5.0,3.9
Annual,Percentage,From 15 to 64 years,Total,Germany,7.1,6.5
Annual,Percentage,From 15 to 64 years,Total,Denmark,6.7,7.2
Annual,Percentage,From 15 to 64 years,Total,Estonia,2.1,3.9
Annual,Percentage,From 15 to 64 years,Total,Greece,5.0,3.7
Annual,Percentage,From 15 to 64 years,Total,Spain,3.3,3.6
Annual,Percentage,From 15 to 64 years,Total,European Union - 27 countries (from 2020),5.6,6.3
Annual,Percentage,From 15 to 64 years,Total,European Union - 28 countries (2013-2020),5.9,6.6
Annual,Percentage,From 15 to 64 years,Total,Finland,9.5,8.0
Annual,Percentage,From 15 to 64 years,Total,France,11.3,13.7
Annual,Percentage,From 15 to 64 years,Total,Croatia,3.0,3.4
Annual,Percentage,From 15 to 64 years,Total,Hungary,2.4,1.1
Annual,Percentage,From 15 to 64 years,Total,Ireland,6.8,10.7
Annual,Percentage,From 15 to 64 years,Total,Italy,1.4,3.3
Annual,Percentage,From 15 to 64 years,Total,Lithuania,5.0,5.1
Annual,Percentage,From 15 to 64 years,Total,Luxembourg,7.9,11.1
Annual,Percentage,From 15 to 64 years,Total,Latvia,5.7,5.7
Annual,Percentage,From 15 to 64 years,Total,Malta,4.4,6.6
Annual,Percentage,From 15 to 64 years,Total,Netherlands,9.4,11.4
Annual,Percentage,From 15 to 64 years,Total,Poland,1.8,1.9
Annual,Percentage,From 15 to 64 years,Total,Portugal,4.1,1.6
Annual,Percentage,From 15 to 64 years,Total,Romania,1.9,4.2
Annual,Percentage,From 15 to 64 years,Total,Sweden,5.8,9.5
Annual,Percentage,From 15 to 64 years,Total,Slovenia,5.6,6.8
Annual,Percentage,From 15 to 64 years,Total,Slovakia,2.3,2.8
Annual,Percentage,From 15 to 64 years,Total,United Kingdom,7.5,8.2
Annual,Percentage,From 25 to 64 years,Females,Austria,11.3,8.9
Annual,Percentage,From 25 to 64 years,Females,Belgium,11.6,12.4
Annual,Percentage,From 25 to 64 years,Females,Bulgaria,1.2,0.0
Annual,Percentage,From 25 to 64 years,Females,Cyprus,2.2,3.0
Annual,Percentage,From 25 to 64 years,Females,Czechia,5.7,4.3
Annual,Percentage,From 25 to 64 years,Females,Germany,7.2,7.6
Annual,Percentage,From 25 to 64 years,Females,Denmark,9.8,10.3
Annual,Percentage,From 25 to 64 years,Females,Estonia,3.3,3.8
Annual,Percentage,From 25 to 64 years,Females,Greece,5.8,4.4
Annual,Percentage,From 25 to 64 years,Females,Spain,3.5,3.3
Annual,Percentage,From 25 to 64 years,Females,European Union - 27 countries (from 2020),6.1,7.3
Annual,Percentage,From 25 to 64 years,Females,European Union - 28 countries (2013-2020),6.6,7.5
Annual,Percentage,From 25 to 64 years,Females,Finland,15.0,13.8
Annual,Percentage,From 25 to 64 years,Females,France,11.3,16.0
Annual,Percentage,From 25 to 64 years,Females,Croatia,3.0,2.8
Annual,Percentage,From 25 to 64 years,Females,Hungary,3.0,1.9
Annual,Percentage,From 25 to 64 years,Females,Ireland,6.6,12.6
Annual,Percentage,From 25 to 64 years,Females,Italy,1.7,3.4
Annual,Percentage,From 25 to 64 years,Females,Lithuania,5.7,4.7
Annual,Percentage,From 25 to 64 years,Females,Luxembourg,10.5,11.1
Annual,Percentage,From 25 to 64 years,Females,Latvia,7.2,5.9
Annual,Percentage,From 25 to 64 years,Females,Malta,4.6,5.5
Annual,Percentage,From 25 to 64 years,Females,Netherlands,13.8,13.1
Annual,Percentage,From 25 to 64 years,Females,Poland,0.6,2.7
Annual,Percentage,From 25 to 64 years,Females,Portugal,5.2,2.0
Annual,Percentage,From 25 to 64 years,Females,Romania,1.5,5.0
Annual,Percentage,From 25 to 64 years,Females,Sweden,8.7,11.2
Annual,Percentage,From 25 to 64 years,Females,Slovenia,5.8,9.0
Annual,Percentage,From 25 to 64 years,Females,Slovakia,2.2,4.3
Annual,Percentage,From 25 to 64 years,Females,United Kingdom,10.1,9.0
Annual,Percentage,From 25 to 64 years,Males,Austria,9.6,6.9
Annual,Percentage,From 25 to 64 years,Males,Belgium,10.6,7.7
Annual,Percentage,From 25 to 64 years,Males,Bulgaria,0.6,0.4
Annual,Percentage,From 25 to 64 years,Males,Cyprus,1.7,4.5
Annual,Percentage,From 25 to 64 years,Males,Czechia,4.0,4.1
Annual,Percentage,From 25 to 64 years,Males,Germany,6.9,6.6
Annual,Percentage,From 25 to 64 years,Males,Denmark,4.0,4.8
Annual,Percentage,From 25 to 64 years,Males,Estonia,1.2,5.5
Annual,Percentage,From 25 to 64 years,Males,Greece,4.7,3.0
Annual,Percentage,From 25 to 64 years,Males,Spain,3.1,4.1
Annual,Percentage,From 25 to 64 years,Males,European Union - 27 countries (from 2020),5.4,6.0
Annual,Percentage,From 25 to 64 years,Males,European Union - 28 countries (2013-2020),5.7,6.4
Annual,Percentage,From 25 to 64 years,Males,Finland,5.7,3.3
Annual,Percentage,From 25 to 64 years,Males,France,12.7,13.3
Annual,Percentage,From 25 to 64 years,Males,Croatia,2.2,4.3
Annual,Percentage,From 25 to 64 years,Males,Hungary,2.0,0.7
Annual,Percentage,From 25 to 64 years,Males,Ireland,8.0,10.4
Annual,Percentage,From 25 to 64 years,Males,Italy,1.2,3.8
Annual,Percentage,From 25 to 64 years,Males,Lithuania,5.2,5.3
Annual,Percentage,From 25 to 64 years,Males,Luxembourg,6.5,10.0
Annual,Percentage,From 25 to 64 years,Males,Latvia,5.1,5.1
Annual,Percentage,From 25 to 64 years,Males,Malta,4.5,6.1
Annual,Percentage,From 25 to 64 years,Males,Netherlands,7.7,10.8
Annual,Percentage,From 25 to 64 years,Males,Poland,2.4,1.8
Annual,Percentage,From 25 to 64 years,Males,Portugal,2.8,1.5
Annual,Percentage,From 25 to 64 years,Males,Romania,2.5,2.5
Annual,Percentage,From 25 to 64 years,Males,Sweden,3.6,7.5
Annual,Percentage,From 25 to 64 years,Males,Slovenia,4.7,6.2
Annual,Percentage,From 25 to 64 years,Males,Slovakia,2.4,2.3
Annual,Percentage,From 25 to 64 years,Males,United Kingdom,7.9,8.4
Annual,Percentage,From 25 to 64 years,Total,Austria,10.4,7.9
Annual,Percentage,From 25 to 64 years,Total,Belgium,11.1,9.9
Annual,Percentage,From 25 to 64 years,Total,Bulgaria,0.9,0.2
Annual,Percentage,From 25 to 64 years,Total,Cyprus,1.9,3.7
Annual,Percentage,From 25 to 64 years,Total,Czechia,4.8,4.2
Annual,Percentage,From 25 to 64 years,Total,Germany,7.0,7.1
Annual,Percentage,From 25 to 64 years,Total,Denmark,6.8,7.4
Annual,Percentage,From 25 to 64 years,Total,Estonia,2.3,4.6
Annual,Percentage,From 25 to 64 years,Total,Greece,5.2,3.6
Annual,Percentage,From 25 to 64 years,Total,Spain,3.3,3.7
Annual,Percentage,From 25 to 64 years,Total,European Union - 27 countries (from 2020),5.7,6.7
Annual,Percentage,From 25 to 64 years,Total,European Union - 28 countries (2013-2020),6.1,6.9
Annual,Percentage,From 25 to 64 years,Total,Finland,10.1,8.3
Annual,Percentage,From 25 to 64 years,Total,France,12.0,14.6
Annual,Percentage,From 25 to 64 years,Total,Croatia,2.6,3.5
Annual,Percentage,From 25 to 64 years,Total,Hungary,2.5,1.4
Annual,Percentage,From 25 to 64 years,Total,Ireland,7.4,11.5
Annual,Percentage,From 25 to 64 years,Total,Italy,1.4,3.6
Annual,Percentage,From 25 to 64 years,Total,Lithuania,5.5,5.0
Annual,Percentage,From 25 to 64 years,Total,Luxembourg,8.2,10.6
Annual,Percentage,From 25 to 64 years,Total,Latvia,6.2,5.5
Annual,Percentage,From 25 to 64 years,Total,Malta,4.6,5.8
Annual,Percentage,From 25 to 64 years,Total,Netherlands,10.5,12.0
Annual,Percentage,From 25 to 64 years,Total,Poland,1.5,2.3
Annual,Percentage,From 25 to 64 years,Total,Portugal,3.9,1.8
Annual,Percentage,From 25 to 64 years,Total,Romania,2.1,3.7
Annual,Percentage,From 25 to 64 years,Total,Sweden,6.1,9.2
Annual,Percentage,From 25 to 64 years,Total,Slovenia,5.2,7.6
Annual,Percentage,From 25 to 64 years,Total,Slovakia,2.3,3.3
Annual,Percentage,From 25 to 64 years,Total,United Kingdom,8.9,8.7
Annual,Percentage,From 55 to 64 years,Females,Austria,9.2,6.0
Annual,Percentage,From 55 to 64 years,Females,Belgium,10.4,8.6
Annual,Percentage,From 55 to 64 years,Females,Bulgaria,0.0,0.0
Annual,Percentage,From 55 to 64 years,Females,Cyprus,0.0,0.0
Annual,Percentage,From 55 to 64 years,Females,Czechia,10.2,2.1
Annual,Percentage,From 55 to 64 years,Females,Germany,6.2,3.6
Annual,Percentage,From 55 to 64 years,Females,Denmark,11.9,8.4
Annual,Percentage,From 55 to 64 years,Females,Estonia,3.5,3.8
