Time frequency,itm_newa,indic_ag,unit,geo\TIME_PERIOD,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,20000.0,PROD_BP,MIO_EUR,IT,33410.38,30901.74,32850.5,31350.36,32436.7,34014.69,33384.59,32556.66,33757.36,37540.26,38915.68,42411.59 e
Annual,20000.0,PROD_BP,MIO_EUR,LT,1057.82,1022.44,1120.69,997.5,1241.16,990.06,1232.12,1499.79,1543.99,2031.07,1270.57,1423.34 e
Annual,20000.0,PROD_BP,MIO_EUR,LU,102.76,127.15,100.71,100.51,121.12,125.89,125.94,126.63,135.68,172.72,147.94,179.67 e
Annual,20000.0,PROD_BP,MIO_EUR,LV,254.77,297.89,399.54,333.31,426.81,346.49,573.41,590.11,613.67,825.86,454.32,651.17 e
Annual,20000.0,PROD_BP,MIO_EUR,MT,56.23,55.14,62.82,63.61,59.36,56.37,60.9,53.38,49.31,51.07,51.58,46.78 e
Annual,20000.0,PROD_BP,MIO_EUR,NL,10068.23,9916.82,10289.75,10941.26,12162.93,11101.14,11806.71,11295.95,11758.22,13302.6,15356.77,16239.91 e
Annual,20000.0,PROD_BP,MIO_EUR,NO,1995.35,1982.8,2015.4,2011.3,1931.74,1648.9,1709.7,1712.66,1800.22,1853.58,1405.89,1621.20 e
Annual,20000.0,PROD_BP,MIO_EUR,PL,9385.5,8177.61,7848.33,8582.6,9918.06,8820.34,9642.86,10305.62,9916.09,14253.27,13916.27,13406.18 e
Annual,20000.0,PROD_BP,MIO_EUR,PT,2703.41,2625.24,2905.67,2690.69,3023.5,2974.93,3295.88,3289.98,3660.73,3385.66,4339.24,4383.01 e
Annual,20000.0,PROD_BP,MIO_EUR,RO,7621.29,7110.08,6501.24,6537.95,7714.07,8328.45,8790.05,8273.04,10123.67,9929.62,10018.76,9379.11 e
Annual,20000.0,PROD_BP,MIO_EUR,SE,1625.6,1699.97,1848.4,1641.88,1925.84,1496.54,1578.4,1719.82,2247.96,2773.58,2136.21,2596.08 e
Annual,20000.0,PROD_BP,MIO_EUR,SI,400.75,465.97,523.9,469.58,430.26,619.62,560.44,583.94,425.31,523.19,585.34,692.17 e
Annual,20000.0,PROD_BP,MIO_EUR,SK,597.63,601.63,473.78,625.86,651.68,541.09,521.05,641.83,702.57,888.74,755.96,737.65 e
Annual,20000.0,PROD_BP,MIO_EUR,UK,10827.14,11944.57,11579.89,9885.83,11592.4,10722.97,11558.33,10225.90 e,:,:,:,:
Annual,20000.0,PROD_PP,MIO_EUR,AT,2717.09,2717.64,2726.8,2872.1,3233.01,3131.57,3072.31,3152.54,3669.32,4485.78,4379.23,4407.91 e
Annual,20000.0,PROD_PP,MIO_EUR,BE,2324.68,2165.68,2367.04,2166.58,2374.1,2168.18,2547.97,2328.07,2379.12,2768.27,3595.7,3715.57 e
Annual,20000.0,PROD_PP,MIO_EUR,BG,1562.66,1588.88,1407.68,1539.33,1669.45,1600.61,1632.45,1610.81,2535.39,2893.65,2029.49,1805.34 e
Annual,20000.0,PROD_PP,MIO_EUR,CH,2873.9,3211.18,3187.57,3396.14,3185.48,3255.25,3404.89,3757.65,3481.03,3823.61,4138.62,4292.74 e
Annual,20000.0,PROD_PP,MIO_EUR,CY,320.67,267.73,273.54,318.8,321.16,308.38,344.02,352.5,354.29,336.37,367.89,374.04 e
Annual,20000.0,PROD_PP,MIO_EUR,CZ,1409.95,1456.36,1423.4,1581.94,1587.17,1617.38,1678.85,1850.76,2216.98,2509.87,2245.86,2287.98 e
Annual,20000.0,PROD_PP,MIO_EUR,DE,22588.13,22178.5,16332.63,17540.1,22874.52,18709.31,23847.31,21576.65,22468.53,31812.25,30567.89,31944.05 e
Annual,20000.0,PROD_PP,MIO_EUR,DK,2814.92,2986.19,2146.39,2069.59,3089.32,2477.11,2983.25,3589.26,2981.6,3392.17,3121.4,3006.54 e
Annual,20000.0,PROD_PP,MIO_EUR,EA19,131974.39,132127.25,131491.14,129793.31,145304.54,143747.37,148214.03,144454.77,151834.88,178396.51,180851.74,191958.59 e
Annual,20000.0,PROD_PP,MIO_EUR,EA20,132901.37,132880.9,132332.75,130691.98,146204.97,144747.41,149254.5,145500.7,153191.21,180034.14,182135.46,193406.59 e
Annual,20000.0,PROD_PP,MIO_EUR,EE,328.73,340.44,255.82,142.52,253.36,197.79,274.39,249.28,249.12,465.35,218.48,216.03 e
Annual,20000.0,PROD_PP,MIO_EUR,EL,5059.08,5257.78,5721.35,5079.79,5585.52,5268.4,5644.39,5466.14,5396.37,6365.48,5996.09,7188.15 e
Annual,20000.0,PROD_PP,MIO_EUR,ES,22120.9,22416.83,23741.5,26541.9,28068.2,27964.64,27165.02,27073.14,29520.95,28605.53,33153.09,38625.57 e
Annual,20000.0,PROD_PP,MIO_EUR,EU27_2020,159504.29,158611.95,155695.79,154941.72,174672.74,171512.32,178076.89,175244.98,185900.15,218077.99,218006.71,227914.48 e
Annual,20000.0,PROD_PP,MIO_EUR,FI,845.69,908.21,695.0,766.48,808.77,771.32,1062.85,1184.26,1024.26,1357.06,1222.76,1319.31 e
Annual,20000.0,PROD_PP,MIO_EUR,FR,25355.6,27916.76,28443.02,25124.15,28681.87,32452.78,30512.47,29904.89,30637.51,38943.92,36697.69,33950.11 e
Annual,20000.0,PROD_PP,MIO_EUR,HR,926.98,753.65,841.61,898.67,900.43,1000.04,1040.47,1045.94,1356.32,1637.63,1283.73,1448.00 e
Annual,20000.0,PROD_PP,MIO_EUR,HU,2799.44,3103.89,2887.12,3108.16,3235.52,3113.75,3202.81,3070.22,3481.51,3096.51,3768.01,3202.97 e
Annual,20000.0,PROD_PP,MIO_EUR,IE,2042.03,2207.78,2554.55,2351.96,3190.66,2618.39,2801.59,3250.58,3979.06,5005.31,3513.59,4246.48 e
Annual,20000.0,PROD_PP,MIO_EUR,IS,25.83,53.05,83.55,85.02,81.16,55.01,61.59,75.44,78.66,87.45,92.83,118.67 e
Annual,20000.0,PROD_PP,MIO_EUR,IT,33223.28,30772.94,32722.5,31173.36,32275.03,33878.42,33238.89,32421.41,33607.46,37407.81,38781.84,42291.65 e
Annual,20000.0,PROD_PP,MIO_EUR,LT,848.58,792.05,863.95,673.44,908.04,659.95,900.68,1147.31,1144.52,1617.58,863.69,1006.51 e
Annual,20000.0,PROD_PP,MIO_EUR,LU,103.37,131.35,101.9,100.35,120.97,125.74,125.79,126.48,135.53,172.56,144.52,175.85 e
Annual,20000.0,PROD_PP,MIO_EUR,LV,245.7,249.77,319.58,264.21,375.41,291.59,515.66,518.6,555.97,759.58,372.68,579.76 e
Annual,20000.0,PROD_PP,MIO_EUR,MT,54.66,53.81,62.41,63.2,59.36,56.37,60.9,53.38,49.31,51.07,51.58,46.78 e
Annual,20000.0,PROD_PP,MIO_EUR,NL,10264.76,10231.52,10589.73,11032.63,12256.64,11205.14,11913.69,11367.8,12120.72,13672.11,15520.38,16411.50 e
Annual,20000.0,PROD_PP,MIO_EUR,NO,1198.4,1238.23,1319.35,1343.96,1265.57,1003.46,1080.25,1132.46,1192.21,1232.38,854.76,1062.24 e
Annual,20000.0,PROD_PP,MIO_EUR,PL,8802.83,7818.65,7278.98,7900.95,9378.25,8261.5,9085.13,9759.12,9247.93,13578.1,12673.06,12354.29 e
Annual,20000.0,PROD_PP,MIO_EUR,PT,2530.17,2455.44,2723.12,2514.11,2862.46,2806.79,3126.01,3098.31,3455.92,3173.17,4087.55,4053.72 e
Annual,20000.0,PROD_PP,MIO_EUR,RO,7621.29,7110.08,6501.24,6537.95,7714.07,8328.45,8790.05,8273.04,10123.67,9929.62,10018.76,9379.11 e
Annual,20000.0,PROD_PP,MIO_EUR,SE,1591.81,1667.01,1718.24,1511.82,1794.0,1366.13,1449.86,1591.07,2121.87,2643.93,2014.66,2471.67 e
Annual,20000.0,PROD_PP,MIO_EUR,SI,400.75,465.97,523.9,469.58,430.26,619.62,560.44,583.94,425.31,523.19,585.34,692.17 e
Annual,20000.0,PROD_PP,MIO_EUR,SK,596.49,595.68,467.5,597.08,625.52,514.21,493.24,618.85,681.39,870.22,731.75,713.44 e
Annual,20000.0,PROD_PP,MIO_EUR,UK,10802.68,11918.95,11529.5,9831.97,11539.69,10670.72,11504.74,10172.98 e,:,:,:,:
