Time frequency,Environment indicator,Materials,Unit of measure,Geopolitical entity (reporting)\Time,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Raw material consumption,Total,Tonnes per capita,Switzerland,20.157,20.919,20.409,19.682,19.74,19.817,20.021,20.369,20.379,20.342,18.455,19.755,19.05,19.282,18.314,18.428,18.945,18.256,17.351,17.01,16.184,15.616,15.956,14.907 i
Annual,Raw material consumption,Total,Tonnes per capita,Cyprus,:,:,:,:,:,:,:,:,41.372,35.57,31.123,28.802,20.694,15.271,15.134,15.362,16.967,20.197,19.368,20.505,19.563,20.655,20.86 i,21.34 i
Annual,Raw material consumption,Total,Tonnes per capita,Czechia,:,:,:,:,:,:,:,:,20.098,16.51,17.002,17.271,14.982,15.314,16.141,16.988,16.688,17.85,17.83,17.336,16.042,18.252,19.73 i,18.849 i
Annual,Raw material consumption,Total,Tonnes per capita,Germany,:,:,:,:,:,:,:,:,17.05 i,16.039 i,15.399,17.07,16.007,15.949,16.059,15.316,15.665,16.089,16.21,15.982,15.271,15.376 e,15.742 i,14.423 i
Annual,Raw material consumption,Total,Tonnes per capita,Denmark,:,:,:,:,:,:,:,:,28.89,24.873,18.151,21.297,22.581,21.365,21.128,23.102,23.335,22.867,23.184,24.237,22.505 i,22.6 i,23.114 i,21.292 i
Annual,Raw material consumption,Total,Tonnes per capita,Estonia,:,:,:,:,:,:,:,:,27.015,25.422,23.653,26.241,27.188,26.624,24.299,25.447,24.55,28.867,30.579,28.676,28.366,26.865,27.812 i,30.174 i
Annual,Raw material consumption,Total,Tonnes per capita,Greece,:,:,:,:,:,:,:,:,27.488 i,23.879 i,18.801 i,17.057 i,15.392 i,14.29 i,14.685 i,13.739 i,13.273 i,13.08 i,12.521 i,12.578 i,11.243 i,11.044 i,11.704 i,11.713 i
Annual,Raw material consumption,Total,Tonnes per capita,Spain,:,:,:,:,:,:,:,:,20.177 i,16.299 i,13.33 i,12.425 i,9.389 i,8.835 i,9.03 i,9.164 i,9.619 i,9.721 i,10.865 i,10.1 i,9.817 i,9.916 i,9.3 i,7.769 i
Annual,Raw material consumption,Total,Tonnes per capita,European Union - 27 countries (from 2020),16.299 i,16.771 i,16.943 i,17.022 i,17.36 i,17.355 i,18.091 i,18.399 i,18.712 i,16.308 i,14.899 i,16.158 i,14.477 i,14.192 i,14.359 i,13.961 i,14.322 i,14.462 i,14.727 i,15.03 i,14.376 i,14.784 i,14.736 i,14.071 i
Annual,Raw material consumption,Total,Tonnes per capita,Finland,:,:,:,:,:,:,:,:,49.863 i,38.006 i,46.921 i,49.128 i,47.677 i,53.405 i,47.282 i,42.533 i,47.123 i,44.125 i,48.824 i,47.331 i,48.137 i,48.061 i,50.605 i,45.601 i
Annual,Raw material consumption,Total,Tonnes per capita,France,:,:,:,:,:,:,:,:,16.076,15.691,14.841,15.612,14.822,14.485,14.533,13.553,13.778,14.528,14.301,14.329,13.01,14.225,13.926 i,13.59 i
