Time frequency,Unit of measure,International Standard Classification of Education (ISCED 2011),Frequency,Sex,Age class,Geopolitical entity (reporting)\Time,2013.0,2018.0,2022.0
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Czechia,40.5,34.6,39.8
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Germany,24.7,23.1,: u
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Denmark,16.9,19.4,23.1
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Estonia,36.0,34.4,35.3
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Greece,26.7,30.7,27.7
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Spain,27.3,20.6,26.0
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,European Union - 27 countries (from 2020),27.5,25.8,25.7 e
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Finland,17.2,17.7,19.4
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,France,27.4,23.8,24.2
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Croatia,44.7,41.0,39.5
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Hungary,26.0,28.0,25.3
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Ireland,19.0,14.8,18.5
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Iceland,13.2,17.2,:
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Italy,37.3,37.3,33.7
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Lithuania,34.8,33.9,32.3
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Luxembourg,18.2,18.5,17.3
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Latvia,38.7,38.9,38.4
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Malta,22.0,24.8,28.2
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Netherlands,13.3,18.1,19.4
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Norway,24.2,24.9,31.3
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Poland,20.2,21.9,18.3
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Portugal,28.6,26.7,24.2
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Romania,33.7,31.4,37.7
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Serbia,33.9,35.2,32.3
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Sweden,23.3,24.2,23.8
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Slovenia,26.3,31.6,24.5
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Slovakia,30.2,27.5,28.4
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,Türkiye,33.4,33.4,30.6
Annual,Percentage,All ISCED 2011 levels,Sometimes,Total,16 years or over,United Kingdom,22.7,22.2,:
