Time frequency,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Males,Spain,81.7 e,82.0 e,82.8 e,83.5 e,82.7 e,81.0 e,80.9 e,80.6 bd,81.9 d,80.5 d
Annual,Percentage,Males,European Union - 27 countries (from 2020),83.7 e,83.5 e,83.0 e,82.8 e,82.8 e,82.2 e,81.5 e,80.9 be,81.1 e,80.6 e
Annual,Percentage,Males,Finland,79.2,77.7,79.0,79.6,80.1 e,78.9,76.7,76.1 b,76.2 e,77.8
Annual,Percentage,Males,France,83.1 b,84.2,82.4,81.5,80.8,80.3,79.9,79.1 bd,81.0 d,79.9 d
Annual,Percentage,Males,Croatia,85.5 e,82.9 e,86.3,85.7 e,82.0 e,79.1 e,81.5 e,79.2 be,85.6 e,82.6 be
Annual,Percentage,Males,Hungary,88.3,87.9,86.8,90.9,91.4,89.4,87.7 e,86.0 be,86.4 e,84.3 e
Annual,Percentage,Males,Ireland,78.9 e,79.8 e,78.5 e,78.9 be,81.4 e,78.6 e,79.3 e,79.7 be,78.0 e,75.7 e
Annual,Percentage,Males,Iceland,79.5 e,77.0 e,78.1 e,83.0 e,83.1 e,80.8 e,79.1 be,75.8 be,80.0 e,81.2 e
Annual,Percentage,Males,Italy,85.8 e,85.3 e,84.6 e,83.9 e,84.9 be,84.9 e,84.4 e,83.9 be,84.0 e,84.3 e
Annual,Percentage,Males,Lithuania,83.1,79.6 e,75.0,74.1,74.2,75.7 e,76.4,76.3 b,77.1,80.0 e
Annual,Percentage,Males,Luxembourg,88.2,86.2 b,87.5 e,88.4,86.4 e,84.5 e,80.0,80.3 b,79.3,77.5
Annual,Percentage,Males,Latvia,73.4 e,71.9 e,72.8 e,73.6 e,79.4 e,75.3 e,76.2 e,77.3 be,77.1 e,76.0
Annual,Percentage,Males,Montenegro,83.1 e,84.1 e,87.3 e,70.6 e,72.4 e,75.8 e,83.6 e,:,:,:
Annual,Percentage,Males,North Macedonia,71.2 e,78.3 e,72.7 e,73.0 e,75.9,75.6,76.7 e,:,:,:
Annual,Percentage,Males,Malta,84.8 e,83.0 e,87.7 e,89.2,82.0,88.8,89.5 e,78.0 be,82.2,86.2
Annual,Percentage,Males,Netherlands,86.8,86.1,85.0,83.7,84.1,82.7,82.4,82.5 b,80.6,81.1
Annual,Percentage,Males,Norway,83.4 e,81.2 e,82.8 e,81.3,77.9,79.4,80.6 e,80.9 be,80.2 e,78.3 e
Annual,Percentage,Males,Poland,85.9,86.4 e,85.4 e,85.2,86.0,85.6 be,84.8,84.4 b,83.3,80.9 e
Annual,Percentage,Males,Portugal,84.7 e,82.3 e,81.9 e,82.3 e,82.2 e,82.1 e,78.7 e,79.0 b,79.7,80.0
Annual,Percentage,Males,Romania,78.5 e,72.7 e,73.7,74.3,76.3,76.5 e,73.9,74.0 b,74.8 e,74.0 e
Annual,Percentage,Males,Serbia,85.1 be,82.8 e,79.1 e,77.8 e,80.7 e,78.4 e,75.0 e,76.6 be,76.7,77.7 b
Annual,Percentage,Males,Sweden,80.9,81.1,79.2,79.1,79.1 b,79.5,78.7 e,78.2 b,77.0,77.2 e
Annual,Percentage,Males,Slovenia,86.5,83.9 e,82.7 e,83.6,83.4 e,80.5 e,82.8 e,83.4 b,82.4,82.9 e
Annual,Percentage,Males,Slovakia,87.9 e,88.1,90.4,85.6 e,86.9 e,86.0,84.2,85.1 b,85.1,82.6
Annual,Percentage,Males,Türkiye,85.2 be,85.8 e,86.6 e,86.8 e,85.8 e,86.7 e,83.5 e,82.9 b,80.4 e,79.5
Annual,Percentage,Males,United Kingdom,83.5 e,82.8 e,83.5 e,82.4 e,83.0 e,82.9 e,:,:,:,:
Annual,Thousand persons,Females,Austria,20.1 e,23.9 e,30.7,29.6 e,35.2,37.7,39.3,36.5 b,42.7,46.3
Annual,Thousand persons,Females,Bosnia and Herzegovina,:,:,:,:,:,:,:,3.1 bu,4.8 e,4.7 e
Annual,Thousand persons,Females,Belgium,29.2,28.5,27.3,35.8 b,41.1,41.2 e,42.0,53.4 b,51.8,53.0
Annual,Thousand persons,Females,Bulgaria,23.6 e,27.3 e,26.7 e,28.1 e,31.0 e,28.5,29.1,30.5 b,32.2 b,36.8
Annual,Thousand persons,Females,Switzerland,29.6 e,30.5,34.1,33.9,33.9,42.5 e,41.6 e,41.7 b,42.3,45.2
Annual,Thousand persons,Females,Cyprus,1.6 e,2.0 e,2.4 e,2.0 e,2.4 e,2.2 e,2.3 e,3.2 be,4.4 e,5.9 e
Annual,Thousand persons,Females,Czechia,18.3 e,17.4 e,18.9 e,19.2,20.6,21.9 e,22.6,24.2 b,25.3,27.0
Annual,Thousand persons,Females,Germany,234.5,238.8,255.5,257.6,272.7,283.2,339.6 b,390.5 b,401.2,399.6
Annual,Thousand persons,Females,Denmark,22.1 e,24.8 e,28.2 be,28.3 be,28.7 e,32.0 e,34.9 e,37.1 be,37.7 e,40.0 be
Annual,Thousand persons,Females,Estonia,4.8 e,6.0 e,6.8 e,7.0 e,8.0,9.1 e,9.2 e,9.1 be,11.0 e,12.5 e
Annual,Thousand persons,Females,Greece,12.3 e,9.6 e,11.1 e,11.6 e,12.8 e,15.6 e,21.0 e,19.7 b,20.9,19.9
Annual,Thousand persons,Females,Spain,102.8 e,102.4 e,106.0 e,108.3 e,120.8 e,139.1 e,141.8 e,156.5 bd,159.5 d,183.0 d
Annual,Thousand persons,Females,European Union - 27 countries (from 2020),1030.3 e,1079.9 e,1176.9 e,1232.8 e,1301.9 e,1405.1 e,1562.5 e,1713.9 be,1776.2 e,1902.3 e
Annual,Thousand persons,Females,Finland,31.8,34.7,33.8,33.9,33.7,36.8,44.7,45.0 b,47.2,44.6
Annual,Thousand persons,Females,France,143.9 b,143.7,170.6,187.9,204.2,222.9,244.5,258.8 bd,231.2 de,271.5 d
Annual,Thousand persons,Females,Croatia,6.3 u,7.6 u,7.2 u,7.8 u,10.9 e,11.7 e,11.7 e,12.6 be,9.3 u,12.2 be
Annual,Thousand persons,Females,Hungary,16.8,18.4 e,20.9 e,14.3 e,14.3 e,16.1,21.1 e,25.4 be,26.4 e,31.1 e
Annual,Thousand persons,Females,Ireland,20.0 e,19.2 e,22.5 e,23.0 be,20.0 e,24.2 e,26.8 e,31.2 be,35.7 e,40.6 e
Annual,Thousand persons,Females,Iceland,1.5 e,1.9 e,1.9 e,1.6 e,1.5 e,1.7 e,1.9 be,1.9 be,1.8 e,1.9 e
Annual,Thousand persons,Females,Italy,103.1 e,108.0 e,116.9 e,124.7 e,123.1 be,123.5 e,127.9 e,136.7 be,143.5 e,152.3 e
Annual,Thousand persons,Females,Lithuania,3.9 u,5.7 e,8.6 e,9.6 e,9.7 e,10.2 e,10.5 e,12.4 be,14.2 e,14.1 e
Annual,Thousand persons,Females,Luxembourg,1.5 e,1.8 be,1.7 e,1.6 e,2.3 e,2.8 e,3.7 e,4.0 be,5.0 e,5.9 e
Annual,Thousand persons,Females,Latvia,6.1 e,6.9 e,6.6 e,6.7 e,4.8 e,7.0 e,7.8 e,7.5 be,9.0 e,9.4 e
Annual,Thousand persons,Females,Montenegro,: u,: u,: u,1.7 u,1.3 u,: u,: u,:,:,:
Annual,Thousand persons,Females,North Macedonia,3.1 e,2.8 e,3.6 e,3.3 e,3.0 e,3.8 e,4.3 e,:,:,:
Annual,Thousand persons,Females,Malta,1.0 e,1.3 e,1.0 e,1.0 e,2.1 e,1.3 e,1.2 e,2.8 be,2.6 e,1.9 u
Annual,Thousand persons,Females,Netherlands,52.0,57.5,64.3,70.6,74.5,87.2,92.9,108.8 b,133.1 e,127.1
Annual,Thousand persons,Females,Norway,19.7 e,22.2 e,19.3 e,22.8 e,27.0 e,26.0 e,26.4 e,28.6 be,29.2,33.4 e
Annual,Thousand persons,Females,Poland,58.2 e,57.9 e,63.2 e,67.1,68.0,79.0 be,90.4 e,97.6 be,107.9,142.1
Annual,Thousand persons,Females,Portugal,21.0 e,23.3 e,24.8 e,23.6 e,26.1 e,30.7 e,39.4 e,44.7 b,42.6,44.0
Annual,Thousand persons,Females,Romania,30.1,44.0 e,44.1,47.7,45.1 e,46.4 e,53.2 e,52.8 be,54.3 e,51.3 e
Annual,Thousand persons,Females,Serbia,7.6 be,9.9 e,13.0 e,14.3 e,13.2 e,16.1 e,19.9 e,22.2 b,23.0 e,27.2 be
Annual,Thousand persons,Females,Sweden,53.0,55.6,64.7,69.6,72.4 b,73.8 e,80.9 e,88.5 b,102.9,104.3 e
Annual,Thousand persons,Females,Slovenia,4.4 e,5.3 e,5.6,5.9 e,6.5 e,7.5 e,7.3 e,7.7 be,7.9 e,6.4
Annual,Thousand persons,Females,Slovakia,8.0 e,8.2 e,7.1 e,10.3 e,10.8 e,13.5 e,16.9 e,16.5 be,16.7 e,19.3 e
Annual,Thousand persons,Females,Türkiye,44.8 be,45.7 e,43.7 e,46.6 e,51.6 e,48.4 e,62.2 e,69.3 b,92.8,98.8
Annual,Thousand persons,Females,United Kingdom,251.6 e,283.5 e,278.4 e,292.2 e,299.0 e,313.5 e,:,:,:,:
Annual,Thousand persons,Males,Austria,129.4,142.9,148.4 e,158.4,156.5,146.9,154.2,156.0 b,177.9,191.0
Annual,Thousand persons,Males,Bosnia and Herzegovina,:,:,:,:,:,:,:,14.5 be,14.9 e,19.5 e
Annual,Thousand persons,Males,Belgium,163.2,159.9,166.5,192.8 b,203.8,198.1,198.8,218.6 b,225.6,219.6
Annual,Thousand persons,Males,Bulgaria,50.7 e,60.8 e,65.1 e,68.1 e,72.2 e,72.8 e,74.2,77.7 be,79.3 be,89.4
Annual,Thousand persons,Males,Switzerland,184.3,184.7,192.8,189.1,199.7,214.1,212.9,214.0 b,224.7,227.8
Annual,Thousand persons,Males,Cyprus,8.4 e,7.7,7.6,9.0,10.5,9.2,10.5,13.4 b,16.1,18.8 e
Annual,Thousand persons,Males,Czechia,167.0,160.1,170.0,170.0,191.0,192.1,197.2,216.5 b,207.6,190.8
Annual,Thousand persons,Males,Germany,1183.4,1226.9,1285.6,1298.3,1349.9,1403.7,1594.3 b,1622.7 b,1712.8,1708.1
Annual,Thousand persons,Males,Denmark,99.2 e,96.7 e,105.4 be,110.8 be,111.2 e,115.4 e,116.5 e,125.5 b,133.4,137.1 be
Annual,Thousand persons,Males,Estonia,19.8,20.8,26.2 e,27.3,27.6,29.1,31.3 e,31.2 b,33.8,34.2 e
Annual,Thousand persons,Males,Greece,48.4 e,48.4 e,55.9 e,65.0 e,72.5 e,64.2 e,59.2 e,73.8 b,82.2,80.6
Annual,Thousand persons,Males,Spain,459.1 e,467.3 e,509.4 e,547.8 e,575.4 e,592.3 e,600.9 e,648.5 bd,720.9 d,752.9 d
Annual,Thousand persons,Males,European Union - 27 countries (from 2020),5308.9 e,5480.2 e,5743.4 e,5952.0 e,6273.4 e,6490.4 e,6894.8 e,7249.3 be,7636.2 e,7892.5 e
Annual,Thousand persons,Males,Finland,121.2,121.2,126.9,132.1,135.9 e,137.7,146.8,143.0 b,151.0 e,156.0
Annual,Thousand persons,Males,France,709.5 b,763.0,798.1,830.0,857.0,908.7,974.3,980.0 bd,986.5 d,1077.5 d
Annual,Thousand persons,Males,Croatia,37.4 e,36.7 e,45.3,46.7 e,49.6 e,44.3 e,51.4 e,48.2 be,55.3 e,57.9 be
Annual,Thousand persons,Males,Hungary,127.4,134.5,137.4,143.6,151.5,136.3,149.8 e,156.6 be,168.1 e,167.2 e
Annual,Thousand persons,Males,Ireland,74.7 e,76.1 e,82.1 e,85.7 be,87.2 e,88.8 e,102.8 e,122.2 be,126.6 e,126.3 e
Annual,Thousand persons,Males,Iceland,5.8 e,6.3 e,6.8 e,7.6 e,7.2 e,7.0 e,7.2 be,5.9 be,7.2 e,8.0 e
Annual,Thousand persons,Males,Italy,623.1 e,624.6 e,643.2 e,649.0 e,693.7 be,693.0 e,690.1 e,712.7 be,755.6 e,818.7 e
Annual,Thousand persons,Males,Lithuania,19.2,22.4 e,25.7,27.4,28.0,31.8 e,34.0,40.0 b,47.7,56.5 e
Annual,Thousand persons,Males,Luxembourg,11.2,11.1 b,11.9 e,12.5,14.5 e,15.2 e,14.9,16.5 b,19.1,20.3
Annual,Thousand persons,Males,Latvia,16.7 e,17.8 e,17.8 e,18.8 e,18.6 e,21.5 e,24.8 e,25.6 be,30.4 e,29.9
Annual,Thousand persons,Males,Montenegro,4.2 e,4.5 e,4.1 e,4.0 e,3.5 e,3.5 e,4.6 e,:,:,:
Annual,Thousand persons,Males,North Macedonia,7.7 e,10.1 e,9.5 e,8.8 e,9.5,11.8,14.3 e,:,:,:
Annual,Thousand persons,Males,Malta,5.8 e,6.3 e,7.2 e,8.5,9.4,10.3,10.1 e,9.9 be,11.8,12.1
Annual,Thousand persons,Males,Netherlands,342.4,356.9,363.0,363.3,394.4,417.4,434.2,511.8 b,552.1,546.5
Annual,Thousand persons,Males,Norway,99.3 e,96.0 e,92.7 e,99.3,95.4,100.2,110.0 e,120.9 be,117.9 e,120.7 e
Annual,Thousand persons,Males,Poland,355.9,366.8 e,369.6 e,384.9,418.3,469.1 be,504.8,529.2 b,536.7,602.8 e
Annual,Thousand persons,Males,Portugal,116.0 e,108.1 e,112.1 e,109.8 e,120.9 e,140.7 e,145.2 e,168.7 b,167.5,176.2
Annual,Thousand persons,Males,Romania,109.9 e,117.2 e,123.6,137.7,145.4,151.4 e,150.3,150.8 b,161.1 e,145.8 e
Annual,Thousand persons,Males,Serbia,43.1 be,47.4 e,49.3 e,50.2 e,55.3 e,58.6 e,59.7 e,72.3 be,75.6,94.8 b
Annual,Thousand persons,Males,Sweden,223.9,238.2,246.1,263.2,274.1 b,286.3,298.9 e,317.0 b,344.8,353.5 e
Annual,Thousand persons,Males,Slovenia,27.8,27.7 e,26.6 e,30.3,32.7 e,31.1 e,35.3 e,38.9 b,37.0,30.9 e
Annual,Thousand persons,Males,Slovakia,58.1 e,60.3,66.4,61.1 e,71.9 e,83.0,89.9,94.5 b,95.4,91.8
Annual,Thousand persons,Males,Türkiye,258.3 be,276.4 e,283.6 e,307.1 e,311.8 e,316.2 e,314.1 e,336.1 b,381.3 e,382.7
Annual,Thousand persons,Males,United Kingdom,1276.4 e,1361.3 e,1406.2 e,1371.3 e,1460.1 e,1523.8 e,:,:,:,:
