Time frequency,Structure of earnings indicator,Unit of measure,Geopolitical entity (reporting)\Time,2018.0
Annual,Annual bonuses,Euro,Makroregion północno-zachodni,812.0
Annual,Annual bonuses,Euro,Makroregion południowo-zachodni,906.0
Annual,Annual bonuses,Euro,Makroregion północny,801.0
Annual,Annual bonuses,Euro,Makroregion centralny,654.0
Annual,Annual bonuses,Euro,Makroregion wschodni,695.0
Annual,Annual bonuses,Euro,Makroregion województwo mazowieckie,889.0
Annual,Annual bonuses,Euro,Continente,2958.0
Annual,Annual bonuses,Euro,Região Autónoma dos Açores,2406.0
Annual,Annual bonuses,Euro,Região Autónoma da Madeira,2590.0
Annual,Annual bonuses,Euro,Macroregiunea Unu,464.0
Annual,Annual bonuses,Euro,Macroregiunea Doi,321.0
Annual,Annual bonuses,Euro,Macroregiunea Trei,796.0
Annual,Annual bonuses,Euro,Macroregiunea Patru,341.0
Annual,Annual bonuses,Euro,Serbia,160.0
Annual,Annual bonuses,Euro,Östra Sverige,972.0
Annual,Annual bonuses,Euro,Södra Sverige,526.0
Annual,Annual bonuses,Euro,Norra Sverige,261.0
Annual,Annual bonuses,Euro,Slovenia,2163.0
Annual,Annual bonuses,Euro,Slovakia,599.0
Annual,Annual bonuses,Euro,Türkiye,377.0
Annual,Annual bonuses,Euro,North East (UK) (NUTS 2021),1138.0
Annual,Annual bonuses,Euro,North West (UK) (NUTS 2021),1360.0
Annual,Annual bonuses,Euro,Yorkshire and The Humber (NUTS 2021),1347.0
Annual,Annual bonuses,Euro,East Midlands (UK) (NUTS 2021),1328.0
Annual,Annual bonuses,Euro,West Midlands (UK) (NUTS 2021),1671.0
Annual,Annual bonuses,Euro,East of England (NUTS 2021),1481.0
Annual,Annual bonuses,Euro,London (NUTS 2021),5993.0
Annual,Annual bonuses,Euro,South East (UK) (NUTS 2021),2288.0
Annual,Annual bonuses,Euro,South West (UK) (NUTS 2021),1296.0
Annual,Annual bonuses,Euro,Wales (NUTS 2021),771.0
Annual,Annual bonuses,Euro,Scotland (NUTS 2021),1188.0
Annual,Annual bonuses,Euro,Northern Ireland (UK) (NUTS 2021),1077.0
Annual,Annual bonuses,National currency,Ostösterreich,7996.0
Annual,Annual bonuses,National currency,Südösterreich,6934.0
Annual,Annual bonuses,National currency,Westösterreich,7452.0
Annual,Annual bonuses,National currency,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,5151.0
Annual,Annual bonuses,National currency,Vlaams Gewest,4818.0
Annual,Annual bonuses,National currency,Région wallonne,4994.0
Annual,Annual bonuses,National currency,Severna i Yugoiztochna Bulgaria,691.0
Annual,Annual bonuses,National currency,Yugozapadna i Yuzhna tsentralna Bulgaria,1257.0
Annual,Annual bonuses,National currency,Schweiz/Suisse/Svizzera,8845.0
Annual,Annual bonuses,National currency,Kýpros,1985.0
Annual,Annual bonuses,National currency,Czechia,33917.0
Annual,Annual bonuses,National currency,Baden-Württemberg,4084.0
Annual,Annual bonuses,National currency,Bayern,4411.0
Annual,Annual bonuses,National currency,Berlin,3384.0
Annual,Annual bonuses,National currency,Brandenburg,2010.0
Annual,Annual bonuses,National currency,Bremen,3642.0
Annual,Annual bonuses,National currency,Hamburg,4613.0
Annual,Annual bonuses,National currency,Hessen,4642.0
Annual,Annual bonuses,National currency,Mecklenburg-Vorpommern,1758.0
Annual,Annual bonuses,National currency,Niedersachsen,3109.0
Annual,Annual bonuses,National currency,Nordrhein-Westfalen,3481.0
Annual,Annual bonuses,National currency,Rheinland-Pfalz,3369.0
Annual,Annual bonuses,National currency,Saarland,3015.0
Annual,Annual bonuses,National currency,Sachsen,2348.0
Annual,Annual bonuses,National currency,Sachsen-Anhalt,2154.0
Annual,Annual bonuses,National currency,Schleswig-Holstein,2573.0
Annual,Annual bonuses,National currency,Thüringen,1871.0
Annual,Annual bonuses,National currency,Denmark,9316.0
Annual,Annual bonuses,National currency,Eesti,626.0
Annual,Annual bonuses,National currency,Attiki,4070.0
Annual,Annual bonuses,National currency,"Nisia Aigaiou, Kriti",4683.0
Annual,Annual bonuses,National currency,Voreia Elláda,3680.0
Annual,Annual bonuses,National currency,Kentriki Elláda,4847.0
Annual,Annual bonuses,National currency,Extra-Regio NUTS 1,3008.0
Annual,Annual bonuses,National currency,Noroeste,2990.0
Annual,Annual bonuses,National currency,Noreste,3320.0
Annual,Annual bonuses,National currency,Comunidad de Madrid,3470.0
Annual,Annual bonuses,National currency,Centro (ES),2671.0
Annual,Annual bonuses,National currency,Este,3044.0
Annual,Annual bonuses,National currency,Sur,2436.0
Annual,Annual bonuses,National currency,Canarias,1892.0
Annual,Annual bonuses,National currency,Manner-Suomi,2590.0
Annual,Annual bonuses,National currency,Åland,1909.0
Annual,Annual bonuses,National currency,Ile de France,4778.0
Annual,Annual bonuses,National currency,Centre — Val de Loire,2793.0
Annual,Annual bonuses,National currency,Bourgogne-Franche-Comté,2552.0
Annual,Annual bonuses,National currency,Normandie,2651.0
Annual,Annual bonuses,National currency,Hauts-de-France,2715.0
Annual,Annual bonuses,National currency,Grand Est,2930.0
Annual,Annual bonuses,National currency,Pays de la Loire,2673.0
Annual,Annual bonuses,National currency,Bretagne,2529.0
Annual,Annual bonuses,National currency,Nouvelle-Aquitaine,2602.0
Annual,Annual bonuses,National currency,Occitanie,2517.0
Annual,Annual bonuses,National currency,Auvergne-Rhône-Alpes,3104.0
Annual,Annual bonuses,National currency,Provence-Alpes-Côte d’Azur,2841.0
Annual,Annual bonuses,National currency,Corse,2956.0
Annual,Annual bonuses,National currency,RUP FR — Régions Ultrapériphériques Françaises,3254.0
Annual,Annual bonuses,National currency,Croatia,3428.0
Annual,Annual bonuses,National currency,Közép-Magyarország,279881.0
Annual,Annual bonuses,National currency,Dunántúl,156949.0
Annual,Annual bonuses,National currency,Alföld és Észak,136081.0
Annual,Annual bonuses,National currency,Ireland,1553.0
Annual,Annual bonuses,National currency,Ísland,195358.0
Annual,Annual bonuses,National currency,Nord-Ovest,5154.0
Annual,Annual bonuses,National currency,Sud,3172.0
Annual,Annual bonuses,National currency,Isole,3389.0
Annual,Annual bonuses,National currency,Nord-Est,4048.0
Annual,Annual bonuses,National currency,Centro (IT),4093.0
Annual,Annual bonuses,National currency,Lithuania,431.0
Annual,Annual bonuses,National currency,Luxembourg,9855.0
Annual,Annual bonuses,National currency,Latvia,827.0
Annual,Annual bonuses,National currency,North Macedonia,10162.0
Annual,Annual bonuses,National currency,Malta,905.0
Annual,Annual bonuses,National currency,Noord-Nederland,4675.0
Annual,Annual bonuses,National currency,Oost-Nederland,4947.0
Annual,Annual bonuses,National currency,West-Nederland,6189.0
Annual,Annual bonuses,National currency,Zuid-Nederland,5353.0
Annual,Annual bonuses,National currency,Norge,26730.0
Annual,Annual bonuses,National currency,Makroregion południowy,4163.0
Annual,Annual bonuses,National currency,Makroregion północno-zachodni,3461.0
Annual,Annual bonuses,National currency,Makroregion południowo-zachodni,3861.0
Annual,Annual bonuses,National currency,Makroregion północny,3414.0
Annual,Annual bonuses,National currency,Makroregion centralny,2788.0
Annual,Annual bonuses,National currency,Makroregion wschodni,2963.0
Annual,Annual bonuses,National currency,Makroregion województwo mazowieckie,3790.0
Annual,Annual bonuses,National currency,Continente,2958.0
Annual,Annual bonuses,National currency,Região Autónoma dos Açores,2406.0
Annual,Annual bonuses,National currency,Região Autónoma da Madeira,2590.0
Annual,Annual bonuses,National currency,Macroregiunea Unu,2160.0
Annual,Annual bonuses,National currency,Macroregiunea Doi,1495.0
Annual,Annual bonuses,National currency,Macroregiunea Trei,3705.0
Annual,Annual bonuses,National currency,Macroregiunea Patru,1589.0
Annual,Annual bonuses,National currency,Serbia,18935.0
Annual,Annual bonuses,National currency,Östra Sverige,9974.0
Annual,Annual bonuses,National currency,Södra Sverige,5396.0
Annual,Annual bonuses,National currency,Norra Sverige,2677.0
Annual,Annual bonuses,National currency,Slovenia,2163.0
Annual,Annual bonuses,National currency,Slovakia,599.0
Annual,Annual bonuses,National currency,Türkiye,2155.0
Annual,Annual bonuses,National currency,North East (UK) (NUTS 2021),1006.0
Annual,Annual bonuses,National currency,North West (UK) (NUTS 2021),1203.0
Annual,Annual bonuses,National currency,Yorkshire and The Humber (NUTS 2021),1191.0
Annual,Annual bonuses,National currency,East Midlands (UK) (NUTS 2021),1175.0
Annual,Annual bonuses,National currency,West Midlands (UK) (NUTS 2021),1478.0
Annual,Annual bonuses,National currency,East of England (NUTS 2021),1311.0
Annual,Annual bonuses,National currency,London (NUTS 2021),5302.0
Annual,Annual bonuses,National currency,South East (UK) (NUTS 2021),2024.0
Annual,Annual bonuses,National currency,South West (UK) (NUTS 2021),1147.0
Annual,Annual bonuses,National currency,Wales (NUTS 2021),682.0
Annual,Annual bonuses,National currency,Scotland (NUTS 2021),1051.0
Annual,Annual bonuses,National currency,Northern Ireland (UK) (NUTS 2021),953.0
Annual,Gross earnings,Euro,Ostösterreich,47814.0
Annual,Gross earnings,Euro,Südösterreich,43944.0
Annual,Gross earnings,Euro,Westösterreich,46388.0
Annual,Gross earnings,Euro,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,47970.0
Annual,Gross earnings,Euro,Vlaams Gewest,45437.0
Annual,Gross earnings,Euro,Région wallonne,47730.0
Annual,Gross earnings,Euro,Severna i Yugoiztochna Bulgaria,6955.0
Annual,Gross earnings,Euro,Yugozapadna i Yuzhna tsentralna Bulgaria,8917.0
Annual,Gross earnings,Euro,Schweiz/Suisse/Svizzera,79442.0
Annual,Gross earnings,Euro,Kýpros,25847.0
Annual,Gross earnings,Euro,Czechia,16706.0
Annual,Gross earnings,Euro,Baden-Württemberg,48014.0
Annual,Gross earnings,Euro,Bayern,48110.0
Annual,Gross earnings,Euro,Berlin,44798.0
Annual,Gross earnings,Euro,Brandenburg,37089.0
Annual,Gross earnings,Euro,Bremen,45457.0
Annual,Gross earnings,Euro,Hamburg,51153.0
Annual,Gross earnings,Euro,Hessen,49127.0
Annual,Gross earnings,Euro,Mecklenburg-Vorpommern,34923.0
Annual,Gross earnings,Euro,Niedersachsen,42182.0
Annual,Gross earnings,Euro,Nordrhein-Westfalen,44806.0
Annual,Gross earnings,Euro,Rheinland-Pfalz,43522.0
Annual,Gross earnings,Euro,Saarland,42598.0
Annual,Gross earnings,Euro,Sachsen,37278.0
Annual,Gross earnings,Euro,Sachsen-Anhalt,36781.0
Annual,Gross earnings,Euro,Schleswig-Holstein,40516.0
Annual,Gross earnings,Euro,Thüringen,35990.0
Annual,Gross earnings,Euro,Denmark,58967.0
Annual,Gross earnings,Euro,Eesti,17013.0
Annual,Gross earnings,Euro,Attiki,28376.0
Annual,Gross earnings,Euro,"Nisia Aigaiou, Kriti",36328.0
Annual,Gross earnings,Euro,Voreia Elláda,24394.0
Annual,Gross earnings,Euro,Kentriki Elláda,30485.0
Annual,Gross earnings,Euro,Extra-Regio NUTS 1,25019.0
Annual,Gross earnings,Euro,Noroeste,27177.0
Annual,Gross earnings,Euro,Noreste,31395.0
Annual,Gross earnings,Euro,Comunidad de Madrid,31310.0
Annual,Gross earnings,Euro,Centro (ES),26386.0
Annual,Gross earnings,Euro,Este,29001.0
Annual,Gross earnings,Euro,Sur,26359.0
Annual,Gross earnings,Euro,Canarias,24501.0
Annual,Gross earnings,Euro,Manner-Suomi,44682.0
Annual,Gross earnings,Euro,Åland,44619.0
Annual,Gross earnings,Euro,Ile de France,48092.0
Annual,Gross earnings,Euro,Centre — Val de Loire,33853.0
Annual,Gross earnings,Euro,Bourgogne-Franche-Comté,33291.0
Annual,Gross earnings,Euro,Normandie,34204.0
Annual,Gross earnings,Euro,Hauts-de-France,33719.0
Annual,Gross earnings,Euro,Grand Est,34656.0
Annual,Gross earnings,Euro,Pays de la Loire,33760.0
Annual,Gross earnings,Euro,Bretagne,33336.0
Annual,Gross earnings,Euro,Nouvelle-Aquitaine,33359.0
Annual,Gross earnings,Euro,Occitanie,34868.0
Annual,Gross earnings,Euro,Auvergne-Rhône-Alpes,36398.0
Annual,Gross earnings,Euro,Provence-Alpes-Côte d’Azur,36147.0
Annual,Gross earnings,Euro,Corse,36017.0
Annual,Gross earnings,Euro,RUP FR — Régions Ultrapériphériques Françaises,38606.0
Annual,Gross earnings,Euro,Croatia,14713.0
Annual,Gross earnings,Euro,Közép-Magyarország,15361.0
Annual,Gross earnings,Euro,Dunántúl,11993.0
Annual,Gross earnings,Euro,Alföld és Észak,11444.0
Annual,Gross earnings,Euro,Ireland,46871.0
Annual,Gross earnings,Euro,Ísland,69337.0
Annual,Gross earnings,Euro,Nord-Ovest,37770.0
Annual,Gross earnings,Euro,Sud,30804.0
Annual,Gross earnings,Euro,Isole,32280.0
Annual,Gross earnings,Euro,Nord-Est,34003.0
Annual,Gross earnings,Euro,Centro (IT),34425.0
Annual,Gross earnings,Euro,Lithuania,11959.0
Annual,Gross earnings,Euro,Luxembourg,64932.0
Annual,Gross earnings,Euro,Latvia,14733.0
Annual,Gross earnings,Euro,North Macedonia,7369.0
Annual,Gross earnings,Euro,Malta,26433.0
Annual,Gross earnings,Euro,Noord-Nederland,40441.0
Annual,Gross earnings,Euro,Oost-Nederland,41693.0
Annual,Gross earnings,Euro,West-Nederland,46934.0
Annual,Gross earnings,Euro,Zuid-Nederland,42889.0
Annual,Gross earnings,Euro,Norge,45117.0
Annual,Gross earnings,Euro,Makroregion południowy,13712.0
Annual,Gross earnings,Euro,Makroregion północno-zachodni,12484.0
Annual,Gross earnings,Euro,Makroregion południowo-zachodni,13671.0
Annual,Gross earnings,Euro,Makroregion północny,12681.0
Annual,Gross earnings,Euro,Makroregion centralny,12284.0
Annual,Gross earnings,Euro,Makroregion wschodni,11381.0
Annual,Gross earnings,Euro,Makroregion województwo mazowieckie,17223.0
Annual,Gross earnings,Euro,Continente,18147.0
Annual,Gross earnings,Euro,Região Autónoma dos Açores,16897.0
Annual,Gross earnings,Euro,Região Autónoma da Madeira,17502.0
Annual,Gross earnings,Euro,Macroregiunea Unu,10997.0
Annual,Gross earnings,Euro,Macroregiunea Doi,10446.0
Annual,Gross earnings,Euro,Macroregiunea Trei,13746.0
Annual,Gross earnings,Euro,Macroregiunea Patru,11085.0
Annual,Gross earnings,Euro,Serbia,8096.0
Annual,Gross earnings,Euro,Östra Sverige,45089.0
Annual,Gross earnings,Euro,Södra Sverige,43146.0
Annual,Gross earnings,Euro,Norra Sverige,40725.0
Annual,Gross earnings,Euro,Slovenia,24669.0
Annual,Gross earnings,Euro,Slovakia,15038.0
Annual,Gross earnings,Euro,Türkiye,9191.0
Annual,Gross earnings,Euro,North East (UK) (NUTS 2021),35004.0
Annual,Gross earnings,Euro,North West (UK) (NUTS 2021),37029.0
Annual,Gross earnings,Euro,Yorkshire and The Humber (NUTS 2021),35303.0
Annual,Gross earnings,Euro,East Midlands (UK) (NUTS 2021),35339.0
Annual,Gross earnings,Euro,West Midlands (UK) (NUTS 2021),37226.0
Annual,Gross earnings,Euro,East of England (NUTS 2021),38257.0
Annual,Gross earnings,Euro,London (NUTS 2021),57398.0
Annual,Gross earnings,Euro,South East (UK) (NUTS 2021),41597.0
Annual,Gross earnings,Euro,South West (UK) (NUTS 2021),36843.0
Annual,Gross earnings,Euro,Wales (NUTS 2021),33788.0
Annual,Gross earnings,Euro,Scotland (NUTS 2021),37475.0
Annual,Gross earnings,Euro,Northern Ireland (UK) (NUTS 2021),34039.0
Annual,Gross earnings,National currency,Ostösterreich,47814.0
Annual,Gross earnings,National currency,Südösterreich,43944.0
Annual,Gross earnings,National currency,Westösterreich,46388.0
Annual,Gross earnings,National currency,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,47970.0
Annual,Gross earnings,National currency,Vlaams Gewest,45437.0
Annual,Gross earnings,National currency,Région wallonne,47730.0
Annual,Gross earnings,National currency,Severna i Yugoiztochna Bulgaria,13602.0
Annual,Gross earnings,National currency,Yugozapadna i Yuzhna tsentralna Bulgaria,17439.0
Annual,Gross earnings,National currency,Schweiz/Suisse/Svizzera,91756.0
Annual,Gross earnings,National currency,Kýpros,25847.0
Annual,Gross earnings,National currency,Czechia,428457.0
Annual,Gross earnings,National currency,Baden-Württemberg,48014.0
Annual,Gross earnings,National currency,Bayern,48110.0
Annual,Gross earnings,National currency,Berlin,44798.0
Annual,Gross earnings,National currency,Brandenburg,37089.0
Annual,Gross earnings,National currency,Bremen,45457.0
Annual,Gross earnings,National currency,Hamburg,51153.0
Annual,Gross earnings,National currency,Hessen,49127.0
Annual,Gross earnings,National currency,Mecklenburg-Vorpommern,34923.0
Annual,Gross earnings,National currency,Niedersachsen,42182.0
Annual,Gross earnings,National currency,Nordrhein-Westfalen,44806.0
Annual,Gross earnings,National currency,Rheinland-Pfalz,43522.0
Annual,Gross earnings,National currency,Saarland,42598.0
Annual,Gross earnings,National currency,Sachsen,37278.0
Annual,Gross earnings,National currency,Sachsen-Anhalt,36781.0
Annual,Gross earnings,National currency,Schleswig-Holstein,40516.0
Annual,Gross earnings,National currency,Thüringen,35990.0
Annual,Gross earnings,National currency,Denmark,439494.0
Annual,Gross earnings,National currency,Eesti,17013.0
Annual,Gross earnings,National currency,Attiki,28376.0
Annual,Gross earnings,National currency,"Nisia Aigaiou, Kriti",36328.0
Annual,Gross earnings,National currency,Voreia Elláda,24394.0
Annual,Gross earnings,National currency,Kentriki Elláda,30485.0
Annual,Gross earnings,National currency,Extra-Regio NUTS 1,25019.0
Annual,Gross earnings,National currency,Noroeste,27177.0
Annual,Gross earnings,National currency,Noreste,31395.0
Annual,Gross earnings,National currency,Comunidad de Madrid,31310.0
Annual,Gross earnings,National currency,Centro (ES),26386.0
Annual,Gross earnings,National currency,Este,29001.0
Annual,Gross earnings,National currency,Sur,26359.0
Annual,Gross earnings,National currency,Canarias,24501.0
Annual,Gross earnings,National currency,Manner-Suomi,44682.0
Annual,Gross earnings,National currency,Åland,44619.0
Annual,Gross earnings,National currency,Ile de France,48092.0
Annual,Gross earnings,National currency,Centre — Val de Loire,33853.0
Annual,Gross earnings,National currency,Bourgogne-Franche-Comté,33291.0
Annual,Gross earnings,National currency,Normandie,34204.0
Annual,Gross earnings,National currency,Hauts-de-France,33719.0
Annual,Gross earnings,National currency,Grand Est,34656.0
Annual,Gross earnings,National currency,Pays de la Loire,33760.0
Annual,Gross earnings,National currency,Bretagne,33336.0
Annual,Gross earnings,National currency,Nouvelle-Aquitaine,33359.0
Annual,Gross earnings,National currency,Occitanie,34868.0
Annual,Gross earnings,National currency,Auvergne-Rhône-Alpes,36398.0
Annual,Gross earnings,National currency,Provence-Alpes-Côte d’Azur,36147.0
Annual,Gross earnings,National currency,Corse,36017.0
Annual,Gross earnings,National currency,RUP FR — Régions Ultrapériphériques Françaises,38606.0
Annual,Gross earnings,National currency,Croatia,109147.0
Annual,Gross earnings,National currency,Közép-Magyarország,4898624.0
Annual,Gross earnings,National currency,Dunántúl,3824521.0
Annual,Gross earnings,National currency,Alföld és Észak,3649308.0
Annual,Gross earnings,National currency,Ireland,46871.0
Annual,Gross earnings,National currency,Ísland,8867572.0
Annual,Gross earnings,National currency,Nord-Ovest,37770.0
Annual,Gross earnings,National currency,Sud,30804.0
Annual,Gross earnings,National currency,Isole,32280.0
Annual,Gross earnings,National currency,Nord-Est,34003.0
Annual,Gross earnings,National currency,Centro (IT),34425.0
Annual,Gross earnings,National currency,Lithuania,11959.0
Annual,Gross earnings,National currency,Luxembourg,64932.0
Annual,Gross earnings,National currency,Latvia,14733.0
Annual,Gross earnings,National currency,North Macedonia,453292.0
Annual,Gross earnings,National currency,Malta,26433.0
Annual,Gross earnings,National currency,Noord-Nederland,40441.0
Annual,Gross earnings,National currency,Oost-Nederland,41693.0
Annual,Gross earnings,National currency,West-Nederland,46934.0
Annual,Gross earnings,National currency,Zuid-Nederland,42889.0
Annual,Gross earnings,National currency,Norge,433010.0
Annual,Gross earnings,National currency,Makroregion południowy,58435.0
Annual,Gross earnings,National currency,Makroregion północno-zachodni,53199.0
Annual,Gross earnings,National currency,Makroregion południowo-zachodni,58261.0
Annual,Gross earnings,National currency,Makroregion północny,54040.0
Annual,Gross earnings,National currency,Makroregion centralny,52348.0
Annual,Gross earnings,National currency,Makroregion wschodni,48500.0
Annual,Gross earnings,National currency,Makroregion województwo mazowieckie,73396.0
Annual,Gross earnings,National currency,Continente,18147.0
Annual,Gross earnings,National currency,Região Autónoma dos Açores,16897.0
Annual,Gross earnings,National currency,Região Autónoma da Madeira,17502.0
Annual,Gross earnings,National currency,Macroregiunea Unu,51180.0
Annual,Gross earnings,National currency,Macroregiunea Doi,48615.0
Annual,Gross earnings,National currency,Macroregiunea Trei,63975.0
Annual,Gross earnings,National currency,Macroregiunea Patru,51590.0
Annual,Gross earnings,National currency,Serbia,957551.0
Annual,Gross earnings,National currency,Östra Sverige,462534.0
Annual,Gross earnings,National currency,Södra Sverige,442608.0
Annual,Gross earnings,National currency,Norra Sverige,417765.0
Annual,Gross earnings,National currency,Slovenia,24669.0
Annual,Gross earnings,National currency,Slovakia,15038.0
Annual,Gross earnings,National currency,Türkiye,52462.0
Annual,Gross earnings,National currency,North East (UK) (NUTS 2021),30969.0
Annual,Gross earnings,National currency,North West (UK) (NUTS 2021),32760.0
Annual,Gross earnings,National currency,Yorkshire and The Humber (NUTS 2021),31233.0
Annual,Gross earnings,National currency,East Midlands (UK) (NUTS 2021),31265.0
Annual,Gross earnings,National currency,West Midlands (UK) (NUTS 2021),32935.0
Annual,Gross earnings,National currency,East of England (NUTS 2021),33846.0
Annual,Gross earnings,National currency,London (NUTS 2021),50780.0
Annual,Gross earnings,National currency,South East (UK) (NUTS 2021),36801.0
Annual,Gross earnings,National currency,South West (UK) (NUTS 2021),32596.0
Annual,Gross earnings,National currency,Wales (NUTS 2021),29892.0
Annual,Gross earnings,National currency,Scotland (NUTS 2021),33155.0
Annual,Gross earnings,National currency,Northern Ireland (UK) (NUTS 2021),30115.0
