Time frequency,Aquatic environment,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Coastal water excellent - %,Albania,:,:,50.7,35.6,32.1,37.0,54.9,65.7,59.3,77.9,70.8,69.9,41.6
Annual,Coastal water excellent - %,Austria,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Coastal water excellent - %,Belgium,40.5,52.4,47.6,69.1,76.2,90.5,95.2,97.6,97.6,95.1,92.7,85.4,65.9
Annual,Coastal water excellent - %,Bulgaria,50.6,61.8,65.6,72.2,70.0,63.3,45.1,53.9,67.0,63.0,89.1,92.4,94.6
Annual,Coastal water excellent - %,Switzerland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Coastal water excellent - %,Cyprus,99.1,100.0,100.0,100.0,99.1,99.1,97.4,99.1,99.1,100.0,93.3,99.2,97.6
Annual,Coastal water excellent - %,Czechia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Coastal water excellent - %,Germany,75.3,79.5,79.0,78.8,76.3,80.4,82.8,85.5,86.7,83.5,84.6,86.5,87.6
Annual,Coastal water excellent - %,Denmark,65.0,71.1,75.2,77.3,84.5,85.2,85.9,86.8,87.6,90.4,91.4,93.9,93.9
Annual,Coastal water excellent - %,Estonia,48.2,40.7,42.3,37.0,40.7,51.9,51.9,55.6,51.9,48.3,53.3,43.3,46.7
Annual,Coastal water excellent - %,Greece,94.7,93.4,93.4,97.1,97.2,97.1,96.0,97.1,95.8,97.1,95.8,96.6,95.8
Annual,Coastal water excellent - %,Spain,84.7,86.8,87.2,85.6,87.1,88.9,90.5,92.2,93.2,93.5,92.1,92.8,92.2
Annual,Coastal water excellent - %,European Union - 27 countries (from 2020),81.3,83.0,85.4,85.9,87.0,88.0,87.4,88.1,88.4,88.4,88.0,88.9,88.8
Annual,Coastal water excellent - %,Finland,70.2,70.2,65.9,63.0,62.3,58.4,68.8,65.8,63.6,71.8,66.7,73.1,65.4
Annual,Coastal water excellent - %,France,65.4,66.3,75.6,77.3,78.5,79.1,79.8,80.0,82.0,79.4,77.8,77.6,76.3
Annual,Coastal water excellent - %,Croatia,97.8,96.1,95.4,96.4,96.6,96.4,95.8,95.6,98.4,98.8,99.2,98.9,99.1
Annual,Coastal water excellent - %,Hungary,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Coastal water excellent - %,Ireland,84.1,66.1,84.9,74.8,72.7,71.8,70.7,69.9,71.7,74.1,77.0,78.4,76.3
Annual,Coastal water excellent - %,Italy,83.0,86.3,88.5,90.0,90.4,90.8,89.9,90.0,88.2,88.7,88.1,89.8,90.6
Annual,Coastal water excellent - %,Lithuania,81.3,81.3,81.3,87.5,87.5,87.5,87.5,87.5,100.0,93.8,87.5,87.5,87.5
Annual,Coastal water excellent - %,Luxembourg,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Coastal water excellent - %,Latvia,43.8,37.5,51.5,63.6,69.7,84.9,93.9,97.0,84.9,69.7,75.0,81.8,78.8
Annual,Coastal water excellent - %,Montenegro,71.1,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Coastal water excellent - %,North Macedonia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Coastal water excellent - %,Malta,97.7,96.6,98.9,100.0,97.7,98.9,98.9,98.9,97.7,96.6,96.6,94.3,92.0
Annual,Coastal water excellent - %,Netherlands,67.8,78.9,74.2,68.9,75.8,82.4,80.2,73.6,76.7,75.8,82.2,85.7,80.2
Annual,Coastal water excellent - %,Poland,80.9,73.9,75.9,60.0,55.4,56.2,48.5,30.8,29.5,30.7,43.5,50.8,55.1
Annual,Coastal water excellent - %,Portugal,88.4,91.8,92.2,87.4,89.6,89.0,90.6,94.4,95.6,93.3,92.4,90.8,91.9
Annual,Coastal water excellent - %,Romania,87.8,8.2,34.7,22.5,30.6,69.4,51.0,57.1,77.6,71.4,85.7,91.8,69.4
Annual,Coastal water excellent - %,Serbia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Coastal water excellent - %,Sweden,55.0,61.7,53.4,50.6,56.9,69.0,41.8,61.9,72.5,77.4,73.2,70.1,68.4
Annual,Coastal water excellent - %,Slovenia,95.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.2,95.2,95.2,95.2,95.2
Annual,Coastal water excellent - %,Slovakia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Coastal water excellent - %,Kosovo*,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Coastal water - number,Albania,:,:,73.0,73.0,78.0,92.0,102.0,102.0,113.0,113.0,113.0,113.0,113.0
Annual,Coastal water - number,Austria,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Coastal water - number,Belgium,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,41.0,41.0,41.0,41.0
Annual,Coastal water - number,Bulgaria,89.0,89.0,90.0,90.0,90.0,90.0,91.0,91.0,91.0,92.0,92.0,92.0,92.0
Annual,Coastal water - number,Switzerland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Coastal water - number,Cyprus,112.0,112.0,112.0,112.0,113.0,113.0,113.0,113.0,113.0,112.0,120.0,120.0,123.0
Annual,Coastal water - number,Czechia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Coastal water - number,Germany,372.0,366.0,367.0,363.0,367.0,367.0,366.0,366.0,367.0,363.0,363.0,362.0,362.0
Annual,Coastal water - number,Denmark,1011.0,973.0,923.0,917.0,918.0,921.0,915.0,910.0,905.0,906.0,908.0,917.0,920.0
Annual,Coastal water - number,Estonia,27.0,27.0,26.0,27.0,27.0,27.0,27.0,27.0,27.0,29.0,30.0,30.0,30.0
Annual,Coastal water - number,Greece,2149.0,2149.0,2156.0,1538.0,1540.0,1540.0,1595.0,1595.0,1631.0,1631.0,1680.0,1679.0,1728.0
Annual,Coastal water - number,Spain,1927.0,1926.0,1931.0,1942.0,1948.0,1949.0,1960.0,1965.0,1968.0,1969.0,1984.0,1987.0,1994.0
Annual,Coastal water - number,European Union - 27 countries (from 2020),14807.0,14761.0,14718.0,14115.0,14150.0,14181.0,14293.0,14381.0,14404.0,14361.0,14471.0,14519.0,14585.0
Annual,Coastal water - number,Finland,84.0,84.0,82.0,81.0,77.0,77.0,77.0,76.0,77.0,78.0,78.0,78.0,78.0
Annual,Coastal water - number,France,2000.0,2006.0,2006.0,2016.0,2040.0,2043.0,2043.0,2041.0,2044.0,2055.0,2061.0,2074.0,2075.0
Annual,Coastal water - number,Croatia,906.0,912.0,919.0,918.0,908.0,922.0,949.0,981.0,953.0,894.0,894.0,894.0,894.0
Annual,Coastal water - number,Hungary,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Coastal water - number,Ireland,126.0,127.0,126.0,127.0,128.0,131.0,133.0,136.0,138.0,139.0,139.0,139.0,139.0
Annual,Coastal water - number,Italy,4901.0,4880.0,4867.0,4864.0,4866.0,4864.0,4864.0,4871.0,4864.0,4848.0,4850.0,4854.0,4853.0
Annual,Coastal water - number,Lithuania,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
Annual,Coastal water - number,Luxembourg,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Coastal water - number,Latvia,32.0,32.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,32.0,33.0,33.0
Annual,Coastal water - number,Montenegro,83.0,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Coastal water - number,North Macedonia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Coastal water - number,Malta,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0
Annual,Coastal water - number,Netherlands,87.0,90.0,89.0,90.0,91.0,91.0,91.0,91.0,90.0,91.0,90.0,91.0,91.0
Annual,Coastal water - number,Poland,89.0,88.0,83.0,85.0,83.0,89.0,97.0,146.0,163.0,166.0,177.0,185.0,187.0
Annual,Coastal water - number,Portugal,431.0,437.0,446.0,452.0,460.0,464.0,480.0,480.0,481.0,493.0,502.0,509.0,509.0
Annual,Coastal water - number,Romania,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
Annual,Coastal water - number,Serbia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Coastal water - number,Sweden,249.0,248.0,247.0,245.0,246.0,245.0,244.0,244.0,244.0,248.0,257.0,261.0,263.0
Annual,Coastal water - number,Slovenia,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
Annual,Coastal water - number,Slovakia,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Coastal water - number,Kosovo*,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Inland water excellent - number,Albania,:,:,:,:,:,:,:,0.0,3.0,3.0,1.0,1.0,2.0
Annual,Inland water excellent - number,Austria,223.0,196.0,233.0,236.0,239.0,251.0,250.0,256.0,257.0,255.0,255.0,252.0,252.0
Annual,Inland water excellent - number,Belgium,48.0,51.0,50.0,55.0,58.0,58.0,58.0,60.0,57.0,57.0,58.0,63.0,61.0
Annual,Inland water excellent - number,Bulgaria,1.0,4.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,0.0,4.0,4.0,4.0
Annual,Inland water excellent - number,Switzerland,131.0,34.0,122.0,128.0,109.0,145.0,116.0,144.0,160.0,136.0,156.0,153.0,146.0
Annual,Inland water excellent - number,Czechia,116.0,120.0,120.0,116.0,121.0,127.0,126.0,125.0,124.0,125.0,126.0,120.0,121.0
Annual,Inland water excellent - number,Germany,1749.0,1731.0,1775.0,1777.0,1790.0,1786.0,1787.0,1810.0,1802.0,1769.0,1764.0,1755.0,1752.0
Annual,Inland water excellent - number,Denmark,98.0,105.0,107.0,105.0,105.0,105.0,106.0,107.0,110.0,112.0,118.0,119.0,117.0
Annual,Inland water excellent - number,Estonia,26.0,24.0,23.0,23.0,23.0,22.0,20.0,21.0,20.0,26.0,28.0,29.0,29.0
Annual,Inland water excellent - number,Greece,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0
Annual,Inland water excellent - number,Spain,101.0,106.0,116.0,117.0,125.0,121.0,124.0,127.0,139.0,141.0,147.0,157.0,154.0
Annual,Inland water excellent - number,European Union - 27 countries (from 2020),4569.0,4604.0,4950.0,5083.0,5252.0,5341.0,5391.0,5502.0,5486.0,5412.0,5538.0,5659.0,5646.0
Annual,Inland water excellent - number,Finland,192.0,208.0,186.0,190.0,202.0,206.0,203.0,205.0,211.0,213.0,214.0,214.0,214.0
Annual,Inland water excellent - number,France,705.0,633.0,876.0,919.0,928.0,947.0,977.0,1008.0,987.0,946.0,936.0,949.0,933.0
Annual,Inland water excellent - number,Croatia,3.0,0.0,3.0,3.0,4.0,4.0,4.0,14.0,7.0,6.0,8.0,11.0,19.0
Annual,Inland water excellent - number,Hungary,127.0,132.0,128.0,155.0,169.0,179.0,182.0,183.0,182.0,184.0,165.0,176.0,177.0
Annual,Inland water excellent - number,Ireland,6.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Annual,Inland water excellent - number,Italy,499.0,475.0,497.0,555.0,596.0,599.0,599.0,605.0,604.0,592.0,582.0,594.0,597.0
Annual,Inland water excellent - number,Lithuania,70.0,69.0,81.0,82.0,82.0,83.0,83.0,85.0,86.0,88.0,93.0,94.0,94.0
Annual,Inland water excellent - number,Luxembourg,10.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,12.0,14.0,14.0,13.0,15.0
Annual,Inland water excellent - number,Latvia,9.0,9.0,11.0,13.0,14.0,18.0,20.0,20.0,19.0,16.0,17.0,17.0,18.0
Annual,Inland water excellent - number,Netherlands,268.0,397.0,423.0,441.0,461.0,462.0,455.0,460.0,468.0,474.0,471.0,477.0,466.0
Annual,Inland water excellent - number,Poland,76.0,86.0,74.0,61.0,74.0,83.0,90.0,90.0,83.0,82.0,222.0,302.0,303.0
Annual,Inland water excellent - number,Portugal,51.0,56.0,57.0,56.0,69.0,80.0,94.0,101.0,102.0,102.0,113.0,103.0,107.0
Annual,Inland water excellent - number,Romania,:,:,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Annual,Inland water excellent - number,Sweden,152.0,149.0,129.0,125.0,138.0,150.0,157.0,166.0,167.0,161.0,157.0,162.0,161.0
Annual,Inland water excellent - number,Slovenia,13.0,9.0,14.0,11.0,12.0,14.0,14.0,20.0,18.0,20.0,19.0,17.0,17.0
Annual,Inland water excellent - number,Slovakia,22.0,24.0,24.0,19.0,16.0,21.0,19.0,18.0,20.0,18.0,16.0,19.0,23.0
Annual,Inland water excellent - %,Albania,:,:,:,:,:,:,:,0.0,50.0,50.0,16.7,16.7,33.3
Annual,Inland water excellent - %,Austria,83.5,73.7,87.6,88.7,90.2,95.1,95.1,97.3,98.5,97.7,97.7,96.9,96.9
Annual,Inland water excellent - %,Belgium,60.8,63.0,70.4,80.9,81.7,81.7,81.7,82.2,78.1,74.0,71.6,72.4,68.5
Annual,Inland water excellent - %,Bulgaria,25.0,100.0,75.0,100.0,100.0,100.0,25.0,25.0,25.0,0.0,100.0,100.0,100.0
Annual,Inland water excellent - %,Switzerland,37.2,10.2,73.1,61.0,50.5,62.8,61.1,75.0,82.1,72.0,82.5,78.1,74.5
Annual,Inland water excellent - %,Czechia,63.4,75.0,76.4,76.3,79.1,82.5,81.8,81.7,81.1,81.7,81.3,76.9,79.1
Annual,Inland water excellent - %,Germany,90.3,89.7,92.0,92.2,93.0,92.8,93.0,94.1,93.7,91.1,91.5,90.9,90.8
Annual,Inland water excellent - %,Denmark,82.4,89.7,93.9,94.6,95.5,91.3,93.0,92.2,94.0,93.3,95.9,97.5,94.4
Annual,Inland water excellent - %,Estonia,92.9,88.9,85.2,85.2,85.2,81.5,74.1,77.8,74.1,74.3,80.0,82.9,82.9
Annual,Inland water excellent - %,Greece,66.7,33.3,33.3,50.0,100.0,50.0,66.7,33.3,66.7,100.0,100.0,100.0,100.0
Annual,Inland water excellent - %,Spain,44.9,46.1,50.4,49.6,51.9,50.0,47.9,48.3,52.3,52.2,53.1,55.9,54.8
Annual,Inland water excellent - %,European Union - 27 countries (from 2020),70.3,71.5,76.5,78.4,81.0,82.0,82.2,80.8,79.1,77.7,78.2,79.3,78.6
Annual,Inland water excellent - %,Finland,80.3,88.1,79.8,83.0,90.2,92.0,91.4,91.1,94.2,94.7,95.5,95.1,94.7
Annual,Inland water excellent - %,France,53.8,48.9,67.2,70.3,71.8,73.2,74.6,77.0,75.7,74.3,72.3,73.2,72.6
Annual,Inland water excellent - %,Croatia,75.0,0.0,37.5,11.1,14.8,14.8,14.8,51.9,20.0,14.6,19.5,26.2,45.2
Annual,Inland water excellent - %,Hungary,55.7,56.9,53.1,63.5,68.7,70.8,70.8,72.3,70.8,69.7,60.2,63.1,62.5
Annual,Inland water excellent - %,Ireland,66.7,77.8,77.8,88.9,88.9,88.9,88.9,88.9,88.9,88.9,88.9,88.9,88.9
Annual,Inland water excellent - %,Italy,77.0,75.5,77.2,86.3,91.4,91.6,89.8,90.6,90.0,88.1,86.4,88.0,87.8
Annual,Inland water excellent - %,Lithuania,71.4,70.4,84.4,85.4,85.4,84.7,84.7,84.2,85.2,84.6,89.4,89.5,89.5
Annual,Inland water excellent - %,Luxembourg,50.0,100.0,100.0,100.0,100.0,100.0,100.0,73.3,70.6,82.4,82.4,76.5,88.2
Annual,Inland water excellent - %,Latvia,64.3,64.3,61.1,61.9,63.6,78.3,87.0,87.0,79.2,66.7,70.8,68.0,69.2
Annual,Inland water excellent - %,Netherlands,44.4,65.5,68.0,70.6,74.0,73.7,72.5,72.6,73.8,73.5,72.7,73.5,71.1
Annual,Inland water excellent - %,Poland,58.0,64.7,60.7,52.6,64.9,74.1,83.3,26.7,18.7,18.8,44.9,57.7,54.9
Annual,Inland water excellent - %,Portugal,61.5,62.9,58.8,52.8,63.3,69.6,76.4,78.9,76.7,74.5,75.3,65.6,67.7
Annual,Inland water excellent - %,Romania,:,:,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
Annual,Inland water excellent - %,Sweden,76.8,74.5,64.8,62.8,69.4,75.4,79.7,86.5,86.1,81.7,78.5,81.0,78.5
Annual,Inland water excellent - %,Slovenia,50.0,34.6,53.9,42.3,46.2,53.9,53.9,76.9,69.2,76.9,73.1,65.4,65.4
Annual,Inland water excellent - %,Slovakia,64.7,72.7,72.7,57.6,48.5,63.6,59.4,56.3,62.5,56.3,50.0,59.4,71.9
Annual,Inland water - number,Albania,:,:,:,:,:,:,:,6.0,6.0,6.0,6.0,6.0,6.0
Annual,Inland water - number,Austria,267.0,266.0,266.0,266.0,265.0,264.0,263.0,263.0,261.0,261.0,261.0,260.0,260.0
Annual,Inland water - number,Belgium,79.0,81.0,71.0,68.0,71.0,71.0,71.0,73.0,73.0,77.0,81.0,87.0,89.0
Annual,Inland water - number,Bulgaria,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Annual,Inland water - number,Switzerland,352.0,335.0,167.0,210.0,216.0,231.0,190.0,192.0,195.0,189.0,189.0,196.0,196.0
Annual,Inland water - number,Czechia,183.0,160.0,157.0,152.0,153.0,154.0,154.0,153.0,153.0,153.0,155.0,156.0,153.0
Annual,Inland water - number,Germany,1938.0,1929.0,1929.0,1927.0,1925.0,1925.0,1921.0,1923.0,1924.0,1941.0,1928.0,1930.0,1929.0
Annual,Inland water - number,Denmark,119.0,117.0,114.0,111.0,110.0,115.0,114.0,116.0,117.0,120.0,123.0,122.0,124.0
Annual,Inland water - number,Estonia,28.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,35.0,35.0,35.0,35.0
Annual,Inland water - number,Greece,6.0,6.0,6.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Annual,Inland water - number,Spain,225.0,230.0,230.0,236.0,241.0,242.0,259.0,263.0,266.0,270.0,277.0,281.0,281.0
Annual,Inland water - number,European Union - 27 countries (from 2020),6495.0,6437.0,6467.0,6486.0,6483.0,6510.0,6556.0,6806.0,6933.0,6967.0,7080.0,7139.0,7181.0
Annual,Inland water - number,Finland,239.0,236.0,233.0,229.0,224.0,224.0,222.0,225.0,224.0,225.0,224.0,225.0,226.0
Annual,Inland water - number,France,1311.0,1294.0,1303.0,1307.0,1293.0,1294.0,1310.0,1310.0,1304.0,1273.0,1294.0,1296.0,1286.0
Annual,Inland water - number,Croatia,4.0,7.0,8.0,27.0,27.0,27.0,27.0,27.0,35.0,41.0,41.0,42.0,42.0
Annual,Inland water - number,Hungary,228.0,232.0,241.0,244.0,246.0,253.0,257.0,253.0,257.0,264.0,274.0,279.0,283.0
Annual,Inland water - number,Ireland,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Annual,Inland water - number,Italy,648.0,629.0,644.0,643.0,652.0,654.0,667.0,668.0,671.0,672.0,674.0,675.0,680.0
Annual,Inland water - number,Lithuania,98.0,98.0,96.0,96.0,96.0,98.0,98.0,101.0,101.0,104.0,104.0,105.0,105.0
Annual,Inland water - number,Luxembourg,20.0,11.0,11.0,11.0,11.0,11.0,12.0,15.0,17.0,17.0,17.0,17.0,17.0
Annual,Inland water - number,Latvia,14.0,14.0,18.0,21.0,22.0,23.0,23.0,23.0,24.0,24.0,24.0,25.0,26.0
Annual,Inland water - number,Netherlands,603.0,606.0,622.0,625.0,623.0,627.0,628.0,634.0,634.0,645.0,648.0,649.0,655.0
Annual,Inland water - number,Poland,131.0,133.0,122.0,116.0,114.0,112.0,108.0,337.0,443.0,436.0,495.0,523.0,552.0
Annual,Inland water - number,Portugal,83.0,89.0,97.0,106.0,109.0,115.0,123.0,128.0,133.0,137.0,150.0,157.0,158.0
Annual,Inland water - number,Romania,:,:,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Annual,Inland water - number,Sweden,198.0,200.0,199.0,199.0,199.0,199.0,197.0,192.0,194.0,197.0,200.0,200.0,205.0
Annual,Inland water - number,Slovenia,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
Annual,Inland water - number,Slovakia,34.0,33.0,33.0,33.0,33.0,33.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
