Time frequency,Unit of measure,Income situation in relation to the risk of poverty threshold,Sex,Age class,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,Total,Total,Latvia,36.6,37.7,39.8,41.4,43.2,41.9,43.4,42.2,42.5,41.3,41.7,40.9
Annual,Percentage,Total,Total,Total,Montenegro,:,46.6,55.6,57.6,58.5,57.7,62.6,63.0,64.6,60.9,61.6,:
Annual,Percentage,Total,Total,Total,North Macedonia,52.4,50.5,46.2 b,51.1,50.1,46.3,46.4,43.5,41.8,:,:,:
Annual,Percentage,Total,Total,Total,Malta,4.0,4.5,4.0,3.8,3.0,3.0,3.4,3.7,4.2,2.9,2.8,2.4
Annual,Percentage,Total,Total,Total,Netherlands,2.5,2.6,3.5,3.3,4.0 b,4.1,4.1,4.8,4.8,3.4,2.9,3.8
Annual,Percentage,Total,Total,Total,Norway,5.6,6.0,4.6,5.2,5.1,5.3,6.0,6.1,6.2,6.5 b,5.9,6.0
Annual,Percentage,Total,Total,Total,Poland,46.3,44.8,44.2,43.4,40.7,40.5,39.2,37.6,36.9 b,35.7,35.8,33.9 b
Annual,Percentage,Total,Total,Total,Portugal,10.1,11.4,10.3,10.3,10.3,9.3,9.6,9.5,9.0,10.6,9.4,12.9
Annual,Percentage,Total,Total,Total,Romania,51.6,50.6,49.4,49.7,48.4,47.0,46.3,45.8,45.1,41.0,40.5,40.0
Annual,Percentage,Total,Total,Total,Serbia,:,54.3,50.4,53.4,55.5,56.2,53.3,53.3,52.5,51.0,49.7,:
Annual,Percentage,Total,Total,Total,Sweden,12.9,13.0,12.7,13.9,14.4,13.5,15.2,15.6,15.6,15.7,15.9,16.4
Annual,Percentage,Total,Total,Total,Slovenia,16.6,15.6,14.8,13.7,12.6,12.8,12.5,11.6,10.9,10.9,11.0,10.3
Annual,Percentage,Total,Total,Total,Slovakia,38.4,39.8,38.6,37.8,37.9,36.4,35.5,34.1,30.1,31.2,31.8,30.5
Annual,Percentage,Total,Total,Total,Türkiye,46.0,45.9,46.9,46.0,44.5,43.7,42.3,40.7,40.0,39.1,38.0,38.1
Annual,Percentage,Total,Total,Total,United Kingdom,7.0 b,8.0,7.3,7.3,8.0,3.4 b,4.8,:,:,:,:,:
Annual,Percentage,Total,Total,From 18 to 64 years,Albania,:,:,:,:,:,64.0,63.4,61.2,58.8,59.1,:,:
Annual,Percentage,Total,Total,From 18 to 64 years,Austria,14.2,14.9,15.8,15.3,15.3,15.4,13.5,15.3,14.2,14.5,15.3,14.3
Annual,Percentage,Total,Total,From 18 to 64 years,Belgium,1.6,2.0,2.1,1.5,3.5 b,4.7,5.7,5.4 b,5.6,5.7,5.9,5.6
Annual,Percentage,Total,Total,From 18 to 64 years,Bulgaria,46.8,46.4,45.3,43.5,44.9 b,44.1,44.4,44.0,41.9,40.3,38.4,37.3
Annual,Percentage,Total,Total,From 18 to 64 years,Switzerland,6.6,7.8,7.4 b,7.1,7.6,7.0,6.7,7.0,7.1,6.5,6.1,8.0
Annual,Percentage,Total,Total,From 18 to 64 years,Cyprus,2.8,2.5,2.3,1.6,2.4,3.2,2.8,2.4,2.7,2.3,2.1,2.3
Annual,Percentage,Total,Total,From 18 to 64 years,Czechia,21.3,21.5,20.3,18.8,18.0,16.3,16.1,16.0,15.4,15.5,15.1,15.7
Annual,Percentage,Total,Total,From 18 to 64 years,Germany,7.3,7.5,7.4,7.8,8.0,7.9,8.0,8.3,10.9 b,11.2,11.7,12.1
Annual,Percentage,Total,Total,From 18 to 64 years,Denmark,8.3,9.0,9.2,9.6,10.1,10.7,11.6,12.7,11.7,11.3,11.9,11.0
Annual,Percentage,Total,Total,From 18 to 64 years,Euro area - 19 countries  (2015-2022),12.6,13.0,12.9,13.1,13.2,13.0,13.2,13.5,14.1,14.2,:,:
Annual,Percentage,Total,Total,From 18 to 64 years,Euro area – 20 countries (from 2023),:,:,13.2,13.5,13.6,13.4,13.6,13.9,14.4,14.7,14.2,14.7
Annual,Percentage,Total,Total,From 18 to 64 years,Estonia,13.6,20.8,13.8 b,13.0,13.4,13.7,12.9,14.4,12.5,15.0,15.3,17.0
Annual,Percentage,Total,Total,From 18 to 64 years,Greece,30.2,29.9,30.2,31.0,31.5,31.9,32.1,30.9,31.4,31.1,30.4,29.5
Annual,Percentage,Total,Total,From 18 to 64 years,Spain,5.7,5.5,5.6,5.7,5.6,5.2,5.1,6.0,7.7,6.7,7.1,8.2
Annual,Percentage,Total,Total,From 18 to 64 years,European Union - 27 countries (2007-2013),17.7,17.9,17.6,17.6,17.4,16.5,16.3,16.4 e,:,:,:,:
Annual,Percentage,Total,Total,From 18 to 64 years,European Union - 27 countries (from 2020),19.4 e,19.6 e,19.4 e,19.3 e,19.0 e,18.7 e,18.2 e,18.2 e,18.5,18.4,17.8,17.9
Annual,Percentage,Total,Total,From 18 to 64 years,European Union - 28 countries (2013-2020),17.9,18.2,17.9,17.8,17.7,16.8,16.5,16.6 e,:,:,:,:
Annual,Percentage,Total,Total,From 18 to 64 years,Finland,6.7,7.6,7.9,7.5,7.6,7.0,8.0,8.4,8.8,8.7,10.0,10.7
Annual,Percentage,Total,Total,From 18 to 64 years,France,8.5,7.9,7.4,7.6,8.0,7.9,8.8,8.3,10.4 b,10.1,10.0 b,10.6
Annual,Percentage,Total,Total,From 18 to 64 years,Croatia,46.0,44.7,44.2,43.8,43.5,42.2,41.6,40.7,38.4,36.4,34.7,33.0
Annual,Percentage,Total,Total,From 18 to 64 years,Hungary,45.7,44.6,42.6,41.4,40.7,40.9,19.8 b,19.4,18.6,17.6,16.3,14.9
Annual,Percentage,Total,Total,From 18 to 64 years,Ireland,3.2,2.8,4.8,3.5,3.4,2.8,2.6,3.2 b,2.7 b,3.1,4.2,3.7
Annual,Percentage,Total,Total,From 18 to 64 years,Iceland,8.1,9.6,7.9,8.5,7.4,8.0,10.5,15.3,:,:,:,:
Annual,Percentage,Total,Total,From 18 to 64 years,Italy,28.3,29.7,29.8,30.5,30.3,29.9,30.3,31.3,28.8,31.2,28.0,28.3
Annual,Percentage,Total,Total,From 18 to 64 years,Lithuania,19.6,28.0 b,28.8,27.0,24.9,24.5,23.2,23.0,21.3,24.3,25.2,25.9
Annual,Percentage,Total,Total,From 18 to 64 years,Luxembourg,7.3,6.4,6.9,7.2,8.2 b,8.8,8.9,7.7,8.7 b,8.4 b,6.0 b,7.9
Annual,Percentage,Total,Total,From 18 to 64 years,Latvia,36.7,38.1,40.1,41.8,43.5,42.0,43.5,41.8,42.5,41.1,42.0,41.1
Annual,Percentage,Total,Total,From 18 to 64 years,Montenegro,:,46.7,56.5,58.4,59.9,59.4,63.0,63.7,65.6,62.3,62.8,:
Annual,Percentage,Total,Total,From 18 to 64 years,North Macedonia,52.4,50.6,46.3 b,51.6,49.6,46.2,46.1,43.5,41.9,:,:,:
Annual,Percentage,Total,Total,From 18 to 64 years,Malta,3.8,4.8,4.2,3.8,3.1,3.1,3.6,3.9,4.4,3.1,3.1,3.1
Annual,Percentage,Total,Total,From 18 to 64 years,Netherlands,3.1,3.3,4.1,4.2,4.7 b,4.8,4.9,5.5,5.5,3.9,3.6,4.6
Annual,Percentage,Total,Total,From 18 to 64 years,Norway,6.4,7.1,5.5,6.2,5.9,6.3,7.6,7.7,7.6,7.2 b,6.4,6.6
Annual,Percentage,Total,Total,From 18 to 64 years,Poland,46.2,45.0,44.6,44.0,41.2,41.4,40.0,38.3,37.7 b,36.3,36.0,34.4 b
Annual,Percentage,Total,Total,From 18 to 64 years,Portugal,10.4,11.8,10.7,10.4,10.5,9.6,10.1,9.9,9.2,11.0,10.2,13.9
Annual,Percentage,Total,Total,From 18 to 64 years,Romania,52.8,52.1,51.2,51.7,49.8,48.8,48.2,47.8,46.7,42.6,41.7,42.0
Annual,Percentage,Total,Total,From 18 to 64 years,Serbia,:,55.3,52.0,55.2,57.2,58.2,55.2,55.7,55.2,53.8,52.1,:
Annual,Percentage,Total,Total,From 18 to 64 years,Sweden,14.7,15.4,14.8,16.0,16.6,15.0,16.8,16.8,16.8,17.6,17.8,18.0
Annual,Percentage,Total,Total,From 18 to 64 years,Slovenia,17.6,16.4,15.8,14.7,13.4,13.7,13.1,11.8,11.2,11.5,11.4,10.7
Annual,Percentage,Total,Total,From 18 to 64 years,Slovakia,40.3,41.5,40.0,38.9,39.1,37.9,36.7,35.9,31.7,32.8,33.1,31.0
Annual,Percentage,Total,Total,From 18 to 64 years,Türkiye,43.0,43.1,43.7,42.8,41.6,40.9,39.7,38.3,37.9,37.2,35.9,36.1
Annual,Percentage,Total,Total,From 18 to 64 years,United Kingdom,7.2 b,8.1,7.4,7.5,8.4,3.3 b,4.8,:,:,:,:,:
Annual,Percentage,Total,Total,65 years or over,Albania,:,:,:,:,:,45.5,42.5,41.5,38.4,38.9,:,:
Annual,Percentage,Total,Total,65 years or over,Austria,4.7,4.9,5.1,4.9,4.5,4.3,4.3,4.9,4.0,4.0,4.9,5.5
Annual,Percentage,Total,Total,65 years or over,Belgium,0.5,0.7,0.6,0.5,1.0 b,1.4,1.5,1.8 b,1.5,1.4,1.8,1.8
Annual,Percentage,Total,Total,65 years or over,Bulgaria,21.7,21.3,19.9,17.8,16.9 b,16.8,16.8,16.2,15.4,15.0,14.1,13.1
Annual,Percentage,Total,Total,65 years or over,Switzerland,1.9,1.8,1.7 b,1.8,1.7,1.7,2.4,1.9,2.0,1.4,1.9,1.8
Annual,Percentage,Total,Total,65 years or over,Cyprus,1.1,0.9,0.8,0.5,1.0,0.6,0.2,0.5,0.4,0.6,0.5,0.3
Annual,Percentage,Total,Total,65 years or over,Czechia,7.4,7.7,7.8,7.4,6.6,5.6,5.1,4.8,5.7,5.8,5.4,5.9
Annual,Percentage,Total,Total,65 years or over,Germany,2.0,1.8,1.7,1.9,2.1,2.2,2.3,2.6,2.9 b,3.1,3.4,3.3
Annual,Percentage,Total,Total,65 years or over,Denmark,0.6,0.6,1.0,0.7,1.0,0.9,1.2,1.2,0.8,1.1,1.0,1.1
Annual,Percentage,Total,Total,65 years or over,Euro area - 19 countries  (2015-2022),4.2,4.3,4.4,4.4,4.5,4.4,4.5,4.7,4.7,4.5,:,:
Annual,Percentage,Total,Total,65 years or over,Euro area – 20 countries (from 2023),:,:,4.5,4.6,4.7,4.5,4.7,4.9,4.8,4.8,4.6,4.6
Annual,Percentage,Total,Total,65 years or over,Estonia,5.5,8.8,5.1 b,4.9,4.7,4.9,3.9,5.1,5.1,7.7,9.0,9.2
Annual,Percentage,Total,Total,65 years or over,Greece,14.1,14.4,14.1,14.2,13.6,12.7,12.3,11.5,11.5,10.6,11.1,9.6
Annual,Percentage,Total,Total,65 years or over,Spain,1.9,1.8,1.4,2.0,1.8,1.9,1.7,1.8,2.4,2.3,2.3,2.7
Annual,Percentage,Total,Total,65 years or over,European Union - 27 countries (2007-2013),6.6,6.5,6.5,6.4,6.4,6.1,6.0,6.1 e,:,:,:,:
Annual,Percentage,Total,Total,65 years or over,European Union - 27 countries (from 2020),7.4 e,7.3 e,7.3 e,7.3 e,7.3 e,7.1 e,6.9 e,7.0 e,7.0,6.9,6.8,6.7
Annual,Percentage,Total,Total,65 years or over,European Union - 28 countries (2013-2020),6.7,6.6,6.6,6.6,6.6,6.2,6.2,6.2 e,:,:,:,:
Annual,Percentage,Total,Total,65 years or over,Finland,4.1,4.4,4.5,4.3,4.3,3.9,4.2,3.9,3.4,3.2,2.8,3.6
Annual,Percentage,Total,Total,65 years or over,France,2.4,2.0,2.0,2.2,2.2,2.1,1.9,2.1,2.2 b,2.5,2.5 b,2.7
Annual,Percentage,Total,Total,65 years or over,Croatia,21.6,20.8,20.4,22.5,21.4,20.6,19.8,19.1,18.3,16.7,16.6,16.2
Annual,Percentage,Total,Total,65 years or over,Hungary,19.2,17.4,16.4,17.3,17.0,16.9,6.8 b,6.2,6.5,6.1,5.4,5.7
Annual,Percentage,Total,Total,65 years or over,Ireland,0.6,0.2,0.5,0.5,0.3,0.3,0.2,0.5 b,1.1 b,0.4,0.5,0.6
Annual,Percentage,Total,Total,65 years or over,Iceland,1.8,0.9,1.8,1.8,1.1,2.6,4.0,4.2,:,:,:,:
Annual,Percentage,Total,Total,65 years or over,Italy,8.9,9.3,10.0,9.6,10.0,9.3,10.4,10.6,10.0,9.5,8.4,8.0
Annual,Percentage,Total,Total,65 years or over,Lithuania,5.5,12.6 b,12.7,10.8,9.5,9.1,9.7,9.9,9.9,10.2,10.7,12.8
Annual,Percentage,Total,Total,65 years or over,Luxembourg,1.7,1.8,1.5,2.2,1.9 b,2.8,2.5,1.9,1.4 b,1.2 b,1.4 b,1.0
Annual,Percentage,Total,Total,65 years or over,Latvia,20.4,22.1,24.9,25.6,26.4,26.0,28.1,28.5,27.5,26.1,25.8,26.0
Annual,Percentage,Total,Total,65 years or over,Montenegro,:,27.6,32.3,33.0,33.1,30.7,38.6,39.1,41.9,38.6,37.9,:
Annual,Percentage,Total,Total,65 years or over,North Macedonia,31.2,28.0,31.0 b,30.8,34.1,31.0,31.6,29.4,28.1,:,:,:
Annual,Percentage,Total,Total,65 years or over,Malta,1.3,1.4,1.1,1.1,0.8,1.0,1.1,1.3,1.6,0.8,1.0,0.5
Annual,Percentage,Total,Total,65 years or over,Netherlands,0.4,0.0,0.2,0.2,0.5 b,0.8,1.0,1.0,1.2,0.4,0.3,0.5
Annual,Percentage,Total,Total,65 years or over,Norway,0.5,0.8,0.7,0.8,0.8,1.1,0.7,0.4,0.3,0.7 b,0.5,0.5
Annual,Percentage,Total,Total,65 years or over,Poland,28.2,27.7,27.4,26.6,25.9,24.9,24.3,23.7,23.5 b,23.1,24.5,23.3 b
Annual,Percentage,Total,Total,65 years or over,Portugal,3.6,4.5,3.9,4.0,4.1,3.1,3.0,3.1,2.9,4.4,3.0,4.4
Annual,Percentage,Total,Total,65 years or over,Romania,21.3,20.6,19.8,19.4,19.5,18.7,18.8,18.1,17.8,16.7,16.5,15.8
Annual,Percentage,Total,Total,65 years or over,Serbia,:,37.2,32.4,35.7,38.5,39.1,35.0,34.5,34.0,32.5,32.2,:
Annual,Percentage,Total,Total,65 years or over,Sweden,3.1,2.7,2.7,3.2,3.7,4.2,3.2,4.1,4.2,4.6,5.0,4.8
Annual,Percentage,Total,Total,65 years or over,Slovenia,6.0,6.0,5.6,5.4,4.4,4.4,4.5,4.5,4.8,4.6,4.3,4.0
Annual,Percentage,Total,Total,65 years or over,Slovakia,15.1,15.5,15.7,15.8,17.1,18.4,17.6,16.7,15.7,15.6,15.0,15.9
Annual,Percentage,Total,Total,65 years or over,Türkiye,29.3,27.7,28.7,27.8,26.4,24.4,23.1,20.4,19.2,18.0,17.0,16.6
Annual,Percentage,Total,Total,65 years or over,United Kingdom,1.8 b,1.6,1.7,1.6,1.3,0.4 b,0.5,:,:,:,:,:
Annual,Percentage,Total,Total,Less than 18 years,Albania,:,:,:,:,:,73.9,74.2,72.2,69.9,69.0,:,:
Annual,Percentage,Total,Total,Less than 18 years,Austria,21.7,23.4,23.2,23.8,25.1,24.8,22.4,24.1,23.9,23.7,27.4,23.9
Annual,Percentage,Total,Total,Less than 18 years,Belgium,2.4,3.1,2.9,2.6,5.6 b,8.0,9.4,9.6 b,9.7,10.3,11.0,9.4
Annual,Percentage,Total,Total,Less than 18 years,Bulgaria,61.2,62.8,63.3,61.8,64.4 b,63.8,61.8,61.2,61.0,58.1,55.9,56.5
Annual,Percentage,Total,Total,Less than 18 years,Switzerland,7.1,7.4,9.3 b,8.4,9.9,9.0,8.2,8.5,8.4,7.9,8.7,8.6
Annual,Percentage,Total,Total,Less than 18 years,Cyprus,3.7,2.9,2.9,1.4,3.3,3.1,3.3,2.7,3.5,3.7,3.7,3.7
Annual,Percentage,Total,Total,Less than 18 years,Czechia,32.4,31.5,30.3,29.3,28.6,25.3,24.9,24.1,24.5,25.1,25.6,26.6
Annual,Percentage,Total,Total,Less than 18 years,Germany,9.6,9.8,9.6,10.0,10.4,10.7,11.2,12.0,16.8 b,17.9,18.5,18.7
Annual,Percentage,Total,Total,Less than 18 years,Denmark,9.8,11.0,11.6,10.4,9.2,9.7,9.9,10.8,11.9,11.1,12.4,9.7
Annual,Percentage,Total,Total,Less than 18 years,Euro area - 19 countries  (2015-2022),16.1,16.3,16.3,17.0,17.4,17.3,17.6,18.1,19.8,19.9,:,:
Annual,Percentage,Total,Total,Less than 18 years,Euro area – 20 countries (from 2023),:,:,16.6,17.4,17.9,17.7,18.0,18.5,20.1,20.5,19.9,20.7
Annual,Percentage,Total,Total,Less than 18 years,Estonia,23.1,33.3,24.6 b,22.8,22.0,21.2,20.1,21.4,20.9,21.6,23.7,25.0
Annual,Percentage,Total,Total,Less than 18 years,Greece,27.3,32.9,32.7,34.6,36.8,38.8,40.0,42.8,43.2,42.6,42.4,41.5
Annual,Percentage,Total,Total,Less than 18 years,Spain,8.5,7.1,7.9,8.2,8.4,8.2,6.4,9.7,12.8,9.6,9.8,11.3
Annual,Percentage,Total,Total,Less than 18 years,European Union - 27 countries (2007-2013),22.9,22.9,22.4,22.8,23.0,21.6,21.7,21.9 e,:,:,:,:
Annual,Percentage,Total,Total,Less than 18 years,European Union - 27 countries (from 2020),25.2 e,24.7 e,24.4 e,24.9 e,24.9 e,24.5 e,24.1 e,24.4 e,25.6,25.4,24.9,25.2
Annual,Percentage,Total,Total,Less than 18 years,European Union - 28 countries (2013-2020),23.2,23.1,22.7,23.1,23.2,21.9,21.9,22.2 e,:,:,:,:
Annual,Percentage,Total,Total,Less than 18 years,Finland,5.7,7.1,6.9,6.6,6.0,5.8,8.3,9.7,9.0,8.2,10.5,9.3
Annual,Percentage,Total,Total,Less than 18 years,France,11.3,10.1,10.3,11.2,11.8,12.1,12.4,11.5,15.0 b,14.7,14.3 b,15.8
Annual,Percentage,Total,Total,Less than 18 years,Croatia,60.0,56.6,55.2,53.8,53.1,52.6,52.6,53.5,49.2,48.2,46.8,44.4
Annual,Percentage,Total,Total,Less than 18 years,Hungary,67.2,66.1,63.5,62.6,62.3,62.7,35.6 b,38.1,33.7,31.9,31.9,28.8
Annual,Percentage,Total,Total,Less than 18 years,Ireland,4.3,3.9,4.4,6.1,4.9,4.0,4.2,4.3 b,5.0 b,5.6,6.5,6.3
Annual,Percentage,Total,Total,Less than 18 years,Iceland,10.4,11.9,11.4,11.3,10.7,10.8,13.9,16.1,:,:,:,:
Annual,Percentage,Total,Total,Less than 18 years,Italy,38.9,39.3,39.4,41.2,41.7,40.6,41.9,41.6,39.2,42.9,39.1,40.9
Annual,Percentage,Total,Total,Less than 18 years,Lithuania,30.4,43.2 b,42.5,40.1,34.3,36.7,36.3,37.3,33.1,37.0,38.7,41.1
Annual,Percentage,Total,Total,Less than 18 years,Luxembourg,9.2,8.1,9.7,8.5,12.0 b,10.6,11.1,9.1,12.5 b,9.2 b,7.2 b,9.9
Annual,Percentage,Total,Total,Less than 18 years,Latvia,53.1,53.4,55.2,57.5,60.2,59.0,59.2,57.7,58.2,57.9,57.3,55.6
Annual,Percentage,Total,Total,Less than 18 years,Montenegro,:,55.3,65.0,69.0,68.7,69.3,72.9,73.9,74.2,70.5,71.6,:
Annual,Percentage,Total,Total,Less than 18 years,North Macedonia,64.9,63.0,55.3 b,62.1,61.9,57.0,57.7,53.3,51.8,:,:,:
Annual,Percentage,Total,Total,Less than 18 years,Malta,6.7,6.4,5.9,6.2,5.0,4.8,4.7,5.1,6.3,4.7,3.7,1.9
Annual,Percentage,Total,Total,Less than 18 years,Netherlands,2.4,2.5,4.4,3.1,5.1 b,5.1,4.9,6.0,6.1,4.8,3.1,5.1
Annual,Percentage,Total,Total,Less than 18 years,Norway,6.8,6.4,5.1,6.1,6.4,6.0,5.9,6.4,7.2,9.6 b,9.2,9.0
Annual,Percentage,Total,Total,Less than 18 years,Poland,60.1,57.5,56.1,55.7,51.9,51.5,50.5,48.8,48.1 b,46.4,46.8,43.7 b
Annual,Percentage,Total,Total,Less than 18 years,Portugal,15.9,17.7,16.4,17.2,17.0,15.8,16.3,16.2,16.5,17.5,16.0,21.8
Annual,Percentage,Total,Total,Less than 18 years,Romania,73.1,71.4,69.6,70.3,70.0,67.2,66.4,66.3,67.4,60.7,60.9,61.1
Annual,Percentage,Total,Total,Less than 18 years,Serbia,:,67.1,62.9,65.8,67.5,68.6,67.4,66.9,65.5,64.0,63.4,:
Annual,Percentage,Total,Total,Less than 18 years,Sweden,16.6,15.6,16.2,17.9,18.5,18.0,21.8,22.8,22.8,21.0,21.3,23.3
Annual,Percentage,Total,Total,Less than 18 years,Slovenia,21.9,20.8,19.3,17.4,17.1,17.8,18.1,17.6,16.0,15.2,16.2,15.8
Annual,Percentage,Total,Total,Less than 18 years,Slovakia,49.6,50.8,51.6,50.5,49.8,45.7,45.5,43.0,38.5,39.4,42.6,42.3
Annual,Percentage,Total,Total,Less than 18 years,Türkiye,55.9,56.0,58.5,58.1,56.2,55.4,54.0,52.3,51.8,51.0,50.6,51.0
Annual,Percentage,Total,Total,Less than 18 years,United Kingdom,10.7 b,13.2,11.7,11.7,12.9,6.3 b,8.7,:,:,:,:,:
