Time frequency,Unit of measure,Tenure status,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Finland,2.6,2.4,3.0,2.8,3.2,1.8,2.2,1.7,1.7,1.7,2.1,2.2
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",France,1.8,1.5,1.3,1.9,2.3,1.9,1.7,1.3,1.3 b,2.0,1.8 b,2.7
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Croatia,42.3,40.6,41.5,40.1,39.8,38.4,37.2,36.1,33.9,32.1,30.4,29.0
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Hungary,40.3,38.8,37.2,38.2,36.4,36.5,17.0 b,17.4,17.0,16.7,15.1,14.8
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Ireland,0.9,1.3,2.6,0.7,0.1,0.3,0.2,0.3 b,0.8 b,1.2,2.3,1.0
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Iceland,2.7,2.5,4.2,3.7,2.5,2.7,3.2,5.8,:,:,:,:
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Italy,19.8,20.2,20.5,20.9,20.7,20.6,21.1,21.4,19.6,20.8,18.0,17.9
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Lithuania,17.8,27.1 b,26.8,24.6,22.9,22.4,21.1,21.1,19.6,21.6,23.1,24.5
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Luxembourg,1.2,0.8,0.7,0.5,1.1 b,2.0,1.4,1.5,1.5 b,1.9 b,3.7 b,1.7
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Latvia,34.7,35.9,37.6,38.2,40.6,38.8,39.0,38.9,38.8,37.9,37.8,36.5
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Montenegro,:,45.1,53.9,55.3,56.9,55.4,61.0,61.5,63.4,59.1,59.4,:
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",North Macedonia,52.3,48.3,44.9 b,49.6,48.3,44.9,44.9,41.7,39.9,:,:,:
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Malta,3.1,3.5,3.0,2.2,2.2,2.4,2.4,2.5,3.0,2.6,2.4,0.7
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Netherlands,1.6,0.8,0.9,1.5,1.3 b,1.5,1.6,2.3,1.2,1.8,1.3,2.7
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Norway,2.4,1.9,1.0,1.4,1.1,1.6,1.6,0.9,1.3,1.1 b,0.9,0.9
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Poland,41.9,40.8,40.4,39.8,36.9,37.0,35.8,33.8,34.0 b,32.8,32.5,30.0 b
Annual,Percentage,"Owner, no outstanding mortgage or housing loan",Portugal,5.6,6.2,6.9,6.7,7.3,6.2,6.1,5.7,5.4,7.7,5.6,8.4
