Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Unit of measure,Geopolitical entity (reporting)\Time,2005.0
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Denmark,6.5
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Estonia,6.2
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Greece,3.1
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Spain,10.2
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,European Union - 27 countries (from 2020),8.1
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,European Union - 28 countries (2013-2020),7.2
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Finland,6.7
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,France,11.5
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Hungary,6.4
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Ireland,10.4
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Italy,7.3
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Lithuania,3.6
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Luxembourg,12.9
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Latvia,3.3
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Malta,9.1
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Netherlands,9.0
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Norway,7.5
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Poland,6.4
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Portugal,8.7
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Romania,3.8
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Sweden,9.3
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Slovenia,11.3
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,Slovakia,11.7
Annual,Wholesale and retail trade; hotels and restaurants; transport,Hour,United Kingdom,4.0
Annual,Financial intermediation,Hour,Austria,32.2
Annual,Financial intermediation,Hour,Belgium,18.8
Annual,Financial intermediation,Hour,Bulgaria,8.5
Annual,Financial intermediation,Hour,Cyprus,14.2
Annual,Financial intermediation,Hour,Czechia,45.7
Annual,Financial intermediation,Hour,Germany,19.0
Annual,Financial intermediation,Hour,Denmark,11.3
Annual,Financial intermediation,Hour,Estonia,40.2
Annual,Financial intermediation,Hour,Greece,12.2
Annual,Financial intermediation,Hour,Spain,19.1
Annual,Financial intermediation,Hour,European Union - 27 countries (from 2020),21.5
Annual,Financial intermediation,Hour,European Union - 28 countries (2013-2020),20.4
Annual,Financial intermediation,Hour,Finland,17.2
Annual,Financial intermediation,Hour,France,26.9
Annual,Financial intermediation,Hour,Hungary,12.5
Annual,Financial intermediation,Hour,Ireland,14.4
Annual,Financial intermediation,Hour,Italy,27.1
Annual,Financial intermediation,Hour,Lithuania,19.2
Annual,Financial intermediation,Hour,Luxembourg,22.3
Annual,Financial intermediation,Hour,Latvia,10.6
Annual,Financial intermediation,Hour,Malta,14.0
Annual,Financial intermediation,Hour,Netherlands,19.5
Annual,Financial intermediation,Hour,Norway,24.5
Annual,Financial intermediation,Hour,Poland,20.0
Annual,Financial intermediation,Hour,Portugal,15.5
Annual,Financial intermediation,Hour,Romania,13.6
Annual,Financial intermediation,Hour,Sweden,10.2
Annual,Financial intermediation,Hour,Slovenia,26.7
Annual,Financial intermediation,Hour,Slovakia,37.3
Annual,Financial intermediation,Hour,United Kingdom,11.5
Annual,Real estate; other service activities,Hour,Austria,6.1
Annual,Real estate; other service activities,Hour,Belgium,12.8
Annual,Real estate; other service activities,Hour,Bulgaria,5.6
Annual,Real estate; other service activities,Hour,Cyprus,8.5
Annual,Real estate; other service activities,Hour,Czechia,14.3
Annual,Real estate; other service activities,Hour,Germany,9.3
Annual,Real estate; other service activities,Hour,Denmark,18.6
Annual,Real estate; other service activities,Hour,Estonia,10.8
Annual,Real estate; other service activities,Hour,Greece,3.7
Annual,Real estate; other service activities,Hour,Spain,6.8
Annual,Real estate; other service activities,Hour,European Union - 27 countries (from 2020),9.7
Annual,Real estate; other service activities,Hour,European Union - 28 countries (2013-2020),9.8
Annual,Real estate; other service activities,Hour,Finland,11.9
Annual,Real estate; other service activities,Hour,France,12.1
Annual,Real estate; other service activities,Hour,Hungary,4.8
Annual,Real estate; other service activities,Hour,Ireland,13.2
Annual,Real estate; other service activities,Hour,Italy,7.0
Annual,Real estate; other service activities,Hour,Lithuania,5.2
Annual,Real estate; other service activities,Hour,Luxembourg,18.3
Annual,Real estate; other service activities,Hour,Latvia,4.3
Annual,Real estate; other service activities,Hour,Malta,10.4
Annual,Real estate; other service activities,Hour,Netherlands,14.0
Annual,Real estate; other service activities,Hour,Norway,7.7
Annual,Real estate; other service activities,Hour,Poland,4.5
Annual,Real estate; other service activities,Hour,Portugal,7.9
Annual,Real estate; other service activities,Hour,Romania,6.7
Annual,Real estate; other service activities,Hour,Sweden,17.9
Annual,Real estate; other service activities,Hour,Slovenia,16.7
Annual,Real estate; other service activities,Hour,Slovakia,5.7
Annual,Real estate; other service activities,Hour,United Kingdom,10.4
