Time frequency,Operator/Trader,Agricultural products,Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Agricultural producers of eggs according to harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Czechia,3960.077,3985.446,3676.594,4329.012,4779.487,4994.494,4984.459,5519.622,5031.005,4645.088,4763.791 e
Annual,Agricultural producers of eggs according to harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Germany,:,38690.0,39267.0,39500.0,39608.0,40358.0,40953.0,41829.0,42017.0,42906.0,43059.0
Annual,Agricultural producers of eggs according to harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Estonia,539.6,543.4,647.8,:,:,450.6,:,602.1,:,:,:
Annual,Agricultural producers of eggs according to harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Spain,43764.86 p,44524.39,46055.63 p,46395.503 p,47205.049 p,46751.656 p,45930.306 p,48533.439 p,47210.481 p,47535.746 p,48712.516 p
Annual,Agricultural producers of eggs according to harmonised methodology,Laying hens (producing eggs for consumption),Thousand,France,:,41895 e,41450 b,42500 p,44300.0,43050.0,40500.0,50050.0,50670.0,50680.0,50480 e
Annual,Agricultural producers of eggs according to harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Croatia,1169.0,1088.7,1692.9,1493.8,1604.5,1688.3,1781.9,1780.4,1919.0,1846.9,1975.8
Annual,Agricultural producers of eggs according to harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Hungary,:,:,3777.549,3741.647,3927.947,4386.396,4371.466,4432.56,4880.56,4750.462,4578.597
Annual,Agricultural producers of eggs according to harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Ireland,:,:,:,:,:,:,:,2878.2,3058.381,3003.303,3007.252
Annual,Agricultural producers of eggs according to harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Lithuania,2186.1,2465.253,2721.904,2850.941,2800.851,2363.528,3037.9,3210.759,2967.672,3242.493,2949.446
Annual,Agricultural producers of eggs according to harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Luxembourg,72.05,80.39,87.424,87.602,94.482,93.874,101.94,105.135,108.454,110.161,115.97
Annual,Agricultural producers of eggs according to harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Latvia,:,2367.6,:,:,2475.6,2851.8,:,3079.0,3159.5,3119.1,3182.9
Annual,Agricultural producers of eggs according to harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Malta,:,287.0,:,305.456,:,:,:,354.474,368.566,:,:
Annual,Agricultural producers of eggs according to harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Poland,:,:,:,:,42559.0,38015.0,38126.0,33827.0,32974.0,31496.0,35491.0
Annual,Agricultural producers of eggs according to harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Portugal,6079.0,6413.507,6942.811,6919.0,7154.0,11.0,6994.0,7344.0,7263.242,7473.718,7421.922
Annual,Agricultural producers of eggs according to harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Romania,:,7428.5 p,6578.077,9933.674,7880.892,8413.4,9060.3,8754.752,9513.802,9919.006,9194.327
Annual,Agricultural producers of eggs according to harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Serbia,:,:,:,:,:,3626.02,3673.96,3658.0,4146.0,4090.0,3860.0
Annual,Agricultural producers of eggs according to harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Slovenia,985.915,1212.018,1302.38,966.797,1087.709,1155.82,:,866.317,957.447,932.305,1000.142
Annual,Agricultural producers of eggs according to harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Slovakia,2225.0,3011.96,2385.324,2421.841,2486.056,2609.78,2478.342,2372.608,2368.922,2302.441,2130.588
Annual,Agricultural producers of eggs according to harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Türkiye,:,:,:,:,76457.912,76516.554,76868.268,75450.69,73835.72,76313.591,80390.944
Annual,Agricultural producers of eggs according to harmonised methodology,Eggs for consumption,Million,Belgium,:,2025.258 e,1952.752 e,2052.223 e,1752.871 e,1269.372 e,1556.429 e,1603.699 e,1597.186 e,1759.413 e,2146.162 e
Annual,Agricultural producers of eggs according to harmonised methodology,Eggs for consumption,Million,Bulgaria,754.0,:,836 p,916.0,963.0,963.0,1043.3,1048.0,1009.0,1115.0,901.0
Annual,Agricultural producers of eggs according to harmonised methodology,Eggs for consumption,Million,Cyprus,:,:,126.208,138.362,:,:,:,130.734,:,:,:
Annual,Agricultural producers of eggs according to harmonised methodology,Eggs for consumption,Million,Czechia,1168.661,1230.634,1216.532,1277.536,1431.89,1472.982,1538.246,1573.85,1702.009,1503.198,1452.987 e
Annual,Agricultural producers of eggs according to harmonised methodology,Eggs for consumption,Million,Germany,:,11344.0,11555.0,11728.0,11819.0,12044.0,12209.0,12615.0,12715.0,12896.0,12825.0
Annual,Agricultural producers of eggs according to harmonised methodology,Eggs for consumption,Million,Estonia,149.4,154.2,167.3,:,:,180.9,:,144.2,:,:,:
Annual,Agricultural producers of eggs according to harmonised methodology,Eggs for consumption,Million,Spain,11556.91 p,12111.0,12062 p,12824.023 p,13165.578 p,13032.824 p,12685.077 p,13480.327 p,13165.152 p,13276.105 p,13606.135 p
Annual,Agricultural producers of eggs according to harmonised methodology,Eggs for consumption,Million,France,:,13593 e,12376 b,13360 p,14000.0,14950 e,13900 e,14470.0,14930.0,14700.0,14630 e
Annual,Agricultural producers of eggs according to harmonised methodology,Eggs for consumption,Million,Croatia,266.6,244.6,399.9,379.1,375.7,405.5,429.7,461.8,497.8,474.2,503.4
Annual,Agricultural producers of eggs according to harmonised methodology,Eggs for consumption,Million,Hungary,:,:,1049.7,1095.8,1142.0,1242.0,1270.0,1257.0,1335.3,1290.5,1291.0
Annual,Agricultural producers of eggs according to harmonised methodology,Eggs for consumption,Million,Ireland,:,:,:,:,:,:,:,952.5 e,956.226 e,971.124 e,1002.499 e
Annual,Agricultural producers of eggs according to harmonised methodology,Eggs for consumption,Million,Lithuania,590.2,670.549,669.186,709.278,664.226,771.144,719.408,722.95,731.952,677.785,690.252
Annual,Agricultural producers of eggs according to harmonised methodology,Eggs for consumption,Million,Luxembourg,21.615,24.117,26.228,26.281,28.345,27.614,30.015,30.837,31.888,32.33,33.948
Annual,Agricultural producers of eggs according to harmonised methodology,Eggs for consumption,Million,Latvia,:,585.8,:,:,751.2,706.4,:,747.5,758.7,811.4,790.4
Annual,Agricultural producers of eggs according to harmonised methodology,Eggs for consumption,Million,Malta,:,77.0,:,81.925,:,:,:,92.22,95.886,:,:
Annual,Agricultural producers of eggs according to harmonised methodology,Eggs for consumption,Million,Poland,:,:,:,:,7243.0,8496.0,9199.0,8513.0,8028.0,8727.0,9542.0
Annual,Agricultural producers of eggs according to harmonised methodology,Eggs for consumption,Million,Portugal,1470.0,1544.943,1707.917,1707.0,1734.0,3.0,1770.0,1871.0,1802.832,1915.782,1939.667
Annual,Agricultural producers of eggs according to harmonised methodology,Eggs for consumption,Million,Romania,:,1263.5 p,1505.124,1785.354,1848.575,2028.5,2207.729,2261.22,2661.274,2878.084,2388.374
Annual,Agricultural producers of eggs according to harmonised methodology,Eggs for consumption,Million,Serbia,:,:,:,:,:,740.04,841.55,723.0,886.0,854.0,855.0
Annual,Agricultural producers of eggs according to harmonised methodology,Eggs for consumption,Million,Slovenia,248.098,304.421,309.244,279.234,265.41,271.511,:,250.709,258.954,278.8,278.8
Annual,Agricultural producers of eggs according to harmonised methodology,Eggs for consumption,Million,Slovakia,664.0,750.0,734.41,735.543,734.686,764.517,744.707,702.883,681.913,659.841,595.011
Annual,Agricultural producers of eggs according to harmonised methodology,Eggs for consumption,Million,Türkiye,:,:,:,17485.773,18382.659,18935.965,19277.328,18778.221,18845.78,19185.149,20065.809
Annual,Agricultural producers of eggs outside harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Belgium,:,72.135 e,72.066 e,66.851 e,62.731 e,51.513 e,59.417 e,65.126 e,50.461 e,49.364 e,80.638 e
Annual,Agricultural producers of eggs outside harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Bulgaria,142.0,:,132 p,151.0,130.0,95.0,88.0,93.0,86.0,65.0,54.0
Annual,Agricultural producers of eggs outside harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Cyprus,:,:,34.056,18.132,:,:,:,8.0,:,:,:
Annual,Agricultural producers of eggs outside harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Czechia,0 e,0 e,0 e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 e
Annual,Agricultural producers of eggs outside harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Germany,:,768.0,898.0,898.0,961.0,1006.0,1068.0,1115.0,1147.0,1153.0,1102.0
Annual,Agricultural producers of eggs outside harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Estonia,51.2,83.7,51.5,:,:,58.4,:,0.0,:,:,:
Annual,Agricultural producers of eggs outside harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Spain,903.04 p,545.8,521.94 p,525.368 p,540.327 p,569.909 p,632.41 p,617.539 p,710.452 ep,773.778 p,766.31 p
Annual,Agricultural producers of eggs outside harmonised methodology,Laying hens (producing eggs for consumption),Thousand,France,:,3105 e,3072 b,1500 p,1600.0,1550.0,1400.0,2260.0,2285.0,2290.0,2280 e
Annual,Agricultural producers of eggs outside harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Croatia,2810.1,2633.8,1324.5,2003.1,1878.6,1105.7,906.5,1172.2,1310.3,1046.3,799.4
Annual,Agricultural producers of eggs outside harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Hungary,:,:,3496.054,2773.409,2355.582,2038.326,2004.938,1960.793,1421.589,1255.996,1041.668
Annual,Agricultural producers of eggs outside harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Ireland,:,:,:,:,:,:,:,129.1,137.255,134.783,134.96
Annual,Agricultural producers of eggs outside harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Lithuania,844.7,613.947,664.876,360.206,631.933,1155.103,617.381,11.119,12.671,18.522,31.107
Annual,Agricultural producers of eggs outside harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Luxembourg,23.857,19.94,8.033,7.806,7.466,7.621,8.955,10.152,11.212,10.167,11.142
Annual,Agricultural producers of eggs outside harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Latvia,:,76.2,:,:,39.2,67.2,:,163.7,136.4,126.7,106.4
Annual,Agricultural producers of eggs outside harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Malta,:,20.0,:,31.798,:,:,:,0.0,0 e,:,:
Annual,Agricultural producers of eggs outside harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Poland,:,:,:,:,10220.0,7484.0,4761.0,5922.0,5279.0,5212.0,5777.0
Annual,Agricultural producers of eggs outside harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Portugal,16.0,16.734,17.065,8.0,9.0,7055.0,13.0,7.0,7.188 e,0.0,0.0
Annual,Agricultural producers of eggs outside harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Romania,:,31356.6 p,32446.429,26328.022,26655.201,27056.9,29147.4,25471.248,29838.407,28842.545,29341.144
Annual,Agricultural producers of eggs outside harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Serbia,:,:,:,:,:,5370.02,5188.93,4549.0,4146.0,3811.0,3630.0
Annual,Agricultural producers of eggs outside harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Slovenia,354.94,80.072,91.318,497.23,397.445,407.997,:,405.887,464.474,387.815,417.147
Annual,Agricultural producers of eggs outside harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Slovakia,16.0,29.052,12.738,8.513,17.572,24.114,13.249,19.733,24.926,18.69,16.9
Annual,Agricultural producers of eggs outside harmonised methodology,Laying hens (producing eggs for consumption),Thousand,Türkiye,:,:,:,:,290.885,416.769,498.55,458.164,378.576,385.586,381.967
Annual,Agricultural producers of eggs outside harmonised methodology,Eggs for consumption,Million,Belgium,:,19.219 e,18.53 e,19.474 e,18.601 e,11.787 e,13.501 e,14.565 e,10.936 e,11.511 e,24.082 e
Annual,Agricultural producers of eggs outside harmonised methodology,Eggs for consumption,Million,Bulgaria,27.0,:,25 p,26.0,22.0,15.0,14.9,16.0,15.0,12.0,9.0
Annual,Agricultural producers of eggs outside harmonised methodology,Eggs for consumption,Million,Cyprus,:,:,10.592,5.642,:,:,:,20.0,:,:,:
Annual,Agricultural producers of eggs outside harmonised methodology,Eggs for consumption,Million,Czechia,0 e,0 e,0 e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 e
Annual,Agricultural producers of eggs outside harmonised methodology,Eggs for consumption,Million,Germany,:,213.0,252.0,251.0,268.0,281.0,302.0,321.0,328.0,328.0,308.0
Annual,Agricultural producers of eggs outside harmonised methodology,Eggs for consumption,Million,Estonia,8.7,13.2,8.6,:,:,10.4,:,0.0,:,:,:
Annual,Agricultural producers of eggs outside harmonised methodology,Eggs for consumption,Million,Spain,230.51 p,140.333,130.747 p,144.289 p,134.816 p,152.475 p,186.105 p,167.114 p,176.159 ep,200.303 p,195.307 p
Annual,Agricultural producers of eggs outside harmonised methodology,Eggs for consumption,Million,France,:,1007 e,917 b,360 p,365.0,400 e,350 e,650.0,678.0,663.0,660 e
Annual,Agricultural producers of eggs outside harmonised methodology,Eggs for consumption,Million,Croatia,295.1,327.4,117.0,239.4,200.9,124.3,118.3,153.4,181.2,137.0,89.5
Annual,Agricultural producers of eggs outside harmonised methodology,Eggs for consumption,Million,Hungary,:,:,430.0,309.1,278.0,243.0,242.0,239.0,197.0,177.2,129.7
Annual,Agricultural producers of eggs outside harmonised methodology,Eggs for consumption,Million,Ireland,:,:,:,:,:,:,:,42.7 e,42.914 e,43.582 e,44.99 e
Annual,Agricultural producers of eggs outside harmonised methodology,Eggs for consumption,Million,Lithuania,181.4,135.551,117.008,79.653,65.825,55.972,2.581 e,2.297,2.684,3.271,3.902
Annual,Agricultural producers of eggs outside harmonised methodology,Eggs for consumption,Million,Luxembourg,7.157,5.982,2.409,2.341,2.239,2.255,2.655,3.014,3.32,3.013,3.285
Annual,Agricultural producers of eggs outside harmonised methodology,Eggs for consumption,Million,Latvia,:,39.2,:,:,11.2,6.8,:,11.1,7.6,6.4,6.4
Annual,Agricultural producers of eggs outside harmonised methodology,Eggs for consumption,Million,Malta,:,5.0,:,8.528,:,:,:,0.0,0 e,:,:
Annual,Agricultural producers of eggs outside harmonised methodology,Eggs for consumption,Million,Poland,:,:,:,:,2163.0,1642.0,1092.0,1455.0,1242.0,1350.0,1426.0
Annual,Agricultural producers of eggs outside harmonised methodology,Eggs for consumption,Million,Portugal,4.0,3.461,4.07,4.0,3.0,1780.0,5.0,5.0,2.703 e,0.0,0.0
Annual,Agricultural producers of eggs outside harmonised methodology,Eggs for consumption,Million,Romania,:,4284.8 p,4079.084,4026.18,3719.058,3167.8,2679.671,2696.38,2777.613,2653.294,3143.004
Annual,Agricultural producers of eggs outside harmonised methodology,Eggs for consumption,Million,Serbia,:,:,:,:,:,970.14,835.14,889.0,738.0,695.0,573.0
Annual,Agricultural producers of eggs outside harmonised methodology,Eggs for consumption,Million,Slovenia,68.945,17.928,19.55,86.502,68.513,68.957,:,74.481,81.525,76.88,76.88
Annual,Agricultural producers of eggs outside harmonised methodology,Eggs for consumption,Million,Slovakia,3.0,4.466,2.23,1.542,2.123,3.099,3.378,3.252,5.483,4.086,3.642
Annual,Agricultural producers of eggs outside harmonised methodology,Eggs for consumption,Million,Türkiye,:,:,:,611.832,898.537,707.747,620.798,1009.842,451.811,623.39,571.924
Annual,Total,Laying hens (producing eggs for consumption),Thousand,Belgium,:,7673.959 e,7666.598 e,7111.812 e,5974.385 e,5599.201 e,6908.981 e,7236.139 e,7420.718 e,7594.435 e,8063.8 e
Annual,Total,Laying hens (producing eggs for consumption),Thousand,Bulgaria,3003.0,:,3656 p,3841.0,3871.0,3924.0,4115.0,4211.0,4055.0,4640.0,3686.0
Annual,Total,Laying hens (producing eggs for consumption),Thousand,Cyprus,:,:,439.84,453.234,:,:,:,400.317,:,:,:
Annual,Total,Laying hens (producing eggs for consumption),Thousand,Czechia,3960.077 e,3985.446 e,3676.594 e,4329.012,4779.487,4994.494,4984.459,5519.622,5031.005,4645.088,4763.791
Annual,Total,Laying hens (producing eggs for consumption),Thousand,Germany,:,39458.0,40165.0,40398.0,40569.0,41364.0,42021.0,42944.0,43164.0,44059.0,44161.0
Annual,Total,Laying hens (producing eggs for consumption),Thousand,Estonia,590.8,627.1,699.3,:,:,509.0,:,602.1,:,:,:
Annual,Total,Laying hens (producing eggs for consumption),Thousand,Spain,44667.9,45070.19,46577.57,46920.871,47745.376,47321.565,46562.716,49150.978,47920.933 e,48309.524 p,49478.826 p
Annual,Total,Laying hens (producing eggs for consumption),Thousand,France,:,45000 e,44522 b,44000 p,45900.0,44600.0,41900.0,52310.0,52955.0,52970.0,52760 e
Annual,Total,Laying hens (producing eggs for consumption),Thousand,Croatia,3979.1,3722.5,3017.4,3496.9,3483.1,2794.0,2688.4,2952.6,3229.3,2893.2,2775.2
Annual,Total,Laying hens (producing eggs for consumption),Thousand,Hungary,:,:,7273.603,6515.056,6283.529,6424.722,6376.404,6393.353,6302.149,6006.458,5620.265
Annual,Total,Laying hens (producing eggs for consumption),Thousand,Ireland,:,:,:,:,:,:,:,3007.3,3195.636,3138.086,3142.212
Annual,Total,Laying hens (producing eggs for consumption),Thousand,Lithuania,3030.8,3079.2,3386.78,3211.147,3432.784,3518.631,3655.281,3221.878,2980.343,3261.015,2980.553
Annual,Total,Laying hens (producing eggs for consumption),Thousand,Luxembourg,95.907,100.33,95.457,95.408,101.948,101.495,110.895,115.287,119.666,120.328,127.112
Annual,Total,Laying hens (producing eggs for consumption),Thousand,Latvia,:,2443.8,:,:,2514.8,2919.0,:,3242.7,3295.9,3245.8,3289.3
Annual,Total,Laying hens (producing eggs for consumption),Thousand,Malta,:,307.0,:,337.254,:,:,:,354.474,368.566 e,:,:
Annual,Total,Laying hens (producing eggs for consumption),Thousand,Poland,:,:,:,:,52779.0,45499.0,42887.0,39749.0,38253.0,36708.0,41268.0
Annual,Total,Laying hens (producing eggs for consumption),Thousand,Portugal,6095.0,6430.241,6959.876,6927.0,7163.0,7066.0,7007.0,7351.0,7270.43 e,7473.718,7421.922
Annual,Total,Laying hens (producing eggs for consumption),Thousand,Romania,:,38785.1 p,39024.506,36261.696,34536.093,35470.3,38207.7,34226.0,39352.209,38761.551,38535.471
Annual,Total,Laying hens (producing eggs for consumption),Thousand,Serbia,:,:,:,:,:,8996.04,8862.89,8207.0,8292.0,7901.0,7490.0
Annual,Total,Laying hens (producing eggs for consumption),Thousand,Slovenia,1340.855,1292.09,1393.698,1464.027,1485.154,1563.817,:,1272.204,1421.921,1320.12,1417.289
Annual,Total,Laying hens (producing eggs for consumption),Thousand,Slovakia,2241.0,3041.012,2398.062,2430.354,2503.628,2633.894,2491.591,2392.341,2393.848,2321.131,2147.488
Annual,Total,Laying hens (producing eggs for consumption),Thousand,Türkiye,:,:,:,:,76748.797,76933.323,77366.818,75908.854,74214.296,76699.177,80772.911
Annual,Total,Eggs for consumption,Million,Belgium,:,2044.477 e,1971.282 e,2071.697 e,1771.472 e,1281.159 e,1569.93 e,1618.264 e,1608.122 e,1770.924 e,2170.244 e
Annual,Total,Eggs for consumption,Million,Bulgaria,781.0,:,861 p,942.0,985.0,978.0,1058.2,1064.0,1024.0,1127.0,910.0
Annual,Total,Eggs for consumption,Million,Cyprus,:,:,136.8,144.004,:,:,:,150.734,:,:,:
Annual,Total,Eggs for consumption,Million,Czechia,1168.661 e,1230.634 e,1216.532 e,1277.536,1431.89,1472.982,1538.246,1573.85,1702.009,1503.198,1452.987
Annual,Total,Eggs for consumption,Million,Germany,:,11557.0,11807.0,11979.0,12087.0,12325.0,12511.0,12936.0,13043.0,13224.0,13133.0
Annual,Total,Eggs for consumption,Million,Denmark,1112.4,1111.3,1132.5,1188.0,1222.7,1233.8,1322.3,1436.0,1493.0,1425.0,1347.0
Annual,Total,Eggs for consumption,Million,Estonia,158.1,167.4,175.9,:,:,191.3,:,144.2,:,:,:
Annual,Total,Eggs for consumption,Million,Spain,11787.42,12251.333,12192.747,12968.312,13300.394,13185.299,12871.182,13647.441,13341.311 e,13476.408 p,13801.442 p
Annual,Total,Eggs for consumption,Million,Finland,1115.812,1117.546,1191.07,1209.5,1225.83,1248.0,1260.0,1264.0,1292.333 e,1272.0,1253.0
Annual,Total,Eggs for consumption,Million,France,:,14600 e,13293 b,13720 p,14365.0,15350 e,14250 e,15120.0,15608.0,15363.0,15290 e
Annual,Total,Eggs for consumption,Million,Croatia,561.7,572.0,516.9,618.5,576.6,529.8,548.0,615.2,679.0,611.2,592.9
Annual,Total,Eggs for consumption,Million,Hungary,:,:,1479.7,1404.9,1420.0,1485.0,1512.0,1496.0,1532.3,1467.7,1420.7
Annual,Total,Eggs for consumption,Million,Ireland,:,:,:,:,:,:,:,995.2,999.14,1014.707,1047.49
Annual,Total,Eggs for consumption,Million,Lithuania,771.6,806.1,786.194,788.931,730.051,827.116,721.989 e,725.247,734.636,681.056,694.154
Annual,Total,Eggs for consumption,Million,Luxembourg,28.772,30.099,28.637,28.622,30.584,29.869,32.67,33.851,35.208,35.343,37.233
Annual,Total,Eggs for consumption,Million,Latvia,:,625.0,:,:,762.4,713.2,:,758.6,766.3,817.8,796.8
Annual,Total,Eggs for consumption,Million,Malta,:,82.0,:,90.453,:,:,:,92.22,95.886 e,:,:
Annual,Total,Eggs for consumption,Million,Poland,:,:,:,:,9406.0,10138.0,10291.0,9968.0,9270.0,10077.0,10968.0
Annual,Total,Eggs for consumption,Million,Portugal,1474.0,1548.404,1711.987,1711.0,1737.0,1783.0,1775.0,1876.0,1805.535 e,1915.782,1939.667
Annual,Total,Eggs for consumption,Million,Romania,:,5548.3 p,5584.208,5811.534,5567.633,5196.3,4887.4,4957.6,5438.887,5531.378,5531.378
Annual,Total,Eggs for consumption,Million,Serbia,:,:,:,:,:,1710.18,1676.69,1612.0,1624.0,1549.0,1428.0
Annual,Total,Eggs for consumption,Million,Sweden,:,1956.709,2075.458,2272.665,2243.142,2298.69,2439.259,2428.847,2086.842,2519.99,2170.844
Annual,Total,Eggs for consumption,Million,Slovenia,317.043,322.349,328.794,365.736,333.923,340.468,:,325.19,340.479,355.68,355.68
Annual,Total,Eggs for consumption,Million,Slovakia,667.0,754.466,736.64,737.085,736.809,767.616,748.085,706.135,687.396,663.927,598.653
Annual,Total,Eggs for consumption,Million,Türkiye,:,:,:,18097.605,19281.196,19643.712,19898.126,19788.063,19297.592,19808.539,20637.732
Annual,Total,Eggs for consumption,Million,United Kingdom,:,:,9753.389 p,10144.86 p,10724.67,11006.57,:,:,:,:,:
