Time frequency,Unit of measure,Quantile,Working time,Geopolitical entity (reporting)\Time,2006.0
Annual,Euro,Ninetieth percentile,Full-time,Luxembourg,78540.0
Annual,Euro,Ninetieth percentile,Full-time,Latvia,10625.0
Annual,Euro,Ninetieth percentile,Full-time,Malta,25516.0
Annual,Euro,Ninetieth percentile,Full-time,Netherlands,60760.0
Annual,Euro,Ninetieth percentile,Full-time,Norway,74047.0
Annual,Euro,Ninetieth percentile,Full-time,Poland,14342.0
Annual,Euro,Ninetieth percentile,Full-time,Portugal,33877.0
Annual,Euro,Ninetieth percentile,Full-time,Romania,7763.0
Annual,Euro,Ninetieth percentile,Full-time,Sweden,50414.0
Annual,Euro,Ninetieth percentile,Full-time,Slovenia,25621.0
Annual,Euro,Ninetieth percentile,Full-time,Slovakia,10931.0
Annual,Euro,Ninetieth percentile,Full-time,Türkiye,17069.0
Annual,Euro,Ninetieth percentile,Full-time,United Kingdom,71468.0
Annual,Percentage,Second sextile,Full-time,Austria,14.46
Annual,Percentage,Second sextile,Full-time,Belgium,6.02
Annual,Percentage,Second sextile,Full-time,Bulgaria,27.1
Annual,Percentage,Second sextile,Full-time,Cyprus,21.45
Annual,Percentage,Second sextile,Full-time,Czechia,16.34
Annual,Percentage,Second sextile,Full-time,Germany,19.61
Annual,Percentage,Second sextile,Full-time,Denmark,8.03
Annual,Percentage,Second sextile,Full-time,Euro area - 16 countries (2009-2010),21.68
Annual,Percentage,Second sextile,Full-time,Estonia,23.13
Annual,Percentage,Second sextile,Full-time,Greece,16.81
Annual,Percentage,Second sextile,Full-time,Spain,15.15
Annual,Percentage,Second sextile,Full-time,European Union - 15 countries (1995-2004),20.69
Annual,Percentage,Second sextile,Full-time,European Union - 25 countries (2004-2006),27.7
Annual,Percentage,Second sextile,Full-time,European Union - 27 countries (2007-2013),30.3
Annual,Percentage,Second sextile,Full-time,Finland,5.96
Annual,Percentage,Second sextile,Full-time,France,8.81
Annual,Percentage,Second sextile,Full-time,Hungary,23.47
Annual,Percentage,Second sextile,Full-time,Ireland,21.45
Annual,Percentage,Second sextile,Full-time,Iceland,13.35
Annual,Percentage,Second sextile,Full-time,Italy,13.28
Annual,Percentage,Second sextile,Full-time,Lithuania,27.66
Annual,Percentage,Second sextile,Full-time,Luxembourg,15.24
Annual,Percentage,Second sextile,Full-time,Latvia,30.9
Annual,Percentage,Second sextile,Full-time,Malta,11.16
Annual,Percentage,Second sextile,Full-time,Netherlands,13.91
Annual,Percentage,Second sextile,Full-time,Norway,6.13
Annual,Percentage,Second sextile,Full-time,Poland,21.93
Annual,Percentage,Second sextile,Full-time,Portugal,20.3
Annual,Percentage,Second sextile,Full-time,Romania,26.69
Annual,Percentage,Second sextile,Full-time,Sweden,9.68
Annual,Percentage,Second sextile,Full-time,Slovenia,16.36
Annual,Percentage,Second sextile,Full-time,Slovakia,17.4
Annual,Percentage,Second sextile,Full-time,Türkiye,0.61
Annual,Percentage,Second sextile,Full-time,United Kingdom,21.56
