Time frequency,Age class,Source of information,Unit of measure,Training,Geopolitical entity (reporting)\Time,2007.0,2011.0
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Sweden,21.2,33.6
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Slovenia,18.5,27.8
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Slovakia,28.8,27.1
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,Türkiye,29.5,28.7
Annual,From 25 to 64 years,"Education or training institution (school, college, centre, university)",Percentage,Formal and non-formal education and training,United Kingdom,:,31.7
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Austria,28.4,34.9
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Belgium,23.1,23.1
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Bulgaria,20.9,17.4 u
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Switzerland,:,6.9
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Cyprus,10.2 u,17.2
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Czechia,:,26.3
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Germany,36.2,35.3
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Denmark,:,36.6
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Euro area – 20 countries (from 2023),25.0,27.8 b
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Estonia,:,8.4 u
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Greece,11.5 u,8.5 u
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Spain,13.6,5.5
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,European Union - 27 countries (from 2020),24.5,27 b
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,European Union - 28 countries (2013-2020),23.7,29.7 b
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Finland,20.2,29.3
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,France,:,46.9 b
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Croatia,11.6 u,:
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Hungary,34.6,26.1 b
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Ireland,:,6.7
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Italy,11.7,7.9
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Lithuania,18.8,9.9 u
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Luxembourg,:,35.4
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Latvia,19.7,29.3
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Malta,:,13.6
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Netherlands,29.4,26.3
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Norway,:,17.8
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Poland,27.8,16.4
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Portugal,27.5,19.6
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Romania,13.9,31.9 u
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Serbia,:,18.0 u
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Sweden,17.1,20.8
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Slovenia,12.3,24.6
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Slovakia,27.2,30.5
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,Türkiye,9.2,4.6 u
Annual,From 25 to 64 years,Employer,Percentage,Formal and non-formal education and training,United Kingdom,:,41.2
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Austria,26.6,25.4
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Belgium,26.3,15.4
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Bulgaria,27.9,18.7 u
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Switzerland,:,10.1
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Cyprus,34.3,26.9
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Czechia,:,27.4
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Germany,33.9,16.2
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Denmark,:,9.3
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Euro area – 20 countries (from 2023),28.8,19.5 b
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Estonia,:,12.7
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Greece,40.9,29.3
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Spain,28.8,17.6
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,European Union - 27 countries (from 2020),28.6,19.8 b
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,European Union - 28 countries (2013-2020),27.6,21.4 b
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Finland,11.0,26.8
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,France,:,17.0 b
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Croatia,30.4,:
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Hungary,40.0,35.2 b
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Ireland,:,7.8
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Italy,39.3,30.3
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Lithuania,27.1,15.1 u
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Luxembourg,:,14.3
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Latvia,39.0,33.2
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Malta,:,14.0
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Netherlands,11.4,10.8
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Norway,:,8.9 u
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Poland,34.1,18.6
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Portugal,41.7,25.2
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Romania,31.4,41.0 u
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Serbia,:,20.5 u
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Sweden,16.0,25.6
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Slovenia,17.2,22.3
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Slovakia,41.5,35.7
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,Türkiye,40.2,27.5
Annual,From 25 to 64 years,"Family member, neighbour, work colleague",Percentage,Formal and non-formal education and training,United Kingdom,:,28.3
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Austria,11.3,25.8
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Belgium,10.0,14.5
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Bulgaria,5.5 u,14.4 u
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Switzerland,:,2.2
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Cyprus,: u,: u
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Czechia,:,7.9
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Germany,12.7,4.0 u
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Denmark,:,18.0
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Euro area – 20 countries (from 2023),9.3,11.0 b
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Estonia,:,4.6 u
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Greece,12.8 u,: u
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Spain,11.8,12.4
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,European Union - 27 countries (from 2020),9.6,10.9 b
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,European Union - 28 countries (2013-2020),9.3,10.4 b
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Finland,4.2 u,8.1
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,France,:,17.8 b
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Croatia,: u,:
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Hungary,5.6 u,8.3 b
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Ireland,:,13.4
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Italy,9.9,11.3
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Lithuania,6.7 u,: u
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Luxembourg,:,5.0
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Latvia,18.3 u,27.0
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Malta,:,5.6 u
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Netherlands,: u,4.0 u
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Norway,:,5.3 u
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Poland,17.0,11.2
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Portugal,12.7,18.0
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Romania,4.6 u,: u
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Serbia,:,: u
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Sweden,7.0,3.4 u
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Slovenia,6.4 u,6.5
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Slovakia,3.1 u,4.1 u
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,Türkiye,3.8 u,4.6
Annual,From 25 to 64 years,Career guidance provider (including employment service office),Percentage,Formal and non-formal education and training,United Kingdom,:,8.4
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Austria,74.4,66.3
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Belgium,75.8,69.0
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Bulgaria,69.3,75.6
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Switzerland,:,80.1
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Cyprus,38.7,50.2
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Czechia,:,79.2
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Germany,70.5,68.8
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Denmark,:,59.0
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Euro area – 20 countries (from 2023),68.6,69.3 b
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Estonia,:,84.3
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Greece,75.2,72.1
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Spain,70.4,81.8
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,European Union - 27 countries (from 2020),70.4,70.9 b
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,European Union - 28 countries (2013-2020),67.9,61.1 b
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Finland,80.5,89.0
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,France,:,56.4 b
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Croatia,74.4,:
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Hungary,69.8,73.3 b
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Ireland,:,79.6
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Italy,54.1,71.1
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Lithuania,60.6,90.4
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Luxembourg,:,77.4
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Latvia,19.2,72.8
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Malta,:,71.2
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Netherlands,63.5,78.0
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Norway,:,80.4
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Poland,79.9,82.3
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Portugal,71.6,58.3
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Romania,81.8,82.0
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Serbia,:,64.9
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Sweden,75.4,88.6
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Slovenia,76.8,68.0
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Slovakia,82.5,80.5
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,Türkiye,46.0,57.3
Annual,From 25 to 64 years,Internet,Percentage,Formal and non-formal education and training,United Kingdom,:,18.8
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Austria,33.9,16.5
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Belgium,18.1,8.5
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Bulgaria,38.0,21.8 u
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Switzerland,:,6.3
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Cyprus,31.0,11.5 u
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Czechia,:,24.2
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Germany,33.7,8.3
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Denmark,:,3.9 u
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Euro area – 20 countries (from 2023),24.9,9.1 b
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Estonia,:,9.0 u
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Greece,30.5,12.8 u
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Spain,16.9,6.6
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,European Union - 27 countries (from 2020),25.8,9.8 b
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,European Union - 28 countries (2013-2020),24.9,10.8 b
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Finland,37.8,29.3
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,France,:,4.3 b
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Croatia,34.6,:
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Hungary,43.6,14.1 b
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Ireland,:,16.8
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Italy,14.1,11.1
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Lithuania,26.7,10.5 u
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Luxembourg,:,15.1
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Latvia,44.2,21.8
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Malta,:,16.6
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Netherlands,7.1,7.0
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Norway,:,: u
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Poland,34.9,13.0
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Portugal,27.6,10.0
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Romania,41.8,56.8 u
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Serbia,:,10.4 u
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Sweden,12.1,9.1
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Slovenia,22.5,17.5
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Slovakia,61.3,29.6
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,Türkiye,11.0,6.9
Annual,From 25 to 64 years,"Mass media (TV, radio, newspaper, poster)",Percentage,Formal and non-formal education and training,United Kingdom,:,15.1
