Time frequency,Transport infrastructure,Number of tracks,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Total,Kilometre,Poland,20094.0,19328.0,19240.0,19231.0,19132.0,19209.0,19196.0,19359.0,19383.0,19287.0,19355.0,19539.0
Annual,Total,Total,Kilometre,Portugal,2541.2,2544.4,2546.0,2546.0,2546.0,2545.96,2545.96,2526.15,2526.15,2527.053,2527.053,2527.053
Annual,Total,Total,Kilometre,Romania,10777.0,10768.0,10777.0,10770.0,10774.0,10774.0,10765.0,10759.0,10769.0,10764.0,10615.0,10611.0
Annual,Total,Total,Kilometre,Serbia,3819.0,3819.0,3819.0,3766.0,3766.0,3764.0,3724.0,3763.0,3354.0,3369.0,3382.0,3382.0
Annual,Total,Total,Kilometre,Sweden,11136.0,10957.0,10881.0,10908.0,10882.0,10874.0,10906.0,10899.0,10909.0,10912.0,10914.0,10906.0
Annual,Total,Total,Kilometre,Slovenia,1209.0,1209.0,1209.0,1209.0,1209.0,1209.0,1209.0,1209.0,1209.0,1209.0,1208.0,1208.0
Annual,Total,Total,Kilometre,Slovakia,3631.0,3631.0,3627.0,3626.0,3626.0,3626.0,3627.0,3629.0,3627.0,3626.0,3626.0,3631.0
Annual,Total,Total,Kilometre,Türkiye,9642.0,9718.0,10087.0,10131.0,10131.0,10207.0,10315.0,10378.0,10378 i,10546 i,10651 i,11417.0
Annual,Total,Total,Kilometre,Ukraine,21619.0,21605.0,20948.0,20954.0,20952.0,19770.0,19765.0,19799.0,19790.0,:,:,:
Annual,Total,Total,Kilometre,United Kingdom,16195.0,16195.0,16202.0,16241.0,16253.0,16320.0,16289.0,16480.0,16519.0,16457.0,16430.0,16433.0
Annual,Total,Total,Kilometre,Kosovo*,:,:,:,:,:,246.35,246.35,246.35,246.35,246.35,246.35,:
