Time frequency,Type of task or service,Sex,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2022.0
Annual,Renting out accommodation,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Renting out accommodation,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.3
Annual,Renting out accommodation,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.3
Annual,Renting out accommodation,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Renting out accommodation,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,Renting out accommodation,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.3
Annual,Renting out accommodation,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Renting out accommodation,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.3
Annual,Renting out accommodation,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.3
Annual,Good selling,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.9
Annual,Good selling,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.7
Annual,Good selling,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.7
Annual,Good selling,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.8
Annual,Good selling,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.8
Annual,Good selling,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.8
Annual,Good selling,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.9
Annual,Good selling,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.7
Annual,Good selling,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.7
Annual,Online support or checks for online content,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,Online support or checks for online content,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,Online support or checks for online content,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Online support or checks for online content,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,Online support or checks for online content,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,Online support or checks for online content,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,Online support or checks for online content,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,Online support or checks for online content,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,Online support or checks for online content,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,Taxi,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.5
Annual,Taxi,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.4
Annual,Taxi,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.3
Annual,Taxi,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.6
Annual,Taxi,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.5
Annual,Taxi,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.5
Annual,Taxi,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.5
Annual,Taxi,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.4
Annual,Taxi,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.4
Annual,Transport,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,1.3
Annual,Transport,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.9
Annual,Transport,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.8
Annual,Transport,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,1.7
Annual,Transport,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,1.2
Annual,Transport,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,1.0
Annual,Transport,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,1.5
Annual,Transport,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,1.0
Annual,Transport,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.9
Annual,Translation,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Translation,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Translation,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Translation,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Translation,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Translation,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.0
Annual,Translation,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Translation,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Translation,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Tutoring and teaching,Females,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Tutoring and teaching,Females,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Tutoring and teaching,Females,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Tutoring and teaching,Males,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.2
Annual,Tutoring and teaching,Males,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Tutoring and teaching,Males,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Tutoring and teaching,Total,From 15 to 29 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Tutoring and teaching,Total,From 15 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
Annual,Tutoring and teaching,Total,From 30 to 64 years,Percentage,European Union (aggregate changing according to the context) and Norway,0.1
