Time frequency,Unit of measure,Severity (days lost),Age class,Sex,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Workstation,Geopolitical entity (reporting)\Time,2005.0
Annual,Rate,Fatal,Total,Total,"Other community, social and personal service activities",Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),1.0
Annual,Rate,Fatal,Total,Total,"Other community, social and personal service activities",Other workstation,European Union (aggregate changing according to the context),0.2
Annual,Rate,Fatal,Total,Total,Total - all NACE activities,Total,European Union (aggregate changing according to the context),3.7
Annual,Rate,Fatal,Total,Total,Total - all NACE activities,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),1.8
Annual,Rate,Fatal,Total,Total,Total - all NACE activities,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),1.5
Annual,Rate,Fatal,Total,Total,Total - all NACE activities,Other workstation,European Union (aggregate changing according to the context),0.4
Annual,Rate,Fatal,From 15 to 17 years,Total,Total - all NACE activities,Total,European Union (aggregate changing according to the context),0.9
Annual,Rate,Fatal,From 18 to 24 years,Total,Total - all NACE activities,Total,European Union (aggregate changing according to the context),2.6
Annual,Rate,Fatal,From 18 to 24 years,Total,Total - all NACE activities,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),1.5
Annual,Rate,Fatal,From 18 to 24 years,Total,Total - all NACE activities,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),0.8
Annual,Rate,Fatal,From 18 to 24 years,Total,Total - all NACE activities,Other workstation,European Union (aggregate changing according to the context),0.3
Annual,Rate,Fatal,From 25 to 34 years,Total,Total - all NACE activities,Total,European Union (aggregate changing according to the context),2.9
Annual,Rate,Fatal,From 25 to 34 years,Total,Total - all NACE activities,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),1.3
Annual,Rate,Fatal,From 25 to 34 years,Total,Total - all NACE activities,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),1.3
Annual,Rate,Fatal,From 25 to 34 years,Total,Total - all NACE activities,Other workstation,European Union (aggregate changing according to the context),0.3
Annual,Rate,Fatal,From 35 to 44 years,Total,Total - all NACE activities,Total,European Union (aggregate changing according to the context),3.4
Annual,Rate,Fatal,From 35 to 44 years,Total,Total - all NACE activities,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),1.7
Annual,Rate,Fatal,From 35 to 44 years,Total,Total - all NACE activities,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),1.4
Annual,Rate,Fatal,From 35 to 44 years,Total,Total - all NACE activities,Other workstation,European Union (aggregate changing according to the context),0.4
Annual,Rate,Fatal,From 45 to 54 years,Total,Total - all NACE activities,Total,European Union (aggregate changing according to the context),4.7
Annual,Rate,Fatal,From 45 to 54 years,Total,Total - all NACE activities,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),2.4
Annual,Rate,Fatal,From 45 to 54 years,Total,Total - all NACE activities,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),1.9
Annual,Rate,Fatal,From 45 to 54 years,Total,Total - all NACE activities,Other workstation,European Union (aggregate changing according to the context),0.4
Annual,Rate,Fatal,From 55 to 64 years,Total,Total - all NACE activities,Total,European Union (aggregate changing according to the context),6.0
Annual,Rate,Fatal,From 55 to 64 years,Total,Total - all NACE activities,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),2.8
Annual,Rate,Fatal,From 55 to 64 years,Total,Total - all NACE activities,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),2.6
Annual,Rate,Fatal,From 55 to 64 years,Total,Total - all NACE activities,Other workstation,European Union (aggregate changing according to the context),0.6
Annual,Rate,Fatal,65 years or over,Total,Total - all NACE activities,Total,European Union (aggregate changing according to the context),6.7
Annual,Rate,Fatal,65 years or over,Total,Total - all NACE activities,Usual workstation or within the usual local unit of work,European Union (aggregate changing according to the context),4.1
Annual,Rate,Fatal,65 years or over,Total,Total - all NACE activities,Occasional or mobile workstation or in a journey on behalf of the employer,European Union (aggregate changing according to the context),1.8
Annual,Rate,Fatal,65 years or over,Total,Total - all NACE activities,Other workstation,European Union (aggregate changing according to the context),0.8
