Time frequency,Unit of measure,Sex,International Standard Classification of Education (ISCED 1997),Geopolitical entity (reporting)\Time,1999.0
Annual,Rate,Total,First and second stage of tertiary education (levels 5 and 6),European Union (aggregate changing according to the context),65.0
Annual,Rate,Total,First and second stage of tertiary education (levels 5 and 6),Finland,55.0
Annual,Rate,Total,First and second stage of tertiary education (levels 5 and 6),Hungary,24.0
Annual,Rate,Total,First and second stage of tertiary education (levels 5 and 6),Luxembourg,43.0
Annual,Rate,Total,First and second stage of tertiary education (levels 5 and 6),Sweden,87.0
Annual,Rate,Total,All ISCED 1997 levels,Germany,100.0
Annual,Rate,Total,All ISCED 1997 levels,Denmark,100.0
Annual,Rate,Total,All ISCED 1997 levels,Greece,100.0
Annual,Rate,Total,All ISCED 1997 levels,Spain,100.0
Annual,Rate,Total,All ISCED 1997 levels,European Union (aggregate changing according to the context),100.0
Annual,Rate,Total,All ISCED 1997 levels,Finland,100.0
Annual,Rate,Total,All ISCED 1997 levels,Hungary,100.0
Annual,Rate,Total,All ISCED 1997 levels,Luxembourg,100.0
Annual,Rate,Total,All ISCED 1997 levels,Sweden,100.0
