Time frequency,Sex,International Standard Classification of Education (ISCED 2011),Unit of measure,Age class,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Italy,81.8,82.4,83.2 b,83.7,84.6,85.7,84.2 b,84.9,84.9,86.8 b,88.2,89.1
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Lithuania,91.9,91.7,92.8 b,93.0,94.2,93.1,94.4,94.1,92.2,94.0 b,94.7,93.2
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Luxembourg,76.8,81.3,75.3 b,73.3 b,81.7,81.9 u,80.4,76.7,80.0,81.0 b,81.5,85.6
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Latvia,89.8,90.7,91.0 b,91.6,89.4,92.0,93.1,88.9,91.0,89.5 b,93.4,90.3
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Montenegro,92.8,94.6,94.8 b,93.7,92.1,95.1,95.8,95.3,96.2,:,:,:
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,North Macedonia,86.5,83.0,83.3 b,85.1,86.9,90.2,90.3,90.1,93.8,:,:,:
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Malta,83.9,84.1,82.4 b,85.7,85.7,85.8,80.7,82.3,87.5,92.2 b,89.5,91.3
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Netherlands,82.1,81.9 b,83.4 b,84.2,83.9,86.1,85.6,85.6 b,86.2,90.0 b,89.9,88.7
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Norway,75.5,77.6,80.4 b,82.7,81.2,82.5,85.7,84.6,83.9,83.4 b,82.8,85.1
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Poland,93.2,93.6,93.6 b,93.5,92.7,92.6,92.8,93.3,92.1,93.3 b,92.9,95.3
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Portugal,75.8,76.6,76.7 b,82.0,82.2,83.4,85.2,87.4,90.5,92.2 b,92.4,90.2
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Romania,80.7,81.1,81.1 b,80.2,79.3,79.5,81.7,83.0,81.7,82.6 b,82.9,80.9
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Serbia,91.2,88.9,90.3 b,92.1,93.0,93.7,92.7,92.4,93.2,92.7 b,93.9,93.3
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Sweden,88.4,87.9,88.7 b,88.7,88.2,86.0,87.4 b,88.1,86.4,86.7 b,86.6,89.8
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Slovenia,92.5,94.4,93.3 b,93.7,94.1,93.8,93.7,93.5,94.0,96.7 b,95.5,92.5 b
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Slovakia,93.6,92.0,91.3 b,91.3,90.3,87.6,89.1,89.9,89.2,89.3 b,91.3,90.5
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Türkiye,50.2,52.6,50.5 b,53.4,56.3,57.3,59.1,63.4,67.8,72.7 b,75.7,77.6
Annual,Females,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,United Kingdom,83.5,84.8,85.4 b,86.9,87.6,87.8,88.2,88.0,:,:,:,:
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Austria,85.7,87.1,89.5 b,88.0,88.0,84.7,85.7,84.4,82.6,83.1 b,82.8,82.9
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,93.2,93.3,91.2
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Belgium,79.9,80.0,81.0 b,82.2,82.8,82.9 b,81.7,82.4,82.3,85.4 b,86.2,85.2
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Bulgaria,86.0,85.7,85.8 b,84.7,84.8,85.8,85.6,83.4 b,84.6,87.4 b,89.5,89.0
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Switzerland,84.3,85.0,85.1 b,84.9,86.6,87.7,85.9,87.1,86.3,88.3 b,87.5,86.6
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Cyprus,84.0,83.4,87.1 b,91.3,86.7,87.8,90.1,91.9,86.2,87.6 b,89.0,88.1
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Czechia,90.2,90.4,89.9 b,90.2,89.7,88.8,88.5,88.1,87.8,88.6 b,89.2,89.5
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Germany,73.9,75.3,75.4 b,75.2,75.8,75.3,74.9,75.0,75.9 b,72.9 b,68.0,68.2
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Denmark,67.0,66.9,69.3 b,69.5,71.5 b,69.4 b,69.9,70.9,71.2,70.8 b,70.4,70.6
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Euro area – 20 countries (from 2023),74.9,76.2,77.8 b,78.2,79.0,79.2,79.4,79.9,80.4,81.1 b,80.5,80.4
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Estonia,76.3,79.7,77.2 b,77.0,77.5,78.3,76.3,77.8,83.4,83.2 b,78.8,80.1
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Greece,82.1,83.5,85.1 b,87.5,90.1,91.0,92.2,93.4,94.3,95.2 b,94.3,95.3
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Spain,56.6,58.4,60.4 b,62.4,65.3,66.4,67.7,68.5,70.2,74.5 b,75.4,75.8
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,European Union - 27 countries (from 2020),77.2,78.1,79.4 b,79.8,80.5,80.5,80.7,81.1,81.3,81.9 b,81.3,81.6
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Finland,85.5,84.7,83.9 b,84.6,86.2,86.1,86.5,87.9,88.0,86.5 b,85.3,82.9
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,France,81.8,84.6 b,86.7 b,86.4,86.2,86.4,85.7,86.4,87.4,87.8 b,88.3,88.1
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Croatia,93.4 b,93.1,95.0 b,94.7,95.6,96.1,96.6,97.5,96.9,96.0 b,96.5,96.5
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Hungary,81.8,83.0,83.3 b,83.3,82.9,84.2,84.5 b,85.7,84.4,83.3 b,82.3,83.2
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Ireland,85.2,87.8,91.7 b,91.6,92.9,93.0 b,93.7,93.6,94.8,95.3 b,93.9,93.4
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Iceland,57.3,52.3,52.5 b,54.9,58.0,58.5,53.9,58.6,61.2 b,59.8 b,62.9,65.2
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Italy,74.1,74.0,76.6 b,76.7,77.6,78.3,78.7 b,79.8,78.9,80.4 b,82.2,82.4
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Lithuania,86.8,88.3,90.0 b,88.8,89.3,89.6,90.0,91.0,88.1,89.9 b,92.3,92.3
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Luxembourg,66.3,72.6,72.1 b,63.9 b,72.2,68.9,73.0,78.4,70.8,72.3 b,73.5,78.5
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Latvia,78.6,80.9,82.5 b,80.8,80.4,82.7,83.8,85.5,85.1,84.7 b,85.8,84.5
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Montenegro,91.9,92.2,94.5 b,93.1,94.2,95.1,96.4,95.1,96.1,:,:,:
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,North Macedonia,87.8,89.5,87.2 b,87.9,89.1,91.1,93.5,93.6,94.1,:,:,:
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Malta,74.9,77.8,77.3 b,76.9,76.5,79.8,82.4,81.3,82.5,86.2 b,85.2,82.9
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Netherlands,75.7,74.0 b,74.7 b,75.9,77.1,77.7,79.4,78.9 b,80.1,85.0 b,84.9,84.5
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Norway,67.2,69.8,75.9 b,76.0,75.1,74.0,74.8,77.2,77.7,74.5 b,74.7,78.1
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Poland,86.6,86.0,87.4 b,88.3,89.0,88.6,89.6,88.7,88.1,88.3 b,88.6,90.8
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Portugal,59.9,64.0,67.9 b,72.4,72.9,73.8,77.0,78.9,79.5,85.4 b,85.0,84.2
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Romania,79.0,79.5,78.4 b,79.3,80.5,80.0,81.6,83.8,84.3,84.0 b,81.7,81.8
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Serbia,89.2,89.9,90.1 b,90.7,91.4,92.7,92.3,92.7,94.0,90.7 b,93.1,94.1
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Sweden,84.4,84.6,85.2 b,86.0,85.7,85.3,83.3 b,81.4,80.1,79.8 b,82.0,86.3
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Slovenia,88.1,89.1,87.3 b,88.0,87.6,88.9,89.5,91.5,91.7,92.1 b,94.1,88.7 b
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Slovakia,91.8,90.5,90.6 b,91.4,90.5,90.0,89.7,89.9,90.1,89.3 b,90.1,90.7
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Türkiye,58.2,57.6,54.9 b,54.2,55.9,57.1,58.2,60.5,63.3,68.7 b,72.0,75.4
Annual,Males,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,United Kingdom,80.2,81.0,82.6 b,84.6,82.7,83.4,83.6,84.0,:,:,:,:
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Austria,86.4,87.2,89.6 b,88.7,89.5,87.4,88.0,87.3,86.1,86.2 b,85.4,85.1
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,93.9,93.2,91.9
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Belgium,82.8,83.1,84.4 b,84.4,85.3,85.7 b,84.8,85.6,85.7,88.2 b,88.2,88.4
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Bulgaria,85.8,86.0,85.8 b,85.1,85.0,85.8,86.0,84.4 b,85.4,86.5 b,88.3,88.6
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Switzerland,84.8,85.3,86.1 b,86.3,88.1,88.9,87.9,89.3,88.8,89.2 b,88.9,88.0
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Cyprus,87.8,89.5,92.4 b,94.3,91.2,89.8,91.5,92.4,88.5,89.6 b,90.1,88.4
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Czechia,90.9,90.9,90.7 b,90.4,89.6,89.2,89.5,88.3,87.4,89.3 b,90.3,89.5
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Germany,75.8,77.0,77.1 b,77.1,77.7,77.5,77.4,77.5,79.3 b,75.9 b,70.1,71.4
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Denmark,72.3,72.4,73.6 b,74.2,75.9 b,75.4 b,75.0,75.8,76.1,75.4 b,75.8,75.3
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Euro area – 20 countries (from 2023),78.1,79.2,80.5 b,80.9,81.8,82.0,82.2,82.7,83.6,83.9 b,82.8,83.2
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Estonia,81.3,84.2,83.0 b,80.0,82.9,83.7,81.5,82.6,85.7,85.9 b,83.2,83.3
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Greece,85.5,86.7,88.4 b,89.6,91.2,92.4,93.9,94.5,94.9,95.7 b,94.0,95.4
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Spain,63.0,63.8,65.8 b,68.5,70.9,71.7,72.7,74.0,75.9,78.9 b,78.6,79.0
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,European Union - 27 countries (from 2020),80.1,80.9,81.9 b,82.2,82.8,82.9,83.2,83.6,84.1,84.4 b,83.5,84.1
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Finland,86.3,85.9,86.3 b,86.8,87.7,87.3,87.4,88.2,89.1,87.6 b,86.7,85.3
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,France,84.1,86.4 b,88.1 b,87.3,87.8,88.1,88.3,88.5,89.7,89.7 b,90.0,90.5
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Croatia,94.1 b,94.6,96.1 b,96.0,96.2,96.5,96.3,97.3,97.2,96.9 b,97.3,97.3
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Hungary,83.2,84.2,85.3 b,84.2,83.5,84.3,84.9 b,86.4,85.7,84.3 b,83.7,85.2
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Ireland,87.7,89.9,93.4 b,93.5,94.4,94.2 b,94.4,94.1,94.9,96.1 b,95.2,95.0
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Iceland,58.3,59.1,61.4 b,62.4,65.2,64.6,61.7,66.7,68.1 b,66.6 b,67.5,73.1
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Italy,77.9,78.1,79.9 b,80.1,81.0,81.8,81.4 b,82.3,81.8,83.5 b,85.1,85.7
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Lithuania,89.3,90.0,91.4 b,90.9,91.7,91.3,92.1,92.5,90.1,91.9 b,93.5,92.7
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Luxembourg,71.5,76.9,73.7 b,68.5 b,77.0,75.3,76.8,77.5,75.4,76.6 b,77.5,82.0
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Latvia,84.1,85.7,86.7 b,86.1,84.8,87.3,88.3,87.1,88.0,87.0 b,89.5,87.4
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Montenegro,92.3,93.4,94.6 b,93.4,93.2,95.1,96.1,95.2,96.1,:,:,:
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,North Macedonia,87.1,86.4,85.3 b,86.5,88.0,90.7,91.9,91.9,93.9,:,:,:
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Malta,79.3,80.9,79.8 b,81.1,80.9,82.6,81.6,81.8,84.7,88.9 b,87.2,86.7
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Netherlands,78.9,77.9 b,79.0 b,80.0,80.5,81.9,82.5,82.2 b,83.1,87.5 b,87.4,86.6
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Norway,71.3,73.7,78.1 b,79.3,78.1,78.2,80.1,80.8,80.7,78.9 b,78.6,81.5
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Poland,89.8,89.7,90.4 b,90.8,90.8,90.6,91.2,90.9,90.1,90.7 b,90.7,93.0
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Portugal,67.8,70.2,72.3 b,77.2,77.5,78.5,81.1,83.1,84.9,88.6 b,88.6,87.1
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Romania,79.8,80.3,79.7 b,79.7,79.9,79.8,81.7,83.4,83.0,83.3 b,82.3,81.3
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Serbia,90.1,89.4,90.2 b,91.4,92.2,93.2,92.5,92.5,93.6,91.7 b,93.5,93.7
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Sweden,86.4,86.2,86.9 b,87.3,86.9,85.6,85.3 b,84.6,83.1,83.1 b,84.2,87.9
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Slovenia,90.1,91.5,90.2 b,90.9,90.9,91.2,91.5,92.4,92.8,94.2 b,94.7,90.4 b
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Slovakia,92.7,91.2,90.9 b,91.3,90.4,88.9,89.4,89.9,89.7,89.3 b,90.7,90.6
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,Türkiye,54.0,55.0,52.6 b,53.8,56.1,57.2,58.6,62.0,65.6,70.7 b,73.8,76.5
Annual,Total,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Percentage,From 20 to 24 years,United Kingdom,81.9,82.9,84.0 b,85.7,85.1,85.6,85.9,85.9,:,:,:,:
