Time frequency,Information society indicator,Individual type,Unit of measure,Geopolitical entity (reporting)\Time,2006.0,2007.0,2009.0,2011.0,2012.0,2014.0,2015.0,2016.0,2017.0,2019.0
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,Finland,71.84,68.17,75.33,79.06,73.65,77.1,63.75,64.93,68.0,65.27
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,France,56.16,57.99,63.3,64.46,64.98,67.56,53.48,53.26,53.68,50.97
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,Croatia,:,36.1,49.28,48.36,51.4,57.48,58.11,59.23,46.28,60.14
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,Hungary,59.83,53.29,57.43,62.09,66.38,64.03,55.24,55.01,52.21,49.77
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,Ireland,50.09,51.61,47.53,57.32,:,58.0,39.5,38.28,36.19,45.05
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,Iceland,81.49,81.93,80.08,:,77.63,66.65,:,:,68.6,71.22
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,Italy,37.57,40.78,47.2,51.98,53.25,54.94,48.47,47.55,: u,42.76 b
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,Lithuania,:,:,:,:,58.49,70.74,59.05,56.23,54.84,55.47
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,Luxembourg,68.56,72.94,79.85,82.29,78.03,74.61,75.61,71.57,75.87,55.38 b
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,Latvia,17.56,: u,57.96,50.62,61.07,62.5,73.14,61.14 b,65.68,49.51
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,North Macedonia,:,:,:,:,:,:,:,:,:,33.28
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,Malta,37.16,42.95,53.02,52.82,60.02,63.26,53.36,49.66,53.75,55.07
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,Netherlands,70.04,78.07,81.39,81.17,79.69,77.3,67.24,69.91 b,72.05,70.97
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,Norway,67.0,65.52,72.33,56.01,:,78.94,70.01,56.23,64.23,68.39
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,Poland,45.23,: u,42.77,49.35,51.96,55.45,43.69,49.93,51.38,49.59
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,Portugal,35.33,42.89,47.71,54.52,56.46,59.79,48.68,46.51,48.07,46.91
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,Romania,: u,: u,34.2,47.52,32.29,39.22 b,59.32,60.24,60.98,64.37
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,Sweden,77.18,73.94,65.83,77.03,66.52,60.93,56.71,56.65 b,61.04,60.22
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,Slovenia,54.93,62.11,55.98,65.89,63.63,61.14,53.41,56.99,58.54,62.97
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,Slovakia,:,:,: u,:,70.91,75.06,62.55,63.09,66.05,62.23
Annual,Individuals who have copied or moved a file or folder,Individuals living in towns and suburbs,Percentage of individuals,United Kingdom,65.41,65.38,69.74,70.26,63.04,69.99,62.67,68.2,64.6,60.68
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,Austria,60.95,64.35,63.98,72.53,70.48,70.32,61.32,63.14,65.21,62.67
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,Belgium,42.53,47.37,54.15,61.96,64.44,71.45,59.5,58.62,61.11,58.64
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,Bulgaria,15.98,18.13,21.7,27.23,31.84,30.96,26.82,23.94,27.86,30.92
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,Cyprus,33.72,33.78,42.11,42.22,:,55.92,44.39,43.95,43.63,38.04
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,Czechia,44.29,47.27,46.12,54.5,62.05,60.58,51.79,52.03 u,59.46,50.60 b
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,Germany,65.07,62.37,61.49,67.19,:,72.74,64.77,63.96,64.74,66.78
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,Denmark,71.09,69.23,68.25,75.4,72.88,73.51,70.57,69.15,62.02,61.57
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",47.03,50.13,54.15,58.31,59.54,62.55,53.05,52.78,53.72,54.59
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,Estonia,42.95,41.48,46.14,52.94,52.16,61.27 b,57.63,50.72,52.87,57.87
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,Greece,34.65,33.82,28.64,33.99,:,38.7,37.09,40.17,40.35,44.71
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,Spain,39.56,45.31,46.11,49.86,54.61,54.0,45.79,45.43,46.85,50.07
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,European Union - 15 countries (1995-2004),49.92,53.0,56.11,60.62,60.11,63.69,53.84,54.42,55.41,:
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,European Union - 25 countries (2004-2006),47.25,50.45,53.17,:,:,:,:,:,:,:
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,European Union - 28 countries (2013-2020),:,46.52,49.55,53.9,53.61,58.15,50.61,51.76,52.64,53.08
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,Finland,57.99,57.11,61.63,73.27,71.25,73.19,58.33,55.85,54.47,62.43
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,France,42.72,48.11,59.62,59.05,66.76,67.74,54.53,52.75,53.89,54.25
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,Croatia,:,29.14,64.76,45.05,41.25,46.64,50.11,53.77,32.29,48.73
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,Hungary,34.73,46.02,53.48,55.75,60.05,57.3,43.99,46.8,44.46,41.4
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,Ireland,39.45,46.83,46.38,52.52,:,49.92,33.09,32.89,34.48,37.83
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,Iceland,66.6,73.52,65.83,77.04,75.08,73.11,:,:,60.91,77.53
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,Italy,34.27,37.66,45.09,49.0,48.76,51.28,44.03,43.97,: u,39.19 b
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,Lithuania,35.42,38.43,45.11,48.41,50.0,58.98,48.42,46.1,48.01,48.08
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,Luxembourg,66.99,74.71,81.43,80.28,:,82.13,77.09,81.5,81.05,57.08 b
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,Latvia,40.91,46.6,40.95,56.75,54.16,60.96,63.82,59.61 b,61.44,43.43
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,North Macedonia,:,:,:,:,:,:,:,:,:,28.74
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,Malta,36.54,24.12,31.84,49.79,49.83,52.8,37.74,50.96 u,61.19 u,42.43 u
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,Netherlands,68.7,72.52,77.39,78.72,77.3,74.94,65.57,66.35 b,70.41,73.55
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,Norway,56.11,61.44,59.35,72.87,:,70.97,59.28,56.13,57.37,66.98
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,Poland,33.94,40.03,39.27,46.15,44.12,47.41,39.59,43.28,44.14,43.16
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,Portugal,35.52,35.89,40.07,45.27,43.44,51.84,36.61,38.57,39.68,35.3
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,Romania,7.24,12.33,23.73,26.95,19.1,22.49 b,41.75,48.81,48.3,60.95
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,Sweden,69.99,65.86,58.76,68.32,61.81,59.17,45.87,50.93 b,57.93,52.8
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,Slovenia,50.83,53.13,54.54,53.9,53.5,54.38,50.36,48.09,54.28,54.83
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,Slovakia,58.05,61.87,66.21,66.47,65.5,68.43,52.93,54.28,57.5,54.05
Annual,Individuals who have copied or moved a file or folder,Individuals living in rural areas,Percentage of individuals,United Kingdom,63.09,66.28,70.8,74.08,61.24,74.71,61.63,65.56,66.38,62.89
