Time frequency,Purpose,Duration,Country of destination,Expenditure and investment,Statistical information,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,North Macedonia,:,:,:,:,:,:,:,34.92,30.15,38.32,:,:
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Malta,115.84,118.93,112.49 b,123.75,113.78,127.98,134.1,141.83,90.01,106.15,123.14,137.22
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Netherlands,56.03 b,56.94,57.28,57.26,59.5,73.74,74.07,75.66,48.78,66.92,79.23,83.83
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Norway,:,161.67,147.96,162.63,161.38,167.85,143.95,:,:,97.93,:,127.4
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Poland,53.8,47.12,32.42 b,35.14,35.46,37.54,39.93,40.91,36.36,36.76,44.33,52.27
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Portugal,27.44,22.1,35.2,39.05,36.9,38.54,43.39,49.72,37.5,42.2,56.7,61.37
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Romania,24.29,25.54,26.15,29.84,32.19,35.18,38.25,43.87,41.15,47.45,67.16,67.14
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Serbia,:,:,:,:,:,:,41.74,:,:,:,:,:
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Sweden,:,:,59.91,65.25,55.47,155.97,146.96,140.16,74.61,83.53,112.89,:
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Slovenia,54.27,52.19,55.78,53.71,53.95,57.64,61.24,61.99,39.17,69.22,75.11,87.48
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,Slovakia,63.22,54.38 b,58.03,57.91,55.34,61.91,58.24,60.91,48.27,55.23,71.9,82.36
Annual,Total,1 night or over,All countries of the world,Total excluding durables and valuable goods,Average per night,Euro,United Kingdom,: @C,69.25,:,:,:,:,:,:,:,:,:,:
