Time frequency,Unit of measure,Territorial typology,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0
Annual,Number,Non-coastal regions,Netherlands,:,:,:,:,:,:,1182.0,1396.0,1287.0,:,1210.0,1290.0,1114.0,1190 p
Annual,Number,Non-coastal regions,Poland,:,:,:,:,:,:,:,:,:,:,:,3199.0,:,:
Annual,Number,Non-coastal regions,Sweden,111.0,158.0,278.0,287.0,179.0,373.0,228.0,209.0,340.0,277.0,335.0,372.0,376.0,272 p
Annual,Number,Non-coastal regions,Slovenia,:,:,:,:,:,:,:,:,:,:,98.0,133.0,:,:
Annual,Number,Non-coastal regions,Slovakia,:,:,:,:,:,:,158.0,97.0,:,128.0,196.0,159.0,174.0,:
Annual,Number,Non-coastal regions,United Kingdom,:,:,943.0,:,852.0,:,685.0,1103.0,1051.0,1118.0,1228.0,:,1497.0,:
Annual,Number,Non-island regions,Cyprus,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Non-island regions,Czechia,:,:,:,378.0,646.0,684.0,423.0,:,609.0,:,600.0,692.0,777.0,:
Annual,Number,Non-island regions,Denmark,552.0,1347.0,1556.0,1118.0,1483.0,1517.0,1241.0,955.0,1255.0,1352.0,1375.0,1487.0,1488.0,1238 p
Annual,Number,Non-island regions,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,100 p
Annual,Number,Non-island regions,Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,626 p
Annual,Number,Non-island regions,Ireland,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Non-island regions,Liechtenstein,49.0,215.0,186.0,192.0,100.0,288.0,124.0,140.0,90.0,84.0,210.0,61.0,104.0,36 p
Annual,Number,Non-island regions,Luxembourg,35.0,80.0,133.0,186.0,460.0,320.0,273.0,205.0,340.0,511.0,717.0,576.0,613.0,441 p
Annual,Number,Non-island regions,Latvia,:,:,:,:,:,:,:,25.0,:,:,:,:,59.0,:
Annual,Number,Non-island regions,Malta,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Number,Non-island regions,Netherlands,:,:,:,:,:,:,:,:,2171.0,:,:,:,:,:
Annual,Number,Non-island regions,Poland,:,:,:,:,:,:,:,:,:,:,:,3413.0,:,:
