Annual,Growth rate on previous period (t/t-1),Sweden,:,2.0,-0.4,-12.0,-11.5,-0.7,2.0,1.7,-2.1,-0.9,1.0,0.3,-5.1,-2.8,-0.3,-2.1,-1.1,0.3,0.9,1.0,1.6,-0.7,1.6,-54.1,21.2,46.7,-0.1
Annual,Growth rate on previous period (t/t-1),Slovenia,:,:,:,:,:,25.5,11.4,-9.5,-16.8,-16.4,74.0,-3.5,13.6,-30.5,-8.9,-4.9,-17.1,-4.4,25.7,-15.9,7.5,-21.1,6.3,-99.5,1533.6,1380.5,-2.1
Annual,Growth rate on previous period (t/t-1),Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,-7.5,13.8,16.8,-0.7,12.6,4.5,3.8,-44.0,10.2,0.4,16.6,-81.0,-5.9,461.9,30.9
Annual,Growth rate on previous period (t/t-1),United Kingdom,:,1.6,-2.9,-5.5,2.0,3.2,-5.4,-2.6,-8.0,-0.9,1.8,-3.0,-4.3,1.9,-2.9,-5.3,3.6,2.4,-1.2,-3.3,-2.0,1.3,-4.4,:,:,:,:
Annual,Thousand passengers,Belgium,1946.0,1696.0,1553.0,1520.0,1377.0,1125.0,739.0,787.0,922.0,891.0,909.0,799.0,751.0,829.0,824.0,850.0,859.0,821.0,844.0,1118.0,1270.0,1127.0,1092.0,69.0,88.0,570.0,997.0
Annual,Thousand passengers,Bulgaria,:,:,:,:,3.0,6.0,4.0,6.0,13.0,15.0,10.0,8.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,5.0,3.0,4.0,6.0,5.0
Annual,Thousand passengers,Cyprus,:,:,:,:,:,339.0,287.0,247.0,194.0,228.0,174.0,150.0,96.0,107.0,92.0,91.0,99.0,76.0,68.0,59.0,72.0,28.0,53.0,5.0,29.0,19.0,26.0
Annual,Thousand passengers,Germany,:,:,:,31378.0,31817.0,33222.0,32146.0,29815.0,29490.0,29256.0,30200.0,28945.0,29573.0,28780.0,29233.0,29481.0,29848.0,30780.0,30087.0,30849.0,30774.0,30687.0,31412.0,16373.0,19496.0,27672.0,28450.0
Annual,Thousand passengers,Denmark,75928.0,63448.0,57345.0,51830.0,47862.0,48178.0,48653.0,48555.0,47924.0,48145.0,48409.0,46657.0,43561.0,41993.0,41527.0,40965.0,41266.0,41353.0,41647.0,41583.0,42851.0,43774.0,44226.0,30859.0,33514.0,41189.0,41215.0
Annual,Thousand passengers,Estonia,:,:,:,:,5740.0,5136.0,5172.0,6452.0,8639.0,8546.0,8665.0,9190.0,9140.0,11186.0,11846.0,12654.0,13146.0,13654.0,14164.0,14333.0,14850.0,14837.0,15057.0,8623.0,8213.0,11749.0,12851.0
Annual,Thousand passengers,"European Economic Area (EU28 plus IS, LI, NO)",:,:,:,:,:,446027.0,443922.0,440855.0,422951.0,436353.0,:,:,435780.0,431565.0,419008.0,404707.0,406703.0,400085.0,403404.0,404067.0,423041.0,444665.0,451222.0,:,:,:,:
Annual,Thousand passengers,Greece,32259.0,35364.0,37180.0,27867.0,50149.0,101210.0,102760.0,96744.0,86068.0,90402.0,92423.0,91101.0,88351.0,86189.0,79183.0,72899.0,72918.0,66533.0,65680.0,65248.0,70023.0,72520.0,73930.0,40895.0,52261.0,70110.0,74956.0
Annual,Thousand passengers,Spain,13939.0,15349.0,16225.0,18846.0,18625.0,18946.0,20030.0,21364.0,20976.0,22167.0,23134.0,22478.0,21458.0,21518.0,21868.0,21629.0,22871.0,23486.0,24565.0,26360.0,27922.0,32173.0,34324.0,14283.0,18881.0,31318.0,31731.0
Annual,Thousand passengers,European Union - 15 countries (1995-2004),:,:,:,338845.0,354509.0,405400.0,403482.0,396823.0,375924.0,388271.0,394501.0,392052.0,383383.0,376844.0,361607.0,346655.0,346815.0,342810.0,340657.0,338174.0,353368.0,372845.0,376916.0,:,:,:,:
Annual,Thousand passengers,European Union - 25 countries (2004-2006),:,:,:,:,:,421141.0,419372.0,413140.0,393870.0,406607.0,414276.0,412910.0,403781.0,400047.0,385855.0,371499.0,372847.0,369850.0,368754.0,367690.0,384544.0,405021.0,409845.0,:,:,:,:
Annual,Thousand passengers,European Union - 27 countries (2007-2013),:,:,:,:,:,421147.0,419376.0,413146.0,393883.0,406622.0,414286.0,412919.0,403782.0,400049.0,385855.0,371499.0,372849.0,369852.0,368756.0,367694.0,384546.0,405023.0,409849.0,:,:,:,:
Annual,Thousand passengers,European Union - 27 countries (from 2020),:,:,:,:,:,403934.0,405151.0,401828.0,385859.0,399753.0,408432.0,409408.0,401538.0,396348.0,384800.0,371689.0,372732.0,365240.0,368222.0,370467.0,389537.0,411006.0,418488.0,230161.0,267871.0,373600.0,395337.0
Annual,Thousand passengers,European Union - 28 countries (2013-2020),:,:,:,:,:,439556.0,438859.0,434665.0,416065.0,429683.0,438897.0,438963.0,429819.0,425172.0,412802.0,398205.0,400205.0,393375.0,396027.0,397355.0,415873.0,437681.0,443991.0,:,:,:,:
