Time frequency,Type of household,Income situation in relation to the risk of poverty threshold,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,North Macedonia,42.9,34.5,32.0,29.6,26.9,26.6,28.5,:,:,:
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Malta,12.6,9.1,4.7,3.4,3.4,4.5,1.5,3.5,4.3,9.2
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Netherlands,1.4,0.9,1.1 b,0.7,0.6,0.9,0.8,0.3,0.4,0.8
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Norway,0.8,1.4,1.0,1.3,1.0,1.2,0.8,1.2 b,1.4,1.0
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Poland,6.0,4.3,3.4,4.0,2.8,2.0,1.7,1.9,2.5,1.9
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Portugal,1.3,1.6,1.8,1.0,0.9,1.1,1.2,1.1 b,1.5,0.6
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Romania,14.1,9.4,13.1,11.3,9.2,6.7,7.5,13.0,15.7,15.5
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Serbia,15.6,14.6,11.0,11.4,10.1,6.5,6.0,5.5,6.7,:
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Sweden,0.9,0.4,0.6,0.8,0.8,0.7,0.6,0.6,1.7,1.7
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Slovenia,4.3,2.9,2.9,3.6,3.3,1.9,2.1,2.7,1.5,1.7
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Slovakia,17.5,14.6,12.8,9.5,9.1,6.9,7.8,8.4,9.9,10.6
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Türkiye,24.1,24.3,31.2,26.4,24.9,25.1,29.8,30.5,32.9,32.4
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,United Kingdom,6.3,5.8,4.9,3.5 b,3.6,:,:,:,:,:
Annual,Households with dependent children,Above 60% of median equivalised income,Percentage,Kosovo*,:,:,:,:,49.6,:,:,:,:,:
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Albania,:,:,:,58.9,64.0,65.3,65.5,69.8,:,:
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Austria,16.5,10.2,14.0,16.3,12.9,8.0,8.5,9.2,9.7,14.7
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Belgium,17.5,21.2,22.4,18.8,24.0,15.0 b,11.5,14.0,11.2,14.8
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Bulgaria,70.3 b,67.6,63.9 b,62.0,60.5,55.4,54.1,43.3,42.2,36.7
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Switzerland,7.3 b,6.0,2.9,3.7,14.5,12.4,9.0,6.6,9.0,7.4
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Cyprus,19.8,15.9,10.9,21.9,11.2,3.2,5.0,3.0,6.6,8.6
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Czechia,35.8,34.6,31.2,24.4,19.3,19.9,18.5,14.7,16.7,23.5
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Germany,14.9,15.4,15.1,21.3,16.5,10.5,25.3 b,21.8,26.0,30.1
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Denmark,3.4,1.4,5.8,9.3,2.6,8.5,10.3,5.8,2.0,12.2
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",18.5 e,18.2 e,19.6 e,18.8 e,17.1 e,15.6,19.6,15.2,:,:
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Euro area - 18 countries (2014),18.5,18.2,19.5,18.6,17.0,15.6,19.6,:,:,:
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Euro area - 19 countries  (2015-2022),18.7,18.2,19.6,18.8,17.1,15.6,19.6,15.2,:,:
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Euro area – 20 countries (from 2023),18.6,18.4,19.7,18.8,17.2,15.7,19.6,15.2,18.7,22.4
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Estonia,15.5 b,9.5,8.5,9.3,7.6,6.6,8.4,2.4,6.5,9.1
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Greece,47.0,59.7,63.9,47.9,30.0,40.5,53.4,35.4,30.3,34.6
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Spain,9.2,6.7,8.1,7.7,9.4,10.3,11.9,9.7,12.8,14.5
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",22.7,20.9,20.8,19.5,17.6,16.1 e,:,:,:,:
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,European Union - 27 countries (2007-2013),22.7,20.8,20.8,19.4,17.5,16.1 e,:,:,:,:
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,European Union - 27 countries (from 2020),23.1 e,22.0 e,22.0 e,20.3 e,18.5 e,16.8 e,20.5,16.2,19.9,22.6
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,European Union - 28 countries (2013-2020),22.7,20.9,20.8,19.5,17.6,16.1 e,:,:,:,:
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Finland,3.8,6.7,6.6,4.6,5.5,9.9,8.7,5.7,2.8,7.9
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,France,18.6,20.5,20.9,21.8,18.4,19.4,22.4 b,14.3,24.9 b,30.9
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Croatia,24.5,32.5,25.0,22.4,23.4,19.3,16.3,10.5,20.8,12.9
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Hungary,62.6,52.7,36.7,28.4,29.6,21.8,31.3,27.1,25.9,47.7
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Ireland,7.5,7.5,4.4,4.4,4.3,4.4 b,3.4 b,8.3,2.1,3.1
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Iceland,8.9,10.4,11.8,8.0,5.8,7.2,:,:,:,:
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Italy,25.8,22.9,28.1,23.0,22.9,19.0,21.0,16.7,15.6,20.6
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Lithuania,29.9,22.3,27.2,32.3,24.0,20.6,18.0,13.1,22.9,23.4
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Luxembourg,6.8,9.6,5.5 b,5.0,8.0,5.1,5.1 b,4.7 b,2.9 b,6.2
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Latvia,32.2,32.4,30.5,25.2,21.5,19.2,16.6,7.2,14.7,10.8
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Montenegro,7.5,6.7,33.2,32.0,48.0,34.7,33.2,42.8,42.1,:
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,North Macedonia,78.2,59.9,60.9,63.4,60.6,61.4,52.7,:,:,:
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Malta,32.2,31.0,21.3,14.6,19.9,10.7,25.4,15.2,18.5,21.1
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Netherlands,12.5,8.5,7.3 b,5.8,8.5,12.1,10.1,8.1,8.9,15.0
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Norway,9.0,12.2,13.4,16.8,14.6,17.4,12.8,7.2 b,5.9,12.2
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Poland,22.3,17.6,12.5,11.5,8.1,7.5,7.4,5.9,6.8,5.4
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Portugal,11.4,10.7,8.8,8.0,5.0,4.5,5.8,2.3 b,5.0,4.1
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Romania,40.9,43.0,42.2,33.6,31.5,27.1,34.5,32.1,46.5,37.0
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Serbia,37.4,38.5,29.2,33.6,30.8,29.6,30.3,33.4,27.4,:
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Sweden,3.0,4.7,4.0,3.7,4.0,7.9,10.1,4.6,5.9,3.9
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Slovenia,13.9,16.0,11.8,13.1,8.3,8.0,11.0,10.0,9.2,8.2
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Slovakia,46.4,45.1,35.8,38.3,37.2,36.6,34.6,30.0,40.3,47.6
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Türkiye,65.2,69.2,59.9,59.5,58.2,60.4,63.6,68.1,70.2,66.1
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,United Kingdom,19.5,13.0,11.4,14.2 b,12.5,:,:,:,:,:
Annual,Households with dependent children,Below 60% of median equivalised income,Percentage,Kosovo*,:,:,:,:,85.7,:,:,:,:,:
Annual,Households with dependent children,Total,Percentage,Albania,:,:,:,40.5,46.8,45.0,35.1,38.2,:,:
Annual,Households with dependent children,Total,Percentage,Austria,8.1,5.8,6.6,5.5,4.4,3.9,3.2,2.4,4.0,4.6
Annual,Households with dependent children,Total,Percentage,Belgium,4.7,5.2,6.3,6.1,6.5,3.7 b,3.9,4.1,3.8,4.4
Annual,Households with dependent children,Total,Percentage,Bulgaria,39.0 b,35.9,34.3 b,30.3,29.6,24.3,23.3,19.8,18.9,17.0
Annual,Households with dependent children,Total,Percentage,Switzerland,1.7 b,1.6,2.0,1.5,4.5,3.8,2.3,1.9,2.3,2.1
Annual,Households with dependent children,Total,Percentage,Cyprus,5.5,4.5,2.4,3.9,2.3,0.8,1.2,0.4,1.4,1.6
Annual,Households with dependent children,Total,Percentage,Czechia,12.9,10.7,8.5,5.5,4.0,3.9,3.5,3.1,4.2,6.6
Annual,Households with dependent children,Total,Percentage,Germany,5.8,5.1,4.7,6.1,5.1,3.1,12.3 b,9.8,11.6,13.3
Annual,Households with dependent children,Total,Percentage,Denmark,1.2,0.7,1.0,2.0,1.0,1.3,2.0,1.0,0.9,3.1
Annual,Households with dependent children,Total,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",7.5 e,7.0 e,7.3 e,7.1 e,6.2 e,5.4,7.9,6.4,:,:
Annual,Households with dependent children,Total,Percentage,Euro area - 17 countries (2011-2013),:,7.2 e,:,:,:,:,:,:,:,:
Annual,Households with dependent children,Total,Percentage,Euro area - 18 countries (2014),7.5,7.0,7.2,7.0,6.2,5.4,7.8,:,:,:
Annual,Households with dependent children,Total,Percentage,Euro area - 19 countries  (2015-2022),7.5,7.0,7.3,7.1,6.2,5.4,7.9,6.4,:,:
Annual,Households with dependent children,Total,Percentage,Euro area – 20 countries (from 2023),7.5,7.1,7.3,7.1,6.3,5.4,7.8,6.3,7.7,9.2
Annual,Households with dependent children,Total,Percentage,Estonia,6.0 b,3.6,3.2,4.0,2.9,4.5,4.7,1.9,4.1,4.1
Annual,Households with dependent children,Total,Percentage,Greece,15.8,16.6,19.2,16.2,12.1,13.5,16.4,14.0,10.7,11.2
Annual,Households with dependent children,Total,Percentage,Spain,3.7,3.1,2.9,3.4,3.6,4.0,5.3,4.6,5.6,6.6
Annual,Households with dependent children,Total,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",9.4,8.3,8.1,7.5,6.6,5.8 e,:,:,:,:
Annual,Households with dependent children,Total,Percentage,European Union - 15 countries (1995-2004),:,7.2 e,:,:,:,:,:,:,:,:
Annual,Households with dependent children,Total,Percentage,European Union - 27 countries (2007-2013),9.4,8.3,8.1,7.5,6.6,5.8 e,:,:,:,:
Annual,Households with dependent children,Total,Percentage,European Union - 27 countries (from 2020),9.4 e,8.5 e,8.4 e,7.8 e,6.8 e,5.8 e,7.7,6.6,8.0,9.2
Annual,Households with dependent children,Total,Percentage,European Union - 28 countries (2013-2020),9.4,8.3,8.1,7.5,6.6,5.8 e,:,:,:,:
Annual,Households with dependent children,Total,Percentage,Finland,1.7,2.2,2.8,1.5,2.3,1.9,2.0,1.3,1.7,2.6
Annual,Households with dependent children,Total,Percentage,France,7.1,7.4,7.6,6.9,6.7,7.1,7.9 b,5.7,9.6 b,13.0
Annual,Households with dependent children,Total,Percentage,Croatia,9.6,12.0,10.6,6.9,7.4,5.6,4.7,3.2,4.8,3.0
Annual,Households with dependent children,Total,Percentage,Hungary,28.6,24.6,19.3,15.8,11.9,11.9,12.1,11.3,12.3,16.9
Annual,Households with dependent children,Total,Percentage,Ireland,3.9,3.8,2.3,1.7,1.5,1.1 b,1.5 b,1.8,1.0,1.6
Annual,Households with dependent children,Total,Percentage,Iceland,4.7,5.1,3.2,2.8,2.6,2.5,:,:,:,:
Annual,Households with dependent children,Total,Percentage,Italy,13.2,12.1,13.8,12.9,10.6,8.6,8.6,7.4,7.1,8.3
Annual,Households with dependent children,Total,Percentage,Lithuania,12.4,10.1,12.8,14.1,10.9,9.1,9.6,6.1,7.4,9.2
Annual,Households with dependent children,Total,Percentage,Luxembourg,2.7,2.6,2.5 b,2.0,2.7,2.0,4.3 b,1.9 b,1.4 b,3.7
Annual,Households with dependent children,Total,Percentage,Latvia,15.1,12.2,12.3,9.7,8.4,7.4,6.8,3.0,5.1,4.4
Annual,Households with dependent children,Total,Percentage,Montenegro,5.3,3.9,12.6,12.1,17.3,12.5,14.9,20.3,18.9,:
Annual,Households with dependent children,Total,Percentage,North Macedonia,51.7,40.9,39.5,38.9,36.0,35.7,35.1,:,:,:
Annual,Households with dependent children,Total,Percentage,Malta,16.4,13.2,7.6,5.5,6.3,5.6,5.7,5.4,6.5,11.3
Annual,Households with dependent children,Total,Percentage,Netherlands,2.7,1.9,1.9 b,1.4,1.6,2.2,1.9,1.1,1.3,2.5
Annual,Households with dependent children,Total,Percentage,Norway,1.5,2.3,2.3,2.9,2.5,2.9,2.1,1.9 b,1.9,2.1
Annual,Households with dependent children,Total,Percentage,Poland,9.2,7.1,5.2,5.1,3.5,2.8,2.5,2.4,3.1,2.4
Annual,Households with dependent children,Total,Percentage,Portugal,3.6,3.6,3.3,2.4,1.7,1.7,1.9,1.3 b,2.2,1.3
Annual,Households with dependent children,Total,Percentage,Romania,22.7,20.1,22.1,17.6,15.2,12.1,14.4,17.7,22.9,20.9
Annual,Households with dependent children,Total,Percentage,Serbia,21.5,21.6,16.2,17.7,15.6,12.5,11.4,11.4,10.7,:
Annual,Households with dependent children,Total,Percentage,Sweden,1.2,1.0,1.1,1.3,1.3,2.0,2.1,1.2,2.4,2.0
Annual,Households with dependent children,Total,Percentage,Slovenia,5.6,4.5,3.9,4.7,3.8,2.4,2.9,3.3,2.1,2.3
Annual,Households with dependent children,Total,Percentage,Slovakia,22.1,19.4,16.7,14.2,13.7,11.4,11.7,11.5,15.5,17.3
Annual,Households with dependent children,Total,Percentage,Türkiye,35.5,36.6,39.2,35.5,34.1,35.0,39.3,41.1,43.6,41.1
Annual,Households with dependent children,Total,Percentage,United Kingdom,8.8,7.2,6.0,5.5 b,5.5,:,:,:,:,:
Annual,Households with dependent children,Total,Percentage,Kosovo*,:,:,:,:,59.8,:,:,:,:,:
