Time frequency,Standard international energy product classification (SIEC),Geopolitical entity (partner),Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Natural gas,Algeria,Percentage,Montenegro,: m,: m,: m,: m,: m,: m
Annual,Natural gas,Algeria,Percentage,North Macedonia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Algeria,Percentage,Malta,: m,: m,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Algeria,Percentage,Netherlands,: m,: m,: m,0.29 i,0.61 i,0.00 i
Annual,Natural gas,Algeria,Percentage,Norway,: m,: m,: m,: m,: m,: m
Annual,Natural gas,Algeria,Percentage,Poland,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Algeria,Percentage,Portugal,51.94 i,49.79 i,33.76 i,26.67 i,7.40 i,9.34 i
Annual,Natural gas,Algeria,Percentage,Romania,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Algeria,Percentage,Serbia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Algeria,Percentage,Sweden,0.00 i,0.00 i,0.01 i,0.01 i,0.01 i,0.00 i
Annual,Natural gas,Algeria,Percentage,Slovenia,0.34 i,0.00 i,0.00 i,0.00 i,0.04 i,0.07 i
Annual,Natural gas,Algeria,Percentage,Slovakia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Algeria,Percentage,Türkiye,8.21 i,9.26 i,8.36 i,9.11 i,12.58 i,11.65 i
Annual,Natural gas,Algeria,Percentage,Ukraine,0.02 i,3.34 i,0.71 i,0.39 i,0.29 i,0.02 i
Annual,Natural gas,Algeria,Percentage,United Kingdom,0.98 i,0.55 i,0.48 i,0.48 i,2.10 i,: m
Annual,Natural gas,Algeria,Percentage,Kosovo*,: m,: m,: m,: m,: m,: m
Annual,Natural gas,Nigeria,Percentage,Albania,: m,: m,: m,: m,: m,: m
Annual,Natural gas,Nigeria,Percentage,Austria,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Nigeria,Percentage,Bosnia and Herzegovina,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Nigeria,Percentage,Belgium,0.09 i,0.09 i,0.07 i,0.00 i,0.27 i,0.21 i
Annual,Natural gas,Nigeria,Percentage,Bulgaria,0.00 i,0.00 i,0.00 i,0.00 i,1.71 i,1.05 i
Annual,Natural gas,Nigeria,Percentage,Cyprus,: m,: m,: m,: m,: m,: m
Annual,Natural gas,Nigeria,Percentage,Czechia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Nigeria,Percentage,Germany,0.07 i,0.00 i,0.00 i,0.00 i,0.00 i,0.06 i
Annual,Natural gas,Nigeria,Percentage,Denmark,: m,: m,: m,: m,: m,0.00 i
Annual,Natural gas,Nigeria,Percentage,Estonia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Nigeria,Percentage,Greece,3.22 i,0.48 i,0.46 i,0.57 i,9.48 i,5.32 i
Annual,Natural gas,Nigeria,Percentage,Spain,11.98 i,14.55 i,12.98 i,11.95 i,12.31 i,12.83 i
Annual,Natural gas,Nigeria,Percentage,Finland,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Nigeria,Percentage,France,2.65 i,3.15 i,6.20 i,6.80 i,8.73 i,7.59 i
Annual,Natural gas,Nigeria,Percentage,Georgia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Nigeria,Percentage,Croatia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Nigeria,Percentage,Hungary,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Nigeria,Percentage,Ireland,0.05 i,0.11 i,0.10 i,0.09 i,0.39 i,0.00 i
Annual,Natural gas,Nigeria,Percentage,Iceland,: m,: m,: m,: m,: m,: m
Annual,Natural gas,Nigeria,Percentage,Italy,0.05 i,0.15 i,0.23 i,0.13 i,0.28 i,0.35 i
Annual,Natural gas,Nigeria,Percentage,Liechtenstein,: m,: m,0.03 i,: m,0.00 i,0.00 i
Annual,Natural gas,Nigeria,Percentage,Lithuania,0.00 i,0.00 i,3.76 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Nigeria,Percentage,Luxembourg,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Nigeria,Percentage,Latvia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Nigeria,Percentage,Moldova,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Nigeria,Percentage,Montenegro,: m,: m,: m,: m,: m,: m
Annual,Natural gas,Nigeria,Percentage,North Macedonia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Nigeria,Percentage,Malta,: m,: m,0.00 i,14.19 i,0.00 i,0.00 i
Annual,Natural gas,Nigeria,Percentage,Netherlands,: m,: m,: m,0.01 i,1.09 i,0.68 i
Annual,Natural gas,Nigeria,Percentage,Norway,: m,: m,: m,: m,: m,: m
Annual,Natural gas,Nigeria,Percentage,Poland,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.46 i
Annual,Natural gas,Nigeria,Percentage,Portugal,19.18 i,18.21 i,33.91 i,40.64 i,53.51 i,53.79 i
Annual,Natural gas,Nigeria,Percentage,Romania,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Nigeria,Percentage,Serbia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Nigeria,Percentage,Sweden,0.00 i,0.00 i,0.01 i,0.00 i,0.03 i,0.04 i
Annual,Natural gas,Nigeria,Percentage,Slovenia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Nigeria,Percentage,Slovakia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Nigeria,Percentage,Türkiye,2.96 i,3.02 i,3.76 i,4.31 i,5.37 i,3.95 i
Annual,Natural gas,Nigeria,Percentage,Ukraine,0.00 i,0.56 i,0.45 i,0.12 i,0.30 i,0.04 i
Annual,Natural gas,Nigeria,Percentage,United Kingdom,0.10 i,0.22 i,0.19 i,0.16 i,0.74 i,: m
Annual,Natural gas,Nigeria,Percentage,Kosovo*,: m,: m,: m,: m,: m,: m
Annual,Natural gas,Norway,Percentage,Albania,: m,: m,: m,: m,: m,: m
Annual,Natural gas,Norway,Percentage,Austria,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Norway,Percentage,Bosnia and Herzegovina,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Norway,Percentage,Belgium,44.25 i,46.63 i,51.93 i,52.36 i,40.41 i,50.18 i
Annual,Natural gas,Norway,Percentage,Bulgaria,0.00 i,0.00 i,0.00 i,0.00 i,2.11 i,0.31 i
Annual,Natural gas,Norway,Percentage,Cyprus,: m,: m,: m,: m,: m,: m
Annual,Natural gas,Norway,Percentage,Czechia,0.19 i,0.03 i,0.81 i,0.50 i,0.27 i,0.00 i
Annual,Natural gas,Norway,Percentage,Germany,28.79 i,10.99 i,9.73 i,2.92 i,2.92 i,23.79 i
Annual,Natural gas,Norway,Percentage,Denmark,: m,: m,: m,: m,: m,19.58 i
Annual,Natural gas,Norway,Percentage,Estonia,0.00 i,0.00 i,0.00 i,0.10 i,0.52 i,1.29 i
Annual,Natural gas,Norway,Percentage,Greece,4.93 i,2.10 i,1.26 i,0.02 i,11.66 i,2.44 i
Annual,Natural gas,Norway,Percentage,Spain,10.50 i,11.46 i,11.67 i,10.37 i,9.09 i,7.29 i
Annual,Natural gas,Norway,Percentage,Finland,0.00 i,0.00 i,0.00 i,1.56 i,2.48 i,0.81 i
Annual,Natural gas,Norway,Percentage,France,52.61 i,46.49 i,46.15 i,42.27 i,38.39 i,38.91 i
Annual,Natural gas,Norway,Percentage,Georgia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Norway,Percentage,Croatia,0.27 i,0.00 i,0.04 i,0.02 i,0.03 i,0.00 i
Annual,Natural gas,Norway,Percentage,Hungary,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Norway,Percentage,Ireland,32.57 i,35.31 i,40.06 i,38.86 i,31.31 i,0.00 i
Annual,Natural gas,Norway,Percentage,Iceland,: m,: m,: m,: m,: m,: m
Annual,Natural gas,Norway,Percentage,Italy,6.85 i,2.68 i,4.26 i,5.31 i,9.39 i,11.88 i
Annual,Natural gas,Norway,Percentage,Liechtenstein,: m,: m,32.68 i,: m,26.95 i,23.99 i
Annual,Natural gas,Norway,Percentage,Lithuania,17.40 i,61.71 i,35.41 i,43.23 i,53.69 i,37.51 i
Annual,Natural gas,Norway,Percentage,Luxembourg,63.90 i,63.85 i,32.91 i,32.91 i,32.90 i,32.90 i
Annual,Natural gas,Norway,Percentage,Latvia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Norway,Percentage,Moldova,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Norway,Percentage,Montenegro,: m,: m,: m,: m,: m,: m
Annual,Natural gas,Norway,Percentage,North Macedonia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Norway,Percentage,Malta,: m,: m,0.73 i,1.64 i,2.37 i,0.00 i
Annual,Natural gas,Norway,Percentage,Netherlands,: m,: m,: m,51.47 i,46.19 i,37.31 i
Annual,Natural gas,Norway,Percentage,Norway,: m,: m,: m,: m,: m,: m
Annual,Natural gas,Norway,Percentage,Poland,5.24 i,2.43 i,2.63 i,2.75 i,1.85 i,6.04 i
Annual,Natural gas,Norway,Percentage,Portugal,1.78 i,0.00 i,0.00 i,1.42 i,0.39 i,1.37 i
Annual,Natural gas,Norway,Percentage,Romania,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Norway,Percentage,Serbia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Norway,Percentage,Sweden,10.33 i,9.33 i,26.27 i,22.94 i,19.34 i,12.10 i
Annual,Natural gas,Norway,Percentage,Slovenia,0.12 i,0.00 i,0.00 i,0.00 i,0.02 i,0.03 i
Annual,Natural gas,Norway,Percentage,Slovakia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Norway,Percentage,Türkiye,0.53 i,0.38 i,1.48 i,0.33 i,0.27 i,0.29 i
Annual,Natural gas,Norway,Percentage,Ukraine,18.23 i,14.05 i,7.56 i,5.48 i,3.19 i,2.27 i
Annual,Natural gas,Norway,Percentage,United Kingdom,64.02 i,69.21 i,79.25 i,77.17 i,59.01 i,: m
Annual,Natural gas,Norway,Percentage,Kosovo*,: m,: m,: m,: m,: m,: m
Annual,Natural gas,Qatar,Percentage,Albania,: m,: m,: m,: m,: m,: m
Annual,Natural gas,Qatar,Percentage,Austria,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Qatar,Percentage,Bosnia and Herzegovina,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Qatar,Percentage,Belgium,16.28 i,7.24 i,6.86 i,10.65 i,20.40 i,11.96 i
Annual,Natural gas,Qatar,Percentage,Bulgaria,0.00 i,0.00 i,0.00 i,0.00 i,1.94 i,2.51 i
Annual,Natural gas,Qatar,Percentage,Cyprus,: m,: m,: m,: m,: m,: m
Annual,Natural gas,Qatar,Percentage,Czechia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Qatar,Percentage,Germany,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.04 i
Annual,Natural gas,Qatar,Percentage,Denmark,: m,: m,: m,: m,: m,0.00 i
Annual,Natural gas,Qatar,Percentage,Estonia,0.00 i,0.00 i,0.03 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Qatar,Percentage,Greece,0.67 i,0.32 i,3.75 i,2.52 i,10.55 i,12.26 i
Annual,Natural gas,Qatar,Percentage,Spain,9.38 i,7.98 i,10.18 i,9.74 i,11.83 i,8.95 i
Annual,Natural gas,Qatar,Percentage,Finland,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Qatar,Percentage,France,1.87 i,2.00 i,4.36 i,3.10 i,4.49 i,1.77 i
Annual,Natural gas,Qatar,Percentage,Georgia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Qatar,Percentage,Croatia,0.00 i,0.00 i,0.01 i,0.00 i,0.01 i,0.00 i
Annual,Natural gas,Qatar,Percentage,Hungary,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Qatar,Percentage,Ireland,14.63 i,10.89 i,6.45 i,3.27 i,10.21 i,0.00 i
Annual,Natural gas,Qatar,Percentage,Iceland,: m,: m,: m,: m,: m,: m
Annual,Natural gas,Qatar,Percentage,Italy,9.39 i,8.47 i,9.68 i,9.64 i,9.25 i,10.49 i
Annual,Natural gas,Qatar,Percentage,Liechtenstein,: m,: m,0.01 i,: m,0.00 i,0.00 i
Annual,Natural gas,Qatar,Percentage,Lithuania,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Qatar,Percentage,Luxembourg,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Qatar,Percentage,Latvia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Qatar,Percentage,Moldova,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Qatar,Percentage,Montenegro,: m,: m,: m,: m,: m,: m
Annual,Natural gas,Qatar,Percentage,North Macedonia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Qatar,Percentage,Malta,: m,: m,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Qatar,Percentage,Netherlands,: m,: m,: m,0.37 i,1.62 i,0.46 i
Annual,Natural gas,Qatar,Percentage,Norway,: m,: m,: m,: m,: m,: m
Annual,Natural gas,Qatar,Percentage,Poland,1.07 i,7.07 i,10.02 i,14.85 i,13.42 i,13.37 i
Annual,Natural gas,Qatar,Percentage,Portugal,5.01 i,8.22 i,9.35 i,11.63 i,10.79 i,2.30 i
Annual,Natural gas,Qatar,Percentage,Romania,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Qatar,Percentage,Serbia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Qatar,Percentage,Sweden,0.00 i,0.00 i,0.26 i,0.79 i,1.43 i,0.03 i
Annual,Natural gas,Qatar,Percentage,Slovenia,0.25 i,0.00 i,0.00 i,0.00 i,0.02 i,0.03 i
Annual,Natural gas,Qatar,Percentage,Slovakia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Qatar,Percentage,Türkiye,3.57 i,2.00 i,3.01 i,5.96 i,5.45 i,6.77 i
Annual,Natural gas,Qatar,Percentage,Ukraine,0.35 i,1.89 i,1.44 i,1.20 i,1.00 i,0.68 i
Annual,Natural gas,Qatar,Percentage,United Kingdom,28.03 i,20.66 i,12.63 i,6.86 i,19.02 i,: m
Annual,Natural gas,Qatar,Percentage,Kosovo*,: m,: m,: m,: m,: m,: m
Annual,Natural gas,Russia,Percentage,Albania,: m,: m,: m,: m,: m,: m
Annual,Natural gas,Russia,Percentage,Austria,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Russia,Percentage,Bosnia and Herzegovina,100.00 i,100.00 i,100.00 i,100.00 i,100.00 i,100.00 i
Annual,Natural gas,Russia,Percentage,Belgium,3.69 i,7.93 i,6.81 i,11.45 i,16.42 i,14.45 i
Annual,Natural gas,Russia,Percentage,Bulgaria,100.00 i,100.00 i,100.00 i,99.92 i,85.73 i,83.77 i
Annual,Natural gas,Russia,Percentage,Cyprus,: m,: m,: m,: m,: m,: m
Annual,Natural gas,Russia,Percentage,Czechia,99.81 i,99.97 i,99.19 i,99.50 i,99.73 i,100.00 i
Annual,Natural gas,Russia,Percentage,Germany,45.32 i,60.25 i,54.34 i,51.22 i,51.22 i,68.66 i
Annual,Natural gas,Russia,Percentage,Denmark,: m,: m,: m,: m,: m,62.32 i
Annual,Natural gas,Russia,Percentage,Estonia,100.00 i,100.00 i,99.84 i,99.90 i,99.45 i,98.00 i
Annual,Natural gas,Russia,Percentage,Greece,71.68 i,72.25 i,63.60 i,71.18 i,36.89 i,42.22 i
Annual,Natural gas,Russia,Percentage,Spain,0.45 i,0.44 i,0.79 i,3.09 i,9.93 i,11.52 i
Annual,Natural gas,Russia,Percentage,Finland,100.00 i,100.00 i,100.00 i,97.99 i,97.30 i,82.23 i
Annual,Natural gas,Russia,Percentage,France,14.47 i,22.61 i,20.49 i,22.42 i,21.78 i,19.04 i
Annual,Natural gas,Russia,Percentage,Georgia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Russia,Percentage,Croatia,29.75 i,36.96 i,47.35 i,73.04 i,69.34 i,64.11 i
Annual,Natural gas,Russia,Percentage,Hungary,95.00 i,95.00 i,95.00 i,95.00 i,95.00 i,95.00 i
Annual,Natural gas,Russia,Percentage,Ireland,0.00 i,0.00 i,0.11 i,1.72 i,3.60 i,0.00 i
Annual,Natural gas,Russia,Percentage,Iceland,: m,: m,: m,: m,: m,: m
Annual,Natural gas,Russia,Percentage,Italy,47.31 i,43.25 i,47.74 i,48.80 i,47.60 i,43.72 i
Annual,Natural gas,Russia,Percentage,Liechtenstein,: m,: m,53.51 i,: m,53.01 i,47.00 i
Annual,Natural gas,Russia,Percentage,Lithuania,82.60 i,38.29 i,53.64 i,56.77 i,43.27 i,41.79 i
Annual,Natural gas,Russia,Percentage,Luxembourg,25.20 i,25.22 i,27.23 i,27.23 i,27.23 i,27.23 i
Annual,Natural gas,Russia,Percentage,Latvia,100.00 i,100.00 i,100.00 i,100.00 i,100.00 i,100.00 i
Annual,Natural gas,Russia,Percentage,Moldova,99.90 i,99.92 i,100.00 i,100.00 i,100.00 i,100.00 i
Annual,Natural gas,Russia,Percentage,Montenegro,: m,: m,: m,: m,: m,: m
Annual,Natural gas,Russia,Percentage,North Macedonia,100.00 i,100.00 i,100.00 i,100.00 i,100.00 i,100.00 i
Annual,Natural gas,Russia,Percentage,Malta,: m,: m,0.32 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,Russia,Percentage,Netherlands,: m,: m,: m,35.41 i,33.95 i,33.18 i
Annual,Natural gas,Russia,Percentage,Norway,: m,: m,: m,: m,: m,: m
Annual,Natural gas,Russia,Percentage,Poland,83.09 i,84.33 i,77.78 i,72.61 i,68.25 i,69.56 i
Annual,Natural gas,Russia,Percentage,Portugal,0.00 i,0.00 i,0.00 i,0.00 i,1.90 i,9.70 i
Annual,Natural gas,Russia,Percentage,Romania,97.68 i,99.77 i,99.97 i,98.03 i,91.72 i,90.96 i
Annual,Natural gas,Russia,Percentage,Serbia,100.00 i,100.00 i,100.00 i,100.00 i,100.00 i,100.00 i
Annual,Natural gas,Russia,Percentage,Sweden,0.00 i,0.00 i,1.63 i,3.23 i,3.79 i,27.65 i
Annual,Natural gas,Russia,Percentage,Slovenia,31.22 i,34.00 i,23.00 i,31.25 i,11.87 i,8.82 i
Annual,Natural gas,Russia,Percentage,Slovakia,100.00 i,98.81 i,84.60 i,100.00 i,100.00 i,85.45 i
Annual,Natural gas,Russia,Percentage,Türkiye,55.33 i,53.01 i,51.94 i,47.10 i,33.65 i,33.68 i
Annual,Natural gas,Russia,Percentage,Ukraine,61.07 i,25.92 i,28.78 i,28.08 i,28.48 i,53.36 i
Annual,Natural gas,Russia,Percentage,United Kingdom,0.61 i,1.15 i,0.66 i,4.50 i,7.43 i,: m
Annual,Natural gas,Russia,Percentage,Kosovo*,: m,: m,: m,: m,: m,: m
Annual,Natural gas,United Kingdom,Percentage,Albania,: m,: m,: m,: m,: m,: m
Annual,Natural gas,United Kingdom,Percentage,Austria,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United Kingdom,Percentage,Bosnia and Herzegovina,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United Kingdom,Percentage,Belgium,10.20 i,9.02 i,6.11 i,4.01 i,4.92 i,6.64 i
Annual,Natural gas,United Kingdom,Percentage,Bulgaria,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United Kingdom,Percentage,Cyprus,: m,: m,: m,: m,: m,: m
Annual,Natural gas,United Kingdom,Percentage,Czechia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United Kingdom,Percentage,Germany,1.99 i,0.00 i,0.00 i,0.00 i,0.00 i,1.56 i
Annual,Natural gas,United Kingdom,Percentage,Denmark,: m,: m,: m,: m,: m,0.00 i
Annual,Natural gas,United Kingdom,Percentage,Estonia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United Kingdom,Percentage,Greece,0.00 i,0.00 i,0.02 i,0.00 i,0.14 i,0.21 i
Annual,Natural gas,United Kingdom,Percentage,Spain,0.00 i,0.00 i,0.02 i,0.01 i,0.01 i,0.00 i
Annual,Natural gas,United Kingdom,Percentage,Finland,0.00 i,0.00 i,0.00 i,0.06 i,0.03 i,0.00 i
Annual,Natural gas,United Kingdom,Percentage,France,1.65 i,1.23 i,0.99 i,0.71 i,0.73 i,1.04 i
Annual,Natural gas,United Kingdom,Percentage,Georgia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United Kingdom,Percentage,Croatia,0.00 i,0.00 i,0.04 i,0.03 i,0.03 i,0.00 i
Annual,Natural gas,United Kingdom,Percentage,Hungary,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United Kingdom,Percentage,Ireland,47.70 i,46.81 i,47.35 i,46.64 i,45.88 i,100.00 i
Annual,Natural gas,United Kingdom,Percentage,Iceland,: m,: m,: m,: m,: m,: m
Annual,Natural gas,United Kingdom,Percentage,Italy,0.52 i,0.30 i,0.22 i,0.23 i,0.26 i,0.19 i
Annual,Natural gas,United Kingdom,Percentage,Liechtenstein,: m,: m,1.77 i,: m,0.00 i,0.00 i
Annual,Natural gas,United Kingdom,Percentage,Lithuania,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United Kingdom,Percentage,Luxembourg,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United Kingdom,Percentage,Latvia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United Kingdom,Percentage,Moldova,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United Kingdom,Percentage,Montenegro,: m,: m,: m,: m,: m,: m
Annual,Natural gas,United Kingdom,Percentage,North Macedonia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United Kingdom,Percentage,Malta,: m,: m,0.23 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United Kingdom,Percentage,Netherlands,: m,: m,: m,5.25 i,6.15 i,18.88 i
Annual,Natural gas,United Kingdom,Percentage,Norway,: m,: m,: m,: m,: m,: m
Annual,Natural gas,United Kingdom,Percentage,Poland,0.01 i,0.01 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United Kingdom,Percentage,Portugal,0.00 i,0.00 i,0.00 i,0.00 i,0.13 i,0.00 i
Annual,Natural gas,United Kingdom,Percentage,Romania,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
Annual,Natural gas,United Kingdom,Percentage,Serbia,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i,0.00 i
