Time frequency,Unit of measure,Sex,n_injury,geo\TIME_PERIOD,1999.0
Annual,Percentage,Females,GE5,UK,1.1
Annual,Percentage,Females,TOTAL,DE,24.2
Annual,Percentage,Females,TOTAL,DK,36.0
Annual,Percentage,Females,TOTAL,EL,14.2
Annual,Percentage,Females,TOTAL,ES,18.3
Annual,Percentage,Females,TOTAL,EU_V,28.6
Annual,Percentage,Females,TOTAL,FI,35.1
Annual,Percentage,Females,TOTAL,HU,23.1
Annual,Percentage,Females,TOTAL,IE,24.0
Annual,Percentage,Females,TOTAL,IT,23.1
Annual,Percentage,Females,TOTAL,LU,19.7
Annual,Percentage,Females,TOTAL,PT,23.7
Annual,Percentage,Females,TOTAL,SE,44.1
Annual,Percentage,Females,TOTAL,UK,34.2
Annual,Percentage,Males,1.0,DE,75.8
Annual,Percentage,Males,1.0,DK,54.3
Annual,Percentage,Males,1.0,EL,82.2
Annual,Percentage,Males,1.0,ES,78.1
Annual,Percentage,Males,1.0,EU_V,61.5
Annual,Percentage,Males,1.0,FI,52.8
Annual,Percentage,Males,1.0,HU,58.2
Annual,Percentage,Males,1.0,IE,61.7
Annual,Percentage,Males,1.0,IT,70.3
Annual,Percentage,Males,1.0,LU,77.0
Annual,Percentage,Males,1.0,PT,67.9
Annual,Percentage,Males,1.0,SE,45.0
Annual,Percentage,Males,1.0,UK,51.2
Annual,Percentage,Males,2.0,DK,5.7
Annual,Percentage,Males,2.0,EL,3.6
Annual,Percentage,Males,2.0,ES,2.0
Annual,Percentage,Males,2.0,EU_V,6.1
Annual,Percentage,Males,2.0,FI,8.1
Annual,Percentage,Males,2.0,HU,10.8
Annual,Percentage,Males,2.0,IE,9.4
Annual,Percentage,Males,2.0,IT,4.8
Annual,Percentage,Males,2.0,LU,3.4
Annual,Percentage,Males,2.0,PT,6.7
Annual,Percentage,Males,2.0,SE,4.6
Annual,Percentage,Males,2.0,UK,8.7
Annual,Percentage,Males,3.0,DK,1.8
Annual,Percentage,Males,3.0,EL,0.0
Annual,Percentage,Males,3.0,ES,0.5
Annual,Percentage,Males,3.0,EU_V,1.4
Annual,Percentage,Males,3.0,FI,1.2
Annual,Percentage,Males,3.0,HU,4.1
Annual,Percentage,Males,3.0,IE,2.0
Annual,Percentage,Males,3.0,IT,0.6
Annual,Percentage,Males,3.0,LU,0.0
Annual,Percentage,Males,3.0,PT,0.8
Annual,Percentage,Males,3.0,SE,2.0
Annual,Percentage,Males,3.0,UK,2.4
Annual,Percentage,Males,4.0,DK,0.7
Annual,Percentage,Males,4.0,EL,0.0
Annual,Percentage,Males,4.0,ES,0.1
Annual,Percentage,Males,4.0,EU_V,0.6
Annual,Percentage,Males,4.0,FI,0.6
Annual,Percentage,Males,4.0,HU,1.5
Annual,Percentage,Males,4.0,IE,0.7
Annual,Percentage,Males,4.0,IT,0.3
Annual,Percentage,Males,4.0,LU,0.0
Annual,Percentage,Males,4.0,PT,0.2
Annual,Percentage,Males,4.0,SE,1.3
Annual,Percentage,Males,4.0,UK,0.9
Annual,Percentage,Males,GE5,DK,1.5
Annual,Percentage,Males,GE5,EL,0.0
Annual,Percentage,Males,GE5,ES,1.1
Annual,Percentage,Males,GE5,EU_V,1.7
Annual,Percentage,Males,GE5,FI,2.2
Annual,Percentage,Males,GE5,HU,2.3
Annual,Percentage,Males,GE5,IE,2.1
Annual,Percentage,Males,GE5,IT,0.9
Annual,Percentage,Males,GE5,LU,0.0
Annual,Percentage,Males,GE5,PT,0.7
Annual,Percentage,Males,GE5,SE,3.0
Annual,Percentage,Males,GE5,UK,2.6
Annual,Percentage,Males,TOTAL,DE,75.8
Annual,Percentage,Males,TOTAL,DK,64.0
Annual,Percentage,Males,TOTAL,EL,85.8
Annual,Percentage,Males,TOTAL,ES,81.7
Annual,Percentage,Males,TOTAL,EU_V,71.4
Annual,Percentage,Males,TOTAL,FI,64.9
Annual,Percentage,Males,TOTAL,HU,76.9
Annual,Percentage,Males,TOTAL,IE,76.0
Annual,Percentage,Males,TOTAL,IT,76.9
Annual,Percentage,Males,TOTAL,LU,80.3
Annual,Percentage,Males,TOTAL,PT,76.3
Annual,Percentage,Males,TOTAL,SE,55.9
Annual,Percentage,Males,TOTAL,UK,65.8
Annual,Percentage,Total,1.0,DE,100.0
Annual,Percentage,Total,1.0,DK,85.8
Annual,Percentage,Total,1.0,EL,96.4
Annual,Percentage,Total,1.0,ES,95.7
Annual,Percentage,Total,1.0,EU_V,86.2
Annual,Percentage,Total,1.0,FI,83.2
Annual,Percentage,Total,1.0,HU,77.4
Annual,Percentage,Total,1.0,IE,80.7
Annual,Percentage,Total,1.0,IT,92.0
Annual,Percentage,Total,1.0,LU,96.2
Annual,Percentage,Total,1.0,PT,90.0
Annual,Percentage,Total,1.0,SE,82.6
Annual,Percentage,Total,1.0,UK,78.2
Annual,Percentage,Total,2.0,DK,9.1
Annual,Percentage,Total,2.0,EL,3.6
Annual,Percentage,Total,2.0,ES,2.4
Annual,Percentage,Total,2.0,EU_V,8.5
Annual,Percentage,Total,2.0,FI,10.9
Annual,Percentage,Total,2.0,HU,13.2
Annual,Percentage,Total,2.0,IE,12.8
Annual,Percentage,Total,2.0,IT,5.6
Annual,Percentage,Total,2.0,LU,3.8
Annual,Percentage,Total,2.0,PT,8.1
Annual,Percentage,Total,2.0,SE,8.1
Annual,Percentage,Total,2.0,UK,12.9
Annual,Percentage,Total,3.0,DK,2.5
Annual,Percentage,Total,3.0,EL,0.0
Annual,Percentage,Total,3.0,ES,0.6
Annual,Percentage,Total,3.0,EU_V,2.1
Annual,Percentage,Total,3.0,FI,2.3
Annual,Percentage,Total,3.0,HU,4.8
Annual,Percentage,Total,3.0,IE,2.6
Annual,Percentage,Total,3.0,IT,0.8
Annual,Percentage,Total,3.0,LU,0.0
Annual,Percentage,Total,3.0,PT,0.8
Annual,Percentage,Total,3.0,SE,3.4
Annual,Percentage,Total,3.0,UK,3.7
Annual,Percentage,Total,4.0,DK,0.7
Annual,Percentage,Total,4.0,EL,0.0
Annual,Percentage,Total,4.0,ES,0.2
Annual,Percentage,Total,4.0,EU_V,0.9
Annual,Percentage,Total,4.0,FI,1.0
Annual,Percentage,Total,4.0,HU,1.8
Annual,Percentage,Total,4.0,IE,1.0
Annual,Percentage,Total,4.0,IT,0.4
Annual,Percentage,Total,4.0,LU,0.0
Annual,Percentage,Total,4.0,PT,0.4
Annual,Percentage,Total,4.0,SE,1.7
Annual,Percentage,Total,4.0,UK,1.5
Annual,Percentage,Total,GE5,DK,1.9
Annual,Percentage,Total,GE5,EL,0.0
Annual,Percentage,Total,GE5,ES,1.1
Annual,Percentage,Total,GE5,EU_V,2.3
Annual,Percentage,Total,GE5,FI,2.7
Annual,Percentage,Total,GE5,HU,2.8
Annual,Percentage,Total,GE5,IE,3.0
Annual,Percentage,Total,GE5,IT,1.2
Annual,Percentage,Total,GE5,LU,0.0
Annual,Percentage,Total,GE5,PT,0.7
Annual,Percentage,Total,GE5,SE,4.2
Annual,Percentage,Total,GE5,UK,3.7
Annual,Percentage,Total,TOTAL,DE,100.0
Annual,Percentage,Total,TOTAL,DK,100.0
Annual,Percentage,Total,TOTAL,EL,100.0
Annual,Percentage,Total,TOTAL,ES,100.0
Annual,Percentage,Total,TOTAL,EU_V,100.0
Annual,Percentage,Total,TOTAL,FI,100.0
Annual,Percentage,Total,TOTAL,HU,100.0
Annual,Percentage,Total,TOTAL,IE,100.0
Annual,Percentage,Total,TOTAL,IT,100.0
Annual,Percentage,Total,TOTAL,LU,100.0
Annual,Percentage,Total,TOTAL,PT,100.0
Annual,Percentage,Total,TOTAL,SE,100.0
Annual,Percentage,Total,TOTAL,UK,100.0
