Time frequency,Degree of urbanisation,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,Total,Percentage of disposable income,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,79.2 i,71.6 i
Annual,Total,Percentage of disposable income,European Union - 27 countries (from 2020),:,78 i,71.6 i
Annual,Total,Percentage of disposable income,Finland,79.3 i,81.3 i,:
Annual,Total,Percentage of disposable income,France,71.1 i,67.5 i,70.2 i
Annual,Total,Percentage of disposable income,Croatia,91.9 i,93.9 i,79.2 i
Annual,Total,Percentage of disposable income,Hungary,82 i,84.6 i,77.5 i
Annual,Total,Percentage of disposable income,Ireland,82.5 i,74.5 i,:
Annual,Total,Percentage of disposable income,Italy,77.4 i,:,:
Annual,Total,Percentage of disposable income,Lithuania,75.3 i,62.6 i,53.7 i
Annual,Total,Percentage of disposable income,Luxembourg,70.5 i,73.3 i,68.6 i
Annual,Total,Percentage of disposable income,Latvia,87.8 i,72.4 i,69.3 i
Annual,Total,Percentage of disposable income,Malta,92.9 i,85.3 i,72.9 i
Annual,Total,Percentage of disposable income,Netherlands,:,79.4 i,73 i
Annual,Total,Percentage of disposable income,Poland,73.5 i,68.5 i,49.8 i
Annual,Total,Percentage of disposable income,Portugal,91.8 i,84.1 i,:
Annual,Total,Percentage of disposable income,Romania,98.5 i,95 i,88.5 i
Annual,Total,Percentage of disposable income,Sweden,82.5 i,74.9 i,:
Annual,Total,Percentage of disposable income,Slovenia,82.7 i,80.4 i,78.5 i
Annual,Total,Percentage of disposable income,Slovakia,70.8 i,81.3 i,71.7 i
Annual,Total,Percentage of disposable income,United Kingdom,: u,86.1 i,:
