Time frequency,n_activ,unit,geo\TIME_PERIOD,1988.0,1994.0,1999.0,2005.0,2010.0,2015.0,2020.0
Annual,1.0,PPS_HH,HR,:,:,:,15686.0,16462.0,18904.0,19517.0
Annual,1.0,PPS_HH,HU,:,:,8753.0,11125.0,13376.0,15100.0,20288.0
Annual,1.0,PPS_HH,IE,:,21380.0,27229.0,34137.0,28989.0,28988.0,29056.0
Annual,1.0,PPS_HH,IT,17353.0,23179.0,30597.0,28959.0,27865.0,28520.0,26095.0
Annual,1.0,PPS_HH,LT,:,:,5949.0,8485.0,12922.0,15002.0,17270.0
Annual,1.0,PPS_HH,LU,27304.0,39646.0,42978.0,46810.0,40207.0,43392.0,42698.0
Annual,1.0,PPS_HH,LV,:,:,5034.0,8990.0,11043.0,13215.0,15207.0
Annual,1.0,PPS_HH,ME,:,:,:,:,11195.0,15910.0,17073.0
Annual,1.0,PPS_HH,MK,:,:,:,11269.0,6957.0,9450.0,:
Annual,1.0,PPS_HH,MT,:,:,20512.0,27193.0,26247.0,26940.0,25646 e
Annual,1.0,PPS_HH,NL,17259.0,20286.0,24079.0,:,27773.0,27878.0,28172.0
Annual,1.0,PPS_HH,NO,:,:,:,24741.0,28373.0,29790.0,29668.0
Annual,1.0,PPS_HH,PL,:,:,8470.0,10104.0,14736.0,17802.0,16680.0
Annual,1.0,PPS_HH,PT,11342.0,15306.0,17254.0,19951.0,20447.0,22777.0,22617.0
Annual,1.0,PPS_HH,RO,:,:,3621.0,4902.0,8325.0,8110.0,13271.0
Annual,1.0,PPS_HH,RS,:,:,:,:,:,12614.0,13212.0
Annual,1.0,PPS_HH,SE,:,:,17571.0,:,:,24723.0,:
Annual,1.0,PPS_HH,SI,:,:,17541.0,21751.0,22404.0,21330.0,21823.0
Annual,1.0,PPS_HH,SK,:,:,10397.0,:,13438.0,16955.0,14301.0
Annual,1.0,PPS_HH,TR,:,:,:,10368.0,15521.0,20841.0,18182.0
Annual,1.0,PPS_HH,UK,15922.0,19117.0,25865.0,29907.0,17762.0,18534.0,:
Annual,1.0,PPS_HH,XK,:,:,:,:,:,15325.0,:
Annual,2.0,PPS_AE,AT,:,14699.0,17319.0,20617.0,22747.0,23483.0,24392.0
Annual,2.0,PPS_AE,BE,11177.0,13950.0,18327.0,20223.0,22478.0,23458.0,19932.0
Annual,2.0,PPS_AE,BG,:,:,:,4400.0,6033.0,8389.0,9863.0
Annual,2.0,PPS_AE,CY,:,:,:,19872.0,28553.0,21352.0,20511 e
Annual,2.0,PPS_AE,CZ,:,:,:,7083.0,9347.0,10795.0,12313.0
Annual,2.0,PPS_AE,DE,12609.0,14577.0,16713.0,21075.0,21450.0,23212.0,25044.0
Annual,2.0,PPS_AE,DK,:,14650.0,17550.0,18690.0,21499.0,:,23375.0
Annual,2.0,PPS_AE,EA,:,13914.0,16000.0,19161 u,19688 i,:,:
Annual,2.0,PPS_AE,EA12,:,:,:,19194 u,19997 i,:,:
Annual,2.0,PPS_AE,EA13,:,:,:,19161 u,19977 i,:,:
Annual,2.0,PPS_AE,EA17,:,:,:,:,19761 i,:,:
Annual,2.0,PPS_AE,EA18,:,:,:,:,19688 i,:,:
Annual,2.0,PPS_AE,EE,:,:,:,7990.0,7823.0,12233.0,13384.0
Annual,2.0,PPS_AE,EEA28,:,:,:,17695 u,17906 i,:,:
Annual,2.0,PPS_AE,EEA30_2007,:,:,:,:,17224 i,:,:
Annual,2.0,PPS_AE,EFTA,:,:,:,:,25151 u,:,:
Annual,2.0,PPS_AE,EL,9124.0,10860.0,14559.0,20515.0,18547.0,15891.0,14455.0
Annual,2.0,PPS_AE,ES,8728.0,11139.0,11296.0,15243.0,18932.0,18813.0,16785.0
Annual,2.0,PPS_AE,EU15,:,14020.0,16741.0,19738 u,19364 i,:,:
Annual,2.0,PPS_AE,EU25,:,:,:,17695 u,17830 i,:,:
Annual,2.0,PPS_AE,EU27_2007,:,:,:,16793 u,17146 i,:,:
Annual,2.0,PPS_AE,EU27_2020,:,:,:,:,:,18466 e,18521 i
Annual,2.0,PPS_AE,FI,:,11973.0,14136.0,19470.0,21876.0,25316.0,24386.0
Annual,2.0,PPS_AE,FR,10949.0,14787.0,16907.0,18828.0,19658.0,21318.0,20810 e
Annual,2.0,PPS_AE,HR,:,:,:,10616.0,10186.0,11914.0,13415.0
Annual,2.0,PPS_AE,HU,:,:,:,7276.0,8609.0,10529.0,14115.0
Annual,2.0,PPS_AE,IE,:,13670.0,17758.0,24560.0,21005.0,20781.0,20111.0
Annual,2.0,PPS_AE,IT,11033.0,14137.0,15663.0,19689.0,18733.0,19169.0,18335.0
Annual,2.0,PPS_AE,LT,:,:,:,6576.0,9214.0,12094.0,13190.0
Annual,2.0,PPS_AE,LU,16460.0,23592.0,27568.0,34374.0,28036.0,31337.0,32099.0
Annual,2.0,PPS_AE,LV,:,:,:,6228.0,8318.0,11154.0,12645.0
Annual,2.0,PPS_AE,ME,:,:,:,:,6789.0,9168.0,8268.0
Annual,2.0,PPS_AE,MK,:,:,:,5547.0,6083.0,5693.0,:
Annual,2.0,PPS_AE,MT,:,:,:,17970.0,16537.0,19538.0,18597 e
Annual,2.0,PPS_AE,NL,12128.0,15278.0,18924.0,:,21470.0,22435.0,23188.0
Annual,2.0,PPS_AE,NO,:,:,:,:,25151.0,26985.0,23810.0
Annual,2.0,PPS_AE,PL,:,:,:,6076.0,9679.0,11575.0,10663.0
Annual,2.0,PPS_AE,PT,7618.0,10093.0,12080.0,13218.0,15314.0,15735.0,15455.0
Annual,2.0,PPS_AE,RO,:,:,:,3282.0,5632.0,7136.0,9642.0
Annual,2.0,PPS_AE,RS,:,:,:,:,:,8537.0,8784.0
Annual,2.0,PPS_AE,SE,:,:,15639.0,:,:,21342.0,:
Annual,2.0,PPS_AE,SI,:,:,:,14278.0,16899.0,16429.0,17309.0
Annual,2.0,PPS_AE,SK,:,:,:,:,8701.0,11424.0,9454.0
Annual,2.0,PPS_AE,TR,:,:,:,5431.0,8182.0,12455.0,11293.0
Annual,2.0,PPS_AE,UK,12712.0,14466.0,20354.0,22518.0,15932.0,17194.0,:
Annual,2.0,PPS_AE,XK,:,:,:,:,:,5409.0,:
Annual,2.0,PPS_HH,AT,:,29354.0,32881.0,38695.0,43323.0,44700.0,44765.0
Annual,2.0,PPS_HH,BE,21727.0,27017.0,36739.0,39966.0,44458.0,45712.0,40365.0
Annual,2.0,PPS_HH,BG,:,:,7279.0,8910.0,11915.0,15943.0,18162.0
Annual,2.0,PPS_HH,CY,:,:,37018.0,43222.0,58588.0,43550.0,41834 e
Annual,2.0,PPS_HH,CZ,:,:,14873.0,16513.0,17665.0,20345.0,23312.0
Annual,2.0,PPS_HH,DE,23069.0,26815.0,30944.0,38606.0,38804.0,41652.0,45256.0
Annual,2.0,PPS_HH,DK,:,26756.0,32539.0,34616.0,39926.0,:,42931.0
Annual,2.0,PPS_HH,EA,:,27111.0,31955.0,37030 u,37268 i,:,:
Annual,2.0,PPS_HH,EA12,:,:,:,37074 u,37797 i,:,:
Annual,2.0,PPS_HH,EA13,:,:,:,37030 u,37772 i,:,:
Annual,2.0,PPS_HH,EA17,:,:,:,:,37405 i,:,:
Annual,2.0,PPS_HH,EA18,:,:,:,:,37268 i,:,:
Annual,2.0,PPS_HH,EE,:,:,10713.0,15446.0,14660.0,23378.0,25305.0
Annual,2.0,PPS_HH,EEA28,:,:,:,33949 u,33636 i,:,:
Annual,2.0,PPS_HH,EEA30_2007,:,:,:,:,32389 i,:,:
Annual,2.0,PPS_HH,EFTA,:,:,:,:,47414 u,:,:
Annual,2.0,PPS_HH,EL,19253.0,22267.0,29445.0,41813.0,35558.0,29868.0,27196.0
Annual,2.0,PPS_HH,ES,19446.0,24196.0,24520.0,31250.0,36330.0,36107.0,32655.0
Annual,2.0,PPS_HH,EU15,:,26969.0,32700.0,37561 u,36124 i,:,:
Annual,2.0,PPS_HH,EU25,:,:,:,33949 u,33491 i,:,:
Annual,2.0,PPS_HH,EU27_2007,:,:,:,32247 u,32240 i,:,:
Annual,2.0,PPS_HH,EU27_2020,:,:,:,:,:,35011 e,35116 i
Annual,2.0,PPS_HH,FI,:,22869.0,26500.0,36280.0,40549.0,47088.0,44144.0
Annual,2.0,PPS_HH,FR,21262.0,28802.0,32306.0,36754.0,37543.0,40727.0,39757 e
Annual,2.0,PPS_HH,HR,:,:,:,22309.0,21556.0,25387.0,27633.0
Annual,2.0,PPS_HH,HU,:,:,11059.0,14377.0,16729.0,19991.0,26459.0
Annual,2.0,PPS_HH,IE,:,29335.0,37481.0,48530.0,40883.0,40200.0,39930.0
Annual,2.0,PPS_HH,IT,22551.0,28931.0,37188.0,38842.0,36442.0,37506.0,35416.0
Annual,2.0,PPS_HH,LT,:,:,9046.0,12697.0,17698.0,22441.0,24151.0
Annual,2.0,PPS_HH,LU,30991.0,44811.0,53353.0,66090.0,54420.0,60652.0,62289.0
Annual,2.0,PPS_HH,LV,:,:,7382.0,14587.0,16080.0,20854.0,23243.0
Annual,2.0,PPS_HH,ME,:,:,:,:,15491.0,20626.0,19971.0
Annual,2.0,PPS_HH,MK,:,:,:,13883.0,12186.0,12945.0,:
Annual,2.0,PPS_HH,MT,:,:,28769.0,38329.0,33834.0,38166.0,36326 e
Annual,2.0,PPS_HH,NL,22279.0,27739.0,34168.0,:,39897.0,42586.0,43962.0
Annual,2.0,PPS_HH,NO,:,:,:,:,47414.0,49965.0,43625.0
Annual,2.0,PPS_HH,PL,:,:,10725.0,13209.0,19922.0,23610.0,21787.0
Annual,2.0,PPS_HH,PT,15765.0,21267.0,24761.0,26509.0,29953.0,30649.0,29877.0
Annual,2.0,PPS_HH,RO,:,:,5000.0,6751.0,11191.0,12553.0,18805.0
Annual,2.0,PPS_HH,RS,:,:,:,:,:,17790.0,19134.0
Annual,2.0,PPS_HH,SE,:,:,29101.0,:,:,39723.0,:
Annual,2.0,PPS_HH,SI,:,:,24242.0,30533.0,33934.0,33171.0,34008.0
Annual,2.0,PPS_HH,SK,:,:,10628.0,:,18104.0,22681.0,19050.0
Annual,2.0,PPS_HH,TR,:,:,:,11100.0,17542.0,25883.0,23266.0
Annual,2.0,PPS_HH,UK,23022.0,26312.0,36792.0,40232.0,27222.0,29330.0,:
Annual,2.0,PPS_HH,XK,:,:,:,:,:,14861.0,:
Annual,GE3,PPS_AE,AT,:,12718.0,14219.0,17712.0,18611.0,20698.0,19933.0
Annual,GE3,PPS_AE,BE,8546.0,10742.0,17710.0,15255.0,18307.0,20507.0,16885.0
Annual,GE3,PPS_AE,BG,:,:,:,4164.0,4701.0,7336.0,8253.0
Annual,GE3,PPS_AE,CY,:,:,:,20775.0,23287.0,20232.0,19435 e
Annual,GE3,PPS_AE,CZ,:,:,:,7733.0,9019.0,9924.0,10283.0
Annual,GE3,PPS_AE,DE,11700.0,13463.0,15579.0,19260.0,19764.0,22069.0,24317.0
Annual,GE3,PPS_AE,DK,:,13850.0,18184.0,14156.0,19798.0,:,22656 u
Annual,GE3,PPS_AE,EA,:,12332.0,14405.0,20297 e,16899 i,:,:
Annual,GE3,PPS_AE,EA12,:,:,:,20348 e,17155 i,:,:
Annual,GE3,PPS_AE,EA13,:,:,:,20297 e,17135 i,:,:
Annual,GE3,PPS_AE,EA17,:,:,:,:,16957 i,:,:
Annual,GE3,PPS_AE,EA18,:,:,:,:,16899 i,:,:
Annual,GE3,PPS_AE,EE,:,:,:,7146.0,6325.0,8657.0,10424.0
Annual,GE3,PPS_AE,EEA28,:,:,:,18227 e,15630 i,:,:
Annual,GE3,PPS_AE,EEA30_2007,:,:,:,:,15008 i,:,:
Annual,GE3,PPS_AE,EFTA,:,:,:,18849 u,25123 u,:,:
Annual,GE3,PPS_AE,EL,7786.0,9118.0,12175.0,17289.0,18193.0,14611.0,12937.0
Annual,GE3,PPS_AE,ES,:,10213.0,9457.0,13440.0,16288.0,16220.0,14351.0
Annual,GE3,PPS_AE,EU15,:,12780.0,15398.0,20433 e,16922 i,:,:
Annual,GE3,PPS_AE,EU25,:,:,:,18221 e,15530 i,:,:
Annual,GE3,PPS_AE,EU27_2007,:,:,:,17285 e,14908 i,:,:
Annual,GE3,PPS_AE,EU27_2020,:,:,:,:,:,16200 e,16183 i
Annual,GE3,PPS_AE,FI,:,11087.0,12800.0,18013.0,18252.0,22066.0,22817.0
Annual,GE3,PPS_AE,FR,9582.0,13047.0,14612.0,16226.0,16230.0,17058.0,16652 e
Annual,GE3,PPS_AE,HR,:,:,:,9592.0,9168.0,10181.0,11702.0
Annual,GE3,PPS_AE,HU,:,:,:,6343.0,7482.0,9027.0,12781.0
Annual,GE3,PPS_AE,IE,:,13113.0,18046.0,24157.0,20341.0,19966.0,18971.0
Annual,GE3,PPS_AE,IT,9470.0,11649.0,14015.0,17911.0,14991.0,16693.0,15350.0
Annual,GE3,PPS_AE,LT,:,:,:,6046.0,9360.0,10631.0,10769.0
Annual,GE3,PPS_AE,LU,10728.0,17789.0,21662.0,24664.0,23460.0,23441.0,22504.0
Annual,GE3,PPS_AE,LV,:,:,:,5569.0,7819.0,9189.0,9558.0
Annual,GE3,PPS_AE,ME,:,:,:,:,6262.0,7020.0,7626.0
Annual,GE3,PPS_AE,MK,:,:,:,4531.0,5394.0,5524.0,:
Annual,GE3,PPS_AE,MT,:,:,:,16750.0,15871.0,17972.0,17109 e
