Time frequency,International Standard Classification of Education (ISCED 1997),Duration,Geopolitical entity (reporting)\Time,2008.0
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Greece,21.9
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Spain,42.8
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,France,46.8
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Hungary,24.8
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Latvia,13.9
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Malta,18.1
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Poland,19.5
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Romania,2.0
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Slovenia,27.3
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Slovakia,26.5
Annual,"Pre-primary, primary and lower secondary education (levels 0-2)",Less than 1 year,Türkiye,10.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Austria,5.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Belgium,12.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Bulgaria,57.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Cyprus,16.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Czechia,17.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Germany,: @C
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Estonia,35.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Greece,16.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Spain,8.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,France,5.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Hungary,10.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Latvia,40.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Malta,43.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Poland,20.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Romania,81.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Slovenia,24.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Slovakia,16.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Never,Türkiye,34.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Austria,37.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Belgium,23.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Bulgaria,12.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Cyprus,24.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Czechia,29.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Germany,22.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Estonia,14.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Greece,25.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Spain,23.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,France,28.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Hungary,29.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Latvia,20.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Malta,16.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Poland,31.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Romania,6.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Slovenia,25.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Slovakia,28.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 1 to 2 years,Türkiye,17.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Belgium,10.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Bulgaria,9.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Cyprus,8.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Czechia,7.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Germany,: @C
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Estonia,6.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Greece,9.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Spain,12.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,France,6.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Hungary,10.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Latvia,6.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Malta,8.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Poland,8.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Romania,3.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Slovenia,14.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Slovakia,10.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 2 to 3 years,Türkiye,12.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Austria,9.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Belgium,6.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Bulgaria,9.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Cyprus,11.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Czechia,3.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Germany,: @C
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Estonia,18.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Greece,8.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Spain,7.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,France,5.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Hungary,7.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Latvia,10.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Malta,11.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Poland,9.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Romania,3.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Slovenia,14.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Slovakia,11.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Over 3 years,Türkiye,9.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Austria,48.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Belgium,47.2
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Bulgaria,11.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Cyprus,38.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Czechia,41.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Germany,47.5
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Estonia,25.6
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Greece,39.7
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Spain,48.1
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,France,53.9
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Hungary,42.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Latvia,22.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Malta,20.8
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Poland,30.3
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Romania,4.4
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Slovenia,22.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Slovakia,33.0
Annual,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Less than 1 year,Türkiye,26.4
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Austria,6.1
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Belgium,9.9
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Bulgaria,42.4
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Cyprus,8.7
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Czechia,3.8 u
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Germany,: @C
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Estonia,28.6
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Greece,15.4
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Spain,5.7
Annual,First and second stage of tertiary education (levels 5 and 6),Never,France,3.2
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Hungary,4.5
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Latvia,26.2
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Malta,34.2 u
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Poland,11.2
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Romania,67.4
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Slovenia,14.4 u
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Slovakia,12.8
Annual,First and second stage of tertiary education (levels 5 and 6),Never,Türkiye,26.8
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Austria,40.8
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Belgium,31.6
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Bulgaria,20.3
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Cyprus,26.7
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Czechia,27.0 u
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Germany,28.4
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Estonia,11.8
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Greece,23.4
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Spain,25.3
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,France,30.8
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Hungary,26.1
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Latvia,21.9
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Malta,9.8 u
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Poland,33.5
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Romania,13.0
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Slovenia,23.4 u
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Slovakia,28.6
Annual,First and second stage of tertiary education (levels 5 and 6),From 1 to 2 years,Türkiye,20.8
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Belgium,8.0
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Bulgaria,12.0
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Cyprus,7.3
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Czechia,3.6 u
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Germany,: @C
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Estonia,8.7
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Greece,6.8
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Spain,9.2
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,France,6.4
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Hungary,18.0
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Latvia,8.4
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Malta,17.1 u
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Poland,8.0
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Romania,5.1
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Slovenia,17.6 u
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Slovakia,15.0
Annual,First and second stage of tertiary education (levels 5 and 6),From 2 to 3 years,Türkiye,7.6
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Austria,11.0
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Belgium,3.9
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Bulgaria,12.1
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Cyprus,8.4
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Czechia,4.3 u
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Germany,: @C
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Estonia,22.5
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Greece,9.0
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Spain,8.4
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,France,6.4
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Hungary,7.7
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Latvia,9.3
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Malta,12.2 u
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Poland,6.1
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Romania,6.1
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Slovenia,12.2 u
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Slovakia,11.2
Annual,First and second stage of tertiary education (levels 5 and 6),Over 3 years,Türkiye,9.9
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Austria,42.1
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Belgium,46.5
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Bulgaria,13.2
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Cyprus,48.9
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Czechia,61.4 u
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Germany,41.8
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Estonia,28.5
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Greece,45.5
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Spain,51.5
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,France,53.1
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Hungary,43.8
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Latvia,34.2
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Malta,26.8 u
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Poland,41.2
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Romania,8.5
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Slovenia,32.4 u
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Slovakia,32.4
Annual,First and second stage of tertiary education (levels 5 and 6),Less than 1 year,Türkiye,34.9
Annual,All ISCED 1997 levels,Never,Austria,10.0
Annual,All ISCED 1997 levels,Never,Belgium,10.6
Annual,All ISCED 1997 levels,Never,Bulgaria,61.0
Annual,All ISCED 1997 levels,Never,Cyprus,17.8
Annual,All ISCED 1997 levels,Never,Czechia,19.7
Annual,All ISCED 1997 levels,Never,Germany,10.0
Annual,All ISCED 1997 levels,Never,Estonia,37.4
Annual,All ISCED 1997 levels,Never,Greece,29.0
Annual,All ISCED 1997 levels,Never,Spain,8.0
Annual,All ISCED 1997 levels,Never,France,7.1
Annual,All ISCED 1997 levels,Never,Hungary,13.1
Annual,All ISCED 1997 levels,Never,Latvia,40.3
Annual,All ISCED 1997 levels,Never,Malta,48.3
Annual,All ISCED 1997 levels,Never,Poland,23.1
Annual,All ISCED 1997 levels,Never,Romania,86.6
Annual,All ISCED 1997 levels,Never,Slovenia,23.9
Annual,All ISCED 1997 levels,Never,Slovakia,18.0
Annual,All ISCED 1997 levels,Never,Türkiye,72.0
Annual,All ISCED 1997 levels,From 1 to 2 years,Austria,37.1
Annual,All ISCED 1997 levels,From 1 to 2 years,Belgium,27.2
Annual,All ISCED 1997 levels,From 1 to 2 years,Bulgaria,11.6
Annual,All ISCED 1997 levels,From 1 to 2 years,Cyprus,25.6
Annual,All ISCED 1997 levels,From 1 to 2 years,Czechia,27.4
Annual,All ISCED 1997 levels,From 1 to 2 years,Germany,23.7
Annual,All ISCED 1997 levels,From 1 to 2 years,Estonia,13.0
Annual,All ISCED 1997 levels,From 1 to 2 years,Greece,20.1
Annual,All ISCED 1997 levels,From 1 to 2 years,Spain,28.3
Annual,All ISCED 1997 levels,From 1 to 2 years,France,30.1
Annual,All ISCED 1997 levels,From 1 to 2 years,Hungary,27.3
Annual,All ISCED 1997 levels,From 1 to 2 years,Latvia,18.6
Annual,All ISCED 1997 levels,From 1 to 2 years,Malta,11.7
Annual,All ISCED 1997 levels,From 1 to 2 years,Poland,30.0
Annual,All ISCED 1997 levels,From 1 to 2 years,Romania,4.5
Annual,All ISCED 1997 levels,From 1 to 2 years,Slovenia,21.8
Annual,All ISCED 1997 levels,From 1 to 2 years,Slovakia,27.2
Annual,All ISCED 1997 levels,From 1 to 2 years,Türkiye,6.6
Annual,All ISCED 1997 levels,From 2 to 3 years,Belgium,9.5
Annual,All ISCED 1997 levels,From 2 to 3 years,Bulgaria,8.2
Annual,All ISCED 1997 levels,From 2 to 3 years,Cyprus,10.5
Annual,All ISCED 1997 levels,From 2 to 3 years,Czechia,9.1
Annual,All ISCED 1997 levels,From 2 to 3 years,Germany,: @C
Annual,All ISCED 1997 levels,From 2 to 3 years,Estonia,7.0
Annual,All ISCED 1997 levels,From 2 to 3 years,Greece,9.1
Annual,All ISCED 1997 levels,From 2 to 3 years,Spain,10.7
Annual,All ISCED 1997 levels,From 2 to 3 years,France,6.8
Annual,All ISCED 1997 levels,From 2 to 3 years,Hungary,13.3
Annual,All ISCED 1997 levels,From 2 to 3 years,Latvia,7.3
Annual,All ISCED 1997 levels,From 2 to 3 years,Malta,9.3
Annual,All ISCED 1997 levels,From 2 to 3 years,Poland,8.3
Annual,All ISCED 1997 levels,From 2 to 3 years,Romania,2.6
Annual,All ISCED 1997 levels,From 2 to 3 years,Slovenia,14.1
