Time frequency,Unit of measure,Agricultural products,Geopolitical entity (reporting)\Time,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0
Annual,Euro per hectare,Arable land,Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,68.85 e,20.02 e,25.64 e,36.73,22.88
Annual,Euro per hectare,Arable land,Sweden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,126.0
Annual,Euro per hectare,Permanent grassland,Austria,:,:,:,:,:,:,:,:,:,:,0.00 e,0.00 e,0.00 e,0.00 e,0.00 e,131.72 e,130.95 e,140.31 e,144.63 e,142.79 e,148.79 e,148.57 e,153.52 e,166.33,168.37
Annual,Euro per hectare,Permanent grassland,Belgium,117.49 e,123.82 e,128.18 e,128.58 e,129.29 e,135.53 e,137.22 e,140.36 e,149.04 e,156.85 e,164.90 e,167.74 e,164.03 e,164.57 e,171.80 e,175.30 e,175.30 e,175.00 e,184.00 e,186.00 e,191.00 e,:,:,:,:
Annual,Euro per hectare,Permanent grassland,Czechia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,31.59
Annual,Euro per hectare,Permanent grassland,Germany,:,:,:,:,:,:,:,:,:,:,:,:,116.49 e,:,119.00 e,:,121.00 e,:,121.00 e,:,121.00 e,:,:,:,:
Annual,Euro per hectare,Permanent grassland,Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,146.77 e,155.26 e,164.73 e,175.35 e,178.63 e,177.81 e,196.27 e,195.96 e,212.85,218.77
Annual,Euro per hectare,Permanent grassland,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,48.81 e,52.09 e,57.83 e,64.16 e,67.49 e,68.55 e,69.67 e,75.00 e,76.00 e,79.00 e,73.00 e,71.0
Annual,Euro per hectare,Permanent grassland,Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,14.85 e,18.46 e,21.39 e,21.42 e,27.70 e,29.40 e,38.55 e,41.99 e,42.76
Annual,Euro per hectare,Permanent grassland,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,30.12 e,33.60 e,32.15
Annual,Euro per hectare,Permanent grassland,Netherlands,169.26 e,179.10 e,199.22 e,199.16 e,192.70 e,201.12 e,214.19 e,211.00 e,255.15 e,254.83 e,255.13 e,278.07 e,242.22 e,254.16 e,263.00 e,302.00 e,352.00 e,:,:,:,:,:,:,:,:
Annual,Euro per hectare,Permanent grassland,Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,47.48 e,14.37 e,18.24 e,27.05,15.94
Annual,Euro per hectare,Permanent grassland,Sweden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,49.06
Annual,Euro per hectare,Utilised agricultural area,Austria,:,:,:,:,:,:,:,:,:,240.63 e,248.43 e,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Euro per hectare,Utilised agricultural area,Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,52.10 e,60.24 e,54.18 e,56.20 e,73.10 e,97.00 e,98.50 e,:,:,:
Annual,Euro per hectare,Utilised agricultural area,Czechia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,47.78
Annual,Euro per hectare,Utilised agricultural area,Germany,:,:,:,:,:,:,134.47 e,:,110.09 e,:,157.61 e,:,157.31 e,:,160.00 e,:,177.00 e,:,186.00 e,:,191.00 e,:,:,:,:
Annual,Euro per hectare,Utilised agricultural area,Denmark,:,:,:,:,:,238.58 e,239.80 e,245.01 e,231.30 e,247.24 e,275.38 e,297.04 e,296.78 e,290.29 e,309.19 e,412.81 e,436.52 e,463.23 e,492.95 e,502.29 e,500.01 e,551.41 e,550.69,597.77,614.54
Annual,Euro per hectare,Utilised agricultural area,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,119.52 e,130.06 e,137.68 e,139.72 e,145.48 e,154.10 e,155.02 e,162.00 e,165.00 e,167.00 e,168.00 e,163.0
Annual,Euro per hectare,Utilised agricultural area,Finland,135.70 e,139.36 e,148.67 e,170.52 e,181.24 e,189.70 e,181.72 e,151.37 e,136.79 e,150.22 e,149.78 e,144.13 e,135.36 e,145.09 e,132.00 e,136.00 e,142.00 e,145.00 e,150.00 e,156.00 e,160.00 e,165.00 e,173.65,181.56,:
Annual,Euro per hectare,Utilised agricultural area,France,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,131.5,131.4,130.7,129.7,131.2,136.9,139.9
Annual,Euro per hectare,Utilised agricultural area,Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,41.10 e,45.48 e,52.99 e,57.10 e,63.37 e,67.32 e,87.01 e,93.04 e,87.07
Annual,Euro per hectare,Utilised agricultural area,Ireland,:,:,:,:,:,:,:,:,:,:,:,:,277.30 e,195.43 e,199.70 e,219.90 e,235.20 e,211.40 e,204.40 e,204.30 e,195.40 e,184.60 e,:,:,:
Annual,Euro per hectare,Utilised agricultural area,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8.93 e,12.00 e,13.30 e,13.61 e,16.80 e,22.30 e,33.02 e,41.42 e,43.44 e,38.52
Annual,Euro per hectare,Utilised agricultural area,Luxembourg,115.69,122.47,125.05,126.36,127.94,132.04,136.65,144.13,142.33,148.07,154.15,151.25,150.99,157.92,158.78,163.11,166.21,170.35,170.66,176.26,189.29,178.58,179.09,185.26,183.7
Annual,Euro per hectare,Utilised agricultural area,Malta,:,:,:,:,:,:,:,:,:,:,8.3,8.37,19.7,19.82,20.25,37.94,38.04,37.49,35.98,35.82,35.66,35.71,83.18,83.18,83.18
Annual,Euro per hectare,Utilised agricultural area,Netherlands,:,:,:,:,:,:,:,:,:,:,:,287.34 e,277.11 e,319.69 e,359.00 e,405.00 e,443.00 e,445.00 e,445.00 e,449.00 e,429.00 e,440.00 e,460.00 e,469.00 e,482.0
Annual,Euro per hectare,Utilised agricultural area,Sweden,:,:,:,:,:,91.48 e,:,:,77.84 e,80.10 e,80.26 e,92.90 e,96.63 e,96.68 e,100.26 e,106.57 e,103.94 e,107.85 e,109.71 e,109.93 e,107.73 e,109.89 e,127.13,125.63,112.82
Annual,Euro per hectare,Utilised agricultural area,Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,13.43,13.16,13.33 e,13.67,14.19,14.71,15.25 e,16.81 e,18.17,18.85
Annual,Euro per hectare,Utilised agricultural area,United Kingdom,:,:,:,:,:,:,:,:,:,:,:,:,:,186.76 e,188.27 e,201.68 e,201.18 e,197.54 e,:,181.48 e,:,175.80 e,205.26 e,:,:
Annual,Euro per hectare,Utilised agricultural area,England and Wales,148.36 e,137.97 e,136.05 e,145.72 e,144.24 e,137.86 e,142.37 e,135.90 e,129.13 e,131.40 e,127.87 e,138.66 e,176.14 e,186.76 e,188.27 e,201.68 e,201.18 e,197.54 e,:,175.85 e,:,:,:,:,:
Annual,Euro per hectare,Utilised agricultural area,Wales (NUTS 2021),77.69 e,69.51 e,67.32 e,74.76 e,76.18 e,74.01 e,77.47 e,76.07 e,74.55 e,79.49 e,79.97 e,84.23 e,113.22 e,115.13 e,120.17 e,135.80 e,:,:,:,:,:,:,:,:,:
Annual,Euro per hectare,Utilised agricultural area,Scotland (NUTS 2021),97.03 e,89.66 e,89.13 e,96.58 e,66.17 e,63.12 e,75.42 e,82.49 e,83.24 e,102.72 e,102.57 e,115.20 e,144.30 e,46.01 e,43.61 e,46.91 e,46.91 e,45.39 e,42.33 e,45.83 e,43.59 e,:,:,:,:
Annual,Euro per hectare,Utilised agricultural area,Northern Ireland (UK) (NUTS 2021),261.47 e,230.81 e,222.83 e,225.76 e,231.69 e,226.94 e,221.11 e,215.55 e,215.39 e,234.57 e,235.28 e,266.65 e,303.33 e,303.06 e,297.54 e,298.62 e,295.88 e,276.70 e,239.89 e,243.13 e,241.30 e,:,:,:,:
Annual,National currency per hectare,Arable land,Austria,:,:,:,:,:,:,:,:,:,:,238.00 e,244.91 e,245.63 e,245.05 e,244.18 e,241.98 e,244.13 e,266.57 e,267.45 e,273.82 e,282.35 e,286.16 e,305.13 e,321.17,326.06
Annual,National currency per hectare,Arable land,Belgium,133.12 e,136.89 e,139.74 e,141.22 e,144.70 e,147.25 e,148.12 e,150.92 e,155.75 e,158.01 e,164.25 e,171.86 e,175.63 e,179.65 e,184.80 e,188.30 e,188.30 e,189.00 e,197.00 e,200.00 e,203.00 e,:,:,:,:
Annual,National currency per hectare,Arable land,Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,143.00 e,190.00 e,193.00 e,200.00 e,225.00 e,252.0
Annual,National currency per hectare,Arable land,Czechia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1421.0
Annual,National currency per hectare,Arable land,Germany,:,:,:,:,:,:,:,:,:,:,:,:,165.00 e,:,173.00 e,:,182.00 e,:,193.00 e,:,197.00 e,:,:,:,:
Annual,National currency per hectare,Arable land,Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2565.00 e,2711.00 e,2870.00 e,3054.00 e,3116.00 e,3106.00 e,3579.00 e,3571.00 e,3879.0,3982.0
Annual,National currency per hectare,Arable land,Greece,135.16 e,158.63 e,176.45 e,194.28 e,213.42 e,237.21 e,263.30 e,285.60 e,305.19 e,335.29 e,367.66 e,389.20 e,406.56 e,413.11 e,416.62 e,441.21 e,455.01 e,477.44 e,501.69 e,516.70 e,515.00 e,502.20 e,508.30 e,501.70 e,:
Annual,National currency per hectare,Arable land,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,140.52 e,152.49 e,160.65 e,161.46 e,167.91 e,178.71 e,179.57 e,187.00 e,191.00 e,192.00 e,195.00 e,189.0
Annual,National currency per hectare,Arable land,Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,155.63 e,:,:,:,:,200.0
Annual,National currency per hectare,Arable land,France,98.80 e,102.00 e,104.20 e,106.30 e,108.50 e,110.60 e,112.80 e,114.90 e,117.10 e,119.20 e,120.60 e,122.20 e,124.70 e,128.80 e,132.00 e,131.90 e,131.20 e,132.00 e,:,:,:,:,:,:,:
Annual,National currency per hectare,Arable land,Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11122.00 e,11778.00 e,14226.00 e,15290.00 e,16580.00 e,18780.00 e,23140.00 e,24760.00 e,25880.0
Annual,National currency per hectare,Arable land,Malta,:,:,:,:,:,:,:,:,:,:,8.92,8.92,20.08,20.08,20.08,35.71,35.71,35.71,35.71,35.71,35.71,83.18,83.18,83.18,83.18
Annual,National currency per hectare,Arable land,Netherlands,238.23 e,242.77 e,254.12 e,258.65 e,258.65 e,260.92 e,265.46 e,267.73 e,263.19 e,276.81 e,281.00 e,288.00 e,313.00 e,388.00 e,454.00 e,508.00 e,533.00 e,:,:,:,:,:,:,:,:
Annual,National currency per hectare,Arable land,Norway,:,:,:,:,:,:,:,:,:,:,2250.00 e,2170.00 e,2430.00 e,2490.00 e,2580.00 e,2620.00 e,2400.00 e,2510.00 e,2360.00 e,2500.00 e,2760.00 e,2750.00 e,:,:,:
Annual,National currency per hectare,Arable land,Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,277.00 e,78.00 e,97.00 e,129.0,99.0
Annual,National currency per hectare,Arable land,Sweden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1338.0
Annual,National currency per hectare,Permanent grassland,Austria,:,:,:,:,:,:,:,:,:,:,0.00 e,0.00 e,0.00 e,0.00 e,0.00 e,131.72 e,130.95 e,140.31 e,144.63 e,142.79 e,148.79 e,148.57 e,153.52 e,166.33,168.37
Annual,National currency per hectare,Permanent grassland,Belgium,130.81 e,134.43 e,136.76 e,138.42 e,139.04 e,142.54 e,143.63 e,144.72 e,149.53 e,154.19 e,157.59 e,163.41 e,164.82 e,165.72 e,171.80 e,175.30 e,175.30 e,175.00 e,184.00 e,186.00 e,191.00 e,:,:,:,:
Annual,National currency per hectare,Permanent grassland,Czechia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,835.0
Annual,National currency per hectare,Permanent grassland,Germany,:,:,:,:,:,:,:,:,:,:,:,:,117.00 e,:,119.00 e,:,121.00 e,:,121.00 e,:,121.00 e,:,:,:,:
Annual,National currency per hectare,Permanent grassland,Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1094.00 e,1157.00 e,1224.00 e,1303.00 e,1329.00 e,1325.00 e,1464.00 e,1460.00 e,1587.0,1629.0
Annual,National currency per hectare,Permanent grassland,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,49.04 e,52.09 e,57.83 e,64.16 e,67.49 e,68.55 e,69.67 e,75.00 e,76.00 e,79.00 e,73.00 e,71.0
Annual,National currency per hectare,Permanent grassland,Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3810.00 e,4484.00 e,5426.00 e,5390.00 e,6870.00 e,7770.00 e,9690.00 e,10560.00 e,11987.0
Annual,National currency per hectare,Permanent grassland,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,104.00 e,116.00 e,111.0
Annual,National currency per hectare,Permanent grassland,Netherlands,192.86 e,195.13 e,211.01 e,211.01 e,204.20 e,211.01 e,224.62 e,217.81 e,251.85 e,249.58 e,243.00 e,270.00 e,243.00 e,256.00 e,263.00 e,302.00 e,352.00 e,:,:,:,:,:,:,:,:
Annual,National currency per hectare,Permanent grassland,Norway,:,:,:,:,:,:,:,:,:,:,1840.00 e,1870.00 e,2010.00 e,1980.00 e,2090.00 e,2130.00 e,1680.00 e,1720.00 e,1690.00 e,1840.00 e,1830.00 e,2020.00 e,:,:,:
Annual,National currency per hectare,Permanent grassland,Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,191.00 e,56.00 e,69.00 e,95.0,69.0
Annual,National currency per hectare,Permanent grassland,Sweden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,521.0
Annual,National currency per hectare,Utilised agricultural area,Austria,:,:,:,:,:,:,:,:,:,236.77 e,238.00 e,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,National currency per hectare,Utilised agricultural area,Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,101.70 e,117.35 e,105.61 e,109.53 e,142.78 e,189.72 e,192.65 e,:,:,:
Annual,National currency per hectare,Utilised agricultural area,Czechia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1263.0
Annual,National currency per hectare,Utilised agricultural area,Germany,:,:,:,:,:,:,141.00 e,:,109.00 e,:,151.00 e,:,158.00 e,:,160.00 e,:,177.00 e,:,186.00 e,:,191.00 e,:,:,:,:
Annual,National currency per hectare,Utilised agricultural area,Denmark,:,:,:,:,:,1874.38 e,1896.51 e,1913.31 e,1756.38 e,1865.03 e,2018.00 e,2186.00 e,2221.00 e,2177.00 e,2299.00 e,3077.00 e,3253.00 e,3442.00 e,3663.00 e,3737.00 e,3726.00 e,4113.00 e,4103.0,4457.0,4576.0
Annual,National currency per hectare,Utilised agricultural area,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,120.09 e,130.06 e,137.68 e,139.72 e,145.48 e,154.10 e,155.02 e,162.00 e,165.00 e,167.00 e,168.00 e,163.0
Annual,National currency per hectare,Utilised agricultural area,Finland,107.14 e,116.72 e,126.65 e,141.78 e,143.97 e,154.90 e,152.88 e,147.84 e,154.06 e,156.41 e,143.80 e,141.28 e,133.88 e,145.99 e,132.00 e,136.00 e,142.00 e,145.00 e,150.00 e,156.00 e,160.00 e,165.00 e,173.65,181.56,:
Annual,National currency per hectare,Utilised agricultural area,France,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,131.5,131.4,130.7,129.7,131.2,136.9,139.9
Annual,National currency per hectare,Utilised agricultural area,Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,10546.00 e,11050.00 e,13440.00 e,14370.00 e,15720.00 e,17790.00 e,21870.00 e,23400.00 e,24407.0
Annual,National currency per hectare,Utilised agricultural area,Ireland,:,:,:,:,:,:,:,:,:,:,:,:,263.20 e,195.10 e,199.70 e,219.90 e,235.20 e,211.40 e,204.40 e,204.30 e,195.40 e,184.60 e,:,:,:
Annual,National currency per hectare,Utilised agricultural area,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,33.00 e,43.00 e,46.00 e,47.00 e,58.00 e,77.00 e,114.00 e,143.00 e,150.00 e,133.0
Annual,National currency per hectare,Utilised agricultural area,Luxembourg,128.81 e,132.97 e,133.42 e,136.04 e,137.58 e,138.87 e,143.03 e,148.61 e,142.79 e,145.56 e,147.32 e,147.35 e,151.71 e,159.02 e,158.78 e,163.11 e,166.21 e,170.35,170.66 e,176.26 e,189.29 e,178.58 e,179.09 e,185.26 e,183.7
Annual,National currency per hectare,Utilised agricultural area,Malta,:,:,:,:,:,:,:,:,:,:,8.92 e,8.92 e,20.08 e,20.08 e,20.08 e,35.71 e,35.71 e,35.71 e,35.71 e,35.71 e,35.71 e,35.71 e,83.18,83.18,83.18
Annual,National currency per hectare,Utilised agricultural area,Netherlands,:,:,:,:,:,:,:,:,:,:,:,279.00 e,278.00 e,322.00 e,359.00 e,405.00 e,443.00 e,445.00 e,445.00 e,449.00 e,429.00 e,440.00 e,460.00 e,469.00 e,482.0
Annual,National currency per hectare,Utilised agricultural area,Sweden,:,:,:,:,:,688.00 e,:,:,710.00 e,734.00 e,749.00 e,791.00 e,836.00 e,862.00 e,883.00 e,900.00 e,962.00 e,988.00 e,1001.00 e,1003.00 e,1000.00 e,1017.00 e,1176.0,1208.0,1198.0
Annual,National currency per hectare,Utilised agricultural area,Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,18.99,18.92,18.89 e,18.83,18.85,18.85,18.85 e,18.85 e,18.85,18.85
Annual,National currency per hectare,Utilised agricultural area,United Kingdom,:,:,:,:,:,:,:,:,:,:,:,:,:,126.33 e,124.02 e,122.92 e,125.11 e,124.22 e,:,123.16 e,:,119.85 e,140.47 e,:,:
Annual,National currency per hectare,Utilised agricultural area,England and Wales,87.38 e,92.65 e,95.86 e,96.82 e,97.12 e,98.41 e,99.80 e,100.25 e,100.72 e,101.95 e,105.98 e,112.84 e,121.94 e,126.33 e,124.02 e,122.92 e,125.11 e,124.22 e,:,119.34 e,:,:,:,:,:
Annual,National currency per hectare,Utilised agricultural area,Wales (NUTS 2021),45.76 e,46.68 e,47.43 e,49.67 e,51.29 e,52.83 e,54.31 e,56.11 e,58.15 e,61.68 e,66.28 e,68.55 e,78.38 e,77.88 e,79.16 e,82.77 e,:,:,:,:,:,:,:,:,:
Annual,National currency per hectare,Utilised agricultural area,Scotland (NUTS 2021),57.15 e,60.21 e,62.80 e,64.17 e,44.55 e,45.06 e,52.87 e,60.85 e,64.93 e,79.70 e,85.01 e,93.75 e,99.90 e,31.12 e,28.73 e,28.59 e,29.17 e,28.54 e,29.29 e,31.10 e,29.81 e,:,:,:,:
Annual,National currency per hectare,Utilised agricultural area,Northern Ireland (UK) (NUTS 2021),154.00 e,155.00 e,157.00 e,150.00 e,156.00 e,162.00 e,155.00 e,159.00 e,168.00 e,182.00 e,195.00 e,217.00 e,210.00 e,205.00 e,196.00 e,182.00 e,184.00 e,174.00 e,166.00 e,165.00 e,165.00 e,:,:,:,:
