Time frequency,Unit of measure,Modalities of the variable for the ad-hoc module,Age class,Sex,Geopolitical entity (reporting)\Time,2012.0
Annual,Percentage,Yes,From 50 to 69 years,Females,Greece,16.2
Annual,Percentage,Yes,From 50 to 69 years,Females,Spain,54.9
Annual,Percentage,Yes,From 50 to 69 years,Females,European Union - 27 countries (from 2020),38.3
Annual,Percentage,Yes,From 50 to 69 years,Females,European Union - 28 countries (2013-2020),34.6
Annual,Percentage,Yes,From 50 to 69 years,Females,Finland,26.6
Annual,Percentage,Yes,From 50 to 69 years,Females,France,45.0
Annual,Percentage,Yes,From 50 to 69 years,Females,Croatia,55.1
Annual,Percentage,Yes,From 50 to 69 years,Females,Hungary,55.5
Annual,Percentage,Yes,From 50 to 69 years,Females,Ireland,71.7
Annual,Percentage,Yes,From 50 to 69 years,Females,Iceland,48.7
Annual,Percentage,Yes,From 50 to 69 years,Females,Italy,47.6
Annual,Percentage,Yes,From 50 to 69 years,Females,Lithuania,17.6
Annual,Percentage,Yes,From 50 to 69 years,Females,Luxembourg,36.9
Annual,Percentage,Yes,From 50 to 69 years,Females,Latvia,36.1
Annual,Percentage,Yes,From 50 to 69 years,Females,Malta,24.4 u
Annual,Percentage,Yes,From 50 to 69 years,Females,Netherlands,48.5
Annual,Percentage,Yes,From 50 to 69 years,Females,Poland,38.9
Annual,Percentage,Yes,From 50 to 69 years,Females,Portugal,52.1
Annual,Percentage,Yes,From 50 to 69 years,Females,Romania,19.5
Annual,Percentage,Yes,From 50 to 69 years,Females,Sweden,48.7
Annual,Percentage,Yes,From 50 to 69 years,Females,Slovenia,39.0
Annual,Percentage,Yes,From 50 to 69 years,Females,Slovakia,20.9
Annual,Percentage,Yes,From 50 to 69 years,Females,United Kingdom,14.5
Annual,Percentage,Yes,From 50 to 69 years,Males,Austria,68.0
Annual,Percentage,Yes,From 50 to 69 years,Males,Belgium,48.3
Annual,Percentage,Yes,From 50 to 69 years,Males,Bulgaria,6.2
Annual,Percentage,Yes,From 50 to 69 years,Males,Switzerland,35.6
Annual,Percentage,Yes,From 50 to 69 years,Males,Cyprus,21.6
Annual,Percentage,Yes,From 50 to 69 years,Males,Czechia,7.4
Annual,Percentage,Yes,From 50 to 69 years,Males,Denmark,10.2 u
Annual,Percentage,Yes,From 50 to 69 years,Males,Euro area - 19 countries  (2015-2022),54.7
Annual,Percentage,Yes,From 50 to 69 years,Males,Estonia,11.2 u
Annual,Percentage,Yes,From 50 to 69 years,Males,Greece,8.8
Annual,Percentage,Yes,From 50 to 69 years,Males,Spain,61.4
Annual,Percentage,Yes,From 50 to 69 years,Males,European Union - 27 countries (from 2020),50.0
Annual,Percentage,Yes,From 50 to 69 years,Males,European Union - 28 countries (2013-2020),47.4
Annual,Percentage,Yes,From 50 to 69 years,Males,Finland,26.2
Annual,Percentage,Yes,From 50 to 69 years,Males,France,42.7
Annual,Percentage,Yes,From 50 to 69 years,Males,Croatia,56.6
Annual,Percentage,Yes,From 50 to 69 years,Males,Hungary,47.4
Annual,Percentage,Yes,From 50 to 69 years,Males,Ireland,66.6
Annual,Percentage,Yes,From 50 to 69 years,Males,Iceland,37.4
Annual,Percentage,Yes,From 50 to 69 years,Males,Italy,88.3
Annual,Percentage,Yes,From 50 to 69 years,Males,Lithuania,21.6
Annual,Percentage,Yes,From 50 to 69 years,Males,Luxembourg,47.1
Annual,Percentage,Yes,From 50 to 69 years,Males,Latvia,33.4
Annual,Percentage,Yes,From 50 to 69 years,Males,Malta,36.2
Annual,Percentage,Yes,From 50 to 69 years,Males,Netherlands,59.8
Annual,Percentage,Yes,From 50 to 69 years,Males,Poland,53.3
Annual,Percentage,Yes,From 50 to 69 years,Males,Portugal,61.5
Annual,Percentage,Yes,From 50 to 69 years,Males,Romania,24.1
Annual,Percentage,Yes,From 50 to 69 years,Males,Sweden,43.5
Annual,Percentage,Yes,From 50 to 69 years,Males,Slovenia,40.4
Annual,Percentage,Yes,From 50 to 69 years,Males,Slovakia,40.6
Annual,Percentage,Yes,From 50 to 69 years,Males,United Kingdom,31.7
Annual,Percentage,Yes,From 50 to 69 years,Total,Austria,58.5
Annual,Percentage,Yes,From 50 to 69 years,Total,Belgium,45.7
Annual,Percentage,Yes,From 50 to 69 years,Total,Bulgaria,5.2
Annual,Percentage,Yes,From 50 to 69 years,Total,Switzerland,34.9
Annual,Percentage,Yes,From 50 to 69 years,Total,Cyprus,21.1
Annual,Percentage,Yes,From 50 to 69 years,Total,Czechia,5.3
Annual,Percentage,Yes,From 50 to 69 years,Total,Denmark,12.1 u
Annual,Percentage,Yes,From 50 to 69 years,Total,Euro area - 19 countries  (2015-2022),49.7
Annual,Percentage,Yes,From 50 to 69 years,Total,Estonia,10.9
Annual,Percentage,Yes,From 50 to 69 years,Total,Greece,11.8
Annual,Percentage,Yes,From 50 to 69 years,Total,Spain,59.3
Annual,Percentage,Yes,From 50 to 69 years,Total,European Union - 27 countries (from 2020),44.4
Annual,Percentage,Yes,From 50 to 69 years,Total,European Union - 28 countries (2013-2020),41.2
Annual,Percentage,Yes,From 50 to 69 years,Total,Finland,26.4
Annual,Percentage,Yes,From 50 to 69 years,Total,France,43.7
Annual,Percentage,Yes,From 50 to 69 years,Total,Croatia,55.8
Annual,Percentage,Yes,From 50 to 69 years,Total,Hungary,52.2
Annual,Percentage,Yes,From 50 to 69 years,Total,Ireland,68.4
Annual,Percentage,Yes,From 50 to 69 years,Total,Iceland,42.4
Annual,Percentage,Yes,From 50 to 69 years,Total,Italy,73.5
