Time frequency,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,"Current prices, euro per capita",Ukraine,1519.4,1905.7,2334.5,2778.8,1892.2,2319.3,2661.3,3115.9,3154.2,2348.2 d,1915.6 d,1975.8 d,2338.7 d,2620.4 d,3268.6 d,3285.0 d,4077.0 d,3726.0 di
Annual,"Current prices, million euro",Armenia,3932.2 d,5096.3 d,6732.0 d,7925.2 d,6192.3 d,6975.8 d,7283.2 d,8262.3,8372.5,8745.8,9505.5,9527.7,10205.4,10542.7,12162.3,11072.7,11721.7,18448.9
Annual,"Current prices, million euro",Azerbaijan,10603.3,16713.8,24126.3,33174.0,31738.9,39952.0,47377.4,54180.2,55826.1,56581.1 p,47785.6,34217.8,36213.7,39858.7,43019.5,37407.5,46312.1,74642.1
Annual,"Current prices, million euro",Belarus,24265.2 d,29444.3 d,33082.0 d,41403.2 d,36570.6,43157.0,47767.4,51116.6,56922.4,59360.8,51055.2,43148.8,48546.2,50852.1,57533.6,52959.9 p,:,:
Annual,"Current prices, million euro",Georgia,5142.0 d,6186.6 d,7434.2 d,8715.5 d,7717.0 d,9229.2 d,10854.7 d,12823.6 d,12941.5 d,13265.7 d,13463.9 d,13692.5 d,14392.2 d,14909.7 d,15609.5 d,13870.5 d,15732.4 d,23302.9 d
Annual,"Current prices, million euro",Moldova,2398.5 d,2713.7 d,3218.9 d,4114.8 d,3892.5 d,5260.9 bd,6046.0 d,6777.5 d,7147.3 d,7082.6 bd,7021.7 d,7209.8 d,8450.4,9527.3 d,10483.6 d,10116.4 d,11568.6 d,13780.5 d
Annual,"Current prices, million euro",Ukraine,71570.2,89163.4,108574.6,128544.2,87141.3,106388.7,121638.0,142066.0,143482.4,100975.2 d,82073.9 d,84312.6 d,99360.5 d,110764.8 d,137372.9 d,137132.8 d,168710.0 d,152758.0 d
Annual,"Current prices, million units of national currency",Armenia,2242880.9 d,2656189.8 d,3149283.4 d,3568227.6 d,3141651.0 d,3460202.7 d,3777945.6 d,4266460.5,4555638.2,4828626.3,5043633.2,5067293.5,5564493.3,6017035.2,6543321.8,6181902.6,6991777.8,8501435.5
Annual,"Current prices, million units of national currency",Azerbaijan,12522.5,18746.2,28360.5,40137.2,35601.5,42465.0 p,52082.0,54743.7,58182.0 p,59014.1,54380.0,60425.2,70337.8,80092.0,81896.2,72578.1,93203.2,133825.8
Annual,"Current prices, million units of national currency",Belarus,65067117.0 d,79266985.0 d,97165282.0 d,129790773.0 d,142091324.0 d,170465804.0 d,307245008.0 d,547616743.0 d,670688471.0 d,805792707.0 d,899098124.0 d,94949.0 b,105748.2,122319.7,134732.1,147006.0 p,:,:
Annual,"Current prices, million units of national currency",Georgia,11620.9 d,13789.9 d,16993.8 d,19074.9 d,17986.0 d,21821.6 d,25478.7 d,27227.3 d,28593.0 d,31124.1 d,33935.0 d,35836.0 d,40761.7 d,44599.3 d,49252.7 d,49266.7 d,60003.3 d,71754.2 d
Annual,"Current prices, million units of national currency",Moldova,37652.0 d,44754.0 d,53430.0 d,62922.0 d,60430.0 d,86275.4 bd,98772.8 d,105480.2 d,119532.9 d,131964.3 bd,146740.2 d,159010.4 d,176007.3,189062.6 d,206256.2 d,199733.7 d,242078.6 d,274207.5 d
Annual,"Current prices, million units of national currency",Ukraine,457325.0,565018.0,751106.0,990819.0,947042.0,1120585.0,1349178.0,1459096.0,1522657.0,1586915.0 d,1988544.0 d,2385367.0 d,2981227.0 d,3560302.0 d,3977198.0 d,4222026.0 d,5450849.0 d,5191028.0 d
