Time frequency,Unit of measure,Weight,Motor energy,Geopolitical entity (reporting)\Time,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0
Annual,Number,1 500 kg or over,Liquefied petroleum gases (LPG),Croatia,:,: m,4.0,: m,4.0,: m,: m
Annual,Number,1 500 kg or over,Liquefied petroleum gases (LPG),Hungary,0.0,0.0,0.0,:,0.0,:,:
Annual,Number,1 500 kg or over,Liquefied petroleum gases (LPG),Italy,:,:,0.0,0.0,0.0,0.0,1.0
Annual,Number,1 500 kg or over,Liquefied petroleum gases (LPG),Liechtenstein,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Number,1 500 kg or over,Liquefied petroleum gases (LPG),Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Number,1 500 kg or over,Liquefied petroleum gases (LPG),Luxembourg,0.0,0.0,0.0,:,:,:,:
Annual,Number,1 500 kg or over,Liquefied petroleum gases (LPG),Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,1 500 kg or over,Liquefied petroleum gases (LPG),Malta,:,:,0.0,0.0,0.0,0.0,0.0
Annual,Number,1 500 kg or over,Liquefied petroleum gases (LPG),Norway,0.0,5.0,3.0,30.0,41.0,6.0,6.0
Annual,Number,1 500 kg or over,Liquefied petroleum gases (LPG),Poland,73.0,45.0,30.0,17.0,14.0,17.0,19.0
Annual,Number,1 500 kg or over,Liquefied petroleum gases (LPG),Romania,:,:,:,:,:,1.0,:
Annual,Number,1 500 kg or over,Liquefied petroleum gases (LPG),Sweden,1.0,0.0,0.0,0.0,:,0.0,:
Annual,Number,1 500 kg or over,Other,Austria,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Annual,Number,1 500 kg or over,Other,Switzerland,0.0,0.0,0.0,0.0,0.0,0 e,0 n
Annual,Number,1 500 kg or over,Other,Cyprus,: m,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,1 500 kg or over,Other,Germany,60.0,12.0,14.0,55.0,14.0,89.0,29.0
Annual,Number,1 500 kg or over,Other,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,1 500 kg or over,Other,Spain,21.0,172.0,18.0,294.0,135.0,97.0,19.0
Annual,Number,1 500 kg or over,Other,Finland,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Annual,Number,1 500 kg or over,Other,France,2.0,10.0,17.0,28.0,:,:,:
Annual,Number,1 500 kg or over,Other,Croatia,:,: m,: m,: m,: m,: m,: m
Annual,Number,1 500 kg or over,Other,Hungary,0.0,0.0,0.0,:,:,:,:
Annual,Number,1 500 kg or over,Other,Italy,:,:,6.0,1.0,0.0,0.0,0.0
Annual,Number,1 500 kg or over,Other,Liechtenstein,0.0,0.0,1.0,0.0,0.0,:,:
Annual,Number,1 500 kg or over,Other,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Number,1 500 kg or over,Other,Luxembourg,0.0,13.0,14.0,:,:,:,:
Annual,Number,1 500 kg or over,Other,Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,1 500 kg or over,Other,Malta,:,:,0.0,0.0,0.0,7.0,0.0
Annual,Number,1 500 kg or over,Other,Norway,1.0,0.0,2.0,1.0,6.0,1.0,8.0
Annual,Number,1 500 kg or over,Other,Poland,6.0,12.0,: m,3.0,5.0,7.0,17.0
Annual,Number,1 500 kg or over,Other,Sweden,0.0,1.0,1.0,1.0,:,14.0,:
Annual,Number,1 500 kg or over,Total,Austria,2.0,2.0,12.0,5.0,15.0,0.0,7.0
Annual,Number,1 500 kg or over,Total,Switzerland,0.0,0.0,0.0,0.0,0.0,0 e,0 n
Annual,Number,1 500 kg or over,Total,Cyprus,: m,1.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,1 500 kg or over,Total,Germany,174.0,27.0,61.0,196.0,81.0,161.0,106.0
Annual,Number,1 500 kg or over,Total,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,1 500 kg or over,Total,Finland,2.0,5.0,3.0,0.0,0.0,0.0,2.0
Annual,Number,1 500 kg or over,Total,France,199.0,74.0,136.0,228.0,:,:,:
Annual,Number,1 500 kg or over,Total,Croatia,:,: m,4.0,: m,5.0,: m,: m
Annual,Number,1 500 kg or over,Total,Hungary,0.0,0.0,0.0,:,:,:,:
Annual,Number,1 500 kg or over,Total,Italy,:,:,:,:,15.0,17.0,23.0
Annual,Number,1 500 kg or over,Total,Liechtenstein,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Number,1 500 kg or over,Total,Lithuania,0.0,0.0,0.0,0.0,1.0,0.0,:
Annual,Number,1 500 kg or over,Total,Luxembourg,0.0,13.0,14.0,:,:,:,:
Annual,Number,1 500 kg or over,Total,Latvia,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Annual,Number,1 500 kg or over,Total,Malta,:,:,0.0,0.0,0.0,7.0,0.0
Annual,Number,1 500 kg or over,Total,Norway,1.0,5.0,5.0,31.0,47.0,7.0,14.0
Annual,Number,1 500 kg or over,Total,Poland,: m,: m,30.0,:,:,24.0,36.0
Annual,Number,1 500 kg or over,Total,Romania,:,:,:,:,:,1.0,:
Annual,Number,1 500 kg or over,Total,Sweden,63.0,46.0,44.0,74.0,:,64.0,:
Annual,Number,Less than 1 500 kg,Electricity,Austria,0.0,0.0,0.0,4.0,11.0,51.0,292.0
Annual,Number,Less than 1 500 kg,Electricity,Switzerland,0.0,0.0,0.0,0.0,0.0,0 e,100 u
Annual,Number,Less than 1 500 kg,Electricity,Cyprus,: m,1.0,1.0,0.0,1.0,1.0,0.0
Annual,Number,Less than 1 500 kg,Electricity,Germany,21.0,16.0,39.0,66.0,201.0,355.0,1127.0
Annual,Number,Less than 1 500 kg,Electricity,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Less than 1 500 kg,Electricity,Finland,2.0,0.0,2.0,1.0,3.0,0.0,12.0
Annual,Number,Less than 1 500 kg,Electricity,France,258.0,451.0,467.0,603.0,:,:,:
Annual,Number,Less than 1 500 kg,Electricity,Croatia,:,0.0,2.0,1.0,: m,: m,1.0
Annual,Number,Less than 1 500 kg,Electricity,Hungary,0.0,0.0,0.0,:,2.0,:,:
Annual,Number,Less than 1 500 kg,Electricity,Liechtenstein,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Number,Less than 1 500 kg,Electricity,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Number,Less than 1 500 kg,Electricity,Luxembourg,1.0,0.0,0.0,:,:,:,:
Annual,Number,Less than 1 500 kg,Electricity,Latvia,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Annual,Number,Less than 1 500 kg,Electricity,Malta,:,:,0.0,0.0,0.0,1.0,0.0
Annual,Number,Less than 1 500 kg,Electricity,Norway,3.0,4.0,6.0,12.0,5.0,45.0,64.0
Annual,Number,Less than 1 500 kg,Electricity,Poland,: m,: m,:,:,:,:,:
Annual,Number,Less than 1 500 kg,Electricity,Romania,:,:,:,:,2.0,1.0,3.0
Annual,Number,Less than 1 500 kg,Electricity,Sweden,1.0,0.0,0.0,3.0,:,9.0,:
Annual,Number,Less than 1 500 kg,Natural gas,Austria,39.0,73.0,238.0,128.0,127.0,142.0,131.0
Annual,Number,Less than 1 500 kg,Natural gas,Switzerland,0.0,:,0.0,:,0.0,0 e,100 n
Annual,Number,Less than 1 500 kg,Natural gas,Cyprus,: m,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Less than 1 500 kg,Natural gas,Germany,2511.0,3418.0,2608.0,2121.0,1371.0,1284.0,1079.0
Annual,Number,Less than 1 500 kg,Natural gas,Estonia,0.0,0.0,0.0,2.0,10.0,24.0,1.0
Annual,Number,Less than 1 500 kg,Natural gas,Finland,0.0,2.0,6.0,5.0,3.0,4.0,6.0
Annual,Number,Less than 1 500 kg,Natural gas,France,23.0,14.0,49.0,219.0,:,:,:
Annual,Number,Less than 1 500 kg,Natural gas,Croatia,:,19.0,1.0,3.0,7.0,3.0,21.0
Annual,Number,Less than 1 500 kg,Natural gas,Hungary,0.0,0.0,0.0,:,:,:,:
Annual,Number,Less than 1 500 kg,Natural gas,Italy,:,:,7547.0,12241.0,18775.0,5056.0,5138.0
Annual,Number,Less than 1 500 kg,Natural gas,Liechtenstein,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Number,Less than 1 500 kg,Natural gas,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Number,Less than 1 500 kg,Natural gas,Luxembourg,3.0,13.0,15.0,:,:,:,:
Annual,Number,Less than 1 500 kg,Natural gas,Latvia,2.0,0.0,1.0,3.0,0.0,1.0,0.0
Annual,Number,Less than 1 500 kg,Natural gas,Malta,:,:,0.0,0.0,0.0,0.0,0.0
Annual,Number,Less than 1 500 kg,Natural gas,Poland,: m,: m,:,: m,:,:,:
Annual,Number,Less than 1 500 kg,Natural gas,Romania,:,:,:,:,:,4.0,11.0
Annual,Number,Less than 1 500 kg,Natural gas,Sweden,230.0,447.0,710.0,721.0,:,699.0,:
Annual,Number,Less than 1 500 kg,Liquefied petroleum gases (LPG),Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Less than 1 500 kg,Liquefied petroleum gases (LPG),Switzerland,0.0,:,0.0,:,0.0,0 e,0 n
Annual,Number,Less than 1 500 kg,Liquefied petroleum gases (LPG),Cyprus,: m,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Less than 1 500 kg,Liquefied petroleum gases (LPG),Germany,155.0,160.0,805.0,465.0,306.0,470.0,522.0
Annual,Number,Less than 1 500 kg,Liquefied petroleum gases (LPG),Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Less than 1 500 kg,Liquefied petroleum gases (LPG),Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Less than 1 500 kg,Liquefied petroleum gases (LPG),France,800.0,454.0,332.0,116.0,:,:,:
Annual,Number,Less than 1 500 kg,Liquefied petroleum gases (LPG),Croatia,:,42.0,222.0,50.0,8.0,5.0,4.0
Annual,Number,Less than 1 500 kg,Liquefied petroleum gases (LPG),Hungary,0.0,0.0,0.0,:,0.0,:,:
Annual,Number,Less than 1 500 kg,Liquefied petroleum gases (LPG),Italy,:,:,1978.0,5451.0,5698.0,3098.0,1772.0
Annual,Number,Less than 1 500 kg,Liquefied petroleum gases (LPG),Liechtenstein,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Number,Less than 1 500 kg,Liquefied petroleum gases (LPG),Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Number,Less than 1 500 kg,Liquefied petroleum gases (LPG),Luxembourg,0.0,0.0,0.0,:,:,:,:
Annual,Number,Less than 1 500 kg,Liquefied petroleum gases (LPG),Latvia,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Annual,Number,Less than 1 500 kg,Liquefied petroleum gases (LPG),Malta,:,:,0.0,0.0,0.0,0.0,0.0
Annual,Number,Less than 1 500 kg,Liquefied petroleum gases (LPG),Norway,1.0,16.0,24.0,22.0,57.0,45.0,85.0
Annual,Number,Less than 1 500 kg,Liquefied petroleum gases (LPG),Poland,2731.0,2072.0,1721.0,1484.0,2543.0,1747.0,2403.0
Annual,Number,Less than 1 500 kg,Liquefied petroleum gases (LPG),Romania,:,:,:,:,:,2.0,6.0
Annual,Number,Less than 1 500 kg,Liquefied petroleum gases (LPG),Sweden,0.0,0.0,0.0,0.0,:,0.0,:
Annual,Number,Less than 1 500 kg,Other,Austria,40.0,81.0,154.0,220.0,82.0,125.0,114.0
Annual,Number,Less than 1 500 kg,Other,Switzerland,300.0,400.0,300.0,400.0,300.0,300 e,300 n
Annual,Number,Less than 1 500 kg,Other,Cyprus,: m,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Less than 1 500 kg,Other,Germany,29.0,4.0,2.0,20.0,20.0,5.0,3.0
Annual,Number,Less than 1 500 kg,Other,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Less than 1 500 kg,Other,Spain,39.0,71.0,61.0,280.0,230.0,177.0,289.0
Annual,Number,Less than 1 500 kg,Other,Finland,5.0,4.0,1.0,0.0,0.0,0.0,0.0
Annual,Number,Less than 1 500 kg,Other,France,965.0,612.0,717.0,1427.0,:,:,:
Annual,Number,Less than 1 500 kg,Other,Croatia,:,: m,: m,: m,: m,: m,: m
Annual,Number,Less than 1 500 kg,Other,Hungary,0.0,0.0,0.0,:,:,:,:
Annual,Number,Less than 1 500 kg,Other,Italy,:,:,260.0,220.0,215.0,143.0,336.0
Annual,Number,Less than 1 500 kg,Other,Liechtenstein,4.0,3.0,9.0,0.0,0.0,:,:
Annual,Number,Less than 1 500 kg,Other,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Number,Less than 1 500 kg,Other,Luxembourg,0.0,0.0,0.0,:,:,:,:
Annual,Number,Less than 1 500 kg,Other,Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Less than 1 500 kg,Other,Malta,:,:,0.0,0.0,0.0,1.0,0.0
Annual,Number,Less than 1 500 kg,Other,Norway,5.0,2.0,4.0,14.0,15.0,5.0,9.0
Annual,Number,Less than 1 500 kg,Other,Poland,59.0,20.0,27.0,43.0,10.0,27.0,82.0
Annual,Number,Less than 1 500 kg,Other,Sweden,2.0,0.0,1.0,4.0,:,3.0,:
Annual,Number,Less than 1 500 kg,Total,Austria,79.0,154.0,292.0,352.0,220.0,318.0,537.0
Annual,Number,Less than 1 500 kg,Total,Switzerland,300.0,400.0,300.0,400.0,300.0,300 e,400 n
Annual,Number,Less than 1 500 kg,Total,Cyprus,: m,1.0,1.0,0.0,1.0,1.0,0.0
Annual,Number,Less than 1 500 kg,Total,Germany,2687.0,3594.0,3452.0,2672.0,1898.0,2114.0,2731.0
Annual,Number,Less than 1 500 kg,Total,Estonia,0.0,0.0,0.0,2.0,0.0,24.0,1.0
Annual,Number,Less than 1 500 kg,Total,Finland,7.0,6.0,9.0,6.0,6.0,4.0,13.0
Annual,Number,Less than 1 500 kg,Total,France,2046.0,1531.0,1565.0,2365.0,:,:,:
Annual,Number,Less than 1 500 kg,Total,Croatia,:,61.0,225.0,54.0,15.0,8.0,26.0
Annual,Number,Less than 1 500 kg,Total,Hungary,0.0,0.0,0.0,:,:,:,:
Annual,Number,Less than 1 500 kg,Total,Italy,:,:,:,:,24688.0,8297.0,7246.0
Annual,Number,Less than 1 500 kg,Total,Liechtenstein,4.0,3.0,2.0,4.0,0.0,:,:
Annual,Number,Less than 1 500 kg,Total,Lithuania,0.0,0.0,0.0,0.0,2.0,0.0,:
Annual,Number,Less than 1 500 kg,Total,Luxembourg,4.0,13.0,15.0,:,:,:,:
Annual,Number,Less than 1 500 kg,Total,Latvia,2.0,0.0,1.0,3.0,0.0,3.0,4.0
Annual,Number,Less than 1 500 kg,Total,Malta,:,:,0.0,0.0,0.0,2.0,0.0
Annual,Number,Less than 1 500 kg,Total,Norway,9.0,22.0,34.0,48.0,77.0,95.0,158.0
Annual,Number,Less than 1 500 kg,Total,Poland,: m,: m,1748.0,:,:,1774.0,2485.0
Annual,Number,Less than 1 500 kg,Total,Romania,:,:,:,:,2.0,7.0,20.0
Annual,Number,Less than 1 500 kg,Total,Sweden,233.0,447.0,711.0,728.0,:,711.0,:
Annual,Number,Total,Electricity,Austria,0.0,0.0,0.0,4.0,11.0,51.0,292.0
Annual,Number,Total,Electricity,Belgium,0.0,2.0,10.0,6.0,7.0,26.0,:
Annual,Number,Total,Electricity,Switzerland,0.0,0.0,0.0,0.0,0.0,0 e,200 n
Annual,Number,Total,Electricity,Cyprus,: m,2.0,1.0,1.0,1.0,1.0,0.0
Annual,Number,Total,Electricity,Germany,35.0,25.0,47.0,83.0,208.0,366.0,1132.0
Annual,Number,Total,Electricity,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Total,Electricity,Finland,2.0,0.0,2.0,1.0,3.0,0.0,12.0
Annual,Number,Total,Electricity,France,260.0,451.0,467.0,648.0,:,:,:
Annual,Number,Total,Electricity,Croatia,:,0.0,2.0,1.0,: m,: m,1.0
Annual,Number,Total,Electricity,Hungary,0.0,0.0,1.0,:,3.0,3.0,5.0
Annual,Number,Total,Electricity,Ireland,:,:,:,:,:,26.0,55.0
Annual,Number,Total,Electricity,Liechtenstein,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Number,Total,Electricity,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Number,Total,Electricity,Luxembourg,0.0,0.0,0.0,:,:,:,:
Annual,Number,Total,Electricity,Latvia,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Annual,Number,Total,Electricity,Malta,:,:,0.0,0.0,0.0,1.0,0.0
Annual,Number,Total,Electricity,Norway,3.0,4.0,6.0,12.0,5.0,45.0,64.0
Annual,Number,Total,Electricity,Poland,: m,: m,:,:,:,:,:
Annual,Number,Total,Electricity,Romania,:,:,:,:,2.0,1.0,2.0
Annual,Number,Total,Electricity,Sweden,1.0,0.0,0.0,3.0,:,9.0,:
Annual,Number,Total,Electricity,Slovenia,: m,:,:,:,:,:,:
Annual,Number,Total,Electricity,United Kingdom,170.0,225.0,253.0,189.0,246.0,272.0,:
Annual,Number,Total,Natural gas,Austria,41.0,74.0,248.0,132.0,141.0,142.0,138.0
Annual,Number,Total,Natural gas,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Number,Total,Natural gas,Switzerland,0.0,:,:,:,0.0,0 e,100 n
Annual,Number,Total,Natural gas,Cyprus,: m,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Total,Natural gas,Germany,3568.0,2528.0,2657.0,2241.0,1422.0,1343.0,1147.0
Annual,Number,Total,Natural gas,Estonia,0.0,0.0,0.0,2.0,10.0,24.0,1.0
Annual,Number,Total,Natural gas,Finland,5.0,7.0,8.0,6.0,3.0,4.0,6.0
Annual,Number,Total,Natural gas,France,208.0,78.0,167.0,354.0,:,:,:
Annual,Number,Total,Natural gas,Croatia,:,19.0,1.0,3.0,8.0,3.0,21.0
Annual,Number,Total,Natural gas,Hungary,0.0,0.0,0.0,:,:,:,:
Annual,Number,Total,Natural gas,Ireland,:,:,:,:,:,0.0,0.0
Annual,Number,Total,Natural gas,Italy,:,:,7566.0,12267.0,18790.0,5073.0,5160.0
Annual,Number,Total,Natural gas,Liechtenstein,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Number,Total,Natural gas,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Number,Total,Natural gas,Luxembourg,3.0,12.0,12.0,:,:,:,:
Annual,Number,Total,Natural gas,Latvia,2.0,1.0,1.0,3.0,0.0,2.0,0.0
Annual,Number,Total,Natural gas,Malta,:,:,0.0,0.0,0.0,0.0,0.0
Annual,Number,Total,Natural gas,Poland,: m,: m,:,: m,:,:,:
Annual,Number,Total,Natural gas,Romania,:,:,:,:,:,4.0,10.0
Annual,Number,Total,Natural gas,Sweden,292.0,492.0,753.0,794.0,:,749.0,:
Annual,Number,Total,Natural gas,Slovenia,: m,:,:,:,:,:,:
Annual,Number,Total,Natural gas,Türkiye,:,:,14.0,11.0,:,:,10.0
Annual,Number,Total,Natural gas,United Kingdom,:,:,:,:,54.0,32.0,:
Annual,Number,Total,Liquefied petroleum gases (LPG),Austria,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Annual,Number,Total,Liquefied petroleum gases (LPG),Belgium,11.0,9.0,18.0,10.0,16.0,12.0,:
Annual,Number,Total,Liquefied petroleum gases (LPG),Switzerland,0.0,:,:,:,0.0,0 e,0 n
Annual,Number,Total,Liquefied petroleum gases (LPG),Cyprus,: m,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Total,Liquefied petroleum gases (LPG),Germany,165.0,161.0,809.0,470.0,315.0,472.0,526.0
Annual,Number,Total,Liquefied petroleum gases (LPG),Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Total,Liquefied petroleum gases (LPG),Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Total,Liquefied petroleum gases (LPG),France,810.0,454.0,303.0,116.0,:,:,:
Annual,Number,Total,Liquefied petroleum gases (LPG),Croatia,:,42.0,226.0,50.0,12.0,5.0,4.0
Annual,Number,Total,Liquefied petroleum gases (LPG),Hungary,0.0,0.0,0.0,:,:,:,:
Annual,Number,Total,Liquefied petroleum gases (LPG),Ireland,:,:,:,:,:,0.0,0.0
Annual,Number,Total,Liquefied petroleum gases (LPG),Italy,:,:,1978.0,5451.0,5698.0,3098.0,1773.0
Annual,Number,Total,Liquefied petroleum gases (LPG),Liechtenstein,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Number,Total,Liquefied petroleum gases (LPG),Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Number,Total,Liquefied petroleum gases (LPG),Luxembourg,0.0,0.0,0.0,:,:,:,:
Annual,Number,Total,Liquefied petroleum gases (LPG),Latvia,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Annual,Number,Total,Liquefied petroleum gases (LPG),Malta,:,:,0.0,0.0,0.0,0.0,0.0
Annual,Number,Total,Liquefied petroleum gases (LPG),Norway,1.0,21.0,27.0,52.0,98.0,51.0,91.0
Annual,Number,Total,Liquefied petroleum gases (LPG),Poland,2804.0,2117.0,1751.0,1501.0,2557.0,1747.0,2403.0
Annual,Number,Total,Liquefied petroleum gases (LPG),Romania,:,:,:,:,:,3.0,5.0
Annual,Number,Total,Liquefied petroleum gases (LPG),Sweden,1.0,0.0,0.0,0.0,:,0.0,:
Annual,Number,Total,Liquefied petroleum gases (LPG),Slovenia,: m,:,:,:,:,:,:
Annual,Number,Total,Liquefied petroleum gases (LPG),Türkiye,451.0,212.0,682.0,735.0,:,:,:
Annual,Number,Total,Liquefied petroleum gases (LPG),United Kingdom,:,:,:,:,236.0,:,:
Annual,Number,Total,Other,Austria,40.0,82.0,155.0,221.0,83.0,125.0,114.0
Annual,Number,Total,Other,Belgium,28.0,2.0,24.0,25.0,18.0,49.0,:
Annual,Number,Total,Other,Switzerland,300.0,400.0,400.0,400.0,300.0,300 e,300 n
Annual,Number,Total,Other,Cyprus,: m,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Total,Other,Germany,89.0,16.0,16.0,75.0,34.0,94.0,32.0
Annual,Number,Total,Other,Estonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Total,Other,Spain,60.0,243.0,79.0,574.0,365.0,274.0,308.0
Annual,Number,Total,Other,Finland,2.0,4.0,0.0,0.0,4.0,10.0,12.0
Annual,Number,Total,Other,France,967.0,622.0,764.0,1475.0,:,:,:
Annual,Number,Total,Other,Croatia,:,: m,: m,: m,: m,: m,: m
Annual,Number,Total,Other,Hungary,0.0,0.0,0.0,:,:,:,:
Annual,Number,Total,Other,Ireland,:,3.0,:,:,:,21.0,0.0
Annual,Number,Total,Other,Italy,:,:,266.0,221.0,215.0,143.0,336.0
Annual,Number,Total,Other,Liechtenstein,4.0,3.0,10.0,0.0,0.0,:,:
Annual,Number,Total,Other,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,:
