Time frequency,Unit of measure,Main expenditure type,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Euro per inhabitant (at constant 2010 prices),Total,Euro area – 20 countries (from 2023),8236.19,8247.67,8300.11,8387.39,8530.81,8656.72,8730.12 p,8818.8 p,9023.58 p,9671.4 p,9691.75 p,9298.9 p
Annual,Euro per inhabitant (at constant 2010 prices),Total,Estonia,1869.69,1863.97,1886.73,1981.18,2184.52,2316.37,2333.66,2481.18,2585.92,2987.56,2938.73,2636.98
Annual,Euro per inhabitant (at constant 2010 prices),Total,Greece,4999.57,4750.84,4353.18,4321.73,4427.91,4492.9,4383.35 p,4412.73 p,4492.11 p,4745.05 p,4791.7 p,4680.58 p
Annual,Euro per inhabitant (at constant 2010 prices),Total,Spain,5704.11,5498.56,5461.79,5440.84,5494.03,5463.66,5508.69,5638.85,5847.91 p,6496.56 p,6483.74,6265.03
Annual,Euro per inhabitant (at constant 2010 prices),Total,European Union - 27 countries (from 2020),7118.17,7140.52,7212.83,7300.03,7437.34 b,7576.29,7642.46 p,7725 p,7920.82 p,8502.69 p,8549.18 p,8206.03 p
Annual,Euro per inhabitant (at constant 2010 prices),Total,Finland,10195.94,10405.02,10644.22,10824.23,10988.55,11249.65,11181.49,11198.43,11347.11,11779.86,11778.63,11408.88
Annual,Euro per inhabitant (at constant 2010 prices),Total,France,10288.18,10523.59,10670.34,10812.32,10920.68,11063.97,11158.21,11161.88,11278.0,11829.89,11869.62 p,11483.03 p
Annual,Euro per inhabitant (at constant 2010 prices),Total,Croatia,2197.78,2187.42,2149.59,2209.34,2281.04,2406.48,2481.38,2589.17,2708.54,2818.93,3042.03,3059.01
Annual,Euro per inhabitant (at constant 2010 prices),Total,Hungary,2170.05,2082.16,2110.15,2126.94,2160.31 b,2190.6,2217.95,2285.38,2268.05,2418.25,2505.52,2491.98
Annual,Euro per inhabitant (at constant 2010 prices),Total,Ireland,9064.71,8955.0,8591.99,8498.76,8576.03,8591.27,8714.64,8735.11,8899.63,10346.93,10277.31,9439.45
Annual,Euro per inhabitant (at constant 2010 prices),Total,Iceland,7611.08,7413.15,7419.58,7651.39,7865.71,8231.05,8889.9,9233.91,9616.84,10747.0,10869.34,10346.23
Annual,Euro per inhabitant (at constant 2010 prices),Total,Italy,7604.56,7504.31,7440.28,7480.1,7630.84,7651.45,7668.63,7745.93,7973.17 p,8639.96 p,8680.26 p,8407.05 p
Annual,Euro per inhabitant (at constant 2010 prices),Total,Lithuania,1681.54,1704.16,1687.94,1767.39,1858.02,1898.54,1974.75,2178.89,2358.3,2748.55 p,2795.94 p,2523.69
Annual,Euro per inhabitant (at constant 2010 prices),Total,Luxembourg,17316.1,17615.61,17970.43,18111.66,17897.51,17737.58,18045.14,18367.88,18641.75,20720.3,20424.65,20453.42
Annual,Euro per inhabitant (at constant 2010 prices),Total,Latvia,1403.78,1399.03,1488.61,1526.4,1637.71,1702.53,1747.48,1899.77,1981.4 p,2184.96 p,2572.04 p,2438.03
Annual,Euro per inhabitant (at constant 2010 prices),Total,Montenegro,:,:,:,:,:,1084.01,1094.77,1094.3,1148.74,1308.01,1282.4 p,1341.81 p
Annual,Euro per inhabitant (at constant 2010 prices),Total,North Macedonia,:,:,:,:,559.92,592.52,621.54,:,:,:,:,:
Annual,Euro per inhabitant (at constant 2010 prices),Total,Malta,3057.81,3135.38,3229.38,3381.12,3421.5,3501.77,3576.4,3579.66,3632.69,4431.88,4553.15,3995.34
Annual,Euro per inhabitant (at constant 2010 prices),Total,Netherlands,11803.08,11856.39,11806.27,11769.12,11653.46,11657.81,11623.3,11664.73,11820.89,12841.7,12598.76,11708.07
Annual,Euro per inhabitant (at constant 2010 prices),Total,Norway,16710.72,17067.43,17374.72,17721.49,18140.27,18256.55,18365.09,18343.92,18538.99,19197.63,19509.96,19292.69
Annual,Euro per inhabitant (at constant 2010 prices),Total,Poland,1841.37,1872.73,1969.99,2024.79,2133.52,2403.38,2428.77,2478.38,2809.19,3102.31,3281.69,3123.42
Annual,Euro per inhabitant (at constant 2010 prices),Total,Portugal,4256.7,4164.56,4378.85,4331.75,4297.04,4312.97,4381.0,4403.03,4552.39,4819.33,4936.44,4775.46
Annual,Euro per inhabitant (at constant 2010 prices),Total,Romania,1054.79,1003.98,1023.05,1053.33,1099.54,1157.48,1284.64,1388.68,1490.74,1704.86,1717.72,1754.71
Annual,Euro per inhabitant (at constant 2010 prices),Total,Serbia,950.45,994.55,986.2,989.37,951.02,972.1,957.1,1007.95,1068.07,1211.56,1223.06,1214.47
Annual,Euro per inhabitant (at constant 2010 prices),Total,Sweden,11345.67,11601.01,11937.5,11961.01,12266.14,12562.56,12403.09,12250.72,12149.63,12460.38 p,12517.44 p,12253.41 p
Annual,Euro per inhabitant (at constant 2010 prices),Total,Slovenia,4324.53,4212.92,4165.18,4181.72,4311.74,4383.29,4458.01,4555.43,4711.77,5305.27 p,5427.05 p,5259.72
Annual,Euro per inhabitant (at constant 2010 prices),Total,Slovakia,2248.04,2256.45,2305.61,2385.39,2436.3,2527.33,2562.95,2614.78,2665.95,2831.06,2918.43,2711.87
Annual,Euro per inhabitant (at constant 2010 prices),Total,Türkiye,1079.81,1127.8 e,1181.46,1215.01,1257.29,1398.86,1413.08,1430.3,1487.47,1575.25,1548.85,1391.83
Annual,Euro per inhabitant (at constant 2010 prices),Total,United Kingdom,8495.5,8568.0,8519.5,8474.77,8713.43,8405.93,8658.77,8505.64 p,:,:,:,:
