Time frequency,International Standard Classification of Education (ISCED 1997),Duration,Geopolitical entity (reporting)\Time,2008.0
Annual,All ISCED 1997 levels,From 2 to 3 years,Türkiye,1.5
Annual,All ISCED 1997 levels,Over 3 years,Austria,5.5
Annual,All ISCED 1997 levels,Over 3 years,Belgium,15.6
Annual,All ISCED 1997 levels,Over 3 years,Bulgaria,9.7
Annual,All ISCED 1997 levels,Over 3 years,Cyprus,14.7
Annual,All ISCED 1997 levels,Over 3 years,Czechia,6.1
Annual,All ISCED 1997 levels,Over 3 years,Germany,11.1
Annual,All ISCED 1997 levels,Over 3 years,Estonia,10.8
Annual,All ISCED 1997 levels,Over 3 years,Greece,9.8
Annual,All ISCED 1997 levels,Over 3 years,Spain,10.5
Annual,All ISCED 1997 levels,Over 3 years,France,11.4
Annual,All ISCED 1997 levels,Over 3 years,Hungary,16.3
Annual,All ISCED 1997 levels,Over 3 years,Latvia,11.8
Annual,All ISCED 1997 levels,Over 3 years,Malta,16.9
Annual,All ISCED 1997 levels,Over 3 years,Poland,13.0
Annual,All ISCED 1997 levels,Over 3 years,Romania,3.0
Annual,All ISCED 1997 levels,Over 3 years,Slovenia,13.1
Annual,All ISCED 1997 levels,Over 3 years,Slovakia,8.9
Annual,All ISCED 1997 levels,Over 3 years,Türkiye,3.3
Annual,All ISCED 1997 levels,Less than 1 year,Austria,54.1
Annual,All ISCED 1997 levels,Less than 1 year,Belgium,44.7
Annual,All ISCED 1997 levels,Less than 1 year,Bulgaria,18.0
Annual,All ISCED 1997 levels,Less than 1 year,Cyprus,35.1
Annual,All ISCED 1997 levels,Less than 1 year,Czechia,46.3
Annual,All ISCED 1997 levels,Less than 1 year,Germany,58.3
Annual,All ISCED 1997 levels,Less than 1 year,Estonia,19.3
Annual,All ISCED 1997 levels,Less than 1 year,Greece,44.9
Annual,All ISCED 1997 levels,Less than 1 year,Spain,38.9
Annual,All ISCED 1997 levels,Less than 1 year,France,48.7
Annual,All ISCED 1997 levels,Less than 1 year,Hungary,35.4
Annual,All ISCED 1997 levels,Less than 1 year,Latvia,41.7
Annual,All ISCED 1997 levels,Less than 1 year,Malta,33.2
Annual,All ISCED 1997 levels,Less than 1 year,Poland,35.8
Annual,All ISCED 1997 levels,Less than 1 year,Romania,4.4
Annual,All ISCED 1997 levels,Less than 1 year,Slovenia,38.5
Annual,All ISCED 1997 levels,Less than 1 year,Slovakia,33.1
Annual,All ISCED 1997 levels,Less than 1 year,Türkiye,7.6
