Time frequency,Unit of measure,Hazard class,Statistical classification of economic activities in the European Community (NACE Rev. 2),Waste categories,Geopolitical entity (reporting)\Time,2004.0,2006.0,2008.0,2010.0,2012.0,2014.0,2016.0,2018.0,2020.0,2022.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Latvia,556.0,838.0,687.0,714.0,1135.0,1315.0,975.0,920.0,1501.0,1330.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Montenegro,:,:,:,:,1634.0,1757.0,1820.0,1965.0,2007.0,2050.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,North Macedonia,:,:,666.0,1133.0,4111.0,1058.0,688.0,549.0,716.0,1038.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Malta,7840 e,7060 e,5057 e,3245.0,3636.0,3960.0,4379.0,5336.0,6938.0,5004.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Netherlands,5678.0,6067.0,6242.0,7291.0,7233.0,7848.0,8281.0,8429.0,7175.0,6921.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Norway,1623.0,2127.0,2157.0,1929.0,2136.0,2066.0,2127.0,2662.0,2610.0,2573.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Poland,3601.0,4028.0,3645.0,4171.0,4266.0,4714.0,4793.0,4621.0,4492.0,4739.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Portugal,2796 e,3322 e,1599.0,1290.0,1271.0,1381.0,1427.0,1546 b,1612.0,1878.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Romania,17215 i,16248.0,9209.0,9949.0,12432.0,8871.0,9012.0,10425.0,7344.0,8410.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Serbia,:,:,:,4610.0,7640.0,6890 b,6937.0,7319.0,8499.0,26325.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Sweden,10203.0,10459.0,9346.0,12545.0,16420.0,17226.0,14272.0,13628.0,14664.0,15627.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Slovenia,2890.0,3008.0,2493.0,2922.0,2210.0,2273.0,2661.0,3964.0,3576.0,5397.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Slovakia,1986.0,2699.0,2133.0,1741.0,1558.0,1636.0,1953.0,2277.0,2338.0,2462.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Türkiye,870.0,665.0,912.0,869.0,896.0,947.0,953.0,1195.0,1291.0,1284.0
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,United Kingdom,4981.0,4785.0,4566.0,3853.0,3791.0,4071.0,4147.0,4249.0,:,:
Annual,Kilograms per capita,Hazardous and non-hazardous - total,All NACE activities plus households,Total waste,Kosovo*,:,:,:,:,649.0,574.0,1607.0,1648.0,1448.0,:
