Time frequency,Unit of measure,Main expenditure type,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Percentage of gross domestic product (GDP),Total,Iceland,23.07,22.82,22.49,22.96,22.07,22.13,23.39,23.97,25.05,30.49,29.29,25.84
Annual,Percentage of gross domestic product (GDP),Total,Italy,27.93,28.71,29.29,29.49,29.54,29.01,28.73,28.74,29.09 p,34.17 p,31.42 p,29.77 p
Annual,Percentage of gross domestic product (GDP),Total,Lithuania,16.99,16.31,15.37,15.33,15.66,15.38,15.08,15.84,16.45,19.46 p,18.47 p,16.59
Annual,Percentage of gross domestic product (GDP),Total,Luxembourg,20.89,21.24,21.36,21.12,20.67,20.33,20.98,21.41,21.74,24.25,21.89,21.95
Annual,Percentage of gross domestic product (GDP),Total,Latvia,15.62,14.26,14.61,14.45,14.79,14.93,14.73,15.21,15.62 p,17.46 p,19.33 p,17.73
Annual,Percentage of gross domestic product (GDP),Total,Montenegro,:,:,:,:,:,18.7,17.73,16.66,16.48,22.65,19.15 p,18.63 p
Annual,Percentage of gross domestic product (GDP),Total,North Macedonia,:,:,:,:,14.27,14.15,14.5,:,:,:,:,:
Annual,Percentage of gross domestic product (GDP),Total,Malta,18.5,18.45,17.9,17.43,16.03,15.93,14.61,14.04,14.21,18.29,16.48,14.21
Annual,Percentage of gross domestic product (GDP),Total,Netherlands,30.59,31.15,31.29,30.96,29.92,29.4,28.82,28.38,28.19,31.99,30.11,27.12
Annual,Percentage of gross domestic product (GDP),Total,Norway,24.07,23.85,24.38,25.24,27.07,28.38,27.6,26.53,27.59,30.71,25.9,20.54
Annual,Percentage of gross domestic product (GDP),Total,Poland,18.86,19.07,19.89,19.53,19.42,21.09,20.32,19.67,21.19,23.65,22.87,21.12
Annual,Percentage of gross domestic product (GDP),Total,Portugal,25.74,26.36,27.55,26.85,25.75,25.1,24.68,24.03,23.99,27.43,26.78,24.67
Annual,Percentage of gross domestic product (GDP),Total,Romania,15.78,14.72,15.01,14.74,14.58,14.87,14.88,14.9,15.22,17.71,16.64,16.36
Annual,Percentage of gross domestic product (GDP),Total,Serbia,21.43,22.62,21.89,22.01,20.67,20.28,19.44,19.42,19.49,21.92,20.19,19.48
Annual,Percentage of gross domestic product (GDP),Total,Sweden,28.12,29.16,29.95,29.55,29.14,29.48,28.99,28.53,27.86,29.47 p,27.96 p,27.23 p
Annual,Percentage of gross domestic product (GDP),Total,Slovenia,24.61,24.95,24.86,24.12,23.98,23.49,22.82,22.4,22.43,26.38 p,25.24 p,24.25
Annual,Percentage of gross domestic product (GDP),Total,Slovakia,17.54,17.77,18.22,18.41,17.93,18.34,18.17,17.9,17.84,19.58,19.36,18.23
Annual,Percentage of gross domestic product (GDP),Total,Türkiye,12.22,12.37 e,12.09,12.03,11.91,12.81,12.21,11.93,12.56,12.98,10.86,8.6
Annual,Percentage of gross domestic product (GDP),Total,United Kingdom,28.59,28.64,28.01,27.2,27.29,25.86,26.3,25.7 p,:,:,:,:
