Time frequency,Unit of measure,Degree of urbanisation,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Towns and suburbs,European Union - 27 countries (from 2020),15.9 e,15.9 e,15.4 e,16.1 e,15.9 e,15.7 e,15.4 e,15.5 e,15.7,16.0,15.1,14.8
Annual,Percentage,Towns and suburbs,European Union - 28 countries (2013-2020),14.5,14.5,14.0,14.6,14.8,14.2,13.9,14.1 e,:,:,:,:
Annual,Percentage,Towns and suburbs,Finland,5.8 b,6.2,6.8,6.0,5.4,4.7,5.9,6.7,6.6,6.5,6.7,7.4
Annual,Percentage,Towns and suburbs,France,6.4 b,5.6,7.0,6.3,6.3,6.4,6.1,5.7,6.5 b,6.7,6.7 b,7.5
Annual,Percentage,Towns and suburbs,Croatia,45.8 b,39.6,43.5,42.3,41.0,37.6,35.4,34.8,32.5,31.0,30.2,28.1
Annual,Percentage,Towns and suburbs,Hungary,46.1 b,43.3,40.1,39.1,39.9,39.3,20.3 b,20.4,20.3,19.9,18.8,14.6
Annual,Percentage,Towns and suburbs,Ireland,0.5 b,1.8,3.9,4.6,2.5,2.2,1.5,2.7 b,2.8 b,3.2,4.1,5.9
Annual,Percentage,Towns and suburbs,Iceland,:,:,8.4,6.9,5.2,5.6,9.9,12.8,:,:,:,:
Annual,Percentage,Towns and suburbs,Italy,22.4,24.4,22.7,24.5 b,25.2,25.2,26.7,27.3,25.9,29.1,24.9,24.5
Annual,Percentage,Towns and suburbs,Lithuania,19.5 b,30.6 b,32.4,4.2,16.1,28.9,14.8,28.4,23.7,29.2,30.0,27.4
Annual,Percentage,Towns and suburbs,Luxembourg,7.2 b,7.4,8.0,6.3,7.1 b,7.1,8.7,6.8,10.1 b,8.1 b,6.5 b,7.7
Annual,Percentage,Towns and suburbs,Latvia,43.6 b,45.2,43.4,50.5,45.7,39.4,41.0,42.2,42.3,37.7,39.8,39.5
Annual,Percentage,Towns and suburbs,North Macedonia,:,:,:,:,47.0,47.4,45.5,41.3,39.3,:,:,:
Annual,Percentage,Towns and suburbs,Malta,3.8 b,4.6,3.6,3.5,1.6,0.3,0.2,0.3,1.7,3.0,3.1,1.6
Annual,Percentage,Towns and suburbs,Netherlands,1.4 b,1.0,1.9,1.8,2.4 b,2.6,2.5,3.7,2.9,1.6,1.5,2.4
Annual,Percentage,Towns and suburbs,Norway,4.2 b,3.7,:,3.6,4.0,3.3,4.7,4.8,4.9,4.9 b,4.6,5.8
Annual,Percentage,Towns and suburbs,Poland,44.7 b,42.1,41.9,41.3,36.6,36.5,36.0,34.9,34.2 b,34.2,33.2,30.5 b
Annual,Percentage,Towns and suburbs,Portugal,10.4 b,11.7,8.6,8.7,7.7,8.0,9.3,9.9,9.7,9.0,9.0,12.5
Annual,Percentage,Towns and suburbs,Romania,51.9 b,51.3,49.6,50.6,48.6,44.2,44.1,44.0,41.2,38.5,37.5,38.1
Annual,Percentage,Towns and suburbs,Serbia,:,52.8,47.6,51.4,54.6,56.4,51.4,54.7,52.2,50.2,49.5,:
Annual,Percentage,Towns and suburbs,Sweden,14.2 b,10.4,11.2,10.6,13.4,10.9,13.5,13.0,13.9,13.4,13.4,13.4
Annual,Percentage,Towns and suburbs,Slovenia,16.4 b,15.4,14.2,14.9,13.8,14.1,12.7,12.2,11.2,10.8,10.9,11.1
Annual,Percentage,Towns and suburbs,Slovakia,37.2 b,39.6,46.2,45.9,45.7,42.5,42.5,39.3,35.3,36.1,33.9,32.9
Annual,Percentage,Towns and suburbs,United Kingdom,5.0 b,4.6,3.9,3.9,6.3,2.5 b,2.6,:,:,:,:,:
Annual,Percentage,Rural areas,Albania,:,:,:,:,:,63.3,61.3,57.8,52.0,53.3,:,:
Annual,Percentage,Rural areas,Austria,6.9,7.9,8.8,6.9,7.2,7.0,5.3,7.2,4.3,5.5,5.7,6.3
Annual,Percentage,Rural areas,Belgium,1.1 b,2.1,2.8,0.4,0.9 b,1.9,2.4,2.1 b,2.2,1.6,2.0,2.2
Annual,Percentage,Rural areas,Bulgaria,34.2 b,34.2,34.7,33.7,34.6 b,32.9,31.7,31.5,27.5,26.1,25.8,24.7
Annual,Percentage,Rural areas,Switzerland,2.2 b,3.2,3.8 b,3.3,4.2,4.2,2.8,4.4,4.0,5.0,3.3,2.6
Annual,Percentage,Rural areas,Cyprus,2.8 b,3.1,2.8,2.3,2.8,1.7,2.3,2.2,2.7,3.3,3.7,1.9
Annual,Percentage,Rural areas,Czechia,17.7 b,16.1,15.2,12.1,11.1,10.7,10.8,10.8,10.2,9.2,8.3,10.3
Annual,Percentage,Rural areas,Germany,3.7 b,4.0,4.1,3.9,3.5,3.9,4.2,4.0,5.5 b,5.0,5.5,5.5
Annual,Percentage,Rural areas,Denmark,4.7 b,5.5,5.4,4.8,4.4,4.7,4.2,5.5,5.0,5.1,5.5,4.5
Annual,Percentage,Rural areas,Euro area - 19 countries  (2015-2022),8.4 e,9.0 e,8.7 e,9.1 e,9.7 e,9.5 e,9.5 e,9.1 e,9.0,8.9,:,:
Annual,Percentage,Rural areas,Euro area – 20 countries (from 2023),:,:,9.2,9.7,10.3,10.1,10.0,9.6,9.4,9.7,9.2,9.0
Annual,Percentage,Rural areas,Estonia,13.3 b,18.9,13.6 b,11.8,11.6,11.5,9.9,10.7,9.7,10.3,11.8,12.7
Annual,Percentage,Rural areas,Greece,25.0 b,27.9,26.5,27.9,28.2,28.5,26.9,30.3,29.5,27.7,26.0,24.6
Annual,Percentage,Rural areas,Spain,4.5 b,4.6,4.3,3.8,5.1,4.3,3.9,4.6,4.4,3.0,3.5,3.4
Annual,Percentage,Rural areas,European Union - 27 countries (2007-2013),16.7 e,17.1 e,17.2 e,16.8 e,16.8 e,16.5 e,15.7 e,15.2 e,:,:,:,:
Annual,Percentage,Rural areas,European Union - 27 countries (from 2020),18.0 e,18.5 e,18.5 e,18.2 e,18.1 e,17.8 e,16.7 e,16.3 e,16.1,15.6,15.1,15.0
Annual,Percentage,Rural areas,European Union - 28 countries (2013-2020),17.1 e,17.5 e,17.5 e,17.2 e,17.1 e,16.8 e,15.9 e,15.5 e,:,:,:,:
Annual,Percentage,Rural areas,Finland,5.2 b,5.2,4.6,4.5,4.6,4.1,5.3,5.6,4.5,4.4,5.2,5.7
Annual,Percentage,Rural areas,France,3.3 b,3.3,2.6,3.4,3.2,3.0,3.3,2.5,3.1 b,3.5,3.0 b,3.2
Annual,Percentage,Rural areas,Croatia,42.5 b,42.8,41.6,41.1,38.3,39.3,39.1,37.9,34.5,31.8,29.5,28.3
Annual,Percentage,Rural areas,Hungary,46.7 b,46.6,46.5,43.4,41.9,43.4,21.0 b,22.7,21.7,19.2,17.3,19.9
Annual,Percentage,Rural areas,Ireland,3.8 b,2.6,2.9,2.6,1.6,0.7,0.9,0.5 b,1.7 b,2.4,2.7,2.4
Annual,Percentage,Rural areas,Iceland,5.7 b,6.3,4.5,5.3,4.8,4.4,6.0,9.2,:,:,:,:
Annual,Percentage,Rural areas,Italy,21.2,20.9,23.2,23.3 b,24.7,24.4,25.3,28.4,25.1,25.4,21.8,20.2
Annual,Percentage,Rural areas,Lithuania,17.1 b,23.4 b,23.6,27.3,23.8,24.2,20.2,20.5,17.6,19.6,20.5,20.7
Annual,Percentage,Rural areas,Luxembourg,3.1 b,2.9,4.0,5.4,6.9 b,7.3,5.2,4.5,3.1 b,4.6 b,3.3 b,4.7
Annual,Percentage,Rural areas,Latvia,39.0 b,38.2,39.3,38.2,39.1,37.6,36.9,36.4,36.8,35.7,36.0,35.2
Annual,Percentage,Rural areas,North Macedonia,:,:,:,:,45.3,39.3,38.5,38.5,35.9,:,:,:
Annual,Percentage,Rural areas,Malta,: u,: u,0.0 u,0.0 u,0.0 u,: u,: u,: u,: u,2.3,0.0,0.0
Annual,Percentage,Rural areas,Netherlands,1.9 b,3.2,3.8,4.5,2.8 b,2.5,3.1,3.2,3.3,1.9,2.4,2.6
Annual,Percentage,Rural areas,Norway,2.9 b,4.1,:,2.7,3.4,3.1,3.3,3.3,2.7,3.3 b,3.7,3.7
Annual,Percentage,Rural areas,Poland,47.7 b,46.0,45.8,44.5,42.3,42.2,40.6,38.1,38.1 b,36.1,36.8,33.8 b
Annual,Percentage,Rural areas,Portugal,6.5 b,7.2,7.2,8.0,8.3,6.9,6.7,5.7,5.1,7.4,7.1,9.1
Annual,Percentage,Rural areas,Romania,50.7 b,49.2,48.5,47.7,47.6,48.2,46.3,46.0,45.7,40.8,39.0,38.8
Annual,Percentage,Rural areas,Serbia,:,50.9,47.3,50.8,52.3,51.7,47.7,46.3,46.5,46.9,44.3,:
Annual,Percentage,Rural areas,Sweden,10.1 b,7.6,8.5,8.5,8.8,8.4,9.2,12.1,10.7,9.8,10.4,12.3
Annual,Percentage,Rural areas,Slovenia,15.5 b,14.5,14.1,11.6,10.7,10.8,10.8,9.7,8.6,9.2,8.8,8.0
Annual,Percentage,Rural areas,Slovakia,35.8 b,35.9,31.5,32.0,32.4,32.3,29.4,28.9,24.2,26.3,29.3,28.5
Annual,Percentage,Rural areas,United Kingdom,2.8 b,2.8,2.7,3.4,2.8,1.4 b,2.5,:,:,:,:,:
