Time frequency,Unit of measure,National accounts indicator (ESA 2010),Geopolitical entity (reporting)\Time,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023,Janvier-Mars 2024,Avril-Juin 2024,Jullet-Septembre 2024
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Italy,-1.3,-0.4,2.8,2.1,-2.3,0.4,0.9,0.9,-1.7,0.2,0.6,1.4
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Lithuania,-0.2,0.8,-1.3,0.8,-1.0,0.1,-0.8,0.7,1.7,1.3,-0.9,1.7
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Luxembourg,-0.1,0.0,-0.4,1.1,-0.5,3.6,0.9,-1.7,1.9,-1.0 p,1.3 p,1.7 p
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Latvia,0.6,0.6,-0.2,0.6,0.2,-0.7,-0.4,-0.3,0.0,0.3,0.1,0.2
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,North Macedonia,3.2,2.2,-0.1,1.9,0.2,-0.7 p,0.5 p,0.7 p,0.8 p,-0.4 e,0.8 e,0.7 e
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Malta,2.4,0.5,3.9,2.2,2.6,3.0,3.8,2.5,2.2,0.3,1.5,0.9
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Netherlands,-0.5,1.2,2.7,0.4,-0.3,0.6,-0.5,-0.9,1.1,0.5,-0.7,0.9
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Norway,1.5,-2.3,3.1,-0.2,3.9,-4.3,0.2,0.0,0.5,-0.7,1.5,:
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Poland,1.8,1.9,1.3,-1.6,-0.4,-0.8,0.4,2.6,-1.0,1.7,0.5,-0.4
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Portugal,1.1,1.5,-0.6,1.4,0.7,0.7 e,-0.1 e,-0.4 e,1.6 e,0.4 e,1.0 e,1.2 e
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Romania,-0.6,1.8,-0.2,2.2,2.2,-1.7 p,1.1 p,1.1 p,2.5 p,0.9 p,2.8 p,-0.4 p
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Serbia,1.6,0.7,1.2,-0.5,-0.6,0.0,0.0,1.6,0.7,0.7,1.9,0.4
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Sweden,0.6,-0.1,1.2,-1.0,-0.7,-1.6,0.3,-0.3,0.7,-0.2,-0.2,0.0
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Slovenia,0.5,0.1,0.5,0.2,-0.2,0.2,-0.4,0.2,0.7,0.6,0.4,0.4
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Slovakia,0.1,1.1,1.3,0.3,1.4,-6.0,1.0,1.4,0.5,0.5,0.2,0.1
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Türkiye,7.3,2.1,3.6,4.0,5.3,2.9,4.7,-1.9,3.1,0.7,-0.1,-0.3
Quarterly,Percentage change q/q-1 (SCA),Household and NPISH final consumption expenditure,Kosovo*,:,:,: @C,: @C,: @C,: @C,: @C,:,:,:,:,:
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Albania,8.3,4.2,6.1,8.4,5.3,4.2 p,5.5 p,0.6 p,1.6 p,4.2 p,5.6 p,0.8 p
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Austria,6.1,11.5,7.9,-0.9,2.7,0.8,0.2,-1.4,-1.3,0.5,-1.0,-0.4
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Bosnia and Herzegovina,4.8,3.4,3.2,0.9,-0.1,0.9,1.1,1.5,1.0,2.5,1.9,2.3
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Belgium,9.4,8.1,5.7,1.2,0.3,1.5 p,0.4 p,-0.3 p,0.9 p,1.1 p,1.3 p,2.5 p
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Bulgaria,7.7,3.4,1.2,3.7,6.8,0.4,2.6,2.4,0.4,4.5 p,5.2 p,3.4 p
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Switzerland,3.5,7.5,4.5,2.8,2.5,2.1,1.5,1.0,1.5,1.6,1.4,1.9
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Cyprus,6.3,13.6,6.4,7.5,11.9,7.9,3.6,6.3,6.0,4.3,4.5,3.9
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Czechia,8.3,8.2,0.9,-2.0,-3.9,-4.4,-3.3,-3.1,-0.3,1.4,1.1,2.6
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Germany,4.7 p,10.3 p,8.1 p,3.8 p,0.8 p,0.1 p,-0.2 p,-1.1 p,-0.2 p,0.6 p,-0.3 p,0.1 p
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Denmark,8.8,6.9,-1.6,-5.8,-6.6,0.5,1.4,0.5,3.1,1.0,0.7,0.9
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",6.9,9.3,6.4,2.9,1.6,1.7,0.6,-0.3,0.7,1.0,0.4,1.1
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Euro area - 19 countries  (2015-2022),6.9,9.3,6.4,2.9,1.6,1.7,0.6,-0.3,0.6,1.0,0.4,1.1
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Euro area – 20 countries (from 2023),6.9,9.3,6.5,2.9,1.6,1.7,0.6,-0.3,0.7,1.0,0.4,1.1
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Estonia,6.5,10.6,4.9,-1.1,-1.7,-3.4,-2.4,-1.2,1.7,-0.8,-1.0,-2.0
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Greece,12.0,17.1 p,10.2 p,4.5 p,4.3 p,3.7 p,2.1 p,0.3 p,1.3 p,2.2 p,2.1 p,1.6 p
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Spain,8.2,9.6 p,5.4 p,3.7 p,1.2 p,2.7 p,1.0 p,0.5 p,2.8 p,1.9 p,2.2 p,3.2 p
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,European Union - 27 countries (from 2020),7.1,9.0,6.3,2.6,1.4,1.2,0.3,-0.2,0.8,1.3,0.9,1.3
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Finland,3.1,1.7,2.8,-0.2,-0.8,1.2,-0.1,-0.1,0.9,0.8,-0.9,-1.6
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,France,6.7,5.9,5.1,1.6,0.6,1.8,0.2,0.6,0.8,1.0,0.7,1.2
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Croatia,8.6,7.4,9.9,7.2,3.4,2.3 p,2.2 p,2.7 p,4.9 p,5.2 p,5.7 p,5.2 p
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Hungary,7.9,12.2,9.2,4.1,1.4,-3.2 p,-3.4 p,-2.1 p,2.8 p,3.9 p,4.4 p,4.3 p
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Ireland,14.2,19.9,9.5,7.2,8.3,6.8,5.9,1.1,3.5,3.0,2.4,1.7
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Iceland,12.3,9.0,13.1,5.5,5.8,5.3,1.1,-1.1,-2.8,0.4,-0.5,0.8
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Italy,8.0,8.9,5.6,3.4,2.5,2.7,1.4,-0.4,0.5,0.3,-0.4,0.7
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Lithuania,8.6,7.8,1.5,0.1,-0.6,-1.0,-1.0,-1.2,1.8,2.7,2.9,3.5
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Luxembourg,10.9,6.1,2.6,0.7,0.2,3.8,5.4,2.2,4.7,-0.2 p,0.4 p,3.7 p
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Latvia,11.0,11.5,5.8,1.3,2.9,0.7,-1.2,-1.7,-1.8,0.4,0.1,1.0
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Montenegro,3.4,11.2,11.0,9.0,8.1,8.7,5.3,4.2,8.0,3.4 p,8.0 p,10.3 p
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,North Macedonia,9.1,5.8,3.1,7.9,5.2,0.3 p,1.2 p,1.2 p,2.0 p,1.1 e,1.6 e,1.9 e
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Malta,15.0,12.3,13.1,9.4,9.7,11.9,12.3,12.4,12.1,9.0,6.6,5.0
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Netherlands,7.5,13.1,7.1,3.4,4.8,3.2,0.8,-0.7,-0.1,1.3,-0.1,1.7
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Norway,9.3,8.6,10.8,2.2,3.9,3.2,-1.3,-1.0,-3.6,-1.1,2.3,:
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Poland,8.1,8.5,8.4,2.8,1.1,-1.5,-2.6,2.1,0.8,4.1,4.2,0.6
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Portugal,6.9,13.3,5.0,1.2,3.6,2.8 e,2.6 e,0.3 e,2.0 e,1.6 e,2.8 e,4.3 e
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Romania,8.5,5.0,6.5,2.2,6.6,1.3 p,5.3 p,1.6 p,3.6 p,5.6 p,9.2 p,5.1 p
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Serbia,7.4,6.4 p,4.4 p,2.8 p,0.7 p,-0.1 p,-1.3 p,1.0 p,2.4 p,4.4 e,4.7 e,3.9 e
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Sweden,9.1,5.5,6.0,0.8,-0.6,-2.2,-3.2,-2.3,-1.0,0.4,0.1,0.4
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Slovenia,23.6,11.4,10.0,0.7,1.1,2.0,-0.9,-1.1,0.8,2.0,2.0,1.9
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Slovakia,4.6,9.6,4.2,2.7,4.6,-3.0,-4.4,-2.6,-3.1,3.6,2.5,1.5
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Türkiye,20.0,19.6,21.5,19.5,15.8,17.3,16.0,12.3,10.1,7.0,1.5,3.1
Quarterly,Percentage change q/q-4 (NSA),Household and NPISH final consumption expenditure,Kosovo*,9.0,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Austria,6.3,11.6,7.8,-0.7,3.0,0.4,0.1,-0.9,-0.9,0.0,-0.9,-0.3
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Belgium,9.7,8.2,5.7,0.8,0.4,1.4 p,0.5 p,-0.2 p,0.7 p,1.1 p,1.3 p,2.4 p
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Bulgaria,7.0,4.4,3.0,3.1,4.2,1.9,2.6,2.3,1.3,3.9 p,4.2 p,3.8 p
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Switzerland,3.6,7.6,4.5,2.7,2.5,1.9,1.6,1.2,1.3,1.5,1.5,1.8
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Cyprus,-0.5,5.3,8.7,10.7,14.7,6.6,4.5,6.3,6.5,4.1,5.0,3.3
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Czechia,8.3,7.9,0.7,-2.0,-3.8,-4.5,-3.2,-2.8,-0.3,1.7,0.9,2.2
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Germany,4.7 p,10.5 p,7.4 p,3.8 p,1.3 p,-0.5 p,0.4 p,-1.0 p,0.4 p,0.8 p,-0.5 p,-0.1 p
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Denmark,8.4,5.9,-1.9,-4.7,-7.0,-0.3,1.7,1.2,3.0,1.3,0.3,1.2
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",6.8,9.3,6.2,2.9,1.7,1.4,0.7,-0.1,0.9,1.0,0.5,1.0
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Euro area - 19 countries  (2015-2022),6.8,9.3,6.2,2.9,1.7,1.4,0.7,-0.1,0.9,1.0,0.5,1.0
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Euro area – 20 countries (from 2023),6.8,9.2,6.2,2.9,1.7,1.4,0.7,-0.1,0.9,1.0,0.5,1.0
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Estonia,7.7,8.8,3.3,0.3,-1.2,-3.3,-2.3,-1.0,0.4,-0.7,-0.7,-1.5
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Greece,11.6,14.1 p,9.5 p,7.4 p,4.5 p,2.1 p,1.7 p,1.6 p,1.4 p,1.6 p,1.8 p,2.1 p
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Spain,6.1,7.3 p,5.9 p,4.7 p,1.6 p,1.7 p,1.0 p,1.4 p,3.0 p,2.3 p,2.6 p,3.0 p
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,European Union - 27 countries (from 2020),7.0,8.9,6.1,2.7,1.5,1.0,0.4,0.0,0.9,1.3,0.9,1.1
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Finland,3.3,1.8,2.6,-0.1,-0.8,1.0,-0.3,0.1,1.0,0.7,-1.0,-1.5
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,France,7.5,6.3,5.1,0.9,0.8,1.9,0.5,0.4,1.0,0.9,0.9,1.0
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Croatia,9.3,8.0,9.5,6.3,4.0,2.8 p,1.8 p,2.2 p,5.2 p,5.6 p,5.5 p,5.1 p
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Hungary,7.9,12.7,8.9,4.3,0.7,-2.7 p,-3.2 p,-1.8 p,2.0 p,3.9 p,4.4 p,4.5 p
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Ireland,13.7,20.9,8.9,7.8,7.8,7.4,5.1,1.9,3.0,3.4,1.9,2.3
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Italy,8.4,9.8,5.5,3.1,2.0,2.9,1.0,-0.2,0.4,0.2,-0.1,0.4
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Lithuania,8.6,7.4,1.6,0.1,-0.8,-1.4,-0.8,-0.9,1.8,2.9,2.8,3.8
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Luxembourg,11.1,6.2,2.5,0.6,0.3,3.9,5.2,2.3,4.7,0.0 p,0.3 p,3.8 p
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Latvia,8.9,10.0,8.6,1.7,1.2,0.0,-0.3,-1.2,-1.3,-0.3,0.1,0.7
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,North Macedonia,8.8,5.7,4.0,7.4,4.3,1.3 p,2.0 p,0.7 p,1.3 p,1.6 e,1.8 e,1.8 e
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Malta,14.7,12.8,13.0,9.3,9.5,12.2,12.1,12.4,11.9,9.1,6.6,5.0
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Netherlands,7.1,12.6,7.7,3.9,4.1,3.6,0.3,-1.0,0.4,0.2,0.0,1.8
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Norway,7.8,9.4,9.8,2.0,4.5,2.3,-0.5,-0.4,-3.6,0.0,1.3,:
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Poland,8.0,8.1,8.2,3.3,1.1,-1.6,-2.4,1.8,1.2,3.8,3.9,0.9
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Portugal,6.1,12.6,4.0,3.4,3.0,2.2 e,2.7 e,1.0 e,1.9 e,1.5 e,2.6 e,4.2 e
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Romania,8.5,5.4,5.6,3.2,6.2,2.5 p,3.8 p,2.7 p,3.0 p,5.7 p,7.6 p,5.9 p
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Serbia,8.0,5.7,4.5,2.9,0.8,0.1,-1.0,1.0,2.4,3.1,5.0,3.8
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Sweden,8.8,5.7,6.1,0.7,-0.6,-2.1,-2.9,-2.3,-0.9,0.5,0.0,0.3
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Slovenia,22.8,10.7,10.5,1.4,0.7,0.7,-0.2,-0.2,0.7,1.2,2.0,2.1
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Slovakia,5.0,9.9,4.2,2.9,4.2,-3.2,-3.5,-2.5,-3.4,3.4,2.6,1.4
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Türkiye,19.6,19.3,21.0,18.1,15.9,16.7,18.0,11.3,8.9,6.6,1.7,3.4
Quarterly,Percentage change q/q-4 (SCA),Household and NPISH final consumption expenditure,Kosovo*,:,:,:,:,:,: @C,: @C,:,:,:,:,:
