Time frequency,Work intensity,At risk of poverty - Yes/No,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Total,From 18 to 64 years,Percentage,Euro area – 20 countries (from 2023),:,52.8,53.4,53.5,53.1,53.1,54.1,61.2,59.9,65.6
Annual,Total,Total,From 18 to 64 years,Percentage,Estonia,:,66.3,66.6,66.9,67.0,67.1,66.9,70.6,73.5,80.4
Annual,Total,Total,From 18 to 64 years,Percentage,Greece,:,29.8,35.2,38.7,42.8,45.7,44.0,45.6,42.9,52.3
Annual,Total,Total,From 18 to 64 years,Percentage,Spain,:,34.4,34.4,32.1,31.5,30.4,33.0,46.4,37.3,33.7
Annual,Total,Total,From 18 to 64 years,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,51.0,51.0,52.4,52.3,53.6,54.5,60.1,:,:
Annual,Total,Total,From 18 to 64 years,Percentage,European Union - 27 countries (from 2020),:,51.2,51.3,52.5,52.4,53.6,54.5,60.1,59.4,63.8
Annual,Total,Total,From 18 to 64 years,Percentage,European Union - 28 countries (2013-2020),:,51.0,51.0,52.4,52.3,53.6,:,:,:,:
Annual,Total,Total,From 18 to 64 years,Percentage,Finland,:,69.9,70.5,69.0,68.4,68.2,67.8,71.6,67.9,67.7
Annual,Total,Total,From 18 to 64 years,Percentage,France,:,62.0,63.1,66.9,67.7,65.7,67.4 b,69.8,83.2 b,80.7
Annual,Total,Total,From 18 to 64 years,Percentage,Croatia,36.1,34.4,31.0,29.3,27.8,28.1,28.6,26.3,24.6,30.2
Annual,Total,Total,From 18 to 64 years,Percentage,Hungary,:,57.2,56.3,57.8,57.8,72.5,62.4,55.0,60.0,54.2
Annual,Total,Total,From 18 to 64 years,Percentage,Ireland,:,75.0,89.8,80.5,74.2,70.4,69.0,76.8,74.7,71.3
Annual,Total,Total,From 18 to 64 years,Percentage,Iceland,:,59.9,55.9,49.8,46.9,48.0,:,:,:,:
Annual,Total,Total,From 18 to 64 years,Percentage,Italy,:,45.2,45.1,45.3,44.8,47.0,50.6,69.1,59.1,89.7
Annual,Total,Total,From 18 to 64 years,Percentage,Lithuania,:,54.0,55.4,54.6,54.4,72.8,73.2,76.2,74.1,76.5
Annual,Total,Total,From 18 to 64 years,Percentage,Luxembourg,:,60.5,62.6 b,61.1,61.1,58.2,58.2 b,50.7 b,50.8,54.3
Annual,Total,Total,From 18 to 64 years,Percentage,Latvia,:,60.3,62.2,62.9,63.0,64.9,66.4,70.7,74.7,82.7
Annual,Total,Total,From 18 to 64 years,Percentage,Montenegro,:,:,:,:,:,:,:,26.5,30.6,:
Annual,Total,Total,From 18 to 64 years,Percentage,North Macedonia,:,10.5,11.1,12.0,14.8,12.3,13.0,:,:,:
Annual,Total,Total,From 18 to 64 years,Percentage,Malta,:,71.1,71.3,71.1,70.6,67.1,66.3,66.3,65.7,53.0
Annual,Total,Total,From 18 to 64 years,Percentage,Netherlands,:,63.2,61.3 b,60.0,59.1,57.9,55.5,59.8,57.9,56.2
Annual,Total,Total,From 18 to 64 years,Percentage,Norway,:,71.5,70.9,69.2,69.4,69.4,68.9,74.1 b,75.1,72.0 b
Annual,Total,Total,From 18 to 64 years,Percentage,Poland,:,29.7,29.4,39.6,39.5,50.7,55.1,54.4,54.6,52.2
Annual,Total,Total,From 18 to 64 years,Percentage,Portugal,:,40.5,41.4,40.9,39.7,37.3,39.5,40.0,38.3,31.5
Annual,Total,Total,From 18 to 64 years,Percentage,Romania,:,54.2,52.4,53.0,52.9,51.8,51.3,50.7,52.6,52.8
Annual,Total,Total,From 18 to 64 years,Percentage,Serbia,:,24.1,21.4,23.5,17.7,20.4,21.8,99.4,97.7,:
Annual,Total,Total,From 18 to 64 years,Percentage,Sweden,:,63.3,63.6,64.0,63.0,62.1,61.0,72.1,70.7,68.2
Annual,Total,Total,From 18 to 64 years,Percentage,Slovenia,:,62.4,63.2,65.4,64.2,65.7,66.6,67.8,72.6,78.7
Annual,Total,Total,From 18 to 64 years,Percentage,Slovakia,:,63.8,62.7,58.6,62.0,62.3,62.2,66.0,62.6,60.1
Annual,Total,Total,From 18 to 64 years,Percentage,Türkiye,:,19.2,20.1,20.8,21.2,22.8,20.7,35.1,30.5,31.0
Annual,Total,Total,From 18 to 64 years,Percentage,United Kingdom,:,49.4,49.0,51.7 b,51.3,:,:,:,:,:
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Albania,:,:,:,:,:,:,:,31.9,:,:
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Austria,:,73.5,71.6,73.2,75.9,68.9,71.7,71.8,69.7,98.7
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Belgium,:,82.6,80.2,82.1,81.6,82.9 b,83.3 b,86.5,86.3,96.7
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Bulgaria,:,65.4,56.4 b,72.0,75.4,73.9,75.0,75.1,75.4,72.3
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Switzerland,:,75.3,79.9,82.1,83.4,79.9,80.1,80.3,86.0,76.0
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Cyprus,:,51.4,58.7,56.3,61.6,63.2,58.9,55.8,59.6,57.3
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Czechia,:,64.4,66.8,66.8,67.1,67.1,64.8,60.3,64.7,78.3
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Germany,:,73.9,74.8,74.1,73.1,73.6,67.7 b,69.8,68.7,68.1
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Denmark,:,99.2,98.8,97.8,96.6,98.0,93.7 b,97.7,97.3,94.1
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,63.2,63.5,63.7,63.5,65.3,66.7,71.6,:,:
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Euro area - 18 countries (2014),:,63.1,63.4,63.6,63.5,65.2,66.6 b,71.5,:,:
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Euro area - 19 countries  (2015-2022),:,63.2,63.5,63.7,63.5,65.3,66.7 b,71.6,:,:
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Euro area – 20 countries (from 2023),:,63.1,63.4,63.5,63.4,65.2,66.5,71.3,70.5,75.4
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Estonia,:,70.5,71.2,71.8,72.4,74.5,70.7,75.1,75.1,82.6
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Greece,:,41.4,49.5,57.7,64.8,66.4,59.4,59.9,54.7,66.4
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Spain,:,43.4,45.3,45.5,42.5,40.4,44.9,54.2,50.2,49.1
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,64.4,63.8,65.3,65.0,65.6,66.8,70.3,:,:
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,European Union - 27 countries (from 2020),:,63.6,63.4,63.9,63.9,65.6,66.8,70.3,70.2,74.2
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,European Union - 28 countries (2013-2020),:,64.4,63.8,65.3,65.0,65.6,:,:,:,:
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Finland,:,90.0,91.9,91.4,93.6,91.6,90.8,91.6,92.4,89.8
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,France,:,86.6,87.5,89.0,88.7,90.8,91.2 b,93.0,96.9 b,95.7
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Croatia,56.5,52.8,54.6,53.0,50.6,50.2,46.9,47.0,47.5,56.4
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Hungary,:,76.4,74.7,67.2,70.9,72.7,63.0,65.4,63.5,68.7
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Ireland,:,91.1,92.8,88.4,88.1,83.1,84.4,93.5,88.4,78.5
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Iceland,:,73.6,75.1,68.1,69.7,53.0,:,:,:,:
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Italy,:,47.2,45.4,43.8,46.2,55.1,61.7,73.1,68.5,86.9
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Lithuania,:,74.4,74.4,66.8,64.2,77.6,78.8,81.8,76.0,78.5
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Luxembourg,:,76.4,78.7 b,75.4,76.8,77.3,73.2 b,66.7 b,66.5,70.8
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Latvia,:,70.0,67.1,64.2,66.2,63.4,66.4,70.6,69.9,79.6
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Montenegro,:,:,:,:,:,:,:,39.1,38.7,:
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,North Macedonia,:,20.1,19.8,25.1,29.2,25.7,27.0,:,:,:
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Malta,:,90.9,86.7,85.1,80.8,77.6,76.2,74.7,73.3,57.0
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Netherlands,:,84.8,80.8 b,80.7,80.5,80.7,75.9,80.9,79.8,85.1
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Norway,:,82.4,82.5,83.0,83.5,79.6,82.2,83.1 b,78.7,81.4 b
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Poland,:,54.3,52.5,54.1,53.0,61.7,65.1,62.2,64.8,64.3
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Portugal,:,55.5,56.1,56.0,57.2,50.7,58.9,52.5,50.2,50.8
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Romania,:,70.1,68.7,67.6,68.1,62.5,63.1,59.8,67.6,68.7
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Serbia,:,35.9,29.8,34.8,28.1,33.7,36.0,99.2,95.2,:
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Sweden,:,77.6,80.1,82.5,81.4,77.5,76.5,81.8,77.0,76.6
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Slovenia,:,77.3,74.6,76.3,75.7,75.0,74.9,79.1,75.7,80.3
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Slovakia,:,81.8,80.7,73.4,82.8,84.0,84.2,78.8,83.7,73.1
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,Türkiye,:,41.5,40.3,44.9,43.9,46.6,41.7,60.3,51.7,52.2
Annual,Total,At risk of poverty,From 18 to 64 years,Percentage,United Kingdom,:,71.3,66.7,75.8 b,72.9,:,:,:,:,:
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Albania,:,:,:,:,:,:,:,54.0,:,:
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Austria,:,88.2,79.0,79.2,81.3,81.6,82.2,80.1,84.1,99.4
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Belgium,:,89.0,87.7,87.2,88.6,87.5 b,89.3 b,91.2,92.3,97.2
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Bulgaria,:,70.0,63.7 b,75.7,77.6,76.2,76.5,80.0,75.9,75.4
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Switzerland,:,79.3,87.1,87.5,85.2,88.7,84.9,83.3,90.5,80.9
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Cyprus,:,56.7,63.4,63.6,69.9,62.6,65.6,67.9,58.6,61.4
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Czechia,:,87.8,89.3,88.2,88.3,87.4,88.4,87.9,85.5,90.4
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Germany,:,84.2,84.7,82.4,82.1,82.6,85.2 b,84.3,84.1,84.1
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Denmark,:,99.4,99.9,99.8,98.6,99.5,99.0 b,99.4,99.8,99.5
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,71.1,71.3,72.4,72.7,74.3,77.3,79.7,:,:
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Euro area - 18 countries (2014),:,71.1,71.2,72.3,72.7,74.2,77.2 b,79.6,:,:
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Euro area - 19 countries  (2015-2022),:,71.1,71.3,72.4,72.7,74.3,77.3 b,79.7,:,:
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Euro area – 20 countries (from 2023),:,70.9,71.0,72.1,72.4,74.0,77.0,79.4,80.6,84.5
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Estonia,:,79.9,80.9,83.7,85.7,83.2,84.8,84.5,84.9,92.4
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Greece,:,35.6,42.1,45.3,52.3,58.8,57.6,61.3,56.4,62.4
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Spain,:,61.3,62.5,63.5,64.0,62.3,64.6,66.8,67.3,68.4
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,74.3,74.2,75.3,75.6,75.1,77.5,79.6,:,:
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,European Union - 27 countries (from 2020),:,72.1,72.2,73.4,73.6,75.1,77.5,79.6,80.6,83.9
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,European Union - 28 countries (2013-2020),:,74.3,74.2,75.3,75.6,75.1,:,:,:,:
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Finland,:,97.9,98.3,97.8,98.2,97.2,97.0,97.9,96.4,95.0
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,France,:,87.9,89.7,89.3,90.9,92.6,92.6 b,93.3,96.4 b,97.9
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Croatia,49.3,50.5,45.8,47.1,44.6,49.2,48.2,44.6,49.8,53.9
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Hungary,:,86.2,88.9,86.0,81.1,89.9,93.9,81.6,77.1,85.3
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Ireland,:,94.5,97.6,95.1,95.4,93.5,93.7,96.9,98.6,95.9
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Iceland,:,94.2,92.6,94.5,92.9,82.0,:,:,:,:
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Italy,:,48.5,48.1,51.0,49.5,56.1,61.7,71.1,70.1,84.6
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Lithuania,:,79.2,83.0,79.6,75.3,78.8,83.4,89.8,86.4,81.2
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Luxembourg,:,78.0,78.1 b,73.9,76.6,76.3,81.2 b,80.3 b,63.5,63.8
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Latvia,:,78.8,71.6,69.5,73.4,74.7,77.9,76.9,77.7,86.0
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Montenegro,:,:,:,:,:,:,:,49.3,49.8,:
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,North Macedonia,:,31.5,31.1,36.9,40.6,37.0,39.2,:,:,:
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Malta,:,94.2,95.5,91.9,91.5,89.4,90.2,89.4,92.0,69.2
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Netherlands,:,92.7,89.4 b,90.6,94.6,92.2,89.6,88.0,89.3,89.9
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Norway,:,93.2,92.4,92.7,91.8,93.4,94.8,92.8 b,92.0,91.9 b
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Poland,:,73.2,74.9,77.8,76.1,78.4,79.9,79.6,78.6,75.6
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Portugal,:,60.3,60.8,62.5,64.7,63.0,67.8,64.1,65.2,61.1
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Romania,:,63.6,63.0,58.9,63.4,57.2,52.0,50.8,61.1,61.8
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Serbia,:,40.6,32.6,36.2,29.4,36.5,39.8,99.3,95.5,:
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Sweden,:,90.5,92.0,92.8,94.5,91.2,89.5,89.5,92.2,88.7
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Slovenia,:,81.5,82.3,86.0,83.6,82.7,86.4,90.2,90.2,91.2
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Slovakia,:,87.9,90.2,88.9,90.1,89.1,88.9,88.2,92.4,88.4
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Türkiye,:,39.3,41.1,43.2,43.1,43.9,42.6,51.9,43.5,44.6
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,United Kingdom,:,89.9,88.7,89.0 b,90.9,:,:,:,:,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Albania,:,:,:,:,:,:,:,55.4,:,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Austria,:,86.8,72.5,75.6,84.5,79.1,81.1,82.0,83.6,99.3
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Belgium,:,89.1,87.2,87.4,87.8,84.8 b,87.6 b,88.4,91.4,95.9
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Bulgaria,:,73.1,69.4 b,80.0,82.5,76.7,76.5,80.6,76.4,72.4
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Switzerland,:,78.8,91.4,91.0,85.5,89.1,85.9,83.1,91.3,75.0
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Cyprus,:,65.3,71.3,68.2,77.6,66.6,73.9,66.9,65.9,71.0
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Czechia,:,89.1,90.7,90.5,90.8,86.7,91.1,90.4,86.5,93.5
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Germany,:,86.7,86.3,84.9,85.6,87.3,84.8 b,84.2,81.6,82.6
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Denmark,:,100.0,100.0,99.6,97.3,100.0,97.9 b,98.9,100.0,99.5
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,71.8,71.4,73.3,73.5,76.6,78.8,80.6,:,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Euro area - 18 countries (2014),:,71.7,71.3,73.2,73.5,76.6,78.8 b,80.5,:,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Euro area - 19 countries  (2015-2022),:,71.8,71.4,73.3,73.5,76.6,78.8 b,80.6,:,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Euro area – 20 countries (from 2023),:,71.5,71.1,73.0,73.2,76.4,78.5,80.2,81.1,84.2
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Estonia,:,76.9,79.3,83.1,84.7,82.7,84.3,84.4,83.8,90.5
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Greece,:,40.3,50.1,52.3,59.6,70.1,66.6,66.3,58.4,64.6
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Spain,:,56.7,59.6,61.6,60.1,60.1,62.5,64.5,68.7,68.9
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,74.9,74.1,75.8,75.9,76.8,78.7,80.0,:,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,European Union - 27 countries (from 2020),:,73.2,72.7,74.3,74.4,76.8,78.7,80.0,81.1,83.5
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,European Union - 28 countries (2013-2020),:,74.9,74.1,75.8,75.9,76.8,:,:,:,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Finland,:,97.1,97.7,97.6,98.1,97.0,96.8,97.1,96.0,94.1
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,France,:,93.8,94.2,93.7,92.9,97.3,98.0 b,96.3,98.5 b,99.1
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Croatia,53.2,52.9,49.8,52.9,48.3,52.2,52.5,45.8,53.0,56.3
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Hungary,:,90.1,91.2,84.2,81.9,85.7,93.8,82.2,77.2,90.0
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Ireland,:,95.1,97.8,94.4,95.2,91.6,97.4,97.5,99.0,93.7
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Iceland,:,91.4,90.7 u,94.2 u,94.7 u,71.7,:,:,:,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Italy,:,43.9,44.1,46.2,45.7,58.7,65.5,74.4,71.4,83.6
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Lithuania,:,79.8,82.6,78.9,73.4,77.8,83.0,88.5,86.3,81.9
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Luxembourg,:,85.5,86.9 b,86.3,84.9,81.2,85.5 b,90.8 b,71.2,70.3
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Latvia,:,78.0,68.2,69.2,72.5,73.2,76.8,75.6,75.1,83.4
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Montenegro,:,:,:,:,:,:,:,45.8,48.8,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,North Macedonia,:,35.0,32.2,39.9,42.6,38.9,41.5,:,:,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Malta,:,94.6,96.7,89.4,89.3,85.8,89.9,85.3,89.5,65.8
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Netherlands,:,92.8,87.4 b,88.1,95.2,91.7,88.7,89.6,89.5,89.7
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Norway,:,90.3,89.7,91.4,90.5,92.0,92.7,90.2 b,88.7,89.1 b
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Poland,:,77.3,76.0,78.7,75.0,75.4,78.9,73.9,75.3,71.0
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Portugal,:,65.8,65.8,68.9,69.7,68.4,69.8,66.4,69.0,65.9
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Romania,:,74.3,73.2,61.9,68.7,60.2,57.7,52.7,70.6,69.7
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Serbia,:,43.8,35.8,39.8,33.5,40.6,46.0,99.2,94.2,:
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Sweden,:,90.8,91.1,94.3,94.6,91.8,89.9,88.9,91.2,87.8
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Slovenia,:,86.5,88.6,88.5,86.6,84.4,87.4,91.1,91.9,92.7
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Slovakia,:,90.7,91.5,90.7,89.6,91.6,88.8,87.0,91.5,90.3
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,Türkiye,:,56.2,58.2,59.4,57.2,60.2,53.4,68.7,56.1,55.4
Annual,Very low work intensity (0-0.2),At risk of poverty,From 18 to 64 years,Percentage,United Kingdom,:,89.8,86.4,88.8 b,90.2,:,:,:,:,:
