Annual,Million euro,INF_INV,DE,:,:,5911.0,4517.0,4508.0,:,:,:,2859.0,2874.49,:,:,:,:,:,:,:,:,:,:,:,:,:,4535.0,5315.0,5315.0,5040.0,5515.0,5792.0,5948.0,6931.0,7279.0,7455.0,:
Annual,Million euro,INF_INV,DK,:,:,:,:,:,:,:,:,513.0,210.0,429.0,57.0,652.0,:,:,:,584.0,1133.0,1745.0,:,:,:,:,381.475,531.47,574.497,356.068,361.762,392.851,314.354,378.847,984.537,1404.377,1722.611
Annual,Million euro,INF_INV,EE,:,:,26.8,91.6,117.4,135.5,278.8,134.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Million euro,INF_INV,EL,:,:,10434 d,10771.0,12850.0,13570.0,16668.0,48000.0,44876 d,46731 d,50588 d,49425 d,145.48 d,159.54 d,:,:,:,73.5,91.3,58.8,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Million euro,INF_INV,ES,:,:,:,:,:,48470.0,49187.0,46943.0,47469.0,47081.0,48433.0,51003.0,314.33 d,:,307.0,:,:,:,:,655 d,743 d,450 d,654 d,2032.0,:,:,47.0,5.0,462.0,1797.176,1929.924,1510.617,814.184,2827.082
Annual,Million euro,INF_INV,FI,:,:,:,647.0,691.0,706.0,679.0,698.0,113 d,113 d,115 d,125 d,135 d,137.0,155.0,156.0,156.0,167.0,180.0,196.0,195.0,197.0,181.0,421.0,411.0,299.0,280.0,271.0,311.0,247.0,316.0,387.0,519.0,433.0
Annual,Million euro,INF_INV,FR,:,:,:,:,11825.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Million euro,INF_INV,HR,:,:,5.0,54.0,108.0,123.0,638.0,639.0,605.0,639.0,365.0,623.0,687.0,781.0,850.0,789.0,789.0,823.0,764.0,561.0,655.0,646.0,769.0,183.147,130.724,60.155,44.336,62.57,99.62,128.202,126.287,140.667,141.077,203.0
Annual,Million euro,INF_INV,HU,:,:,:,:,:,:,:,:,:,16103.0,20442.0,20458.0,53884.0,40784.0,50229.0,79302.0,73505.0,1880.0,112371.0,111957.0,114033.0,126341.0,135664.58,:,:,:,:,:,:,:,:,:,:,:
Annual,Million euro,INF_INV,IE,:,:,:,33.0,31.0,38.0,38.0,36.0,42.0,63.0,115.0,187.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Million euro,INF_INV,IT,:,:,:,:,:,218745.0,240857.0,232909.0,291644.0,282530.0,227431.0,:,109.0,:,:,:,:,:,:,:,:,:,:,:,1974.0,2350.0,3137.0,3591.0,3966.0,3924.0,3693.0,5014.0,4658.0,:
Annual,Million euro,INF_INV,LT,:,:,:,:,:,:,:,:,:,:,:,:,241.0,358.8,304.7,402.9,434.6,478.74,572.3,132 d,143 d,151 d,156 d,139.0,263.0,180.0,70.0,49.0,65.0,69.0,17.0,108.6,153.9,:
Annual,Million euro,INF_INV,LV,:,:,:,:,0.0,16.8,16.2,18.2,18.0,18.0,26.7,28.3,31.3,37.2,37.1,41.9,49.2,62.19,88.43,96.08,73.9,78.14,86.5,58.198,135.86,209.45,23.8,23.89,21.16,27.37,48.68,85.36,170.85,161.01
Annual,Million euro,INF_INV,ME,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,15.93,34.0,41.0,41.0,:,:,:,:
Annual,Million euro,INF_INV,MK,:,:,:,390.0,539.0,:,:,721.4,921.0,821.0,793.0,726.0,779.4,:,:,584.0,634.85,22.3,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Million euro,INF_INV,NL,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,449.0,423.0,371.0,422.0,486.0
Annual,Million euro,INF_INV,NO,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2998.0,1083.0,1272.0,1369.0,1477.0,2290.0,2738.0,2540.0,2458.0,838.511,1085.895,1099.044,1151.271,1200.172,1104.246,1366.649,:,:,:,1358.361
Annual,Million euro,INF_INV,PL,:,:,:,1415.0,1726.0,2061.0,3034.0,3233.0,3524.0,3878.0,:,:,:,:,:,:,1368.0,2613.0,3095.0,3558.0,4072.0,2207.0,2557.0,1251.221,1708.53,1772.185,933.031,1287.996,2133.99,2339.678,2437.542,2611.715,2356.757,2611.405
Annual,Million euro,INF_INV,PT,:,:,8777 d,9449.0,12039.0,18394.0,20301.0,33349.0,2632.0,967.0,4659.0,:,:,:,:,:,:,:,:,:,:,:,:,57.2,101.06,49.73,52.74,86.23,108.0,216.152,219.706,306.582,473.252,621.639
Annual,Million euro,INF_INV,RO,:,:,112978.0,239422.0,319723.2,531023.0,769789.0,2147478.0,:,3645910.0,:,:,:,:,6036900.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Million euro,INF_INV,RS,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,:,:,:,:
Annual,Million euro,INF_INV,SE,2094.0,2186.0,2265.0,2327.0,2397.0,2410.0,2252.0,2348.0,2042.0,2133.0,2576.0,2784.0,3407.0,4155.0,4264.0,4551.0,4715.0,4995.0,5754.0,6264.0,6904.0,6773.0,7410.0,1103.97,1187.229,1387.823 b,1177.328,1196.355,1098.33,1382.459,1720.014,1901.05,1944.758,1863.174
Annual,Million euro,INF_INV,SI,:,:,3821.0,4795.0,5669.0,6918.0,7194.0,7065.0,8947.0,9558.0,10286.0,10092.0,10926.0,11019.0,12163.0,13994.0,63 d,70.4 d,112.06 d,102.31 d,67.877 d,81.2,86.76,140.227,270.0,376.38,84.44,132.5,153.58,220.5,202.44,215.58,235.34,356.29
