Time frequency,Unit of measure,Sex,Age class,International Statistical Classification of Diseases and Related Health Problems (ICD-10 2010),Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Norway,7.67,8.76,4.36,6.96,7.82,4.94,5.55,7.92,4.72,3.86
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Poland,24.12,23.58,21.37,20.51,20.82,17.58,19.28,20.88,20.11,14.88
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Portugal,11.86,11.47,11.02,9.26,10.01,9.69,13.13,11.51,10.39,9.88
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Romania,20.8,19.61,17.44,20.24,19.61,20.61,17.56,17.83,15.02,18.37
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Serbia,16.5,15.5,15.88,10.75,12.5,8.81,13.68,9.34,11.92,12.65
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Sweden,7.09,5.89,4.02,5.54,3.78,6.1,4.96,3.14,6.6,3.61
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Slovenia,15.02,14.66,7.57,18.39,19.66,11.92,9.9,10.72,8.67,9.66
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Slovakia,17.21,14.95,15.74,17.81,15.98,15.96,12.5,12.86,13.07,10.79
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Türkiye,8.36,14.82,13.63,12.79,14.53,13.78,12.34,8.14,9.34,9.2
Annual,Rate,Males,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",United Kingdom,7.07,5.97,6.19,6.17,5.38,5.14,4.69,:,:,:
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Austria,12.69,10.59,15.26,11.68,11.05,9.86,12.84,10.48,8.4,10.74
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Belgium,15.31,13.57,12.76,14.07,13.05,13.46,11.87,10.94,9.53,10.92
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Bulgaria,10.51,8.3,8.71,6.62,6.62,7.48,4.0,5.96,4.09,5.0
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Switzerland,13.55,10.83,10.23,12.75,9.18,11.73,14.84,12.21,12.28,11.46
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Cyprus,8.92,10.87,3.25,8.38,: @C,10.45,12.64,7.3,5.48,: @C
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Czechia,13.94,18.57,15.02,10.79,14.97,15.03,16.57,12.53,10.94,11.64
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Germany,9.77,8.79,8.97,8.43,8.98,8.15,9.14,7.97,8.28,7.95
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Denmark,9.07,6.24,8.6,4.79,6.61,7.4,5.85,9.39,8.68,7.63
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Estonia,16.9,19.19,26.99,29.69,13.25,19.73,17.0,23.26,23.13,13.71
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Greece,3.84,4.1,4.89,3.56,3.23,4.65,4.42,4.69,2.75,2.48
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Spain,4.87,5.4,5.65,4.8,4.4,4.2,4.94,5.02,4.46,4.82
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,European Union - 27 countries (from 2020),10.88,10.26,10.42,9.42,8.71,8.69,8.69,8.82,8.45,8.66
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Finland,25.2,20.26,18.94,17.61,17.78,22.32,20.41,23.79,16.3,15.71
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,France,9.53,8.42,7.3,7.43,6.85,5.74,7.68,7.52,8.01,7.85
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Croatia,13.64,16.11,14.71,13.73,12.39,9.32,14.72,10.55,15.17,9.39
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Hungary,13.25,9.7,11.92,11.85,10.03,10.09,9.18,9.53,8.95,11.76
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Ireland,20.59,14.98,22.11,14.4,15.93,10.96,11.63,13.25,14.04,16.3
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Iceland,: @C,20.65,16.54,: @C,33.2,28.83,: @C,: @C,20.42,: @C
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Italy,5.57,4.49,5.31,5.2,4.32,5.66,4.49,4.9,4.65,5.1
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Liechtenstein,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Lithuania,30.96,47.63,45.06,34.41,23.05,23.53,19.3,26.77,23.35,21.31
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Luxembourg,15.12,5.93,5.84,: @C,2.82,: @C,5.48,: @C,13.49,: @C
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Latvia,26.32,14.08,28.38,23.61,19.08,16.94,16.38,16.63,18.97,12.22
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Malta,: @C,6.94,: @C,6.98,0.0,: @C,: @C,: @C,3.53,: @C
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Netherlands,9.41,9.29,7.8,8.41,7.21,9.76,8.59,9.0,8.25,9.77
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Norway,13.28,13.15,10.75,12.75,11.88,19.17,18.7,16.72,16.83,15.14
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Poland,20.33,20.52,22.47,19.68,16.97,16.44,14.31,15.76,15.86,17.04
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Portugal,4.53,3.53,4.98,4.99,3.39,5.92,3.42,5.57,5.91,4.67
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Romania,12.98,11.51,11.05,11.01,8.53,9.75,7.46,9.73,7.75,8.41
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Serbia,7.67,6.91,7.82,6.75,4.85,8.3,6.31,7.74,4.06,4.67
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Sweden,13.07,15.59,14.17,11.09,11.67,14.34,14.37,15.19,16.17,14.95
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Slovenia,17.67,21.07,16.08,13.55,18.67,5.96,14.85,10.72,13.49,13.52
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Slovakia,11.48,12.41,9.33,8.15,9.71,7.82,9.46,10.78,6.71,8.99
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,Türkiye,2.82,4.05,3.96,3.09,3.12,5.93,7.13,7.51,8.16,9.35
Annual,Rate,Males,From 15 to 24 years,Intentional self-harm,United Kingdom,8.12,7.34,7.51,8.44,8.32,9.1,10.76,:,:,:
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Austria,10.7,7.77,7.41,8.67,7.11,6.41,4.69,5.82,5.8,6.39
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Belgium,11.29,10.04,10.7,8.98,7.35,7.18,5.07,6.74,5.26,4.77
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Bulgaria,12.29,12.43,12.24,14.79,14.54,10.32,10.62,14.54,10.36,9.16
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Switzerland,5.32,3.72,5.22,4.17,3.21,4.21,3.06,2.76,2.22,2.9
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Cyprus,11.38,14.29,10.76,10.15,8.55,9.52,9.71,7.99,8.96,9.17
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Czechia,11.08,11.85,11.94,12.46,9.51,9.2,9.01,10.69,8.23,6.29
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Germany,8.83,7.41,7.4,6.8,6.29,5.67,5.62,5.32,4.98,4.55
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Denmark,5.19,4.44,3.57,5.45,4.6,5.82,3.4,3.98,3.88,4.32
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Estonia,11.2,10.55,13.21,6.54,12.1,5.45,4.75,3.18,5.54,7.83
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Greece,15.74,13.91,14.14,13.42,12.92,11.75,10.06,9.24,9.1,10.55
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Spain,4.32,4.23,3.45,4.47,4.4,4.73,4.66,4.08,3.21,4.64
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",European Union - 27 countries (from 2020),9.6,8.65,8.19,8.25,7.74,7.24,6.88,6.95,5.98,6.15
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Finland,6.81,6.24,6.6,7.29,5.49,7.0,6.45,6.19,6.08,5.6
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",France,10.4,8.81,8.3,8.27,7.98,7.34,6.29,6.18,5.08,5.81
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Croatia,11.36,14.26,9.55,12.19,9.94,12.8,9.77,12.25,12.01,10.67
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Hungary,5.39,6.42,6.81,8.64,6.06,6.21,6.9,7.22,5.98,5.95
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Ireland,5.47,6.72,4.4,4.19,3.8,2.88,2.8,1.61,1.59,2.82
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Iceland,6.36,6.36,4.24,8.5,4.25,2.11,4.19,2.09,2.09,0.0
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Italy,8.96,7.77,7.33,7.62,7.48,6.76,6.91,7.01,4.64,6.6
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Liechtenstein,0.0,: @C,: @C,: @C,: @C,: @C,: @C,: @C,48.16,: @C
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Lithuania,16.11,12.11,12.5,10.6,7.79,7.75,11.59,9.31,8.86,8.04
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Luxembourg,13.95,6.08,7.49,10.31,7.2,5.66,7.03,8.38,4.18,6.95
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Latvia,11.13,10.23,16.43,14.57,13.4,11.95,9.56,8.01,11.52,9.16
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Malta,3.59,7.18,1.8,5.45,3.68,3.71,7.4,0.0,3.74,3.92
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Netherlands,5.27,4.72,4.31,4.48,4.2,3.32,3.62,4.91,3.74,4.28
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Norway,4.85,5.85,3.29,5.23,4.34,2.85,3.17,5.0,2.89,2.6
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Poland,15.38,14.74,13.86,12.84,13.14,11.63,12.74,13.27,13.29,9.85
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Portugal,6.9,6.8,6.95,5.97,6.54,6.67,7.78,8.14,6.19,6.04
Annual,Rate,Total,From 15 to 24 years,"Transport accidents (V01-V99, Y85)",Romania,13.95,13.26,11.4,12.94,12.88,13.47,11.18,11.72,9.46,11.33
