Time frequency,Accommodation unit,Unit of measure,Geopolitical entity (reporting)\Time,Décembre 2023,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024
Monthly,Bedplaces,Percentage,Liechtenstein,30.8,32.5,41.4,35.3,27.5,34.2,38.5,48.3,49.4,37.9,37.9,27.0
Monthly,Bedplaces,Percentage,Lithuania,39.1,34.6,36.0,39.6,41.9,47.8,52.1,69.3,72.0,64.6,59.8,55.9
Monthly,Bedplaces,Percentage,Luxembourg,33.1,26.4,33.4,29.6,37.46,42.39,42.86,45.48,50.26,41.74,37.64,:
Monthly,Bedplaces,Percentage,Latvia,33.0,23.5,26.9,31.2,34.6,39.8,47.0,58.1,55.7,41.3,37.7,:
Monthly,Bedplaces,Percentage,Montenegro,15.9,18.0,25.6,29.1,37.2,53.5,57.5,70.1,80.3,51.8,43.1,:
Monthly,Bedplaces,Percentage,North Macedonia,18.23,16.87,16.82,19.79,25.34,31.36,58.89,43.02,64.58,58.77,48.98,:
Monthly,Bedplaces,Percentage,Malta,43.4,40.0,51.2,58.4,66.4,70.6,73.0,83.9,88.0,74.0,73.9,:
Monthly,Bedplaces,Percentage,Netherlands,44.0,40.2,44.6,49.6,57.6,59.1,58.8,62.1,66.0,58.6,55.4,:
Monthly,Bedplaces,Percentage,Norway,28.7,27.4,50.4,51.6,50.5,54.0,68.0,66.0,69.0,63.0,56.0,:
Monthly,Bedplaces,Percentage,Poland,35.1,33.5,37.7,34.6,35.9,42.9,46.0,52.0,55.8,43.8,42.1,:
Monthly,Bedplaces,Percentage,Portugal,35.2,30.8,40.6,45.6,51.9,57.7,59.6,64.8,73.2,63.2,56.5,:
Monthly,Bedplaces,Percentage,Romania,27.7,23.8,28.9,26.7,28.0,30.9,34.5,45.2,51.2,36.4,36.1,32.2
Monthly,Bedplaces,Percentage,Serbia,35.9,33.7,33.9,35.0,40.8,47.0,44.9,47.8,49.9,42.7,43.7,:
Monthly,Bedplaces,Percentage,Sweden,35.0,32.0,37.0,39.0,36.0,44.0,47.0,67.0,55.0,43.0,44.0,:
Monthly,Bedplaces,Percentage,Slovenia,33.02,31.49,36.46,34.33,36.68,44.81,47.36,59.87,67.91,49.1,42.36,34.15
Monthly,Bedplaces,Percentage,Slovakia,25.37,26.95,34.77,29.92,27.08,33.58,36.25,44.42,47.47,34.29,35.21,:
Monthly,Bedplaces,Percentage,Türkiye,31.95,31.11,32.41,32.34,39.76,54.76,62.05,71.19,76.16,:,:,:
Monthly,Bedplaces,Percentage,Kosovo*,24.3,24.3,16.8,12.3,16.4,19.1,19.1,21.3,25.8,23.8,21.9,:
Monthly,Bedrooms,Percentage,Albania,13.3 e,14.2,16.7,17.3,22.1,25.1,35.9,49.3,59.6,40.4,27.7,:
Monthly,Bedrooms,Percentage,Austria,52.4,77.0,74.4,56.7,31.9,40.8,54.8,76.1,77.2,50.9,41.2,:
Monthly,Bedrooms,Percentage,Belgium,55.27,43.41,50.62,56.62,60.41,63.43,65.59,65.34,62.57,64.17,60.73 u,:
Monthly,Bedrooms,Percentage,Bulgaria,36.0,38.3,46.7,39.4,35.0,30.4,50.8,:,73.8,43.8,35.2,:
Monthly,Bedrooms,Percentage,Switzerland,48.5,46.6,52.1,49.6,48.5,56.3,63.3,63.1,63.3,61.2,53.2,:
Monthly,Bedrooms,Percentage,Cyprus,38.2,38.3,40.2,52.6,56.7,64.9,73.3,79.4,84.0,80.9,78.0,:
Monthly,Bedrooms,Percentage,Czechia,38.4,31.2,39.1,40.0,40.6,49.3,48.7,55.2,56.8,46.6,57.4,:
Monthly,Bedrooms,Percentage,Germany,53.23,45.68,52.31,56.51,58.98,62.14,68.53,66.01,65.25,69.82,64.96,:
Monthly,Bedrooms,Percentage,Denmark,44.0,42.0,45.0,51.0,57.0,65.0,69.0,71.0,75.0,68.0,62.0,:
Monthly,Bedrooms,Percentage,Euro area – 20 countries (from 2023),45.33,42.4,47.34,49.92,52.36,58.94,65.0,:,:,:,:,:
Monthly,Bedrooms,Percentage,Estonia,50.0,36.0,44.0,45.0,46.0,55.0,63.0,72.0,69.0,56.0,54.0,:
Monthly,Bedrooms,Percentage,Greece,27.0,18 e,14.5 e,19.6 e,32.6 e,50.9 e,70.8 e,77.7 e,80.8 e,69.6 e,38.4 e,:
Monthly,Bedrooms,Percentage,Spain,56.72,56.72,63.27,64.33,66.37,70.74,73.68,75.33,79.67,77.18,71.66,65.52
Monthly,Bedrooms,Percentage,European Union - 27 countries (from 2020),43.79,40.96,46.11,:,50.07,56.28,:,:,:,:,:,:
Monthly,Bedrooms,Percentage,Finland,46.7,44.3,52.4,51.0,46.4,49.2,57.2,61.0,57.9,53.7,51.6,:
Monthly,Bedrooms,Percentage,France,53.4,50.8,53.2,58.6,58.3,64.0,69.0,66.3,68.7,69.3,63.2 e,:
Monthly,Bedrooms,Percentage,Croatia,29.5,24.1,32.9,36.6,45.9,58.0,68.3,78.6,83.8,72.0,54.8,:
Monthly,Bedrooms,Percentage,Hungary,43.2,36.8,42.7,44.7,47.3,52.6,54.3,61.5,64.2,55.3,53.5,:
Monthly,Bedrooms,Percentage,Ireland,61 e,57 e,66 e,74 e,77 e,86 e,88 e,:,:,:,:,:
Monthly,Bedrooms,Percentage,Iceland,41.4,42.8 e,58.7 e,60.5 e,47.9 e,55.9 e,70.6 e,77.9 e,82.3 e,76 e,:,:
Monthly,Bedrooms,Percentage,Italy,42.2,47.4,50.6,48.3,48.2,51.5,62.1,74.6,83.0,58.8,58.8,:
Monthly,Bedrooms,Percentage,Liechtenstein,38.8,38.0,43.6,44.3,43.9,45.7,54.3,54.9,60.2,55.4,51.1,42.7
Monthly,Bedrooms,Percentage,Lithuania,49.4,45.1,45.5,50.3,54.4,60.8,66.7,57.3,59.9,47.6,44.1,42.1
Monthly,Bedrooms,Percentage,Luxembourg,38.4,30.4,38.2,33.3,41.57,45.82,46.76,49.1,53.8,46.4,41.76,:
Monthly,Bedrooms,Percentage,Latvia,37.3,26.4,29.5,34.1,38.4,43.1,50.6,61.1,58.7,46.0,41.2,:
Monthly,Bedrooms,Percentage,Montenegro,19.0,18.7,23.2,24.9,37.1,47.9,62.2,78.8,84.7,55.8,44.4,:
Monthly,Bedrooms,Percentage,North Macedonia,28.87,27.22,27.45,31.63,41.0,49.73,37.54,61.95,44.76,36.89,31.58,:
Monthly,Bedrooms,Percentage,Malta,51.3,49.3,60.2,67.7,75.4,81.5,81.5,84.4,87.9,86.2,84.8,:
Monthly,Bedrooms,Percentage,Netherlands,56.4,54.2,58.6,63.1,69.9,69.2,72.9,71.5,71.3,73.1,66.9,:
Monthly,Bedrooms,Percentage,Norway,40.7,43.8,34.2,35.2,31.4,37.0,49.0,59.0,53.0,41.0,37.0,:
Monthly,Bedrooms,Percentage,Poland,42.5,40.1,45.7,43.9,45.6,52.6,56.7,59.3,62.4,55.5,53.1,:
Monthly,Bedrooms,Percentage,Portugal,42.3,38.9,50.4,55.9,62.6,69.8,70.4,72.0,79.3,76.4,69.7,:
Monthly,Bedrooms,Percentage,Romania,27.7,25.5,28.9,:,27.2,29.0,:,26.0,28.4,27.9,33.9,31.2
Monthly,Bedrooms,Percentage,Serbia,40.9,37.5,37.3,41.0,46.7,53.3,50.6,50.7,51.2,50.9,51.6,:
Monthly,Bedrooms,Percentage,Sweden,44.0,44.0,50.0,51.0,52.0,62.0,60.0,70.0,67.0,64.0,60.0,:
Monthly,Bedrooms,Percentage,Slovenia,36.35,34.71,38.83,39.13,41.83,51.13,53.87,59.88,66.76,56.62,47.99,39.69
Monthly,Bedrooms,Percentage,Slovakia,29.59,30.27,31.21,34.93,34.34,40.8,42.96,48.82,50.59,41.63,41.81,:
Monthly,Bedrooms,Percentage,Kosovo*,13.5 e,27.7 e,19.1 e,14.1 e,18.7 e,21.1 e,21.7 e,24.2 e,29.3 e,27.1 e,24.9 e,:
