Time frequency,Unit of measure,Land cover,Geopolitical entity (reporting)\Time,2009.0,2012.0,2015.0,2018.0
Annual,Percentage,Forest FAO,Romania,:,31.1,32.7,33.3
Annual,Percentage,Forest FAO,Sweden,60.5,61.4,61.7,61.1
Annual,Percentage,Forest FAO,Slovenia,60.4,60.2,61.7,61.4
Annual,Percentage,Forest FAO,Slovakia,43.5,44.6,45.8,45.7
Annual,Percentage,Forest FAO,United Kingdom,9.9,10.2,9.7,11.4
Annual,Percentage,Forest and other wooded land FAO,Austria,45.2,45.0,46.7,46.4
Annual,Percentage,Forest and other wooded land FAO,Belgium,21.7,22.4,23.1,24.3
Annual,Percentage,Forest and other wooded land FAO,Bulgaria,:,42.2,44.7,48.0
Annual,Percentage,Forest and other wooded land FAO,Cyprus,:,33.3,39.7,43.2
Annual,Percentage,Forest and other wooded land FAO,Czechia,37.0,37.5,37.7,37.9
Annual,Percentage,Forest and other wooded land FAO,Germany,30.9,31.1,32.2,32.4
Annual,Percentage,Forest and other wooded land FAO,Denmark,13.7,13.4,15.6,16.4
Annual,Percentage,Forest and other wooded land FAO,Estonia,55.6,57.6,58.2,58.3
Annual,Percentage,Forest and other wooded land FAO,Greece,38.4,40.4,44.5,47.5
Annual,Percentage,Forest and other wooded land FAO,Spain,33.5,36.6,39.2,41.2
Annual,Percentage,Forest and other wooded land FAO,European Union - 27 countries (2007-2013),:,40.3,41.6,42.0
Annual,Percentage,Forest and other wooded land FAO,European Union - 27 countries (from 2020),:,:,42.6,43.5
Annual,Percentage,Forest and other wooded land FAO,European Union - 28 countries (2013-2020),:,:,41.7,42.3
Annual,Percentage,Forest and other wooded land FAO,European Union (aggregate changing according to the context),39.3,40.7,41.9,42.3
Annual,Percentage,Forest and other wooded land FAO,Finland,68.7,70.5,71.3,69.9
Annual,Percentage,Forest and other wooded land FAO,France,30.1,30.6,31.0,32.8
Annual,Percentage,Forest and other wooded land FAO,Croatia,:,:,50.6,58.0
Annual,Percentage,Forest and other wooded land FAO,Hungary,22.0,23.4,25.2,26.1
Annual,Percentage,Forest and other wooded land FAO,Ireland,15.8,22.0,22.4,19.0
Annual,Percentage,Forest and other wooded land FAO,Italy,33.6,35.0,35.6,37.0
Annual,Percentage,Forest and other wooded land FAO,Lithuania,36.3,37.8,38.3,39.6
Annual,Percentage,Forest and other wooded land FAO,Luxembourg,34.4,34.0 u,36.3,35.5 u
Annual,Percentage,Forest and other wooded land FAO,Latvia,53.2,55.0,56.4,56.2
Annual,Percentage,Forest and other wooded land FAO,Malta,:,13.1 u,11.5 u,10.4 u
Annual,Percentage,Forest and other wooded land FAO,Netherlands,7.4,7.4,8.0,10.9
Annual,Percentage,Forest and other wooded land FAO,Poland,33.2,34.6,36.1,36.4
Annual,Percentage,Forest and other wooded land FAO,Portugal,36.9,41.9,46.6,49.9
Annual,Percentage,Forest and other wooded land FAO,Romania,:,32.5,34.1,35.5
Annual,Percentage,Forest and other wooded land FAO,Sweden,64.6,66.5,66.5,67.0
Annual,Percentage,Forest and other wooded land FAO,Slovenia,62.1,62.0,63.4,62.5
Annual,Percentage,Forest and other wooded land FAO,Slovakia,45.8,47.0,48.7,48.6
Annual,Percentage,Forest and other wooded land FAO,United Kingdom,25.3,25.6,26.9,20.9
Annual,Percentage,Other wooded land FAO,Austria,4.1,3.7,3.8,4.3
Annual,Percentage,Other wooded land FAO,Belgium,0.9,0.8,0.8,0.9
Annual,Percentage,Other wooded land FAO,Bulgaria,:,4.0,3.9,5.3
Annual,Percentage,Other wooded land FAO,Cyprus,:,13.0,16.5,20.8
Annual,Percentage,Other wooded land FAO,Czechia,0.7,0.8,0.8,1.1
Annual,Percentage,Other wooded land FAO,Germany,0.6,0.6,0.6,0.7
Annual,Percentage,Other wooded land FAO,Denmark,1.4,1.4,1.6,1.4
Annual,Percentage,Other wooded land FAO,Estonia,3.7,3.1,1.9,2.4
Annual,Percentage,Other wooded land FAO,Greece,10.3,12.0,13.4,11.3
Annual,Percentage,Other wooded land FAO,Spain,8.9,11.6,12.2,13.2
Annual,Percentage,Other wooded land FAO,European Union - 27 countries (2007-2013),:,5.2,5.5,5.1
Annual,Percentage,Other wooded land FAO,European Union - 27 countries (from 2020),:,:,4.8,4.9
Annual,Percentage,Other wooded land FAO,European Union - 28 countries (2013-2020),:,:,5.5,5.2
Annual,Percentage,Other wooded land FAO,European Union (aggregate changing according to the context),4.7,5.5,5.7,5.3
Annual,Percentage,Other wooded land FAO,Finland,3.6,4.1,4.5,4.7
Annual,Percentage,Other wooded land FAO,France,2.5,3.0,2.7,2.1
Annual,Percentage,Other wooded land FAO,Croatia,:,:,5.8,10.8
Annual,Percentage,Other wooded land FAO,Hungary,1.8,1.8,1.6,1.6
Annual,Percentage,Other wooded land FAO,Ireland,6.7,11.8,11.9,7.3
Annual,Percentage,Other wooded land FAO,Italy,3.5,4.1,4.3,4.6
Annual,Percentage,Other wooded land FAO,Lithuania,1.6,1.6,0.9,1.0
Annual,Percentage,Other wooded land FAO,Luxembourg,1.2,1.2 u,2.4,1.1 u
Annual,Percentage,Other wooded land FAO,Latvia,4.0,3.4,4.7,3.2
Annual,Percentage,Other wooded land FAO,Malta,:,10.2,10.2,9.5
Annual,Percentage,Other wooded land FAO,Netherlands,0.9,1.1,1.5,1.3
Annual,Percentage,Other wooded land FAO,Poland,1.4,1.4,1.4,1.0
Annual,Percentage,Other wooded land FAO,Portugal,9.7,13.7,14.8,14.4
Annual,Percentage,Other wooded land FAO,Romania,:,1.4,1.4,2.2
Annual,Percentage,Other wooded land FAO,Sweden,4.1,5.1,4.8,5.9
Annual,Percentage,Other wooded land FAO,Slovenia,1.7,1.8,1.7,1.1
Annual,Percentage,Other wooded land FAO,Slovakia,2.3,2.4,2.9,2.9
Annual,Percentage,Other wooded land FAO,United Kingdom,15.4,15.4,17.2,9.5
