Time frequency,Sex,Activity and employment status,Unit of measure,Age class,Country of citizenship,Geopolitical entity (reporting)\Time,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Spain,:,:,40.3 b,39.6,41.9,43.2,39.6,38.6,38.2,39.1,36.7 b,35.8,35.8,38.4,33.5,28.7,28.3,26.3 b,28.6,25.4
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),:,:,25.7 b,24.2,26.6,27.3,26.5,25.9,25.2,24.7,21.4 b,21.6,21.9,23.4,23.2,22.4,20.8,24.0 b,22.4,22.8
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Finland,:,:,: u,: u,: u,: u,: u,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,France,:,:,28.7 u,26.2 u,34.6,33.9,28.8,30.5,26.6,30.9 b,12.9 bu,17.6 u,17.5 u,20.1,17.7,14.5 u,18.6,19.3 b,15.6,12.8 u
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Croatia,:,:,: b,:,:,:,:,:,: bu,:,:,:,:,:,: u,:,:,:,:,: u
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Hungary,:,:,: bu,: u,: u,: u,: u,: u,: u,: u,: bu,: bu,: u,: u,: bu,: u,: u,: bu,: u,: u
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Ireland,:,:,10.9 bu,9.7 bu,10.8 u,17.7 u,22.6 u,20.1 u,19.0 u,15.9 u,: bu,: u,7.9 u,: bu,: u,: u,: u,: bu,: u,: u
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Iceland,:,:,: u,: u,: u,: bu,: u,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: bu,: bu,: u,37.4
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Italy,:,:,37.3 b,30.2,34.3,36.4,31.4,32.1,35.9,31.3,28.6 b,28.4,27.7,29.9,32.6 b,30.7,21.4,21.8 b,23.1,18.9
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Lithuania,:,:,: b,:,:,:,: u,: u,: u,:,: bu,: u,: u,: u,:,: u,: u,: bu,:,: u
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Luxembourg,:,:,17.9 b,16.6 b,19.7,13.4 b,10.8,6.7 u,10.0,7.6 u,8.5 bu,12.5 b,7.0 u,11.1 u,6.7 u,13.0,11.8,10.9 b,6.9 u,: u
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Latvia,:,:,:,: u,: b,: u,:,: u,: u,: u,: bu,: u,: u,: u,: u,: u,:,: bu,: u,: u
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Montenegro,:,:,:,:,:,:,:,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: u,:,:,:
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,North Macedonia,:,:,:,: b,:,:,:,:,: u,:,:,:,:,:,:,: u,:,:,:,:
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Malta,:,:,: bu,: u,:,:,: u,:,: u,: u,: bu,: u,: u,: bu,23.6 u,25.0 u,: u,: bu,: u,: u
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Netherlands,:,:,: bu,: u,12.9 u,18.2,13.2 u,16.5 u,16.8,15.6 bu,16.1 b,8.9 u,9.9 u,7.3 u,17.0,16.8 b,9.2 u,11.7 b,12.5,13.1
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Norway,:,:,: u,: u,: u,: u,16.7 u,21.5,14.1,15.7,16.3 bu,16.3,11.7 u,: u,: u,: u,: u,: bu,: u,: u
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Poland,:,:,:,:,: b,:,: bu,: u,: u,: bu,: bu,: u,: u,: u,: bu,: bu,: u,:,:,: u
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Portugal,:,:,: bu,: u,: u,: u,: u,: bu,: u,: u,: bu,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Romania,:,:,: b,:,: u,:,:,:,: u,: u,: bu,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Serbia,:,:,:,:,:,:,:,: u,: u,: u,: bu,: u,: u,: u,: u,:,: u,: bu,:,: u
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Sweden,:,:,: bu,: bu,: bu,: u,: u,18.7 u,11.5 u,12.4 u,12.6 bu,: u,16.4,12.9 u,: bu,: u,: u,: bu,: u,: u
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Slovenia,:,:,: b,: u,: u,:,: u,: u,: u,:,: bu,: u,: u,: u,: u,: u,: u,: bu,: u,: bu
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,Slovakia,:,:,:,:,:,:,:,: bu,:,: u,: bu,: u,: u,: u,: u,:,: u,: bu,: bu,: u
Annual,Total,Population,Percentage,From 18 to 24 years,EU27 countries (from 2020) except reporting country,United Kingdom,:,:,15.7 b,15.7 b,15.5 b,15.0,14.4 b,16.8 b,16.5,13.5,14.4 b,11.9,14.7,13.3,13.9,12.5,:,:,:,:
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Austria,7.8 b,7.3,7.5 b,8.4,8.1,7.0,6.6,7.1,6.1,5.8,5.4 b,5.5,5.8,5.2,5.3,5.5,5.1,5.6 b,6.2,6.8
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4.6,3.6,4.2
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Belgium,12.1 b,11.7,11.4 b,10.9,10.7 b,10.1,11.0,11.3,10.8,9.7,9.0 b,9.1,7.8,8.0 b,7.4,7.3,7.4,5.9 b,5.7,5.7
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Bulgaria,21.5,20.5,17.4 b,15.0,14.8,14.8,12.7 b,11.9 b,12.6,12.5,12.9 b,13.5,13.8,12.8,12.7,14.0 b,12.8,12.1 b,10.3,9.4
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Switzerland,5.4,6.1,6.5,4.4,4.5,6.2,4.1 b,4.0,3.4,3.8,4.4 b,3.7,3.1,2.7,2.7,3.1,2.9,3.6 b,4.2,4.1
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Cyprus,17.0,14.0,13.1 b,10.7,10.5,8.4 b,7.6,7.0,7.4,7.0,4.5 b,3.2,5.1,5.7,6.0,4.8,4.6,3.8 bu,3.2 u,5.3
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Czechia,6.1,6.1,5.0 b,5.2,5.6,5.3,4.8,4.9 b,5.5,5.4 b,5.4 b,6.1,6.5,6.7,6.2,6.7,7.4,6.2 b,6.2,6.1
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Germany,9.8,11.5 b,11.8 b,10.8,10.0 b,9.4,10.2 b,10.1,9.0,8.3,7.9 b,8.3,7.7,7.6,7.8,7.6,7.4 b,9.3 b,9.5,9.4
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Denmark,8.4,8.6,8.7,12.3 b,12.2 b,11.1,11.3,9.9,9.4,8.0,7.8 b,7.9,7.3 b,8.6 b,10.2,9.6,9.1,9.7 b,9.8,10.4
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Euro area – 20 countries (from 2023),15.5,16.1,15.7,15.0,14.4,13.9,13.6,12.9,12.0,11.2,10.3 b,10.2,9.5,9.4,9.3,8.8,8.7,8.3 b,8.2,8.1
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Estonia,11.7,10.6,12.8,14.3,13.4,12.3 b,10.2,10.3,10.4,9.2,12.1 b,13.5,10.9,11.7,11.6,10.6,8.0,8.9 b,10.3,9.7
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Greece,11.7 b,11.0,12.9 b,11.8,11.0 b,9.9 b,9.5,9.3,8.4,7.6,7.5 b,6.9,5.5,5.4,3.9,3.0,3.0,2.8 b,3.6,3.3
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Spain,30.6,28.6 b,28.0 b,28.3,28.6,27.9,25.3,23.2,21.6,20.8,19.1 b,17.8,16.4,15.9,15.3,14.7,13.6,11.4 b,11.3,11.0
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,European Union - 27 countries (from 2020),14.2,14.6,14.0 b,13.5,13.0,12.6,12.5,11.9,11.3,10.7,10.0 b,10.0,9.5,9.4,9.2,8.8,8.7,8.5 b,8.3,8.2
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Finland,9.7,10.1,9.5,8.9,9.7,9.5,9.9,9.4,8.8,9.0,9.2 b,8.8,7.5,8.0,8.1,7.1,7.8,7.8 b,8.1,9.4
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,France,11.5,11.9,12.2,12.1,11.1,11.6,12.1,11.7,11.1,9.1 b,8.4 b,8.8,8.3,8.3,8.2,7.8,7.6,7.5 b,7.2,7.1
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Croatia,:,:,4.7 bu,4.5,4.3,4.5,4.4 b,5.0,5.0 b,4.3,2.8 bu,2.7 u,2.8 u,2.9 u,3.1 u,3.0 u,2.2 u,2.3 bu,2.1 u,2.0 u
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Hungary,12.5,12.5,12.5 b,11.4,11.7,11.4,10.7,11.4,11.7,11.9,11.5 b,11.6 b,12.4,12.5,12.5 b,11.9,12.1,12.0 b,12.2,11.6
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Ireland,13.2 b,12.5,12.3 b,12.3 b,11.9,11.2,11.0,10.2,9.2,8.1,6.7 b,6.8,5.9,5.1 b,5.2,5.2,5.0,3.3 b,3.5,3.8
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Iceland,24.6,24.6,: u,23.2,23.5,20.9 b,22.5,19.1,19.2,19.9,18.3 b,18.1,19.6,17.6,20.4,18.0,14.1 b,13.5 b,15.2,15.1
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Italy,:,20.8,18.9 b,18.0,17.6,16.9,16.4,15.4,14.9,14.9,13.1 b,12.8,11.9,12.1,12.2 b,11.3,12.1,10.9 b,9.8,9.0
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Lithuania,10.3 b,8.4,8.9 b,7.8,7.5,8.7,7.9,7.4,6.5,6.3,5.9 b,5.5,4.9,5.5,4.6,4.0,5.6,5.3 b,4.8,6.4
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Luxembourg,9.2,10.4,12.0 b,9.7 b,9.7,4.7 b,5.0,5.8,6.9,5.5,4.9 b,7.0 b,4.7,4.9,5.7,4.7,6.0,7.0 b,8.5,6.4 u
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Latvia,15.8,15.4,15.6 b,15.7,15.1 b,13.7,12.6,11.0,9.8,9.3,8.4 b,10.0,10.1,8.4,8.5,8.7,7.4,7.2 b,6.6,7.5
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Montenegro,:,:,:,:,:,:,:,7.0,6.6,4.6,4.6 b,5.5,5.0,4.9,4.4,5.1,3.7,:,:,:
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,North Macedonia,:,:,22.7,19.8 b,19.5,16.1,15.5,13.5,11.5,11.3,12.4 b,11.4,9.9,8.5,7.0,7.1,5.7,:,:,:
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Malta,:,33.1 b,32.2 b,30.6,27.8,26.0,21.4,18.8 b,17.9,16.6,16.4 b,16.4,14.9,14.0 b,12.2,11.5,11.9,9.2 b,6.1,5.6 u
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Netherlands,13.8,13.9 b,12.5 b,11.5,11.0,11.2,10.0,9.0,8.8,9.1 b,8.5 b,7.9,7.8,6.9,6.9,7.2 b,6.7,4.8 b,5.4,5.7
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Norway,:,:,17.6,18.3,17.0,17.7,17.5,16.4,14.8,13.5,11.5 b,10.0,10.9,10.4,9.6,9.9,9.9,11.8 b,12.3,12.1
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Poland,5.6 b,5.3,5.4,4.9,5.0 b,5.3,5.4 b,5.6,5.7,5.6 b,5.4 b,5.3,5.2,4.9,4.8 b,5.2 b,5.3,5.8 b,4.8,3.6
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Portugal,39.5 b,38.1,38.2 b,36.2,34.7,30.7,27.8,22.8 b,20.2,18.5,17.0 b,13.2,13.7,12.3,11.4,10.1,8.9,6.3 b,6.1,7.5
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Romania,22.4,19.6,17.9 b,17.3,15.9,16.7,19.3 b,18.1,17.8,17.3,18.1 b,19.1,18.6,18.1,16.4,15.4,15.6,15.3 b,15.6,16.6
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Serbia,:,:,:,:,:,:,8.3,8.4,8.1,8.8,8.3 b,7.5,7.0,6.2,6.8,6.6,5.5,7.5 b,5.8,5.9
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Sweden,9.0,10.5 b,8.2 b,7.6 b,7.5 b,6.6,6.2,6.1,6.9,6.5,6.0 b,6.3,6.2,6.4,6.0 b,4.8,5.6,6.6 b,7.1,6.7
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Slovenia,4.3,4.9,5.6 b,4.1,4.8,5.1,4.8,3.9,4.1,3.5,4.0 b,4.4,4.4,4.3,3.8,4.1,3.8,3.0 bu,3.5 u,4.5 b
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,Slovakia,6.8,6.3,6.6 b,6.5,6.0,4.9,4.7,5.1 b,5.3,6.4,6.7 b,6.9,7.4,9.3,8.5,8.4,7.6,7.8 b,7.4 b,6.4
Annual,Total,Population,Percentage,From 18 to 24 years,Reporting country,United Kingdom,16.9 b,16.9,16.9 b,16.9 b,17.2 b,16.0,15.1 b,15.2 b,13.5,12.5,11.9 b,11.0,11.2,10.6,10.6,10.9,:,:,:,:
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Austria,:,:,35.2 b,35.4,34.1,32.6,27.7,28.4,25.7,26.5,23.5 b,25.5,17.7,24.6,23.2,24.6,27.3,20.3 b,23.1,16.3
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,: u,: u,: u
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Belgium,:,:,33.4 b,36.4,36.1 b,28.3,29.5,28.2,31.3,28.1,21.5 b,26.1,26.9,22.7 b,30.5,27.0,25.9,23.8 b,19.7,14.1 u
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Bulgaria,:,:,: bu,:,:,:,: b,: bu,: u,: u,: bu,: u,: u,: u,: u,: bu,: u,: bu,: u,: u
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Switzerland,:,:,24.6,22.6,24.5,27.7,24.4 b,23.2,22.1,16.1,12.4 b,13.7,15.3,14.5,11.6,11.5,11.0,14.4 b,18.9,13.4
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Cyprus,:,:,23.3 bu,18.8 u,20.7 u,19.6 bu,24.7,28.3,24.8 u,20.1 u,34.0 bu,23.5 u,26.1,20.4 u,17.3 u,25.1,32.1,34.9 b,29.8,24.9
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Czechia,:,:,: bu,: u,: u,10.2 u,10.1 u,: bu,7.7 u,12.5 bu,12.2 bu,9.3 u,13.7 u,11.7 u,9.7 u,8.5 u,: u,9.6 bu,: u,13.2 u
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Germany,:,:,34.9 b,32.2,30.9 b,30.9,30.4 b,31.0,27.3,26.3,24.2 b,24.5,26.3,24.4,24.5,25.5,28.4 b,31.8 b,30.8,29.5
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Denmark,:,:,20.7 u,22.7 bu,25.0 b,25.7 u,21.9 u,20.9 u,15.3 u,15.8 u,14.1 bu,: u,: bu,17.2 bu,17.8 u,17.8 u,15.4 u,16.3 bu,15.7 u,: u
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Euro area – 20 countries (from 2023),:,:,38.9,38.4,38.8,38.2,37.7,37.2,34.8,31.4,29.2 b,27.8,27.6,25.8,27.1,27.7,28.8,26.7 b,26.9,26.1
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Estonia,:,:,: u,: u,18.8,22.6 b,19.9 u,14.0 u,: u,15.3 u,: bu,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Greece,:,:,51.2 b,48.5,52.5 b,52.9 b,50.3,48.4,42.0,34.7,26.3 b,21.5,16.4,14.0,15.5,20.9,22.7,19.3 bu,27.0,14.1 u
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Spain,:,:,47.8 b,48.4,49.9,47.7,46.6,45.6,44.7,42.0,43.4 b,37.4,38.2,34.7,35.8,38.2,33.9,26.1 b,31.5,33.0
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,European Union - 27 countries (from 2020),:,:,38.1 b,37.7,38.2,37.6,37.0,36.3,34.0,30.6,28.5 b,27.0,27.0,25.3,26.4,26.7,28.1,26.4 b,26.4,25.3
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Finland,:,:,: u,: u,: u,29.2 u,26.8 u,: u,: u,: u,: bu,: u,: u,: u,: u,: u,24.0 u,20.2 bu,: u,: u
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,France,:,:,23.1,27.6,26.0,28.6,27.6,24.5,27.8,20.1 b,18.4 b,18.9,18.4,16.7,17.9,16.6,15.1,12.9 b,13.3,15.6
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Croatia,:,:,: bu,: u,: u,73.3 u,82.4 bu,: u,: bu,: u,: bu,: u,: u,:,: u,: u,: u,: bu,: u,: u
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Hungary,:,:,: bu,: u,: u,: u,: u,: u,: u,: u,: bu,: bu,: u,: u,: bu,: u,: u,: bu,: u,: u
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Ireland,:,:,13.6 bu,12.9 bu,: u,11.6 u,12.8 u,16.3 u,10.7 u,11.0 u,: bu,: u,: u,: bu,: u,: u,: u,: bu,: u,: u
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Iceland,:,:,: u,: u,: u,: bu,: u,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: bu,: bu,: u,: u
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Italy,:,:,51.9 b,49.3,49.2,49.4,48.8,47.7,43.1,37.4,37.0 b,35.9,34.5,34.2,39.3 b,38.3,42.1,35.7 b,32.3,29.5
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Lithuania,:,:,: b,:,:,:,:,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Luxembourg,:,:,: bu,: bu,: u,: bu,: u,: u,: u,: u,: bu,: bu,: u,: u,: u,: u,: u,32.4 bu,: u,: u
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Latvia,:,:,: b,: u,19.1 b,21.2,16.5 u,20.4 u,22.3,: u,: bu,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Montenegro,:,:,:,:,:,:,:,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: u,:,:,:
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,North Macedonia,:,:,: u,: bu,: u,: u,: u,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: u,:,:,:
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Malta,:,:,: bu,: u,: u,: u,: u,: bu,: u,: u,: bu,: u,: u,20.5 bu,31.5 u,33.1,26.4 u,21.8 bu,29.3,24.9 u
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Netherlands,:,:,25.4 b,25.1,24.1,15.4,15.1,17.5,14.5,15.0 b,10.9 b,16.5,12.9,11.0,12.8,15.1 b,14.7,8.4 b,7.2,14.3
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Norway,:,:,22.9,21.8,20.3 u,20.8,15.7 u,18.8,13.7 u,17.8,16.8 b,12.8,11.6 u,: u,: u,: u,: u,: bu,: u,: u
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Poland,:,:,: u,: u,: bu,: u,: bu,: u,: u,: bu,: bu,: u,: u,: u,: bu,: bu,: u,: bu,: u,: u
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Portugal,:,:,47.6 b,43.6,40.5,32.7,37.3,23.8 b,26.9,26.5,24.9 b,22.0,: u,: u,: u,22.0,: u,: bu,: u,18.5 u
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Romania,:,:,: bu,: u,: u,: u,: bu,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Serbia,:,:,:,:,:,:,: u,: u,: u,: u,: bu,: u,: u,: u,: u,: u,: u,: bu,: u,: u
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Sweden,:,:,24.7 bu,28.1 bu,23.4 bu,18.9 u,16.7,18.6,18.9,18.2,18.8 b,19.9,23.5,24.7,23.4 b,21.0,24.3,25.9 bu,25.5,18.0
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Slovenia,:,:,: bu,: u,: u,: u,: u,15.8 u,18.8 u,25.7 u,18.6 bu,20.5 u,19.4 u,: u,9.7 u,11.4 u,8.7 u,: bu,: u,14.1 bu
Annual,Total,Population,Percentage,From 18 to 24 years,Non-EU27 countries (from 2020) nor reporting country,Slovakia,:,:,: b,:,:,:,:,:,:,: u,: bu,:,: u,: u,: u,: u,: u,: bu,: bu,: u
