Time frequency,Unit of measure,Severity (days lost),Activity and employment status,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Geopolitical entity (reporting)\Time,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0
Annual,Rate,Fatal,Contributing family workers,"Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; transport; financial intermediation; real estate",European Union - 15 countries (1995-2004) and Norway,4.1,4.1,4.3,4.3,4.8,4.9,3.3,4.0,2.4,2.7,3.0,2.3
Annual,Rate,Fatal,Contributing family workers,Manufacturing,European Union - 15 countries (1995-2004) and Norway,4.9,3.9,2.6,2.7,1.9,:,0.8,0.7,1.1,:,:,1.0
Annual,Rate,Fatal,Contributing family workers,"Electricity, gas and water supply",European Union - 15 countries (1995-2004) and Norway,0.0,:,0.0,:,:,:,:,: p,: p,:,:,:
Annual,Rate,Fatal,Contributing family workers,Construction,European Union - 15 countries (1995-2004) and Norway,4.9,6.5,3.5,1.6,3.4,1.3,1.3,2.6,2.7,4.0,4.2,1.2
Annual,Rate,Fatal,Contributing family workers,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union - 15 countries (1995-2004) and Norway,0.4,0.0,0.0,:,:,:,0.3,0.4,: p,0.4,0.5,:
Annual,Rate,Fatal,Contributing family workers,Hotels and restaurants,European Union - 15 countries (1995-2004) and Norway,0.0,0.0,0.0,:,:,:,:,: p,: p,:,:,:
Annual,Rate,Fatal,Contributing family workers,"Transport, storage and communication",European Union - 15 countries (1995-2004) and Norway,24.1,0.0,0.0,12.7,:,4.9,4.3,: p,3.9,4.5,4.6,8.7
Annual,Rate,Fatal,Contributing family workers,Financial intermediation; real estate,European Union - 15 countries (1995-2004) and Norway,0.0,0.0,0.0,:,:,:,:,: p,: p,:,:,:
Annual,Rate,Fatal,Employed persons,"Agriculture, hunting and forestry",European Union - 15 countries (1995-2004) and Norway,12.9,12.6,12.4,13.3,12.8,11.9,11.2,10.4,12.2,10.3,9.4,8.8
Annual,Rate,Fatal,Employed persons,"Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; transport; financial intermediation; real estate",European Union - 15 countries (1995-2004) and Norway,5.3,5.2,5.0,4.7,4.6,4.2,4.1,3.9,3.8,3.4,3.4,2.8
Annual,Rate,Fatal,Employed persons,Manufacturing,European Union - 15 countries (1995-2004) and Norway,3.9,4.0,3.7,3.3,3.2,3.1,2.9,2.8,2.8,2.6,2.4,2.2
Annual,Rate,Fatal,Employed persons,"Electricity, gas and water supply",European Union - 15 countries (1995-2004) and Norway,5.7,3.6,3.2,3.2,3.7,4.2,4.1,4.2,4.4,3.4,3.9,2.2
Annual,Rate,Fatal,Employed persons,Construction,European Union - 15 countries (1995-2004) and Norway,13.3,13.1,12.8,11.6,11.3,10.6,10.4,10.6,9.6,8.8,9.0,7.5
Annual,Rate,Fatal,Employed persons,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union - 15 countries (1995-2004) and Norway,2.5,2.4,2.5,2.3,2.1,1.7,1.8,1.7,1.5,1.4,1.5,1.1
Annual,Rate,Fatal,Employed persons,Hotels and restaurants,European Union - 15 countries (1995-2004) and Norway,1.1,1.2,1.3,1.4,1.3,0.8,0.8,1.0,1.0,0.9,0.9,0.8
Annual,Rate,Fatal,Employed persons,"Transport, storage and communication",European Union - 15 countries (1995-2004) and Norway,12.0,12.1,11.8,11.2,10.8,10.2,9.2,8.2,8.2,7.6,7.0,6.2
Annual,Rate,Fatal,Employed persons,Financial intermediation; real estate,European Union - 15 countries (1995-2004) and Norway,1.6,1.8,1.7,1.6,1.4,1.4,1.6,1.6,1.2,1.3,1.2,1.0
Annual,Rate,Fatal,Employees,"Agriculture, hunting and forestry",European Union - 15 countries (1995-2004) and Norway,12.4,11.5,11.7,13.1,11.0,10.1,:,9.3,: p,9.3,7.7,8.5
Annual,Rate,Fatal,Employees,"Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; transport; financial intermediation; real estate",European Union - 15 countries (1995-2004) and Norway,5.3,5.1,5.0,4.7,4.5,4.1,4.2,3.9,3.9,3.4,3.4,2.8
Annual,Rate,Fatal,Employees,Manufacturing,European Union - 15 countries (1995-2004) and Norway,3.8,3.9,3.6,3.3,3.1,3.1,3.0,2.8,2.8,2.6,2.4,2.2
Annual,Rate,Fatal,Employees,"Electricity, gas and water supply",European Union - 15 countries (1995-2004) and Norway,5.7,3.6,3.3,3.2,:,:,:,: p,: p,:,:,:
Annual,Rate,Fatal,Employees,Construction,European Union - 15 countries (1995-2004) and Norway,14.8,14.1,13.9,12.1,11.7,11.4,11.6,11.6,10.8,9.7,9.7,8.1
Annual,Rate,Fatal,Employees,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union - 15 countries (1995-2004) and Norway,2.8,2.6,2.8,2.6,2.2,1.9,2.0,1.8,1.6,1.5,1.6,1.1
Annual,Rate,Fatal,Employees,Hotels and restaurants,European Union - 15 countries (1995-2004) and Norway,1.1,1.4,1.5,1.6,1.5,:,:,: p,: p,0.9,:,0.8
Annual,Rate,Fatal,Employees,"Transport, storage and communication",European Union - 15 countries (1995-2004) and Norway,11.8,11.6,11.5,10.9,10.7,10.1,9.2,8.2,8.3,7.3,6.9,6.1
Annual,Rate,Fatal,Employees,Financial intermediation; real estate,European Union - 15 countries (1995-2004) and Norway,1.7,1.9,1.9,1.8,1.5,1.5,1.8,1.8,1.3,1.4,1.3,1.1
Annual,Rate,Fatal,Self-employed persons,"Agriculture, hunting and forestry",European Union - 15 countries (1995-2004) and Norway,15.1,15.0,13.9,14.5,15.5,13.6,:,11.2,: p,11.5,10.7,9.0
Annual,Rate,Fatal,Self-employed persons,"Agriculture; manufacturing; electricity, gas and water supply; construction; wholesale and retail trade; hotels and restaurants; transport; financial intermediation; real estate",European Union - 15 countries (1995-2004) and Norway,5.7,6.2,5.2,5.3,5.7,4.5,3.7,3.9,3.5,3.4,3.3,2.6
Annual,Rate,Fatal,Self-employed persons,Manufacturing,European Union - 15 countries (1995-2004) and Norway,5.6,7.3,5.0,3.7,5.1,4.0,1.9,2.8,3.3,2.4,2.7,2.3
Annual,Rate,Fatal,Self-employed persons,"Electricity, gas and water supply",European Union - 15 countries (1995-2004) and Norway,0.0,0.0,0.0,:,:,:,:,: p,: p,:,:,:
Annual,Rate,Fatal,Self-employed persons,Construction,European Union - 15 countries (1995-2004) and Norway,6.7,8.7,7.7,9.6,9.4,7.0,5.2,6.3,5.0,5.0,6.0,4.7
Annual,Rate,Fatal,Self-employed persons,"Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods",European Union - 15 countries (1995-2004) and Norway,1.3,1.5,1.2,1.0,1.4,0.6,0.9,1.0,0.9,0.8,1.1,0.9
Annual,Rate,Fatal,Self-employed persons,Hotels and restaurants,European Union - 15 countries (1995-2004) and Norway,1.1,0.6,0.0,:,0.4,:,:,: p,: p,1.3,:,0.8
Annual,Rate,Fatal,Self-employed persons,"Transport, storage and communication",European Union - 15 countries (1995-2004) and Norway,14.0,19.0,15.4,15.0,12.5,12.0,9.7,8.0,7.8,11.2,7.9,7.4
Annual,Rate,Fatal,Self-employed persons,Financial intermediation; real estate,European Union - 15 countries (1995-2004) and Norway,0.7,0.7,0.4,0.3,0.4,0.7,0.4,0.5,0.6,0.5,0.4,0.4
