Time frequency,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,14 years,Total,Percentage,Montenegro,:,: d,:,:,:,:,:,:
Annual,14 years,Total,Percentage,North Macedonia,: d,: d,: d,13.76 d,14.7,: d,: d,: d
Annual,14 years,Total,Percentage,Malta,1.16,1.16,0.85,0.54,0.1,0.99,0.1,0.33 p
Annual,14 years,Total,Percentage,Netherlands,0.31,0.36,0.43,0.36,0.40 e,0.40 e,0.44 e,0.45
Annual,14 years,Total,Percentage,Norway,0.43,0.27,0.27,0.67,0.46,0.53,0.47,0.6
Annual,14 years,Total,Percentage,Poland,4.35 d,4.60 d,4.79 d,4.99 e,4.86 e,4.66 e,4.15,3.98 p
Annual,14 years,Total,Percentage,Portugal,1.08,0.16,0.16,0.21,0.0,0.0,0.0,0.00 p
Annual,14 years,Total,Percentage,Romania,9.75,10.10 d,11.14 d,11.24 d,10.87 d,11.35 d,13.25 d,15.21
Annual,14 years,Total,Percentage,Serbia,0.0,3.35,4.11,3.17,2.81,3.09,1.35,0.0
Annual,14 years,Total,Percentage,Sweden,0.98,0.0,0.0,0.53,0.72,0.62,0.36,0.62
Annual,14 years,Total,Percentage,Slovenia,3.64 d,2.31 d,1.90 d,1.51,1.24,0.95,1.74,1.24
Annual,14 years,Total,Percentage,Slovakia,3.6,3.52,3.95,4.04,4.85,4.43,4.36,3.28
Annual,14 years,Total,Percentage,Türkiye,: d,: d,: d,4.15,3.41,2.21,2.13,1.84
Annual,14 years,Total,Percentage,United Kingdom,1.10 d,0.49 d,1.02 d,1.22 d,1.44 d,:,:,:
Annual,15 years,Females,Percentage,Albania,:,:,:,:,:,:,11.19,9.88 d
Annual,15 years,Females,Percentage,Austria,4.65,4.69,4.52,4.55,4.5,4.05,3.85,4.47
Annual,15 years,Females,Percentage,Belgium,1.77,1.76,1.1,0.87,0.85,0.80 bd,0.4,0.53
Annual,15 years,Females,Percentage,Bulgaria,11.46,13.69,14.53,17.36,16.39,16.44,15.85,15.44
Annual,15 years,Females,Percentage,Switzerland,2.65,2.78,2.98,2.72,2.94,2.48,2.48,2.53
Annual,15 years,Females,Percentage,Cyprus,0.7,5.2,5.11,4.54,4.67,3.38,0.0,0.0
Annual,15 years,Females,Percentage,Czechia,: d,: d,: d,1.08,1.16,1.13,0.43,0.61
Annual,15 years,Females,Percentage,Germany,0.70 d,1.76 d,1.39 d,1.24 d,1.29,1.47 bd,0.0,1.44
Annual,15 years,Females,Percentage,Denmark,0.89,1.07,0.9,0.87,0.77,0.68,0.68,1.04
Annual,15 years,Females,Percentage,Estonia,1.89 d,2.12 d,2.66 d,2.14 d,1.88 d,2.14 d,1.96 d,1.85
Annual,15 years,Females,Percentage,Greece,7.69,4.75,7.44,5.41,0.39,5.37,4.16,0.82
Annual,15 years,Females,Percentage,Spain,3.36,2.97,3.37,3.06,3.24,3.17,2.79,3.37
Annual,15 years,Females,Percentage,European Union - 27 countries (from 2020),2.96 d,3.29 d,3.06 d,2.91,2.77,2.76,2.55,3.02
Annual,15 years,Females,Percentage,European Union - 28 countries (2013-2020),2.62 d,2.87 d,2.65 d,2.71,2.54,:,:,:
Annual,15 years,Females,Percentage,Finland,2.05,1.78,1.27,1.01,1.78,1.37,1.02,1.47
Annual,15 years,Females,Percentage,France,2.21,2.65,2.0,2.18 p,1.87 p,1.63 p,1.54 p,1.41 p
Annual,15 years,Females,Percentage,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,15 years,Females,Percentage,Hungary,2.97,3.48,2.66,3.73,2.68,3.74,5.83,6.08
Annual,15 years,Females,Percentage,Ireland,0.00 d,0.00 d,0.00 d,0.00 d,0.0,0.0,0.0,0.0
Annual,15 years,Females,Percentage,Iceland,0.7,1.33,0.63,1.39,0.7,1.49,0.87,0.8
Annual,15 years,Females,Percentage,Italy,2.69,3.04,2.85,1.89 d,1.44,1.05,1.8,2.62
Annual,15 years,Females,Percentage,Liechtenstein,7.73,8.96,57.46,10.1,10.47,6.57,10.34,4.66
Annual,15 years,Females,Percentage,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,15 years,Females,Percentage,Luxembourg,3.88,6.78,2.41,5.1,2.41,3.9,3.16,4.64
Annual,15 years,Females,Percentage,Latvia,1.52,1.17,0.0,0.0,1.83,1.72,0.98,1.15
Annual,15 years,Females,Percentage,Montenegro,:,: d,:,:,:,:,:,:
Annual,15 years,Females,Percentage,North Macedonia,: d,: d,: d,97.73 d,96.88,: d,: d,: d
Annual,15 years,Females,Percentage,Malta,2.7,2.49,2.91,2.07,0.0,0.73,1.45,0.00 p
Annual,15 years,Females,Percentage,Netherlands,0.28,0.33,0.34,0.35,0.19 e,0.36 e,0.32 e,0.39
Annual,15 years,Females,Percentage,Norway,0.0,0.09,0.0,0.14,0.23,0.2,0.09,0.08
Annual,15 years,Females,Percentage,Poland,4.23 d,4.42 d,4.59 d,4.48 e,4.59 e,4.42 e,4.28,3.65
Annual,15 years,Females,Percentage,Portugal,0.62,1.76,0.0,0.0,0.0,0.0,0.0,0.00 p
Annual,15 years,Females,Percentage,Romania,14.66,15.76 d,15.46 d,15.12 d,17.14 d,16.51 d,17.11 d,20.8
Annual,15 years,Females,Percentage,Serbia,4.84,4.05,7.23,6.99,5.94,8.84,6.03,7.06
Annual,15 years,Females,Percentage,Sweden,0.74,0.32,0.0,0.51,0.83,0.56,0.53,0.27
Annual,15 years,Females,Percentage,Slovenia,2.89 d,2.48 d,3.38 d,1.74,2.05,2.96,2.43,2.21
Annual,15 years,Females,Percentage,Slovakia,2.5,2.09,1.95,2.9,1.73,2.72,2.05,3.17
Annual,15 years,Females,Percentage,Türkiye,: d,: d,: d,8.02,8.47,6.57,5.59,5.21
Annual,15 years,Females,Percentage,United Kingdom,0.54 d,0.16 d,0.00 d,1.49 d,1.14 d,:,:,:
Annual,15 years,Males,Percentage,Albania,:,:,:,:,:,:,7.1,3.37
Annual,15 years,Males,Percentage,Austria,6.15,7.63,7.5,6.38,6.0,5.71,5.54,6.02
Annual,15 years,Males,Percentage,Belgium,1.93,2.09,0.77,0.69,0.78,0.94 bd,0.35,0.61
Annual,15 years,Males,Percentage,Bulgaria,7.12,8.15,10.59,13.39,12.34,12.6,11.99,12.06
Annual,15 years,Males,Percentage,Switzerland,1.55,1.64,1.57,1.52,1.72,1.74,1.54,1.33
Annual,15 years,Males,Percentage,Cyprus,0.0,3.68,4.44,1.32,4.58,1.26,0.0,0.0
Annual,15 years,Males,Percentage,Czechia,: d,: d,: d,1.04,1.02,1.01,0.26,0.0
Annual,15 years,Males,Percentage,Germany,1.19 d,3.11 d,1.95 d,2.04 d,2.0,2.31 bd,0.0,2.53
Annual,15 years,Males,Percentage,Denmark,0.96,1.22,0.97,0.8,0.83,0.69,0.69,1.03
Annual,15 years,Males,Percentage,Estonia,2.35 d,2.22 d,2.12 d,2.35 d,2.29 d,2.30 d,1.76 d,1.54
Annual,15 years,Males,Percentage,Greece,6.47,3.51,5.42,6.81,1.01,6.4,5.0,1.49
Annual,15 years,Males,Percentage,Spain,3.22,3.41,3.62,3.42,3.57,3.32,3.56,3.64
Annual,15 years,Males,Percentage,European Union - 27 countries (from 2020),2.94 d,3.48 d,3.18 d,3.07,2.84 d,3.03,2.73,3.33
Annual,15 years,Males,Percentage,European Union - 28 countries (2013-2020),2.65 d,3.05 d,2.77 d,2.9,2.62 d,:,:,:
Annual,15 years,Males,Percentage,Finland,2.07,1.71,1.27,1.12,1.74,1.42,0.94,1.34
Annual,15 years,Males,Percentage,France,2.69,2.87,2.77,2.00 p,1.81 p,1.92 p,2.05 p,2.00 p
Annual,15 years,Males,Percentage,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,15 years,Males,Percentage,Hungary,2.52,3.66,1.81,3.33,3.21,3.2,5.71,6.62
Annual,15 years,Males,Percentage,Ireland,0.00 d,0.00 d,0.00 d,0.00 d,0.0,0.0,0.0,0.0
Annual,15 years,Males,Percentage,Iceland,0.57,0.58,0.19,1.28,0.83,1.26,1.07,1.16
Annual,15 years,Males,Percentage,Italy,1.72,2.35,1.77,1.72 d,0.58,0.86,1.63,2.53
Annual,15 years,Males,Percentage,Liechtenstein,2.13,5.61,0.0,0.51,0.0,1.94,0.0,2.04
Annual,15 years,Males,Percentage,Lithuania,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,15 years,Males,Percentage,Luxembourg,6.35,8.62,5.9,6.6,4.81,5.18,5.65,3.69
Annual,15 years,Males,Percentage,Latvia,1.47,1.83,0.53,0.0,2.23,2.33,1.66,1.95
Annual,15 years,Males,Percentage,Montenegro,:,: d,:,:,:,:,:,:
Annual,15 years,Males,Percentage,North Macedonia,: d,: d,: d,96.51 d,96.27,: d,: d,: d
Annual,15 years,Males,Percentage,Malta,2.02,3.2,1.73,1.53,0.37,1.71,1.42,1.13 p
Annual,15 years,Males,Percentage,Netherlands,0.48,0.44,0.61,0.7,0.51 e,0.69 e,0.64 e,0.77
Annual,15 years,Males,Percentage,Norway,0.0,0.0,0.0,0.0,0.13,0.08,0.04,0.14
Annual,15 years,Males,Percentage,Poland,4.14 d,4.38 d,4.54 d,4.66 e,4.75 e,4.52 e,4.33,3.94
Annual,15 years,Males,Percentage,Portugal,0.46,1.74,0.24,0.0,0.0,0.0,0.0,0.00 p
Annual,15 years,Males,Percentage,Romania,15.08,15.58 d,16.36 d,15.70 d,17.34 d,17.09 d,17.39 d,20.12
Annual,15 years,Males,Percentage,Serbia,3.43,3.24,6.2,4.15,5.58,7.1,6.31,6.5
Annual,15 years,Males,Percentage,Sweden,0.27,0.0,0.0,0.0,0.5,0.46,0.21,0.39
Annual,15 years,Males,Percentage,Slovenia,2.48 d,2.42 d,2.76 d,1.4,1.48,2.12,1.87,2.25
Annual,15 years,Males,Percentage,Slovakia,1.59,1.95,2.09,1.81,1.77,2.12,2.07,3.23
Annual,15 years,Males,Percentage,Türkiye,: d,: d,: d,7.89,6.14,5.36,4.3,4.17
Annual,15 years,Males,Percentage,United Kingdom,0.86 d,0.31 d,0.13 d,1.81 d,1.30 d,:,:,:
Annual,15 years,Total,Percentage,Albania,:,:,:,:,:,:,9.09,6.56 d
Annual,15 years,Total,Percentage,Austria,5.42,6.21,6.07,5.49,5.28,4.9,4.72,5.26
Annual,15 years,Total,Percentage,Belgium,1.85,1.93,0.93,0.78,0.82,0.87 bd,0.38,0.57
Annual,15 years,Total,Percentage,Bulgaria,9.24,10.85,12.5,15.3,14.3,14.47,13.87,13.7
Annual,15 years,Total,Percentage,Switzerland,2.09,2.19,2.26,2.11,2.32,2.1,2.0,1.91
Annual,15 years,Total,Percentage,Cyprus,0.21,4.42,4.77,2.88,4.62,2.32,0.0,0.0
Annual,15 years,Total,Percentage,Czechia,: d,: d,: d,1.06,1.09,1.07,0.34,0.12
Annual,15 years,Total,Percentage,Germany,0.95 d,2.46 d,1.68 d,1.66 d,1.66,1.90 bd,0.0,2.0
Annual,15 years,Total,Percentage,Denmark,0.93,1.14,0.94,0.84,0.8,0.69,0.69,1.03
Annual,15 years,Total,Percentage,Estonia,2.13 d,2.17 d,2.38 d,2.25 d,2.08 d,2.22 d,1.86 d,1.69
Annual,15 years,Total,Percentage,Greece,7.07,4.12,6.41,6.13,0.71,5.91,4.6,1.16
Annual,15 years,Total,Percentage,Spain,3.29,3.2,3.5,3.25,3.41,3.25,3.19,3.51
Annual,15 years,Total,Percentage,European Union - 27 countries (from 2020),2.95 d,3.38 d,3.12 d,2.98,2.80 d,2.92,2.64,3.18
Annual,15 years,Total,Percentage,European Union - 28 countries (2013-2020),2.63 d,2.96 d,2.70 d,2.8,2.58 d,:,:,:
Annual,15 years,Total,Percentage,Finland,2.06,1.75,1.27,1.07,1.76,1.4,0.98,1.4
Annual,15 years,Total,Percentage,France,2.45,2.76,2.4,2.09 p,1.84 p,1.78 p,1.80 p,1.71 p
Annual,15 years,Total,Percentage,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,15 years,Total,Percentage,Hungary,2.74,3.58,2.22,3.53,2.95,3.46,5.77,6.36
Annual,15 years,Total,Percentage,Ireland,0.00 d,0.00 d,0.00 d,0.00 d,0.0,0.0,0.0,0.0
Annual,15 years,Total,Percentage,Iceland,0.63,0.95,0.4,1.33,0.76,1.37,0.98,0.99
Annual,15 years,Total,Percentage,Italy,2.19,2.69,2.29,1.80 d,1.0,0.95,1.71,2.57
Annual,15 years,Total,Percentage,Liechtenstein,5.15,7.23,25.84,5.3,3.41,4.21,4.03,3.34
Annual,15 years,Total,Percentage,Lithuania,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,15 years,Total,Percentage,Luxembourg,5.14,7.73,4.16,5.88,3.66,4.56,4.48,4.16
Annual,15 years,Total,Percentage,Latvia,1.5,1.5,0.09,0.0,2.04,2.03,1.33,1.56
Annual,15 years,Total,Percentage,Montenegro,:,: d,:,:,:,:,:,:
Annual,15 years,Total,Percentage,North Macedonia,: d,: d,: d,97.10 d,96.57,: d,: d,: d
Annual,15 years,Total,Percentage,Malta,2.36,2.84,2.31,1.79,0.19,1.23,1.44,0.19 p
Annual,15 years,Total,Percentage,Netherlands,0.38,0.39,0.48,0.53,0.35 e,0.53 e,0.49 e,0.58
Annual,15 years,Total,Percentage,Norway,0.0,0.05,0.0,0.0,0.18,0.14,0.06,0.11
Annual,15 years,Total,Percentage,Poland,4.18 d,4.40 d,4.56 d,4.57 e,4.67 e,4.47 e,4.3,3.80 p
Annual,15 years,Total,Percentage,Portugal,0.54,1.75,0.12,0.0,0.0,0.0,0.0,0.00 p
Annual,15 years,Total,Percentage,Romania,14.88,15.67 d,15.93 d,15.42 d,17.25 d,16.81 d,17.26 d,20.46
Annual,15 years,Total,Percentage,Serbia,4.11,3.64,6.7,5.53,5.75,7.94,6.17,6.77
Annual,15 years,Total,Percentage,Sweden,0.5,0.0,0.0,0.01,0.66,0.51,0.36,0.33
Annual,15 years,Total,Percentage,Slovenia,2.68 d,2.45 d,3.06 d,1.56,1.75,2.53,2.14,2.23
Annual,15 years,Total,Percentage,Slovakia,2.03,2.02,2.02,2.34,1.75,2.41,2.06,3.2
Annual,15 years,Total,Percentage,Türkiye,: d,: d,: d,7.96,7.27,5.95,4.93,4.68
Annual,15 years,Total,Percentage,United Kingdom,0.70 d,0.23 d,0.00 d,1.65 d,1.22 d,:,:,:
Annual,16 years,Females,Percentage,Albania,:,:,:,:,:,:,14.68,14.41 d
Annual,16 years,Females,Percentage,Austria,7.85,7.95,8.6,8.34,8.3,8.36,7.64,8.51
Annual,16 years,Females,Percentage,Belgium,1.98,1.48,0.6,0.81,1.56,0.77 bd,0.96,1.8
Annual,16 years,Females,Percentage,Bulgaria,13.27,16.16,17.64,19.43,19.13,19.85,19.99,17.9
Annual,16 years,Females,Percentage,Switzerland,8.11,8.41,8.03,8.53,8.15,7.84,7.04,7.37
Annual,16 years,Females,Percentage,Cyprus,5.68,4.25,5.18,8.04,7.72,8.23,3.91,1.77
Annual,16 years,Females,Percentage,Czechia,: d,: d,: d,3.37,3.02,3.24,2.23,2.47
Annual,16 years,Females,Percentage,Germany,3.14 d,4.74 d,4.73 d,5.48 d,4.63,5.24 bd,2.57,4.7
Annual,16 years,Females,Percentage,Denmark,5.07,5.49,6.02,4.7,4.75,4.47,4.22,4.35
Annual,16 years,Females,Percentage,Estonia,3.11 d,3.63 d,3.45 d,4.13 d,3.56 d,3.57 d,3.36 d,3.54
Annual,16 years,Females,Percentage,Greece,7.98,8.98,6.0,9.28,1.93,7.95,6.21,4.16
Annual,16 years,Females,Percentage,Spain,3.92,3.52,3.02,3.47,3.15,3.05,3.02,3.83
Annual,16 years,Females,Percentage,European Union - 27 countries (from 2020),4.89 d,5.23 d,5.02 d,4.92,4.53,4.69,4.01,4.69
Annual,16 years,Females,Percentage,European Union - 28 countries (2013-2020),4.24 d,4.49 d,4.33 d,4.37,4.17,:,:,:
Annual,16 years,Females,Percentage,Finland,4.41,4.79,4.64,4.43,4.22,3.87,3.45,3.36
