Time frequency,Person/support service,Unit of measure,Geopolitical entity (reporting)\Time,2021.0
Annual,"Unofficial (colleague, close person or someone else)",Percentage,Greece,80.6
Annual,"Unofficial (colleague, close person or someone else)",Percentage,Spain,79.1
Annual,"Unofficial (colleague, close person or someone else)",Percentage,European Union (aggregate changing according to the context),78.0 e
Annual,"Unofficial (colleague, close person or someone else)",Percentage,Finland,88.8
Annual,"Unofficial (colleague, close person or someone else)",Percentage,France,78.5
Annual,"Unofficial (colleague, close person or someone else)",Percentage,Croatia,87.8
Annual,"Unofficial (colleague, close person or someone else)",Percentage,Hungary,74.6
Annual,"Unofficial (colleague, close person or someone else)",Percentage,Ireland,87.0
Annual,"Unofficial (colleague, close person or someone else)",Percentage,Lithuania,74.2
Annual,"Unofficial (colleague, close person or someone else)",Percentage,Luxembourg,87.7
Annual,"Unofficial (colleague, close person or someone else)",Percentage,Latvia,77.9 u
Annual,"Unofficial (colleague, close person or someone else)",Percentage,Montenegro,: u
Annual,"Unofficial (colleague, close person or someone else)",Percentage,Malta,65.7
Annual,"Unofficial (colleague, close person or someone else)",Percentage,Netherlands,89.0
Annual,"Unofficial (colleague, close person or someone else)",Percentage,Poland,74.1
Annual,"Unofficial (colleague, close person or someone else)",Percentage,Portugal,31.6 u
Annual,"Unofficial (colleague, close person or someone else)",Percentage,Romania,61.7
Annual,"Unofficial (colleague, close person or someone else)",Percentage,Serbia,78.6 u
Annual,"Unofficial (colleague, close person or someone else)",Percentage,Sweden,86.2
Annual,"Unofficial (colleague, close person or someone else)",Percentage,Slovenia,86.0
Annual,"Unofficial (colleague, close person or someone else)",Percentage,Slovakia,: u
Annual,"Unofficial (colleague, close person or someone else)",Percentage,Kosovo*,: u
Annual,Official body (support/health/social service or police or officials at work),Percentage,Austria,39.8
Annual,Official body (support/health/social service or police or officials at work),Percentage,Belgium,33.6
Annual,Official body (support/health/social service or police or officials at work),Percentage,Bulgaria,51.3 u
Annual,Official body (support/health/social service or police or officials at work),Percentage,Cyprus,: u
Annual,Official body (support/health/social service or police or officials at work),Percentage,Czechia,39.2 u
Annual,Official body (support/health/social service or police or officials at work),Percentage,Germany,53.6 u
Annual,Official body (support/health/social service or police or officials at work),Percentage,Denmark,26.5
Annual,Official body (support/health/social service or police or officials at work),Percentage,Estonia,37.0
Annual,Official body (support/health/social service or police or officials at work),Percentage,Greece,27.5
Annual,Official body (support/health/social service or police or officials at work),Percentage,Spain,37.3
Annual,Official body (support/health/social service or police or officials at work),Percentage,European Union (aggregate changing according to the context),37.3 e
Annual,Official body (support/health/social service or police or officials at work),Percentage,Finland,32.0
Annual,Official body (support/health/social service or police or officials at work),Percentage,France,29.0
Annual,Official body (support/health/social service or police or officials at work),Percentage,Croatia,20.5 u
Annual,Official body (support/health/social service or police or officials at work),Percentage,Hungary,26.8 u
Annual,Official body (support/health/social service or police or officials at work),Percentage,Ireland,55.0 u
Annual,Official body (support/health/social service or police or officials at work),Percentage,Lithuania,29.7 u
Annual,Official body (support/health/social service or police or officials at work),Percentage,Luxembourg,33.7
Annual,Official body (support/health/social service or police or officials at work),Percentage,Latvia,45.4 u
Annual,Official body (support/health/social service or police or officials at work),Percentage,Montenegro,: u
Annual,Official body (support/health/social service or police or officials at work),Percentage,Malta,30.1 u
Annual,Official body (support/health/social service or police or officials at work),Percentage,Netherlands,41.3
Annual,Official body (support/health/social service or police or officials at work),Percentage,Poland,38.2 u
Annual,Official body (support/health/social service or police or officials at work),Percentage,Portugal,28.5 u
Annual,Official body (support/health/social service or police or officials at work),Percentage,Romania,29.3 u
Annual,Official body (support/health/social service or police or officials at work),Percentage,Serbia,38.5 u
Annual,Official body (support/health/social service or police or officials at work),Percentage,Sweden,37.9
Annual,Official body (support/health/social service or police or officials at work),Percentage,Slovenia,35.4 u
Annual,Official body (support/health/social service or police or officials at work),Percentage,Slovakia,: u
Annual,Official body (support/health/social service or police or officials at work),Percentage,Kosovo*,: u
