Time frequency,Unit of measure,Type of household,Income situation in relation to the risk of poverty threshold,Sex,Age class,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Estonia,:,12.8,11.7,10.2,9.7,7.4,6.9,6.8,5.9,5.0,4.9,4.0 b,3.3,3.6,3.0,2.4,2.1,1.7
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Greece,0.6,0.7,0.7,0.7,0.4,0.6,0.6,0.4,0.5,0.3,0.5,0.5,0.3,0.2,0.2,0.1,0.1,0.1
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Spain,:,0.1,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.2,0.2,0.2
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,:,:,:,:,1.4 e,1.3 e,1.2 e,1.1 e,1.1 e,1.0 e,0.9 e,0.7 e,:
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,European Union - 27 countries (2007-2013),:,:,:,:,2.0,1.9,1.7,1.7,1.5,1.4,1.3,1.2,1.1,1.1,1.0 e,0.9 e,0.7 e,:
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,1.9 e,1.8 e,1.6 e,1.5 e,1.4 e,1.2 e,1.2 e,1.2 e,1.0 e,0.8 e,0.8
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,1.7,1.5,1.4,1.3,1.2,1.1,1.1,1.0 e,0.9 e,0.7 e,:
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Finland,:,0.4,0.4,0.4,0.3,0.5,0.3,0.3,0.4,0.4,0.3,0.2,0.2,0.2,0.1,0.1,0.2,0.2
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,France,:,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.4 b
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Croatia,:,:,:,:,:,:,:,0.1,0.3,0.6 b,0.3,0.6,0.6,0.4,0.4,0.3,0.2,0.3
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Hungary,:,:,4.3,2.3,2.0,2.2,2.2,2.2,1.9,1.6,1.7,1.7,1.4,2.0,2.3,2.1,1.7,0.7
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Ireland,0.1,0.4,0.4,0.1,0.2,0.3,0.2,0.2,2.5,0.3,0.2,0.1,0.0,0.1,0.0,0.0,0.1 b,0.1 bu
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Iceland,:,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Italy,:,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.2,0.3,0.4,0.5
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Lithuania,:,:,15.9,14.7,11.6,11.6,10.0,10.9,11.0,9.8,7.9,7.0,5.4,5.8,5.9,4.6,5.0,3.3
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Luxembourg,0.2,0.2,0.1,0.1,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.6 b,0.1,0.0,0.0,0.0 b
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Latvia,:,:,14.6,11.6,14.7,9.7 b,8.6,10.2,10.7,10.1,9.6,8.6,7.2,6.7,5.6,5.6,4.0,4.1
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Montenegro,:,:,:,:,:,:,:,:,:,:,1.6,1.2,1.1,1.1,1.5,0.3,0.4,0.4
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,North Macedonia,:,:,:,:,:,:,:,:,:,3.2,2.5,3.2,2.2,2.0,0.9,0.6,1.0,0.9
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Malta,:,:,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Netherlands,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 b,0.0,0.0,0.0,0.0
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Norway,0.3,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Poland,:,:,4.9,4.1,3.7,3.0,2.6,2.2,2.3,1.8,1.6,1.6,1.5,1.4,1.5,1.1,0.8,0.6
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Portugal,:,2.2,2.1,2.3,1.9,1.4,1.6,1.2,0.8,0.7,0.7,0.6,0.6,0.4,0.4,0.4,0.3,0.3
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Romania,:,:,:,:,29.4,29.0,29.5,28.0,26.1,25.1,23.6,21.3,18.9,19.4,17.7,14.4,11.4,10.4
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Serbia,:,:,:,:,:,:,:,:,:,:,1.7,1.9,1.6,1.4,0.9,0.6,0.5,0.5
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Sweden,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Slovenia,:,:,0.7,0.5,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.0,0.0
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Slovakia,:,:,0.9,0.9,0.8,0.1 b,0.1,0.0,0.2,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.2
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Türkiye,:,:,:,2.1,2.1,1.6,1.6,1.5,1.0,1.1,1.0,0.8,0.7,0.6,0.5,0.4,0.5,0.5
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,United Kingdom,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3 b,0.1,0.3,0.3,0.3,0.0 u,0.0 u,:,:
Annual,Percentage,Total,Above 60% of median equivalised income,Total,Total,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.0,:,:
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8.7,10.2,5.8,5.0
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Austria,2.1,3.1,1.4,1.3,2.6,1.4 b,1.7,1.4,0.7,0.8,0.2,0.4,0.6,0.3,0.2,0.7,0.3,0.6
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Belgium,1.7,2.0,1.8,1.0,0.9,1.2,1.0,0.6,1.2,0.6,1.1,0.7,0.9,0.2,0.3,0.2,0.1 b,0.2
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Bulgaria,:,:,:,50.7,51.1,44.9 b,40.4,43.6,42.0,36.6,39.4,33.6 b,31.8,30.0 b,29.4,27.7,22.5,20.6
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Switzerland,:,:,:,:,1.4,0.0,0.0,0.2,0.2,0.0,0.0,0.0 b,0.1,0.0,0.0,0.2,0.0,0.0
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Cyprus,:,:,4.6,6.5,5.6,3.6 b,3.7,4.9,3.7,2.7,2.4,3.2,2.8,1.9,2.2,1.8,1.5,1.0
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Czechia,:,:,6.4,4.1,3.0,2.9,1.8,1.6,1.1,2.2,2.0,0.9,0.9,1.3,0.5,0.8,0.6,0.4
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Germany,:,:,0.5,0.5,0.5,0.5,0.2,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Denmark,3.3,2.6,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.3,3.5,1.6,2.7,1.8,2.0,1.2,0.8,1.8
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Euro area - 19 countries  (2015-2022),:,:,2.3 e,2.1 e,2.0,1.8,1.5,1.2,1.1,0.9,1.0,0.9,1.0,1.1,1.1,0.8,1.0,0.7
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Estonia,:,26.4,25.3,25.7,24.3,23.2,20.9,19.9,16.3,15.3,13.0,11.1 b,10.7,10.4,10.3,9.3,8.5,7.6
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Greece,5.0,4.7,3.8,3.0,2.6,3.4,2.9,1.2,1.4,0.5,1.3,0.6,0.7,0.3,0.4,0.6,0.6,0.5
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Spain,:,0.4,0.6,0.3,1.0,0.2,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.5,0.2,0.1,0.4,0.1
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,:,:,:,:,6.3 e,6.3 e,6.0 e,6.0 e,5.7 e,5.2 e,5.3 e,5.1 e,:
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,European Union - 27 countries (2007-2013),:,:,:,:,8.9,8.3,7.6,7.0,6.6,6.3,6.3,6.0,6.0,5.7,5.2 e,5.3 e,5.1 e,:
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,8.0 e,7.5 e,7.2 e,7.1 e,6.8 e,6.8 e,6.4 e,6.0 e,5.9 e,5.7 e,5.1
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,6.9,6.6,6.3,6.3,6.0,6.0,5.7,5.2 e,5.3 e,5.1 e,:
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Finland,:,1.4,2.4,1.7,2.1,1.4,1.0,1.5,1.6,1.2,1.2,0.9,0.9,0.8,0.6,0.4,0.5,0.6
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,France,:,2.0,1.5,1.4,1.2,1.1,1.1,0.8,0.7,0.7,0.8,0.8,0.7,1.0,1.1,0.5,0.5,0.3 b
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Croatia,:,:,:,:,:,:,:,0.8,4.9,6.8 b,6.5,5.5,5.3,5.5,4.6,4.1,3.4,2.8
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Hungary,:,:,20.6,13.9,12.3,12.8,16.2,18.1,15.4,19.3,16.9,17.0,14.8,14.8,9.8,13.0,10.2,7.6
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Ireland,1.3,1.2,0.8,0.3,0.7,0.2,0.6,0.3,2.9,0.6,0.7,0.0,0.2,0.6,0.2,0.1,0.0 b,0.1 bu
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Iceland,:,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Italy,:,0.4,0.3,0.2,0.2,0.1,0.1,0.1,0.3,0.2,0.3,0.0,0.0,0.1,0.7,0.3,1.0,0.8
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Lithuania,:,:,43.3,44.3,40.3,41.0,34.9,27.4,31.8,31.7,27.9,27.4,28.7,33.9,27.6,24.0,23.0,18.1
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Luxembourg,1.0,0.7,0.9,1.0,0.7,0.8,0.8,1.0,0.2,0.2,0.0,0.0,0.0,0.2 b,0.1,0.1,0.4,0.0 b
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Latvia,:,:,41.7,33.8,38.3,32.9 b,32.6,33.8,30.9,32.5,29.9,30.9,30.2,29.6,24.3,20.4,20.1,17.4
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Montenegro,:,:,:,:,:,:,:,:,:,:,4.5,5.4,4.2,5.3,3.7,2.3,2.1,2.4
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,North Macedonia,:,:,:,:,:,:,:,:,:,16.7,16.2,18.6,8.5,8.6,5.8,3.9,5.8,4.3
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Malta,:,:,0.4,0.3,0.0,0.0,0.1,0.0,0.4,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Netherlands,:,:,:,:,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2 b,0.4,0.0,0.1,0.1
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Norway,1.8,0.5,0.5,0.3,0.5,0.3,0.0,0.1,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Poland,:,:,15.2,16.9,14.8,14.3,13.2,11.0,10.1,10.7,9.6,9.0,7.9,6.9,7.1,6.8,6.0,5.1
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Portugal,:,7.9,6.9,6.6,7.2,6.5,5.1,3.2,1.7,1.8,1.4,2.1,2.4,3.1,2.9,1.5,1.4,1.0
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Romania,:,:,:,:,78.7,79.3,79.3,76.8,73.2,68.3,68.0,64.2,64.7,61.3,58.1,61.8,57.7,56.6
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Serbia,:,:,:,:,:,:,:,:,:,:,11.3,8.1,8.5,9.2,9.9,7.7,7.5,5.6
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Sweden,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Slovenia,:,:,5.1,4.2,3.4,3.1,2.9,2.1,2.3,2.0,2.2,2.1,1.3,1.1,0.9,0.5,0.4,0.5
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Slovakia,:,:,4.1,4.7,6.0,0.5 b,2.1,2.6,1.3,2.0,1.3,4.5,5.3,5.8,6.7,7.1,10.3,4.6
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Türkiye,:,:,:,16.7,14.0,15.0,13.8,14.5,7.7,7.2,6.3,5.5,5.6,4.1,3.6,3.2,2.4,2.1
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,United Kingdom,:,:,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.2 b,0.3,0.3,0.8,0.2,0.0 u,0.2 u,:,:
Annual,Percentage,Total,Below 60% of median equivalised income,Total,Total,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.7,:,:
Annual,Percentage,Total,Total,Total,Total,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.7,5.0,3.1,2.9
Annual,Percentage,Total,Total,Total,Total,Austria,0.8,0.7,0.4,0.4,0.7,0.5 b,0.5,0.4,0.4,0.4,0.2,0.2,0.3,0.2,0.2,0.3,0.1,0.5
Annual,Percentage,Total,Total,Total,Total,Belgium,0.7,0.7,0.6,0.4,0.3,0.3,0.3,0.1,0.3,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.1 b,0.1
Annual,Percentage,Total,Total,Total,Total,Bulgaria,:,:,:,20.6,19.3,17.6 b,14.9,14.6,14.5,13.2,13.0,12.0 b,11.1,10.7 b,9.8,8.9,7.5,7.0
Annual,Percentage,Total,Total,Total,Total,Switzerland,:,:,:,:,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1 b,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage,Total,Total,Total,Total,Cyprus,:,:,1.5,1.7,1.4,1.0 b,0.8,1.1,1.1,0.9,1.0,1.0,0.8,0.7,0.5,0.5,0.5,0.4
Annual,Percentage,Total,Total,Total,Total,Czechia,:,:,1.2,0.7,0.6,0.5,0.4,0.3,0.3,0.4,0.4,0.2,0.2,0.2,0.2,0.3,0.2,0.1
Annual,Percentage,Total,Total,Total,Total,Germany,:,:,0.1,0.2,0.2,0.2,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage,Total,Total,Total,Total,Denmark,0.9,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.6,0.5,0.5,0.5,0.5,0.4,0.3,0.4
Annual,Percentage,Total,Total,Total,Total,Euro area - 19 countries  (2015-2022),:,:,0.9 e,0.8 e,0.7,0.6,0.5,0.6,0.5,0.4,0.4,0.4,0.3,0.4,0.4,0.3,0.4,0.4
Annual,Percentage,Total,Total,Total,Total,Estonia,:,15.5,14.2,13.0,12.5,10.5,9.6,8.9,7.7,6.8,6.4,5.5 b,4.9,5.1,4.5,4.0,3.5,2.9
Annual,Percentage,Total,Total,Total,Total,Greece,1.5,1.5,1.3,1.1,0.8,1.2,1.0,0.6,0.7,0.3,0.7,0.5,0.4,0.2,0.2,0.2,0.2,0.1
Annual,Percentage,Total,Total,Total,Total,Spain,:,0.2,0.3,0.2,0.3,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.3,0.1,0.2,0.3,0.2
Annual,Percentage,Total,Total,Total,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,:,:,:,:,2.3 e,2.1 e,2.0 e,1.9 e,1.9 e,1.7 e,1.6 e,1.5 e,:
Annual,Percentage,Total,Total,Total,Total,European Union - 27 countries (2007-2013),:,:,:,:,3.1,2.9,2.7,2.6,2.4,2.3,2.2,2.1,1.9,1.9,1.7 e,1.6 e,1.5 e,:
Annual,Percentage,Total,Total,Total,Total,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,2.9 e,2.7 e,2.6 e,2.4 e,2.3 e,2.2 e,2.1 e,2.0 e,1.8 e,1.6 e,1.5
Annual,Percentage,Total,Total,Total,Total,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,2.5,2.4,2.3,2.1,2.0,1.9,1.9,1.7 e,1.6 e,1.5 e,:
Annual,Percentage,Total,Total,Total,Total,Finland,:,0.5,0.7,0.6,0.6,0.6,0.4,0.5,0.6,0.5,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2
Annual,Percentage,Total,Total,Total,Total,France,:,0.6,0.5,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.2,0.4 b
Annual,Percentage,Total,Total,Total,Total,Croatia,:,:,:,:,:,:,:,0.2,1.2,1.9 b,1.5,1.6,1.5,1.4,1.2,1.1,0.8,0.7
Annual,Percentage,Total,Total,Total,Total,Hungary,:,:,6.5,4.1,3.2,3.5,3.9,4.2,3.8,4.2,4.0,4.0,3.4,3.8,3.3,3.4,2.7,1.5
Annual,Percentage,Total,Total,Total,Total,Ireland,0.4,0.5,0.5,0.2,0.3,0.3,0.2,0.2,2.6,0.3,0.3,0.0,0.0,0.2,0.1,0.0,0.1 b,0.1 bu
Annual,Percentage,Total,Total,Total,Total,Iceland,:,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Percentage,Total,Total,Total,Total,Italy,:,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.3,0.3,0.5,0.5
Annual,Percentage,Total,Total,Total,Total,Lithuania,:,:,21.5,20.7,17.1,17.7,15.1,14.3,15.0,13.9,12.0,10.9,10.6,12.0,10.8,9.1,8.7,6.4
Annual,Percentage,Total,Total,Total,Total,Luxembourg,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.5 b,0.1,0.0,0.1,0.0 b
Annual,Percentage,Total,Total,Total,Total,Latvia,:,:,19.9,16.8,19.7,15.7 b,14.9,15.1,14.5,14.4,13.5,13.3,12.3,11.7,9.8,9.0,7.7,7.0
Annual,Percentage,Total,Total,Total,Total,Montenegro,:,:,:,:,:,:,:,:,:,:,2.3,2.2,1.9,2.1,2.0,0.8,0.8,0.9
Annual,Percentage,Total,Total,Total,Total,North Macedonia,:,:,:,:,:,:,:,:,:,6.8,5.8,6.6,3.6,3.4,2.0,1.4,2.0,1.6
Annual,Percentage,Total,Total,Total,Total,Malta,:,:,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage,Total,Total,Total,Total,Netherlands,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1 b,0.1,0.0,0.0,0.0
Annual,Percentage,Total,Total,Total,Total,Norway,0.5,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage,Total,Total,Total,Total,Poland,:,:,7.0,6.5,5.6,4.9,4.5,3.8,3.7,3.3,3.0,2.9,2.6,2.3,2.4,2.0,1.6,1.3
Annual,Percentage,Total,Total,Total,Total,Portugal,:,3.3,3.0,3.1,2.9,2.4,2.2,1.6,1.0,0.9,0.9,0.9,0.9,0.9,0.8,0.6,0.5,0.4
Annual,Percentage,Total,Total,Total,Total,Romania,:,:,:,:,41.5,40.8,40.4,38.5,36.6,35.0,33.7,32.0,30.5,30.0,27.2,25.6,22.4,21.2
Annual,Percentage,Total,Total,Total,Total,Serbia,:,:,:,:,:,:,:,:,:,:,4.0,3.4,3.5,3.4,3.2,2.3,2.1,1.6
Annual,Percentage,Total,Total,Total,Total,Sweden,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage,Total,Total,Total,Total,Slovenia,:,:,1.3,0.9,0.7,0.6,0.5,0.4,0.4,0.3,0.4,0.5,0.3,0.2,0.2,0.1,0.1,0.1
Annual,Percentage,Total,Total,Total,Total,Slovakia,:,:,1.3,1.3,1.3,0.1 b,0.3,0.3,0.3,0.3,0.2,0.6,0.7,0.8,0.9,1.0,1.3,0.7
Annual,Percentage,Total,Total,Total,Total,Türkiye,:,:,:,6.0,5.0,4.9,4.6,4.7,2.6,2.5,2.2,1.9,1.8,1.4,1.2,1.0,0.9,0.9
Annual,Percentage,Total,Total,Total,Total,United Kingdom,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2 b,0.2,0.3,0.4,0.3,0.0 u,0.1 u,:,:
Annual,Percentage,Total,Total,Total,Total,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.5,:,:
