Time frequency,Economical indicator for structural business statistics,Enterprise,Enterprise group identification,Geopolitical entity (reporting)\Time,2007.0
Annual,Enterprises - number,Enterprises with international sourcing,All enterprises (enterprise group + not enterprise group),Norway,206.0
Annual,Enterprises - number,Enterprises with international sourcing,All enterprises (enterprise group + not enterprise group),Portugal,310.0
Annual,Enterprises - number,Enterprises with international sourcing,All enterprises (enterprise group + not enterprise group),Sweden,128.0
Annual,Enterprises - number,Enterprises with international sourcing,All enterprises (enterprise group + not enterprise group),Slovenia,151.0
Annual,Enterprises - number,Enterprises with international sourcing,All enterprises (enterprise group + not enterprise group),United Kingdom,2490.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Enterprise group,Czechia,45 p
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Enterprise group,Germany,476.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Enterprise group,Denmark,91.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Enterprise group,European Union (aggregate changing according to the context),: @C
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Enterprise group,Finland,87.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Enterprise group,Ireland,32.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Enterprise group,Italy,307.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Enterprise group,Netherlands,194.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Enterprise group,Norway,32.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Enterprise group,Portugal,50.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Enterprise group,Sweden,: @C
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Enterprise group,Slovenia,33.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Enterprise group,United Kingdom,128.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Group head,Czechia,2 p
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Group head,Germany,70.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Group head,Denmark,15.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Group head,European Union (aggregate changing according to the context),240 u
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Group head,Finland,5.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Group head,Ireland,7.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Group head,Italy,49.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Group head,Netherlands,16 u
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Group head,Norway,2.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Group head,Portugal,20.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Group head,Sweden,0 u
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Group head,Slovenia,10.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Group head,United Kingdom,46.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Global group head,Czechia,8 p
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Global group head,Germany,79.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Global group head,Denmark,20.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Global group head,European Union (aggregate changing according to the context),253 u
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Global group head,Finland,18.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Global group head,Ireland,0.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Global group head,Italy,89.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Global group head,Netherlands,31 u
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Global group head,Norway,4.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Global group head,Portugal,3.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Global group head,Sweden,0 u
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Global group head,Slovenia,5.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Global group head,United Kingdom,0.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Not enterprise group,Czechia,22 p
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Not enterprise group,Germany,241.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Not enterprise group,Denmark,15.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Not enterprise group,European Union (aggregate changing according to the context),: @C
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Not enterprise group,Finland,6.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Not enterprise group,Ireland,8.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Not enterprise group,Italy,74.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Not enterprise group,Netherlands,15 u
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Not enterprise group,Norway,3.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Not enterprise group,Portugal,50.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Not enterprise group,Sweden,: @C
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Not enterprise group,Slovenia,10.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Not enterprise group,United Kingdom,46.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary,Czechia,35 p
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary,Germany,326.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary,Denmark,56.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary,European Union (aggregate changing according to the context),: @C
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary,Finland,65.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary,Ireland,25.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary,Italy,169.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary,Netherlands,147.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary,Norway,26.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary,Portugal,26.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary,Sweden,: @C
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary,Slovenia,18.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary,United Kingdom,82.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in EU27 (2007-2013),Czechia,33 p
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in EU27 (2007-2013),Germany,75.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in EU27 (2007-2013),Denmark,16.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in EU27 (2007-2013),European Union (aggregate changing according to the context),327 u
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in EU27 (2007-2013),Finland,16.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in EU27 (2007-2013),Ireland,4.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in EU27 (2007-2013),Netherlands,58 u
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in EU27 (2007-2013),Norway,8.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in EU27 (2007-2013),Portugal,: @C
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in EU27 (2007-2013),Sweden,: @C
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in EU27 (2007-2013),Slovenia,2.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in EU27 (2007-2013),United Kingdom,36.0
