Time frequency,Size classes in number of persons employed,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0,2020.0
Annual,From 10 to 49 persons employed,Hour,Serbia,:,:,:,3.5
Annual,From 10 to 49 persons employed,Hour,Sweden,9.4,13.2,8.9 b,7.5 b
Annual,From 10 to 49 persons employed,Hour,Slovenia,10.7,10.2,9.4,6.9
Annual,From 10 to 49 persons employed,Hour,Slovakia,5.3,6.6,6.9,4.5
Annual,From 10 to 49 persons employed,Hour,United Kingdom,6.4,6.8,13.5,:
Annual,From 50 to 249 persons employed,Hour,Austria,8.1,11.9,11.2,7.2
Annual,From 50 to 249 persons employed,Hour,Belgium,9.6,16.7,22.4,10.1
Annual,From 50 to 249 persons employed,Hour,Bulgaria,4.5,5.4,6.6,3.2
Annual,From 50 to 249 persons employed,Hour,Cyprus,6.6,8.7,7.3,4.9
Annual,From 50 to 249 persons employed,Hour,Czechia,12.5,8.1,11.3 b,7.3
Annual,From 50 to 249 persons employed,Hour,Germany,7.9,7.9,7.4,6.0
Annual,From 50 to 249 persons employed,Hour,Denmark,11.3,18.5,9.4,8.5
Annual,From 50 to 249 persons employed,Hour,Estonia,7.3,7.3,15.2,8.1
Annual,From 50 to 249 persons employed,Hour,Greece,2.8,1.9,3.0,1.8
Annual,From 50 to 249 persons employed,Hour,Spain,6.6,8.5,10.0,4.2
Annual,From 50 to 249 persons employed,Hour,European Union - 27 countries (from 2020),7.5,8.4,8.7,7.0
Annual,From 50 to 249 persons employed,Hour,European Union - 28 countries (2013-2020),7.4,8.5,9.2,:
Annual,From 50 to 249 persons employed,Hour,Finland,8.2,7.2,7.3,5.1
Annual,From 50 to 249 persons employed,Hour,France,9.8,9.8,10.5,9.7
Annual,From 50 to 249 persons employed,Hour,Croatia,:,5.9,7.4,6.2
Annual,From 50 to 249 persons employed,Hour,Hungary,3.7,3.2,2.4,2.4 b
Annual,From 50 to 249 persons employed,Hour,Ireland,11.4,:,15.6,12.6
Annual,From 50 to 249 persons employed,Hour,Italy,5.8,6.5,8.4,10.6
Annual,From 50 to 249 persons employed,Hour,Lithuania,3.7,7.9,4.6,5.7
Annual,From 50 to 249 persons employed,Hour,Luxembourg,11.5,16.2,21.1,17.4
Annual,From 50 to 249 persons employed,Hour,Latvia,3.3,3.1,4.7,3.5
Annual,From 50 to 249 persons employed,Hour,North Macedonia,:,:,4.7,2.6
Annual,From 50 to 249 persons employed,Hour,Malta,6.5,8.3,11.5,7.0
Annual,From 50 to 249 persons employed,Hour,Netherlands,10.3,12.6,11.5,12.0
Annual,From 50 to 249 persons employed,Hour,Norway,10.6,18.9,9.4,11.3
Annual,From 50 to 249 persons employed,Hour,Poland,4.0,3.7,3.9,3.2
Annual,From 50 to 249 persons employed,Hour,Portugal,7.5,18.4,12.5,10.4
Annual,From 50 to 249 persons employed,Hour,Romania,3.0,3.1,5.0,3.0
Annual,From 50 to 249 persons employed,Hour,Serbia,:,:,:,3.8
Annual,From 50 to 249 persons employed,Hour,Sweden,11.3,10.7,10.6 b,8.4 b
Annual,From 50 to 249 persons employed,Hour,Slovenia,11.3,17.7,10.8,9.7
Annual,From 50 to 249 persons employed,Hour,Slovakia,7.4,13.0,9.0,6.5
Annual,From 50 to 249 persons employed,Hour,United Kingdom,6.9,9.0,12.9,:
Annual,250 persons employed or more,Hour,Austria,12.1,11.1,12.2,7.1
Annual,250 persons employed or more,Hour,Belgium,17.8,22.3,20.6,12.7
Annual,250 persons employed or more,Hour,Bulgaria,6.1,8.5,11.3,7.7
Annual,250 persons employed or more,Hour,Cyprus,10.6,17.2,10.5,15.7
Annual,250 persons employed or more,Hour,Czechia,17.3,11.1,12.9 b,9.6
Annual,250 persons employed or more,Hour,Germany,10.0,10.6,9.8,17.8
Annual,250 persons employed or more,Hour,Denmark,10.6,13.6,16.7,9.1
Annual,250 persons employed or more,Hour,Estonia,7.9,13.3,23.3,7.8
Annual,250 persons employed or more,Hour,Greece,5.8,5.9,11.3,3.4
Annual,250 persons employed or more,Hour,Spain,13.5,13.5,14.9,7.5
Annual,250 persons employed or more,Hour,European Union - 27 countries (from 2020),12.6,13.0,13.0,13.1
Annual,250 persons employed or more,Hour,European Union - 28 countries (2013-2020),11.4,12.0,11.7,:
Annual,250 persons employed or more,Hour,Finland,11.4,10.9,9.5,6.3
Annual,250 persons employed or more,Hour,France,16.7,16.4,15.8,12.7
Annual,250 persons employed or more,Hour,Croatia,:,6.8,9.4,7.4
Annual,250 persons employed or more,Hour,Hungary,9.5,10.7,8.7,8.0 b
Annual,250 persons employed or more,Hour,Ireland,16.5,:,20.7,14.8
Annual,250 persons employed or more,Hour,Italy,12.8,14.2,14.2,15.2
Annual,250 persons employed or more,Hour,Lithuania,8.0,7.2,7.3,7.5
Annual,250 persons employed or more,Hour,Luxembourg,23.4,26.0,27.1,16.1
Annual,250 persons employed or more,Hour,Latvia,6.0,6.3,7.5,5.3
Annual,250 persons employed or more,Hour,North Macedonia,:,:,5.6,7.4
Annual,250 persons employed or more,Hour,Malta,18.7,29.1,23.3,11.7
Annual,250 persons employed or more,Hour,Netherlands,15.5,15.8,14.2,18.5
Annual,250 persons employed or more,Hour,Norway,10.8,12.9,11.6,13.8
Annual,250 persons employed or more,Hour,Poland,9.6,11.5,13.4,7.5
Annual,250 persons employed or more,Hour,Portugal,11.2,22.7,20.7,13.5
Annual,250 persons employed or more,Hour,Romania,7.8,10.3,11.7,10.2
Annual,250 persons employed or more,Hour,Serbia,:,:,:,6.6
Annual,250 persons employed or more,Hour,Sweden,20.3,9.8,11.8 b,10.0 b
Annual,250 persons employed or more,Hour,Slovenia,17.2,18.4,19.6,12.5
Annual,250 persons employed or more,Hour,Slovakia,18.3,15.4,13.0,10.5
Annual,250 persons employed or more,Hour,United Kingdom,6.4,7.6,6.8,:
Annual,Total,Hour,Austria,8.9,10.0,10.3,6.7
Annual,Total,Hour,Belgium,12.4,17.7,18.9,10.6
Annual,Total,Hour,Bulgaria,4.5,5.2,7.5,4.6
Annual,Total,Hour,Cyprus,6.6,9.8,7.1,7.3
Annual,Total,Hour,Czechia,13.5,8.8,11.4 b,8.2
Annual,Total,Hour,Germany,8.9,9.0,8.5,12.2
Annual,Total,Hour,Denmark,10.5,17.6,12.0,7.5
Annual,Total,Hour,Estonia,6.6,8.0,14.4,6.9
Annual,Total,Hour,Greece,3.4,3.2,5.2,2.0
Annual,Total,Hour,Spain,8.5,9.9,11.4,5.5
Annual,Total,Hour,European Union - 27 countries (from 2020),9.3,9.9,10.1,9.5
Annual,Total,Hour,European Union - 28 countries (2013-2020),8.9,9.6,10.0,:
Annual,Total,Hour,Finland,9.8,9.1,8.2,5.2
Annual,Total,Hour,France,12.8,12.8,12.4,10.7
Annual,Total,Hour,Croatia,:,6.5,7.7,5.9
Annual,Total,Hour,Hungary,5.9,6.0,5.1,5.8 b
Annual,Total,Hour,Ireland,12.2,:,19.4,11.9
Annual,Total,Hour,Italy,7.3,8.4,9.6,12.0
Annual,Total,Hour,Lithuania,4.7,6.3,4.9,5.4
Annual,Total,Hour,Luxembourg,16.3,19.3,21.5,16.3
Annual,Total,Hour,Latvia,3.9,3.6,4.8,3.6
Annual,Total,Hour,North Macedonia,:,:,5.1,4.4
Annual,Total,Hour,Malta,11.2,14.2,13.7,7.1
Annual,Total,Hour,Netherlands,12.2,13.6,12.6,14.7
Annual,Total,Hour,Norway,9.4,13.6,10.6,12.1
Annual,Total,Hour,Poland,6.2,6.8,7.9,5.0
Annual,Total,Hour,Portugal,7.4,16.9,14.1,10.1
Annual,Total,Hour,Romania,5.4,6.0,7.5,5.7
Annual,Total,Hour,Serbia,:,:,:,5.1
Annual,Total,Hour,Sweden,15.5,11.2,10.6 b,9.0 b
Annual,Total,Hour,Slovenia,14.3,15.9,14.1,10.1
Annual,Total,Hour,Slovakia,12.0,12.2,10.4,8.0
Annual,Total,Hour,United Kingdom,6.5,7.7,9.2,:
