Time frequency,n_book,yn_arope,sex,age,unit,geo\TIME_PERIOD,2022.0
Annual,0.0,NO_AROPE,T,Y_GE16,PC,SI,39.0
Annual,0.0,NO_AROPE,T,Y_GE16,PC,SK,49.7
Annual,0.0,NO_AROPE,T,Y_GE16,PC,TR,65.8
Annual,0.0,TOTAL,T,Y_GE16,PC,AT,36.3
Annual,0.0,TOTAL,T,Y_GE16,PC,BE,40.0
Annual,0.0,TOTAL,T,Y_GE16,PC,BG,62.2
Annual,0.0,TOTAL,T,Y_GE16,PC,CH,19.4
Annual,0.0,TOTAL,T,Y_GE16,PC,CY,66.9
Annual,0.0,TOTAL,T,Y_GE16,PC,CZ,35.8
Annual,0.0,TOTAL,T,Y_GE16,PC,DE,: u
Annual,0.0,TOTAL,T,Y_GE16,PC,DK,27.8
Annual,0.0,TOTAL,T,Y_GE16,PC,EA20,46.8 e
Annual,0.0,TOTAL,T,Y_GE16,PC,EE,29.3
Annual,0.0,TOTAL,T,Y_GE16,PC,EL,57.0
Annual,0.0,TOTAL,T,Y_GE16,PC,ES,45.8
Annual,0.0,TOTAL,T,Y_GE16,PC,EU27_2020,47.2 e
Annual,0.0,TOTAL,T,Y_GE16,PC,FI,30.2
Annual,0.0,TOTAL,T,Y_GE16,PC,FR,38.5
Annual,0.0,TOTAL,T,Y_GE16,PC,HR,58.0
Annual,0.0,TOTAL,T,Y_GE16,PC,HU,47.6
Annual,0.0,TOTAL,T,Y_GE16,PC,IE,33.5
Annual,0.0,TOTAL,T,Y_GE16,PC,IT,64.6
Annual,0.0,TOTAL,T,Y_GE16,PC,LT,47.6
Annual,0.0,TOTAL,T,Y_GE16,PC,LU,24.9
Annual,0.0,TOTAL,T,Y_GE16,PC,LV,49.6
Annual,0.0,TOTAL,T,Y_GE16,PC,ME,64.6
Annual,0.0,TOTAL,T,Y_GE16,PC,MT,56.3
Annual,0.0,TOTAL,T,Y_GE16,PC,NL,33.2
Annual,0.0,TOTAL,T,Y_GE16,PC,NO,29.1
Annual,0.0,TOTAL,T,Y_GE16,PC,PL,45.4
Annual,0.0,TOTAL,T,Y_GE16,PC,PT,58.1
Annual,0.0,TOTAL,T,Y_GE16,PC,RO,70.6
Annual,0.0,TOTAL,T,Y_GE16,PC,RS,64.8
Annual,0.0,TOTAL,T,Y_GE16,PC,SE,30.3
Annual,0.0,TOTAL,T,Y_GE16,PC,SI,40.5
Annual,0.0,TOTAL,T,Y_GE16,PC,SK,52.1
Annual,0.0,TOTAL,T,Y_GE16,PC,TR,69.7
Annual,0.0,YES_AROPE,T,Y_GE16,PC,AT,40.6
Annual,0.0,YES_AROPE,T,Y_GE16,PC,BE,50.8
Annual,0.0,YES_AROPE,T,Y_GE16,PC,BG,79.9
Annual,0.0,YES_AROPE,T,Y_GE16,PC,CH,25.9
Annual,0.0,YES_AROPE,T,Y_GE16,PC,CY,74.7
Annual,0.0,YES_AROPE,T,Y_GE16,PC,CZ,44.3
Annual,0.0,YES_AROPE,T,Y_GE16,PC,DE,: u
Annual,0.0,YES_AROPE,T,Y_GE16,PC,DK,31.4
Annual,0.0,YES_AROPE,T,Y_GE16,PC,EA20,58.8 e
Annual,0.0,YES_AROPE,T,Y_GE16,PC,EE,37.4
Annual,0.0,YES_AROPE,T,Y_GE16,PC,EL,67.0
Annual,0.0,YES_AROPE,T,Y_GE16,PC,ES,56.2
Annual,0.0,YES_AROPE,T,Y_GE16,PC,EU27_2020,60.5 e
Annual,0.0,YES_AROPE,T,Y_GE16,PC,FI,38.8
Annual,0.0,YES_AROPE,T,Y_GE16,PC,FR,49.1
Annual,0.0,YES_AROPE,T,Y_GE16,PC,HR,74.0
Annual,0.0,YES_AROPE,T,Y_GE16,PC,HU,65.6
Annual,0.0,YES_AROPE,T,Y_GE16,PC,IE,43.8
Annual,0.0,YES_AROPE,T,Y_GE16,PC,IT,77.3
Annual,0.0,YES_AROPE,T,Y_GE16,PC,LT,57.7
Annual,0.0,YES_AROPE,T,Y_GE16,PC,LU,31.6
Annual,0.0,YES_AROPE,T,Y_GE16,PC,LV,57.1
Annual,0.0,YES_AROPE,T,Y_GE16,PC,ME,74.8
Annual,0.0,YES_AROPE,T,Y_GE16,PC,MT,65.3
Annual,0.0,YES_AROPE,T,Y_GE16,PC,NL,38.8
Annual,0.0,YES_AROPE,T,Y_GE16,PC,NO,32.7
Annual,0.0,YES_AROPE,T,Y_GE16,PC,PL,59.3
Annual,0.0,YES_AROPE,T,Y_GE16,PC,PT,72.4
Annual,0.0,YES_AROPE,T,Y_GE16,PC,RO,84.4
Annual,0.0,YES_AROPE,T,Y_GE16,PC,RS,78.0
Annual,0.0,YES_AROPE,T,Y_GE16,PC,SE,36.8
Annual,0.0,YES_AROPE,T,Y_GE16,PC,SI,49.5
Annual,0.0,YES_AROPE,T,Y_GE16,PC,SK,65.3
Annual,0.0,YES_AROPE,T,Y_GE16,PC,TR,78.8
