Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Unit of measure,Geopolitical entity (partner),Economical indicator for structural business statistics,Geopolitical entity (reporting)\Time,1998.0,1999.0,2000.0
Annual,Autonomous pension funds,Number,Italy,Enterprises with members in other EEA countries - number,Austria,0.0,0.0,0.0
Annual,Autonomous pension funds,Number,Italy,Enterprises with members in other EEA countries - number,Switzerland,:,:,: m
Annual,Autonomous pension funds,Number,Italy,Enterprises with members in other EEA countries - number,Finland,:,:,0.0
Annual,Autonomous pension funds,Number,Luxembourg,Enterprises with members in other EEA countries - number,Austria,0.0,0.0,0.0
Annual,Autonomous pension funds,Number,Luxembourg,Enterprises with members in other EEA countries - number,Switzerland,:,:,: m
Annual,Autonomous pension funds,Number,Luxembourg,Enterprises with members in other EEA countries - number,Finland,:,:,0.0
Annual,Autonomous pension funds,Number,Netherlands,Enterprises with members in other EEA countries - number,Austria,0.0,0.0,0.0
Annual,Autonomous pension funds,Number,Netherlands,Enterprises with members in other EEA countries - number,Switzerland,:,:,: m
Annual,Autonomous pension funds,Number,Netherlands,Enterprises with members in other EEA countries - number,Finland,:,:,0.0
Annual,Autonomous pension funds,Number,Norway,Enterprises with members in other EEA countries - number,Austria,0.0,0.0,0.0
Annual,Autonomous pension funds,Number,Norway,Enterprises with members in other EEA countries - number,Switzerland,:,:,: m
Annual,Autonomous pension funds,Number,Norway,Enterprises with members in other EEA countries - number,Finland,:,:,0.0
Annual,Autonomous pension funds,Number,Portugal,Enterprises with members in other EEA countries - number,Austria,0.0,0.0,0.0
Annual,Autonomous pension funds,Number,Portugal,Enterprises with members in other EEA countries - number,Switzerland,:,:,: m
Annual,Autonomous pension funds,Number,Portugal,Enterprises with members in other EEA countries - number,Finland,:,:,0.0
Annual,Autonomous pension funds,Number,Portugal,Enterprises with members in other EEA countries - number,Portugal,233.0,238.0,244.0
Annual,Autonomous pension funds,Number,Sweden,Enterprises with members in other EEA countries - number,Austria,0.0,0.0,0.0
Annual,Autonomous pension funds,Number,Sweden,Enterprises with members in other EEA countries - number,Switzerland,:,:,: m
Annual,Autonomous pension funds,Number,Sweden,Enterprises with members in other EEA countries - number,Finland,:,:,0.0
Annual,Autonomous pension funds,Number,Total,Enterprises with members in other EEA countries - number,Austria,17.0,18.0,19.0
Annual,Autonomous pension funds,Number,Total,Enterprises with members in other EEA countries - number,Switzerland,:,:,3405 p
Annual,Autonomous pension funds,Number,Total,Enterprises with members in other EEA countries - number,Finland,:,:,116.0
Annual,Autonomous pension funds,Number,Total,Enterprises with members in other EEA countries - number,Portugal,233.0,238.0,244.0
Annual,Autonomous pension funds,Number,United Kingdom,Enterprises with members in other EEA countries - number,Austria,0.0,0.0,0.0
Annual,Autonomous pension funds,Number,United Kingdom,Enterprises with members in other EEA countries - number,Switzerland,:,:,: m
Annual,Autonomous pension funds,Number,United Kingdom,Enterprises with members in other EEA countries - number,Finland,:,:,0.0
