Time frequency,Unit of measure,Standard international energy product classification (SIEC),Calorific values,Geopolitical entity (reporting)\Time,2020.0,2021.0,2022.0
Annual,Megajoule per tonne (net calorific value - NCV),Oil and petroleum products,Net calorific value - average,Portugal,:,:,45171.109
Annual,Megajoule per tonne (net calorific value - NCV),Oil and petroleum products,Net calorific value - average,Sweden,:,:,42467.666
Annual,Megajoule per tonne (net calorific value - NCV),Oil and petroleum products,Net calorific value - average,Slovenia,:,:,43289.794
Annual,Megajoule per tonne (net calorific value - NCV),Oil and petroleum products,Net calorific value - average,Slovakia,:,:,44033.502
Annual,Megajoule per tonne (net calorific value - NCV),Liquefied petroleum gases,Net calorific value - average,Austria,:,:,46120.0
Annual,Megajoule per tonne (net calorific value - NCV),Liquefied petroleum gases,Net calorific value - average,Bulgaria,:,:,46000.0
Annual,Megajoule per tonne (net calorific value - NCV),Liquefied petroleum gases,Net calorific value - average,Czechia,:,:,43833.0
Annual,Megajoule per tonne (net calorific value - NCV),Liquefied petroleum gases,Net calorific value - average,Germany,:,:,43074.0
Annual,Megajoule per tonne (net calorific value - NCV),Liquefied petroleum gases,Net calorific value - average,Denmark,46000.0,46000.0,46000.0
Annual,Megajoule per tonne (net calorific value - NCV),Liquefied petroleum gases,Net calorific value - average,Estonia,:,:,44800.0
Annual,Megajoule per tonne (net calorific value - NCV),Liquefied petroleum gases,Net calorific value - average,France,:,:,46000.0
Annual,Megajoule per tonne (net calorific value - NCV),Liquefied petroleum gases,Net calorific value - average,Croatia,:,:,46890.0
Annual,Megajoule per tonne (net calorific value - NCV),Liquefied petroleum gases,Net calorific value - average,Ireland,47155.928,47155.928,47155.928
Annual,Megajoule per tonne (net calorific value - NCV),Liquefied petroleum gases,Net calorific value - average,Italy,:,:,46000.0
Annual,Megajoule per tonne (net calorific value - NCV),Liquefied petroleum gases,Net calorific value - average,Lithuania,:,:,45840.0
Annual,Megajoule per tonne (net calorific value - NCV),Liquefied petroleum gases,Net calorific value - average,Luxembourg,:,:,46000.0
Annual,Megajoule per tonne (net calorific value - NCV),Liquefied petroleum gases,Net calorific value - average,Latvia,45540.0,45540.0,45540.0
Annual,Megajoule per tonne (net calorific value - NCV),Liquefied petroleum gases,Net calorific value - average,Moldova,:,:,46064.0
Annual,Megajoule per tonne (net calorific value - NCV),Liquefied petroleum gases,Net calorific value - average,Montenegro,46890.0,46890.0,46890.0
Annual,Megajoule per tonne (net calorific value - NCV),Liquefied petroleum gases,Net calorific value - average,Malta,:,46000.0,46000.0
Annual,Megajoule per tonne (net calorific value - NCV),Liquefied petroleum gases,Net calorific value - average,Norway,:,:,46100.0
Annual,Megajoule per tonne (net calorific value - NCV),Liquefied petroleum gases,Net calorific value - average,Poland,:,:,46000.0
Annual,Megajoule per tonne (net calorific value - NCV),Liquefied petroleum gases,Net calorific value - average,Portugal,:,:,46000.0
Annual,Megajoule per tonne (net calorific value - NCV),Liquefied petroleum gases,Net calorific value - average,Sweden,:,:,46044.0
Annual,Megajoule per tonne (net calorific value - NCV),Liquefied petroleum gases,Net calorific value - average,Slovenia,:,:,46050.0
Annual,Megajoule per tonne (net calorific value - NCV),Liquefied petroleum gases,Net calorific value - average,Slovakia,:,:,46000.0
Annual,Megajoule per tonne (net calorific value - NCV),Gas oil and diesel oil,Net calorific value - average,Austria,:,:,43370.0
Annual,Megajoule per tonne (net calorific value - NCV),Gas oil and diesel oil,Net calorific value - average,Bulgaria,:,:,42300.0
Annual,Megajoule per tonne (net calorific value - NCV),Gas oil and diesel oil,Net calorific value - average,Czechia,:,:,43142.0
Annual,Megajoule per tonne (net calorific value - NCV),Gas oil and diesel oil,Net calorific value - average,Germany,:,:,42816.0
Annual,Megajoule per tonne (net calorific value - NCV),Gas oil and diesel oil,Net calorific value - average,Denmark,42700.0,42700.0,42700.0
Annual,Megajoule per tonne (net calorific value - NCV),Gas oil and diesel oil,Net calorific value - average,Estonia,:,:,41400.0
Annual,Megajoule per tonne (net calorific value - NCV),Gas oil and diesel oil,Net calorific value - average,France,:,:,42229.579
Annual,Megajoule per tonne (net calorific value - NCV),Gas oil and diesel oil,Net calorific value - average,Croatia,:,:,42710.0
Annual,Megajoule per tonne (net calorific value - NCV),Gas oil and diesel oil,Net calorific value - average,Ireland,43308.259,43308.259,43308.259
Annual,Megajoule per tonne (net calorific value - NCV),Gas oil and diesel oil,Net calorific value - average,Italy,:,:,42600.0
Annual,Megajoule per tonne (net calorific value - NCV),Gas oil and diesel oil,Net calorific value - average,Lithuania,:,:,42910.0
Annual,Megajoule per tonne (net calorific value - NCV),Gas oil and diesel oil,Net calorific value - average,Luxembourg,:,:,42485.0
Annual,Megajoule per tonne (net calorific value - NCV),Gas oil and diesel oil,Net calorific value - average,Latvia,42490.0,42490.0,42490.0
Annual,Megajoule per tonne (net calorific value - NCV),Gas oil and diesel oil,Net calorific value - average,Moldova,:,:,42550.0
Annual,Megajoule per tonne (net calorific value - NCV),Gas oil and diesel oil,Net calorific value - average,Montenegro,42710.0,42710.0,42710.0
Annual,Megajoule per tonne (net calorific value - NCV),Gas oil and diesel oil,Net calorific value - average,Malta,:,43000.0,43000.0
Annual,Megajoule per tonne (net calorific value - NCV),Gas oil and diesel oil,Net calorific value - average,Netherlands,:,:,42880.016
Annual,Megajoule per tonne (net calorific value - NCV),Gas oil and diesel oil,Net calorific value - average,Norway,:,:,43100.0
Annual,Megajoule per tonne (net calorific value - NCV),Gas oil and diesel oil,Net calorific value - average,Poland,:,:,43000.0
Annual,Megajoule per tonne (net calorific value - NCV),Gas oil and diesel oil,Net calorific value - average,Portugal,:,:,42680.795
Annual,Megajoule per tonne (net calorific value - NCV),Gas oil and diesel oil,Net calorific value - average,Sweden,:,:,42251.0
Annual,Megajoule per tonne (net calorific value - NCV),Gas oil and diesel oil,Net calorific value - average,Slovenia,:,:,42600.0
Annual,Megajoule per tonne (net calorific value - NCV),Gas oil and diesel oil,Net calorific value - average,Slovakia,:,:,42093.0
Annual,Megajoule per tonne (net calorific value - NCV),"Solid fossil fuels, peat, peat products, oil shale and oil sands",Net calorific value - average,Bulgaria,:,:,19577.35
Annual,Megajoule per tonne (net calorific value - NCV),"Solid fossil fuels, peat, peat products, oil shale and oil sands",Net calorific value - average,Czechia,:,:,17216.0
Annual,Megajoule per tonne (net calorific value - NCV),"Solid fossil fuels, peat, peat products, oil shale and oil sands",Net calorific value - average,Germany,:,:,28834.388
Annual,Megajoule per tonne (net calorific value - NCV),"Solid fossil fuels, peat, peat products, oil shale and oil sands",Net calorific value - average,Estonia,:,:,14483.33
Annual,Megajoule per tonne (net calorific value - NCV),"Solid fossil fuels, peat, peat products, oil shale and oil sands",Net calorific value - average,Greece,:,:,4873.0
Annual,Megajoule per tonne (net calorific value - NCV),"Solid fossil fuels, peat, peat products, oil shale and oil sands",Net calorific value - average,Hungary,:,:,15048.5
Annual,Megajoule per tonne (net calorific value - NCV),"Solid fossil fuels, peat, peat products, oil shale and oil sands",Net calorific value - average,Ireland,27838.033,27838.033,27838.033
Annual,Megajoule per tonne (net calorific value - NCV),"Solid fossil fuels, peat, peat products, oil shale and oil sands",Net calorific value - average,Lithuania,:,:,20105.0
Annual,Megajoule per tonne (net calorific value - NCV),"Solid fossil fuels, peat, peat products, oil shale and oil sands",Net calorific value - average,Latvia,23945.970 e,22638.693 e,22056.106 e
Annual,Megajoule per tonne (net calorific value - NCV),"Solid fossil fuels, peat, peat products, oil shale and oil sands",Net calorific value - average,Moldova,:,:,26045.0
Annual,Megajoule per tonne (net calorific value - NCV),"Solid fossil fuels, peat, peat products, oil shale and oil sands",Net calorific value - average,Montenegro,10061.0,10026.0,10101.0
Annual,Megajoule per tonne (net calorific value - NCV),"Solid fossil fuels, peat, peat products, oil shale and oil sands",Net calorific value - average,Norway,:,:,28100.0
Annual,Megajoule per tonne (net calorific value - NCV),"Solid fossil fuels, peat, peat products, oil shale and oil sands",Net calorific value - average,Poland,:,:,25175.659
Annual,Megajoule per tonne (net calorific value - NCV),"Solid fossil fuels, peat, peat products, oil shale and oil sands",Net calorific value - average,Slovakia,:,:,21336.0
