Time frequency,Transport infrastructure,Unit of measure,Geopolitical entity (reporting)\Time,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Conventional railway lines,Kilometre,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,186280.07,185259.27,185949.67,184251.13,183851.0,183865.501,175821.365,175316.702,181403.442,177130.87,176585.058,176628.805,175798.857,175459.765,174947.979,:
Annual,Conventional railway lines,Kilometre,Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,5297.0,5297.0,5297.0,5322.0,5322.0,5322.0,5038.0,5017 b,4867.0,4867.0,4806.0,4803.0,4798.0,4798.0,4798.0,4796.0
Annual,Conventional railway lines,Kilometre,France,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,21482 i,21128 i,20972 i,19550 i,19700 i,19637 i,18705 i,18061 i,17602 i,13421.367,12895.0,12784.0,12534.0,12378.0,12266.0,12259.0
Annual,Conventional railway lines,Kilometre,Georgia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1455.4,1615.4,1613.4,1179.9,1179.9,1179.86,1181.4,1181.4,1114.4,1114.4,1114.4,1114.4
Annual,Conventional railway lines,Kilometre,Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2722.0,2722.0,2722.0,2722.0,2722.0,2722.0,2604.0,2604.0,2604.0,2604.0,2604.0,2617.0,2617.0,2617.0,2617.0,2617.0
Annual,Conventional railway lines,Kilometre,Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,7813.0,7390.0,7352.0,7486.5,7486.2,7356.7,7209.0,7197.0,7811.0,7955.0,7732.0,7743.0,7787.0,7889.0,7907.0,7437.0
Annual,Conventional railway lines,Kilometre,Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1835.0,1835.0,1835.0,1839.0,1839.0,1839.0,1839.0,1839.0,1839.0,1839.0,2045.0,2045.0,2045.0,2045.0,2045.0,2045 i
Annual,Conventional railway lines,Kilometre,Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,15852 i,15864 i,15921 i,15929 i,15926 i,15896 i,15866 i,15868 i,15879 i,15878 i,15872 i,15870 i,15873 i,15923.0,15920.0,15735.0
Annual,Conventional railway lines,Kilometre,Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Annual,Conventional railway lines,Kilometre,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1765.4,1767.6,1767.6,1767.6,1767.6,1767.6,1767.6,1877.2,1911.3,1911.3,1910.7,1910.7,1910.8,1910.8,1919.2,1924.3
Annual,Conventional railway lines,Kilometre,Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0
Annual,Conventional railway lines,Kilometre,Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2263.0,1884.0,1897.0,1865.0,1859.0,1859.0,1860.0,1860.0,1859.6,1859.6,1859.6,1859.6,1859.1,1859.1,1864.9,1830.9
Annual,Conventional railway lines,Kilometre,Moldova,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1157.1,1156.9,1156.9,1156.9,1156.9,1155.8,1150.8,1150.8,1150.8,1149.6,1149.6,1149.6,1149.6,1150.8,1150.8
Annual,Conventional railway lines,Kilometre,Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,248.760 i,248.760 i,248.760 i,249 i,249 i,250.0,250.0,250.0,250.0,250.5,250.5,250.5,250.5
Annual,Conventional railway lines,Kilometre,North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,683.0,683.0,683.0,683.0,683.0,683.0,683.0,683.0
Annual,Conventional railway lines,Kilometre,Netherlands,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2798.0,2806.0,2923.0,2923.0,2923.0,2923.0,2942.0,2941.0,2968.0,2965.0,2950.0,2950.0,2951.0,2951.0,2951.0,2951.0
Annual,Conventional railway lines,Kilometre,Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3846.0,3984.0,3846.0,3827.0,3833.0,3842.0,3832.0,3831.0,3831.0,3823.0,3826.0,3821.0,3821.0,3821.0,3817.0
Annual,Conventional railway lines,Kilometre,Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,20196.0,20360.0,20228.0,20228.0,20094.0,19328.0,19160 i,19151 i,19052 i,19073 i,19060 i,19223 i,18924 i,18828 i,18896 i,19080.0
Annual,Conventional railway lines,Kilometre,Portugal,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2841.600 i,2841.600 i,2843 i,2793.900 i,2541.200 i,2544.400 i,2546.0,2546 i,2546 i,2545.960 i,2545.960 i,2526.150 i,2526.150 i,2527.053 i,2527.053,2527.053
Annual,Conventional railway lines,Kilometre,Romania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,10785.0,10784.0,10785.0,10777.0,10777.0,10768.0,10777.0,10770.0,10774.0,10774.0,10765.0,10759.0,10769.0,10764.0,10615.0,10611.0
Annual,Conventional railway lines,Kilometre,Serbia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3809.0,3809.0,3809.0,3819.0,3819.0,3819.0,0.0,3766.0,3766.0,3764.0,3724.0,3763.0,3354.0,3369.0,3382.0,3382.0
Annual,Conventional railway lines,Kilometre,Sweden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,9771.0,9593.0,9574.0,9620.0,9468.0,9289.0,9213.0,9216.0,9190.0,9182.0,9214.0,9207.0,9217.0,9220.0,9222.0,:
Annual,Conventional railway lines,Kilometre,Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1228.07,1228.07,1228.07,1209.13,1209.0,1209.0,1209.0,1209.0,1209.0,1209.0,1209.0,1209.0,1209.0,1209.0,1208.0,1208.0
Annual,Conventional railway lines,Kilometre,Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3623.0,3623.0,3622.0,3624.0,3631.0,3631.0,3627.0,3626.0,3626.0,3626.0,3627.0,3629.0,3627.0,3626.0,3626.0,3631.0
Annual,Conventional railway lines,Kilometre,Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,8699.0,8683.0,8706.0,8754.0,8754.0,8830.0,8874.0,8947.0,8947.0,9023.0,9131.0,9194.0,9194.0,9158 i,9235 i,9235.0
Annual,Conventional railway lines,Kilometre,Ukraine,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,21619.0,21605.0,20948.0,20954.0,20952.0,19770.0,19765.0,19799.0,19790.0,:,:,:
Annual,Conventional railway lines,Kilometre,United Kingdom,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,16051 i,16017 i,16114 i,16101 i,16086.0,16086.0,16093.0,16132.0,16144.0,16211.0,16180.0,16371.0,16410.0,16348.0,16321.0,16324.0
Annual,Conventional railway lines,Kilometre,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,246.35,246.35,246.35,246.35,246.35,246.35,:
Annual,Dedicated high speed railway lines,Kilometre,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Dedicated high speed railway lines,Kilometre,Austria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0 i,0 i,0 i,0 i,0 i,0 i,0 i,0 i,0 i,0 i,0 i,0 i,0 i,0.0,0.0,0.0
Annual,Dedicated high speed railway lines,Kilometre,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Dedicated high speed railway lines,Kilometre,Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,139.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0,211.0
Annual,Dedicated high speed railway lines,Kilometre,Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Dedicated high speed railway lines,Kilometre,Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0 i,0 i,0 i,0 i,0 i,0 i,0 i,0 i,0 i,0 i,0 i,0 i,0 i,0 i,0 i,0 i
Annual,Dedicated high speed railway lines,Kilometre,Czechia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Dedicated high speed railway lines,Kilometre,Germany,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,864.0,864.0,864.0,864.0,864.0,881.0,881.0,880.0,994.0,1104.0,1104.0,1104.0,1104.0,1103.561,1103.561,1163.0
Annual,Dedicated high speed railway lines,Kilometre,Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0 i,0 i,0 i,0 i,0 i,0.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,57.0,57.0,57.0
Annual,Dedicated high speed railway lines,Kilometre,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Dedicated high speed railway lines,Kilometre,Greece,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Dedicated high speed railway lines,Kilometre,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1244 i,1244 i,1684 i,1759 i,1809 i,1919 i,1908.0,1908.0,2503.0,2483.0,2483.0,2624.181,2890.1,3035.004,3141.777,3189.919
Annual,Dedicated high speed railway lines,Kilometre,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,4734.0,4970.0,5371.0,:,5681.0,5812.0,5859.0,5865.0,6697.0,6960.0,6960.0,7520.181,7823.1,7968.565,8075.338,8545.919
Annual,Dedicated high speed railway lines,Kilometre,Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,:,0.0,0.0,0.0,0 b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Dedicated high speed railway lines,Kilometre,France,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1865 i,1884 i,1884 i,2036 i,2036 i,2036 i,2036 i,2043 i,2166 i,2339.0,2339.0,2701.0,2738.0,2738.0,2738.0,2738.0
Annual,Dedicated high speed railway lines,Kilometre,Georgia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Dedicated high speed railway lines,Kilometre,Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Dedicated high speed railway lines,Kilometre,Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Dedicated high speed railway lines,Kilometre,Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 i
Annual,Dedicated high speed railway lines,Kilometre,Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,532.0,677.0,638.0,652.0,671.0,675 i,733 i,733 i,733 i,733.0,733.0,733.0,733.0,734.0,734.0,1097.0
Annual,Dedicated high speed railway lines,Kilometre,Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Dedicated high speed railway lines,Kilometre,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Dedicated high speed railway lines,Kilometre,Luxembourg,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Dedicated high speed railway lines,Kilometre,Latvia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Dedicated high speed railway lines,Kilometre,Moldova,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Dedicated high speed railway lines,Kilometre,Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,0.0,0.0,0.0,0.0
Annual,Dedicated high speed railway lines,Kilometre,North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Dedicated high speed railway lines,Kilometre,Netherlands,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
Annual,Dedicated high speed railway lines,Kilometre,Norway,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Dedicated high speed railway lines,Kilometre,Poland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Dedicated high speed railway lines,Kilometre,Portugal,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Dedicated high speed railway lines,Kilometre,Romania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Dedicated high speed railway lines,Kilometre,Serbia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Dedicated high speed railway lines,Kilometre,Sweden,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Dedicated high speed railway lines,Kilometre,Slovenia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Dedicated high speed railway lines,Kilometre,Slovakia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Dedicated high speed railway lines,Kilometre,Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,397.0,888.0,888.0,888.0,888.0,1213.0,1184.0,1184.0,1184.0,1184.0,1184.0,1184.0,1184 i,1212 i,1978.0
Annual,Dedicated high speed railway lines,Kilometre,Ukraine,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:
Annual,Dedicated high speed railway lines,Kilometre,United Kingdom,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0
Annual,Dedicated high speed railway lines,Kilometre,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Upgraded high speed railway lines,Kilometre,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Upgraded high speed railway lines,Kilometre,Austria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,121 i,121 i,121 i,237 i,237 i,237 i,237 i,237 i,254 i,254 i,254 i,254 i,254 i,254 i,254 i,254.0
Annual,Upgraded high speed railway lines,Kilometre,Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Upgraded high speed railway lines,Kilometre,Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Upgraded high speed railway lines,Kilometre,Bulgaria,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Upgraded high speed railway lines,Kilometre,Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,91 i,91 i,91 i,91 i,91 i,91 i,91 i,91 i,158 i,158 i,158 i,158 i,176 i,176 i,176 i,176 i
Annual,Upgraded high speed railway lines,Kilometre,Czechia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Upgraded high speed railway lines,Kilometre,Germany,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1563.0,1563.0,1563.0,1502.0,1515.0,1515.0,1513.0,1511.0,1511.0,1511.0,1559.0,1559.0,1566.0,1625.0,1625.0,1625.0
Annual,Upgraded high speed railway lines,Kilometre,Denmark,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0 i,0 i,0 i,0 i,0 i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Upgraded high speed railway lines,Kilometre,Estonia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Upgraded high speed railway lines,Kilometre,Greece,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Upgraded high speed railway lines,Kilometre,Spain,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,777 i,777 i,882 i,860 i,840 i,789 i,708.0,1011.0,626.0,650.0,764.0,795.601,711.226,711.226,791.358,747.443
Annual,Upgraded high speed railway lines,Kilometre,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,12416.0,13063.0,13235.0,14003.0,14105.0,13890.0,14062.0,14497.0,14227.0,18078.0,18301.0,18389.601,18578.226,18636.226,18716.358,:
Annual,Upgraded high speed railway lines,Kilometre,Finland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,622.0,622.0,622.0,622.0,622.0,622.0,906.0,906 b,1059.0,1059.0,1120.0,1120.0,1120.0,1120.0,1120.0,1119.0
Annual,Upgraded high speed railway lines,Kilometre,France,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,7927 i,8279 i,8316 i,9051 i,9078 i,8878 i,8827 i,8937 i,8829 i,12600.0,12600.0,12657.0,12600.0,12600.0,12600.0,12600.0
Annual,Upgraded high speed railway lines,Kilometre,Georgia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Upgraded high speed railway lines,Kilometre,Croatia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Upgraded high speed railway lines,Kilometre,Hungary,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Upgraded high speed railway lines,Kilometre,Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 i
Annual,Upgraded high speed railway lines,Kilometre,Italy,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,145 i,145 i,145 i,145 i,145 i,181 i,123 i,123 i,176 i,176 i,176 i,176 i,176 i,175 i,175 i,0.0
Annual,Upgraded high speed railway lines,Kilometre,Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Upgraded high speed railway lines,Kilometre,Lithuania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
