Time frequency,Sex,Professional position,Unit of measure,Sector of performance,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Total,Researchers,Head count,All sectors,Cyprus,1924.0,2228.0,2164.0,2119.0,2178.0,2357.0,2652.0,2890.0,3029.0,3030.0,:,:
Annual,Total,Researchers,Head count,All sectors,Czechia,47651.0,51455.0,54493.0,56605.0,56178.0,59789.0,61966.0,63690.0,65193.0,69536.0,71182.0,71241 p
Annual,Total,Researchers,Head count,All sectors,Germany,:,549283.0,:,586030.0,:,623125.0,:,667394.0,:,691264.0,:,:
Annual,Total,Researchers,Head count,All sectors,Denmark,57520.0,57654.0,58735.0,60492.0,60432.0,60085.0,60389.0,61573 p,61481 p,:,:,:
Annual,Total,Researchers,Head count,All sectors,Euro area - 19 countries  (2015-2022),:,1839815 e,:,1936183 e,:,2070379 e,:,2246055 e,:,2366605 e,:,:
Annual,Total,Researchers,Head count,All sectors,Euro area – 20 countries (from 2023),:,1850983 e,:,1947272 e,:,2084087 e,:,2261708 e,:,2383484 e,:,:
Annual,Total,Researchers,Head count,All sectors,Estonia,7634.0,7515.0,7721.0,7181.0,6845.0,7344.0,7281.0,7734.0,8659.0,9033.0,9797.0,:
Annual,Total,Researchers,Head count,All sectors,Greece,:,53744.0,:,60736.0,:,61616.0,:,66451.0,72234.0,76660.0,85714.0,:
Annual,Total,Researchers,Head count,All sectors,Spain,215544.0,208767.0,210104.0,214227.0,218680.0,225995.0,234798.0,241372.0,244187.0,255385.0,267409.0,:
Annual,Total,Researchers,Head count,All sectors,European Union - 27 countries (from 2020),:,2253021 e,:,2376633 e,:,2589975 e,:,2801187 e,:,2988155 e,:,:
Annual,Total,Researchers,Head count,All sectors,Finland,56704.0,56720.0,55515.0,55728.0,53752.0,54139.0,55415.0,58291.0,61292.0,65815 d,:,:
Annual,Total,Researchers,Head count,All sectors,France,356445.0,366299.0,369999.0,:,396594.0,416217 p,429959 p,:,460792.0,467519.0,475576.0,:
Annual,Total,Researchers,Head count,All sectors,Croatia,11402.0,11168.0,10726.0,11089.0,12951.0,13708.0,13958.0,15653.0,16027.0,16879.0,17421.0,:
Annual,Total,Researchers,Head count,All sectors,Hungary,37019.0,37803.0,39190.0,38418.0,38915.0,42729.0,54970 b,58091.0,62177.0,65202.0,70096.0,:
Annual,Total,Researchers,Head count,All sectors,Ireland,17895.0,32084.0,:,30612.0,:,34721.0,:,36242.0,:,36541.0,:,:
Annual,Total,Researchers,Head count,All sectors,Iceland,:,3356 b,:,:,:,3804.0,3801 u,:,:,4703.0,4754 u,:
Annual,Total,Researchers,Head count,All sectors,Italy,157960.0,163925.0,168074.0,174327.0,185916 b,195560.0,210419.0,222165.0,217052.0,217582.0,225254.0,:
Annual,Total,Researchers,Head count,All sectors,Japan,887067 d,892406 d,926671 d,907455 d,917725 d,930720 d,935658 d,942180 d,951726 d,983604 d,1003883 d,:
Annual,Total,Researchers,Head count,All sectors,South Korea,401724.0,410333.0,437447.0,453262.0,460769.0,482796.0,514170.0,538136.0,558045.0,586666.0,601530.0,:
Annual,Total,Researchers,Head count,All sectors,Lithuania,17677.0,18083.0,19371.0,17293.0,17746.0,18767.0,19198.0,18811.0,19431.0,19609.0,19589.0,:
Annual,Total,Researchers,Head count,All sectors,Luxembourg,:,2713.0,1994.0,3207.0,:,3540.0,:,3722.0,:,3746.0,:,:
Annual,Total,Researchers,Head count,All sectors,Latvia,7995.0,7448.0,7939.0,7827.0,7400.0,7504.0,7439.0,7724.0,8394.0,9143.0,8894.0,:
Annual,Total,Researchers,Head count,All sectors,Montenegro,:,1617.0,1708.0,1766 d,1509.0,1528.0,1596.0,1586.0,:,:,:,:
Annual,Total,Researchers,Head count,All sectors,North Macedonia,2231.0,:,:,3772.0,3697.0,3346.0,3464.0,3395.0,3426.0,:,2798.0,:
Annual,Total,Researchers,Head count,All sectors,Malta,1438.0,1383.0,1349.0,1412.0,1470.0,1546.0,1513.0,1559.0,1647.0,1865.0,2125.0,:
Annual,Total,Researchers,Head count,All sectors,Netherlands,107184 b,116610 b,117573.0,118902.0,124568.0,124834.0,130153.0,136034.0,139928.0,143445.0,150203 b,:
Annual,Total,Researchers,Head count,All sectors,Norway,46747.0,47795.0,50025.0,52181.0,54601.0,57934.0,59629.0,61657.0,63103.0,66898.0,68602.0,:
Annual,Total,Researchers,Head count,All sectors,Poland,103627.0,109611.0,115375.0,118494.0,132547.0,187905.0,192833.0,194607.0,196420.0,215761.0,223738.0,:
Annual,Total,Researchers,Head count,All sectors,Portugal,81750.0,78290 b,78736.0,81005.0,85780.0,89659.0,96123.0,100823.0,104681.0,110953.0,114582.0,:
Annual,Total,Researchers,Head count,All sectors,Romania,27838.0,27600.0,27535.0,27253.0,27801.0,27367.0,27471.0,27168.0,28090.0,29347.0,29837.0,:
Annual,Total,Researchers,Head count,All sectors,Serbia,13249.0,14643.0,15163.0,16338.0,16592.0,16182.0,16213.0,16399.0,16662.0,16962.0,17512.0,18417.0
Annual,Total,Researchers,Head count,All sectors,Russia,372620 e,369015 e,373905 e,379411.0,:,359793.0,347854.0,348221.0,:,:,:,:
Annual,Total,Researchers,Head count,All sectors,Sweden,:,101820 be,:,108761 e,:,107042.0,:,111179.0,:,139053 b,:,:
Annual,Total,Researchers,Head count,All sectors,Slovenia,12362.0,12111.0,12155.0,11308.0,11282.0,14079.0,15388.0,15925.0,16328.0,16282.0,17015.0,:
Annual,Total,Researchers,Head count,All sectors,Slovakia,25069.0,24441.0,25080.0,24396.0,26720.0,26861.0,28755.0,28851.0,28696.0,30040.0,30916.0,:
Annual,Total,Researchers,Head count,All sectors,Türkiye,155133.0,166097.0,181544.0,175520.0,189225.0,204039.0,217014.0,233563.0,254029.0,277109.0,307519.0,:
Annual,Total,Researchers,Head count,All sectors,United Kingdom,442385 e,466689.0,489181 e,496953 e,510980 e,520936 e,535477 e,:,:,:,:,:
Annual,Total,Researchers,Head count,All sectors,United States,:,:,:,:,:,:,:,:,1823522 e,1889780 e,:,:
